player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Alexandre Lacazette,FRA,26,90.0,1,0,0,0,7,4,0,0,54.0,2.0,0,2.0,3.0,3.0,0.1,10.0,0.0,21.0,36.0,58.3,1.0,36.0,1.0,5.0,4.0,281.0,38.0,15.0,23.0,65.2,5.0,8.0,62.5,0.0,2.0,0.0,0.1,2.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,2.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,44.0,18.0,54.0,80.0,1.0,20.0,129.0,31.0,1.0,1.0,3.0,4.0,39.0,24.0,0,0,1,2,0.0,0.0,0,0.0,2.0,4.0,33.3,True,Arsenal,Manchester Utd,15,2017-2018,FW,None,None,None,2017,1.0,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,26.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,54.0,2.0,0.0,2.0,3.0,3.0,0.1,10.0,0.0,21.0,36.0,58.3,1.0,36.0,1.0,5.0,4.0,281.0,38.0,15.0,23.0,65.2,5.0,8.0,62.5,0.0,2.0,0.0,0.1,2.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,44.0,18.0,54.0,80.0,1.0,20.0,129.0,31.0,1.0,1.0,3.0,4.0,39.0,24.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,33.3,1.0,4.7,1.8,1.0,3.0,161.0
Alexis Sanchez,CHI,28,90.0,0,0,0,0,5,2,1,0,84.0,0.0,0,0.0,1.0,1.0,0.3,12.0,1.0,47.0,73.0,64.4,15.0,62.0,6.0,0.0,0.0,665.0,260.0,28.0,31.0,90.3,16.0,26.0,61.5,2.0,8.0,25.0,0.5,5.0,4.0,7.0,0.0,68.0,5.0,1.0,2.0,0.0,6,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,66.0,6.0,84.0,0.0,0.0,0.0,429.0,192.0,8.0,2.0,5.0,3.0,66.0,14.0,0,1,3,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,Arsenal,Manchester Utd,15,2017-2018,LW,AM,None,None,2017,1.0,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,28.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,84.0,0.0,0.0,0.0,1.0,1.0,0.3,12.0,1.0,47.0,73.0,64.4,15.0,62.0,6.0,0.0,0.0,665.0,260.0,28.0,31.0,90.3,16.0,26.0,61.5,2.0,8.0,25.0,0.5,5.0,4.0,7.0,0.0,68.0,5.0,1.0,2.0,0.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,66.0,6.0,84.0,0.0,0.0,0.0,429.0,192.0,8.0,2.0,5.0,3.0,66.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,4.7,1.8,1.0,3.0,161.0
Mesut Ozil,GER,29,90.0,0,0,0,0,3,1,0,0,123.0,0.0,0,0.0,0.2,0.2,0.3,10.0,0.0,98.0,118.0,83.1,27.0,97.0,13.0,4.0,2.0,1446.0,570.0,54.0,61.0,88.5,32.0,38.0,84.2,7.0,13.0,53.8,0.8,4.0,10.0,15.0,1.0,109.0,9.0,1.0,0.0,1.0,9,2.0,6.0,6.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,81.0,3.0,123.0,50.0,2.0,50.0,775.0,442.0,10.0,0.0,0.0,1.0,104.0,10.0,0,1,1,1,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Arsenal,Manchester Utd,15,2017-2018,AM,CM,None,None,2017,1.0,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,29.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,123.0,0.0,0.0,0.0,0.2,0.2,0.3,10.0,0.0,98.0,118.0,83.1,27.0,97.0,13.0,4.0,2.0,1446.0,570.0,54.0,61.0,88.5,32.0,38.0,84.2,7.0,13.0,53.8,0.8,4.0,10.0,15.0,1.0,109.0,9.0,1.0,0.0,1.0,9.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,81.0,3.0,123.0,50.0,2.0,50.0,775.0,442.0,10.0,0.0,0.0,1.0,104.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.7,1.8,1.0,3.0,161.0
Granit Xhaka,SUI,25,69.0,0,0,0,0,2,0,0,0,68.0,5.0,0,2.0,0.1,0.1,0.8,3.0,0.0,54.0,61.0,88.5,12.0,45.0,1.0,0.0,0.0,886.0,325.0,27.0,28.0,96.4,21.0,21.0,100.0,5.0,8.0,62.5,0.5,2.0,7.0,1.0,0.0,58.0,3.0,1.0,0.0,0.0,2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5,3.0,2.0,0.0,2.0,3.0,66.7,1.0,1.0,1.0,5.0,0.0,0.0,1.0,7.0,43.0,19.0,3.0,68.0,0.0,0.0,0.0,279.0,145.0,0.0,0.0,1.0,0.0,49.0,1.0,0,2,2,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,Arsenal,Manchester Utd,15,2017-2018,DM,CM,None,None,2017,0.7666666666666667,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,32.608695652173914,0.0,0.0,0.0,0.0,2.608695652173913,0.0,0.0,0.0,88.69565217391303,6.521739130434782,0.0,2.608695652173913,0.13043478260869565,0.13043478260869565,1.0434782608695652,3.913043478260869,0.0,70.43478260869564,79.56521739130434,115.43478260869564,15.652173913043477,58.69565217391304,1.3043478260869565,0.0,0.0,1155.6521739130435,423.9130434782608,35.21739130434782,36.52173913043478,125.73913043478261,27.391304347826086,27.391304347826086,130.43478260869566,6.521739130434782,10.434782608695652,81.52173913043478,0.6521739130434783,2.608695652173913,9.130434782608695,1.3043478260869565,0.0,75.65217391304347,3.913043478260869,1.3043478260869565,0.0,0.0,2.608695652173913,0.0,2.608695652173913,2.608695652173913,0.0,0.0,0.0,1.3043478260869565,6.521739130434782,3.913043478260869,2.608695652173913,0.0,2.608695652173913,3.913043478260869,87.0,1.3043478260869565,1.3043478260869565,1.3043478260869565,6.521739130434782,0.0,0.0,1.3043478260869565,9.130434782608695,56.086956521739125,24.782608695652172,3.913043478260869,88.69565217391303,0.0,0.0,0.0,363.9130434782608,189.1304347826087,0.0,0.0,1.3043478260869565,0.0,63.91304347826087,1.3043478260869565,0.0,2.608695652173913,2.608695652173913,0.0,0.0,0.0,0.0,5.217391304347826,0.0,1.3043478260869565,0.0,1.0,6.130434782608695,2.3478260869565215,1.3043478260869565,3.913043478260869,210.0
Danny Welbeck,ENG,27,21.0,0,0,0,0,2,1,0,0,18.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,15.0,16.0,93.8,3.0,14.0,0.0,1.0,1.0,191.0,18.0,12.0,13.0,92.3,2.0,2.0,100.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,3.0,18.0,100.0,0.0,0.0,73.0,13.0,0.0,0.0,0.0,0.0,16.0,7.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,Arsenal,Manchester Utd,15,2017-2018,WB,RW,None,None,2017,0.23333333333333334,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,115.71428571428571,0.0,0.0,0.0,0.0,8.571428571428571,4.285714285714286,0.0,0.0,77.14285714285714,0.0,0.0,0.0,0.4285714285714286,0.4285714285714286,0.0,8.571428571428571,0.0,64.28571428571428,68.57142857142857,402.0,12.857142857142858,60.0,0.0,4.285714285714286,4.285714285714286,818.5714285714286,77.14285714285714,51.42857142857143,55.714285714285715,395.57142857142856,8.571428571428571,8.571428571428571,428.57142857142856,0.0,0.0,0.0,0.4285714285714286,0.0,0.0,4.285714285714286,0.0,68.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,68.57142857142857,12.857142857142858,77.14285714285714,428.57142857142856,0.0,0.0,312.85714285714283,55.714285714285715,0.0,0.0,0.0,0.0,68.57142857142857,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,428.57142857142856,1.0,20.142857142857142,7.714285714285714,4.285714285714286,12.857142857142858,690.0
Aaron Ramsey,WAL,26,90.0,0,1,0,0,5,1,0,0,88.0,1.0,1,0.0,0.3,0.3,0.8,6.0,1.0,71.0,82.0,86.6,8.0,68.0,8.0,1.0,1.0,1038.0,333.0,43.0,45.0,95.6,21.0,27.0,77.8,3.0,3.0,100.0,1.0,3.0,8.0,3.0,0.0,78.0,2.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,31.0,51.0,7.0,88.0,100.0,0.0,0.0,460.0,265.0,9.0,2.0,1.0,1.0,76.0,12.0,0,1,1,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,Arsenal,Manchester Utd,15,2017-2018,DM,CM,None,None,2017,1.0,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,26.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,88.0,1.0,1.0,0.0,0.3,0.3,0.8,6.0,1.0,71.0,82.0,86.6,8.0,68.0,8.0,1.0,1.0,1038.0,333.0,43.0,45.0,95.6,21.0,27.0,77.8,3.0,3.0,100.0,1.0,3.0,8.0,3.0,0.0,78.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,31.0,51.0,7.0,88.0,100.0,0.0,0.0,460.0,265.0,9.0,2.0,1.0,1.0,76.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,4.7,1.8,1.0,3.0,161.0
Sead Kolasinac,BIH,24,75.0,0,0,0,0,1,1,0,0,58.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,41.0,51.0,80.4,5.0,29.0,0.0,0.0,0.0,607.0,97.0,26.0,26.0,100.0,13.0,18.0,72.2,2.0,4.0,50.0,0.0,1.0,2.0,0.0,0.0,40.0,11.0,1.0,0.0,0.0,0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,16.0,21.0,21.0,2.0,58.0,0.0,0.0,0.0,91.0,56.0,0.0,0.0,0.0,0.0,33.0,5.0,0,0,0,0,0.0,0.0,0,5.0,2.0,2.0,50.0,True,Arsenal,Manchester Utd,15,2017-2018,LB,WB,None,None,2017,0.8333333333333334,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,28.799999999999997,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,69.6,3.5999999999999996,1.2,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,49.199999999999996,61.199999999999996,96.48,6.0,34.8,0.0,0.0,0.0,728.4,116.39999999999999,31.2,31.2,120.0,15.6,21.599999999999998,86.64,2.4,4.8,60.0,0.0,1.2,2.4,0.0,0.0,48.0,13.2,1.2,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,1.2,1.2,1.2,1.2,2.4,60.0,1.2,0.0,0.0,4.8,2.4,0.0,2.4,19.2,25.2,25.2,2.4,69.6,0.0,0.0,0.0,109.19999999999999,67.2,0.0,0.0,0.0,0.0,39.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.4,2.4,60.0,1.0,5.64,2.16,1.2,3.5999999999999996,193.2
Olivier Giroud,FRA,31,15.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.7,0.0,3.0,0.0,0.0,0.0,15.0,11.0,0.0,3.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,4.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,Arsenal,Manchester Utd,15,2017-2018,FW,None,None,None,2017,0.16666666666666666,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,100.2,0.0,18.0,0.0,0.0,0.0,90.0,66.0,0.0,18.0,0.0,6.0,12.0,300.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,30.0,6.0,36.0,0.0,0.0,0.0,66.0,60.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,28.200000000000003,10.8,6.0,18.0,966.0
Hector Bellerin,ESP,22,90.0,0,0,0,0,1,1,1,0,65.0,1.0,0,0.0,0.0,0.0,0.0,3.0,0.0,57.0,61.0,93.4,7.0,42.0,0.0,0.0,0.0,942.0,329.0,26.0,28.0,92.9,24.0,24.0,100.0,4.0,5.0,80.0,0.0,1.0,5.0,1.0,0.0,54.0,7.0,0.0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,41.0,14.0,0.0,65.0,0.0,0.0,0.0,158.0,82.0,0.0,0.0,0.0,1.0,44.0,6.0,0,4,1,0,0.0,0.0,0,1.0,0.0,3.0,0.0,True,Arsenal,Manchester Utd,15,2017-2018,RB,CB,WB,None,2017,1.0,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,57.0,61.0,93.4,7.0,42.0,0.0,0.0,0.0,942.0,329.0,26.0,28.0,92.9,24.0,24.0,100.0,4.0,5.0,80.0,0.0,1.0,5.0,1.0,0.0,54.0,7.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,41.0,14.0,0.0,65.0,0.0,0.0,0.0,158.0,82.0,0.0,0.0,0.0,1.0,44.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,4.7,1.8,1.0,3.0,161.0
Nacho Monreal,ESP,31,90.0,0,0,0,0,1,1,0,0,72.0,3.0,1,2.0,0.0,0.0,0.1,1.0,0.0,59.0,65.0,90.8,7.0,51.0,3.0,0.0,0.0,1038.0,513.0,23.0,25.0,92.0,32.0,32.0,100.0,3.0,4.0,75.0,0.0,1.0,2.0,1.0,0.0,60.0,4.0,2.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3,0.0,2.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,22.0,40.0,11.0,1.0,72.0,0.0,0.0,0.0,295.0,192.0,1.0,0.0,0.0,0.0,47.0,4.0,0,0,1,1,0.0,0.0,0,10.0,4.0,5.0,44.4,True,Arsenal,Manchester Utd,15,2017-2018,CB,None,None,None,2017,1.0,Arsenal_Manchester_Utd,Arsenal_Manchester_Utd_2017,Arsenal,Manchester Utd,2017,15,Arsenal,4.7,1.8,Manchester Utd,1.0,3.0,2017-12-02,Andre Marriner,Emirates Stadium,Sat,17:30,"59,547",161,Manchester Utd,Arsenal,Arsenal,Manchester Utd,Arsenal_Manchester_Utd,Arsenal_Manchester Utd_2017,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.0,3.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,59.0,65.0,90.8,7.0,51.0,3.0,0.0,0.0,1038.0,513.0,23.0,25.0,92.0,32.0,32.0,100.0,3.0,4.0,75.0,0.0,1.0,2.0,1.0,0.0,60.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,22.0,40.0,11.0,1.0,72.0,0.0,0.0,0.0,295.0,192.0,1.0,0.0,0.0,0.0,47.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,4.0,5.0,44.4,1.0,4.7,1.8,1.0,3.0,161.0
