player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Wesley Moraes,BRA,22,90.0,0,0,0,0,1,1,1,0,33.0,1.0,0,1.0,0.6,0.6,0.2,4.0,0.0,20.0,24.0,83.3,0.0,16.0,0.0,0.0,0.0,292.0,46.0,13.0,14.0,92.9,4.0,5.0,80.0,2.0,2.0,100.0,0.1,2.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,17.0,4.0,33.0,0.0,0.0,0.0,72.0,1.0,0.0,0.0,5.0,0.0,29.0,6.0,0,2,0,0,0.0,0.0,0,1.0,7.0,2.0,77.8,True,2019-2020,FW,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0,1.0,0.0,1.0,0.6,0.6,0.2,4.0,0.0,20.0,24.0,83.3,0.0,16.0,0.0,0.0,0.0,292.0,46.0,13.0,14.0,92.9,4.0,5.0,80.0,2.0,2.0,100.0,0.1,2.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,17.0,4.0,33.0,0.0,0.0,0.0,72.0,1.0,0.0,0.0,5.0,0.0,29.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,77.8,1.0,2.3,0.6,2.0,0.0,141.0
Jack Grealish,ENG,24,90.0,0,1,0,0,5,2,0,0,88.0,1.0,0,1.0,0.3,0.3,0.4,14.0,2.0,60.0,76.0,78.9,9.0,62.0,10.0,3.0,1.0,991.0,282.0,29.0,32.0,90.6,22.0,23.0,95.7,5.0,13.0,38.5,0.3,6.0,5.0,3.0,0.0,67.0,9.0,1.0,0.0,0.0,8,1.0,6.0,6.0,0.0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,30.0,51.0,12.0,88.0,33.3,2.0,66.7,497.0,291.0,5.0,5.0,1.0,1.0,66.0,13.0,0,0,5,0,0.0,0.0,0,7.0,0.0,2.0,0.0,True,2019-2020,LW,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,24.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,88.0,1.0,0.0,1.0,0.3,0.3,0.4,14.0,2.0,60.0,76.0,78.9,9.0,62.0,10.0,3.0,1.0,991.0,282.0,29.0,32.0,90.6,22.0,23.0,95.7,5.0,13.0,38.5,0.3,6.0,5.0,3.0,0.0,67.0,9.0,1.0,0.0,0.0,8.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,30.0,51.0,12.0,88.0,33.3,2.0,66.7,497.0,291.0,5.0,5.0,1.0,1.0,66.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,2.3,0.6,2.0,0.0,141.0
Anwar El Ghazi,NED,24,90.0,1,0,0,0,1,1,0,0,31.0,1.0,0,1.0,0.7,0.7,0.1,2.0,0.0,21.0,24.0,87.5,3.0,20.0,4.0,3.0,1.0,279.0,76.0,15.0,17.0,88.2,2.0,3.0,66.7,1.0,1.0,100.0,0.1,2.0,1.0,1.0,0.0,22.0,2.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,3.0,31.0,33.3,2.0,66.7,130.0,75.0,3.0,1.0,0.0,0.0,25.0,6.0,0,0,1,1,0.0,0.0,0,2.0,0.0,4.0,0.0,True,2019-2020,RW,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,24.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,1.0,0.0,1.0,0.7,0.7,0.1,2.0,0.0,21.0,24.0,87.5,3.0,20.0,4.0,3.0,1.0,279.0,76.0,15.0,17.0,88.2,2.0,3.0,66.7,1.0,1.0,100.0,0.1,2.0,1.0,1.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,18.0,3.0,31.0,33.3,2.0,66.7,130.0,75.0,3.0,1.0,0.0,0.0,25.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.3,0.6,2.0,0.0,141.0
Conor Hourihane,IRL,28,89.0,1,1,0,0,2,1,0,0,60.0,0.0,1,0.0,0.1,0.1,1.4,6.0,2.0,43.0,53.0,81.1,5.0,28.0,2.0,0.0,0.0,718.0,217.0,20.0,21.0,95.2,19.0,22.0,86.4,2.0,7.0,28.6,1.0,3.0,4.0,2.0,0.0,46.0,7.0,3.0,0.0,1.0,10,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,21.0,33.0,3.0,60.0,0.0,0.0,0.0,81.0,35.0,1.0,1.0,2.0,1.0,45.0,7.0,0,1,2,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2019-2020,LM,None,None,None,0.9888888888888889,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,28.314606741573034,1.0112359550561798,1.0112359550561798,0.0,0.0,2.0224719101123596,1.0112359550561798,0.0,0.0,60.674157303370784,0.0,1.0112359550561798,0.0,0.10112359550561797,0.10112359550561797,1.4157303370786516,6.067415730337078,2.0224719101123596,43.48314606741573,53.59550561797752,82.01123595505616,5.056179775280898,28.314606741573034,2.0224719101123596,0.0,0.0,726.0674157303371,219.43820224719101,20.224719101123593,21.235955056179776,96.26966292134831,19.213483146067414,22.247191011235955,87.37078651685394,2.0224719101123596,7.078651685393258,28.921348314606742,1.0112359550561798,3.033707865168539,4.044943820224719,2.0224719101123596,0.0,46.51685393258427,7.078651685393258,3.033707865168539,0.0,1.0112359550561798,10.112359550561797,0.0,4.044943820224719,2.0224719101123596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,0.0,2.0224719101123596,0.0,0.0,1.0112359550561798,1.0112359550561798,0.0,1.0112359550561798,6.067415730337078,21.235955056179776,33.37078651685393,3.033707865168539,60.674157303370784,0.0,0.0,0.0,81.91011235955055,35.39325842696629,1.0112359550561798,1.0112359550561798,2.0224719101123596,1.0112359550561798,45.50561797752809,7.078651685393258,0.0,1.0112359550561798,2.0224719101123596,0.0,0.0,0.0,0.0,3.033707865168539,0.0,0.0,0.0,1.0,2.325842696629213,0.6067415730337078,2.0224719101123596,0.0,142.58426966292134
Henri Lansbury,ENG,29,1.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,LM,None,None,None,0.011111111111111112,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,270.0,9000.0,0.0,0.0,0.0,0.0,0.0,3420.0,90.0,180.0,180.0,9000.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,206.99999999999997,53.99999999999999,180.0,0.0,12690.0
Douglas Luiz,BRA,21,90.0,0,0,0,0,4,1,0,0,67.0,0.0,1,0.0,0.2,0.2,0.0,0.0,0.0,49.0,58.0,84.5,5.0,44.0,1.0,2.0,2.0,893.0,201.0,18.0,19.0,94.7,27.0,28.0,96.4,4.0,8.0,50.0,0.0,0.0,4.0,0.0,0.0,57.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,14.0,39.0,15.0,1.0,67.0,100.0,0.0,0.0,246.0,89.0,1.0,0.0,0.0,2.0,45.0,2.0,0,2,0,0,0.0,0.0,0,8.0,1.0,2.0,33.3,True,2019-2020,CM,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,21.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,67.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,49.0,58.0,84.5,5.0,44.0,1.0,2.0,2.0,893.0,201.0,18.0,19.0,94.7,27.0,28.0,96.4,4.0,8.0,50.0,0.0,0.0,4.0,0.0,0.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,14.0,39.0,15.0,1.0,67.0,100.0,0.0,0.0,246.0,89.0,1.0,0.0,0.0,2.0,45.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3,1.0,2.3,0.6,2.0,0.0,141.0
John McGinn,SCO,25,90.0,0,0,0,0,3,1,0,0,61.0,1.0,0,0.0,0.2,0.2,0.0,4.0,0.0,36.0,47.0,76.6,9.0,32.0,3.0,3.0,1.0,824.0,256.0,12.0,16.0,75.0,14.0,15.0,93.3,10.0,13.0,76.9,0.1,1.0,6.0,2.0,0.0,45.0,1.0,1.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,9.0,23.0,30.0,6.0,61.0,33.3,2.0,66.7,185.0,64.0,1.0,0.0,2.0,1.0,46.0,5.0,0,2,0,0,0.0,0.0,0,6.0,1.0,1.0,50.0,True,2019-2020,RM,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,25.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,61.0,1.0,0.0,0.0,0.2,0.2,0.0,4.0,0.0,36.0,47.0,76.6,9.0,32.0,3.0,3.0,1.0,824.0,256.0,12.0,16.0,75.0,14.0,15.0,93.3,10.0,13.0,76.9,0.1,1.0,6.0,2.0,0.0,45.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,9.0,23.0,30.0,6.0,61.0,33.3,2.0,66.7,185.0,64.0,1.0,0.0,2.0,1.0,46.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,1.0,2.3,0.6,2.0,0.0,141.0
Matt Targett,ENG,24,90.0,0,0,0,0,0,0,0,0,57.0,3.0,3,2.0,0.0,0.0,0.1,1.0,0.0,37.0,45.0,82.2,7.0,27.0,0.0,2.0,2.0,547.0,186.0,23.0,25.0,92.0,12.0,13.0,92.3,2.0,5.0,40.0,0.1,1.0,3.0,2.0,0.0,42.0,3.0,1.0,0.0,1.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,6.0,4.0,0.0,2.0,19.0,24.0,15.0,1.0,57.0,100.0,0.0,0.0,106.0,64.0,2.0,0.0,0.0,0.0,33.0,3.0,0,1,0,0,0.0,0.0,0,4.0,3.0,1.0,75.0,True,2019-2020,LB,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,3.0,2.0,0.0,0.0,0.1,1.0,0.0,37.0,45.0,82.2,7.0,27.0,0.0,2.0,2.0,547.0,186.0,23.0,25.0,92.0,12.0,13.0,92.3,2.0,5.0,40.0,0.1,1.0,3.0,2.0,0.0,42.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,6.0,4.0,0.0,2.0,19.0,24.0,15.0,1.0,57.0,100.0,0.0,0.0,106.0,64.0,2.0,0.0,0.0,0.0,33.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0,1.0,2.3,0.6,2.0,0.0,141.0
Tyrone Mings,ENG,26,90.0,0,0,0,0,0,0,0,0,76.0,0.0,0,1.0,0.0,0.0,0.1,2.0,0.0,62.0,68.0,91.2,3.0,46.0,1.0,1.0,1.0,1349.0,490.0,16.0,18.0,88.9,40.0,40.0,100.0,6.0,9.0,66.7,0.0,2.0,6.0,0.0,0.0,67.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,33.0,43.0,1.0,0.0,76.0,100.0,0.0,0.0,273.0,153.0,0.0,0.0,0.0,0.0,53.0,0.0,0,0,0,0,0.0,0.0,0,10.0,1.0,2.0,33.3,True,2019-2020,CB,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,62.0,68.0,91.2,3.0,46.0,1.0,1.0,1.0,1349.0,490.0,16.0,18.0,88.9,40.0,40.0,100.0,6.0,9.0,66.7,0.0,2.0,6.0,0.0,0.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,33.0,43.0,1.0,0.0,76.0,100.0,0.0,0.0,273.0,153.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3,1.0,2.3,0.6,2.0,0.0,141.0
Ezri Konsa,ENG,22,90.0,0,0,0,0,1,1,0,0,69.0,0.0,0,2.0,0.1,0.1,0.0,0.0,0.0,54.0,58.0,93.1,4.0,47.0,0.0,0.0,0.0,1078.0,311.0,14.0,15.0,93.3,38.0,40.0,95.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,8.0,25.0,39.0,5.0,1.0,69.0,0.0,0.0,0.0,232.0,144.0,1.0,0.0,0.0,0.0,54.0,1.0,0,1,1,0,0.0,0.0,0,1.0,3.0,4.0,42.9,True,2019-2020,CB,None,None,None,1.0,Aston_Villa_Newcastle_Utd,Aston_Villa_Newcastle_Utd_2019,2.3,0.6,2.0,0.0,2019-11-25,Lee Mason,Villa Park,Mon,20:00,"41,821",141,Aston Villa,Newcastle Utd,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0,0.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,54.0,58.0,93.1,4.0,47.0,0.0,0.0,0.0,1078.0,311.0,14.0,15.0,93.3,38.0,40.0,95.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,8.0,25.0,39.0,5.0,1.0,69.0,0.0,0.0,0.0,232.0,144.0,1.0,0.0,0.0,0.0,54.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,42.9,1.0,2.3,0.6,2.0,0.0,141.0
