player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Christian Benteke,BEL,27,90.0,0,0,0,1,4,1,1,0,48.0,1.0,0,0.0,1.2,0.4,0.5,6.0,2.0,22.0,35.0,62.9,2.0,20.0,2.0,2.0,1.0,260.0,55.0,14.0,23.0,60.9,6.0,9.0,66.7,0.0,0.0,0.0,0.3,2.0,1.0,1.0,0.0,32.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,22.0,11.0,47.0,50.0,1.0,50.0,154.0,37.0,1.0,1.0,3.0,1.0,39.0,8.0,0,6,1,1,0.0,0.0,0,2.0,11.0,8.0,57.9,True,2017-2018,FW,None,None,None,1.0,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,27.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,48.0,1.0,0.0,0.0,1.2,0.4,0.5,6.0,2.0,22.0,35.0,62.9,2.0,20.0,2.0,2.0,1.0,260.0,55.0,14.0,23.0,60.9,6.0,9.0,66.7,0.0,0.0,0.0,0.3,2.0,1.0,1.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,22.0,11.0,47.0,50.0,1.0,50.0,154.0,37.0,1.0,1.0,3.0,1.0,39.0,8.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,8.0,57.9,1.0,3.9,0.7,2.0,2.0,167.0
Wilfried Zaha,CIV,25,90.0,0,0,0,0,2,0,1,0,35.0,0.0,0,1.0,0.1,0.1,0.3,13.0,1.0,15.0,27.0,55.6,3.0,31.0,9.0,4.0,3.0,284.0,124.0,9.0,13.0,69.2,3.0,7.0,42.9,3.0,5.0,60.0,0.8,4.0,0.0,3.0,2.0,24.0,2.0,0.0,0.0,0.0,9,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,28.0,11.0,35.0,75.0,1.0,25.0,322.0,186.0,1.0,8.0,2.0,6.0,33.0,14.0,0,1,7,2,2.0,0.0,0,3.0,0.0,0.0,0.0,True,2017-2018,FW,None,None,None,1.0,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,25.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,35.0,0.0,0.0,1.0,0.1,0.1,0.3,13.0,1.0,15.0,27.0,55.6,3.0,31.0,9.0,4.0,3.0,284.0,124.0,9.0,13.0,69.2,3.0,7.0,42.9,3.0,5.0,60.0,0.8,4.0,0.0,3.0,2.0,24.0,2.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,28.0,11.0,35.0,75.0,1.0,25.0,322.0,186.0,1.0,8.0,2.0,6.0,33.0,14.0,0.0,1.0,7.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.9,0.7,2.0,2.0,167.0
Ruben Loftus-Cheek,ENG,21,90.0,0,0,0,0,2,1,0,0,40.0,0.0,1,1.0,0.2,0.2,0.5,5.0,0.0,21.0,31.0,67.7,4.0,28.0,4.0,2.0,1.0,276.0,90.0,14.0,16.0,87.5,5.0,6.0,83.3,1.0,3.0,33.3,0.8,2.0,2.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,15.0,22.0,4.0,40.0,50.0,1.0,50.0,242.0,169.0,1.0,1.0,1.0,1.0,29.0,8.0,0,0,2,2,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2017-2018,LM,None,None,None,1.0,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,21.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,0.0,1.0,1.0,0.2,0.2,0.5,5.0,0.0,21.0,31.0,67.7,4.0,28.0,4.0,2.0,1.0,276.0,90.0,14.0,16.0,87.5,5.0,6.0,83.3,1.0,3.0,33.3,0.8,2.0,2.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,15.0,22.0,4.0,40.0,50.0,1.0,50.0,242.0,169.0,1.0,1.0,1.0,1.0,29.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,1.0,3.9,0.7,2.0,2.0,167.0
Luka Milivojevic,SRB,26,90.0,1,0,1,1,3,1,1,0,60.0,2.0,2,3.0,1.0,0.2,0.0,6.0,0.0,42.0,49.0,85.7,9.0,30.0,0.0,0.0,0.0,876.0,497.0,16.0,17.0,94.1,14.0,15.0,93.3,9.0,12.0,75.0,0.0,1.0,11.0,1.0,0.0,49.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1.0,0.0,1.0,2.0,3.0,66.7,1.0,1.0,2.0,4.0,1.0,0.0,0.0,22.0,30.0,12.0,4.0,59.0,0.0,0.0,0.0,175.0,64.0,2.0,0.0,0.0,1.0,32.0,1.0,0,2,0,0,0.0,0.0,0,12.0,0.0,0.0,0.0,True,2017-2018,CM,None,None,None,1.0,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,26.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,60.0,2.0,2.0,3.0,1.0,0.2,0.0,6.0,0.0,42.0,49.0,85.7,9.0,30.0,0.0,0.0,0.0,876.0,497.0,16.0,17.0,94.1,14.0,15.0,93.3,9.0,12.0,75.0,0.0,1.0,11.0,1.0,0.0,49.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,1.0,2.0,4.0,1.0,0.0,0.0,22.0,30.0,12.0,4.0,59.0,0.0,0.0,0.0,175.0,64.0,2.0,0.0,0.0,1.0,32.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,3.9,0.7,2.0,2.0,167.0
Yohan Cabaye,FRA,31,64.0,0,1,0,0,3,1,0,0,44.0,1.0,5,2.0,0.2,0.2,0.5,3.0,1.0,23.0,29.0,79.3,5.0,13.0,0.0,1.0,0.0,510.0,205.0,7.0,7.0,100.0,8.0,9.0,88.9,7.0,12.0,58.3,0.7,2.0,3.0,1.0,0.0,23.0,6.0,2.0,0.0,0.0,6,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,12.0,14.0,18.0,5.0,44.0,0.0,1.0,100.0,55.0,32.0,0.0,0.0,1.0,1.0,19.0,1.0,0,2,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2017-2018,CM,None,None,None,0.7111111111111111,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,43.59375,0.0,1.40625,0.0,0.0,4.21875,1.40625,0.0,0.0,61.875,1.40625,7.03125,2.8125,0.28125,0.28125,0.703125,4.21875,1.40625,32.34375,40.78125,111.51562499999999,7.03125,18.28125,0.0,1.40625,0.0,717.1875,288.28125,9.84375,9.84375,140.625,11.25,12.65625,125.015625,9.84375,16.875,81.98437499999999,0.9843749999999999,2.8125,4.21875,1.40625,0.0,32.34375,8.4375,2.8125,0.0,0.0,8.4375,0.0,5.625,2.8125,2.8125,0.0,0.0,0.0,0.0,1.40625,0.0,0.0,0.0,2.8125,0.0,2.8125,1.40625,1.40625,8.4375,1.40625,0.0,1.40625,16.875,19.6875,25.3125,7.03125,61.875,0.0,1.40625,140.625,77.34375,45.0,0.0,0.0,1.40625,1.40625,26.71875,1.40625,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,4.21875,0.0,0.0,0.0,1.0,5.484375,0.9843749999999999,2.8125,2.8125,234.84375
James McArthur,SCO,30,26.0,0,0,0,0,0,0,1,0,16.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,9.0,12.0,75.0,0.0,4.0,0.0,0.0,0.0,147.0,1.0,2.0,3.0,66.7,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,3.0,8.0,0.0,16.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0,1,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2017-2018,CM,None,None,None,0.28888888888888886,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,103.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.0,55.38461538461539,3.4615384615384617,3.4615384615384617,3.4615384615384617,0.0,0.0,0.0,3.4615384615384617,0.0,31.153846153846157,41.53846153846154,259.61538461538464,0.0,13.846153846153847,0.0,0.0,0.0,508.84615384615387,3.4615384615384617,6.923076923076923,10.384615384615385,230.88461538461542,17.30769230769231,20.76923076923077,288.34615384615387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.07692307692308,3.4615384615384617,0.0,0.0,0.0,0.0,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.0,3.4615384615384617,0.0,0.0,3.4615384615384617,3.4615384615384617,346.1538461538462,0.0,0.0,3.4615384615384617,6.923076923076923,0.0,0.0,3.4615384615384617,17.30769230769231,10.384615384615385,27.692307692307693,0.0,55.38461538461539,0.0,0.0,0.0,31.153846153846157,3.4615384615384617,3.4615384615384617,0.0,0.0,0.0,17.30769230769231,0.0,0.0,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,3.4615384615384617,0.0,346.1538461538462,1.0,13.500000000000002,2.4230769230769234,6.923076923076923,6.923076923076923,578.0769230769231
Andros Townsend,ENG,26,77.0,0,0,0,0,3,1,0,0,42.0,2.0,1,2.0,0.1,0.1,0.3,3.0,0.0,21.0,32.0,65.6,4.0,21.0,2.0,0.0,0.0,421.0,196.0,10.0,12.0,83.3,6.0,10.0,60.0,5.0,6.0,83.3,0.5,2.0,5.0,1.0,0.0,28.0,4.0,2.0,0.0,0.0,5,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,6.0,16.0,21.0,6.0,42.0,0.0,0.0,0.0,126.0,68.0,2.0,0.0,1.0,0.0,24.0,4.0,0,0,2,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,2017-2018,RM,None,None,None,0.8555555555555555,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,30.38961038961039,0.0,0.0,0.0,0.0,3.5064935064935066,1.168831168831169,0.0,0.0,49.09090909090909,2.337662337662338,1.168831168831169,2.337662337662338,0.1168831168831169,0.1168831168831169,0.35064935064935066,3.5064935064935066,0.0,24.545454545454547,37.40259740259741,76.67532467532467,4.675324675324676,24.545454545454547,2.337662337662338,0.0,0.0,492.0779220779221,229.0909090909091,11.688311688311689,14.025974025974026,97.36363636363636,7.012987012987013,11.688311688311689,70.12987012987013,5.8441558441558445,7.012987012987013,97.36363636363636,0.5844155844155845,2.337662337662338,5.8441558441558445,1.168831168831169,0.0,32.72727272727273,4.675324675324676,2.337662337662338,0.0,0.0,5.8441558441558445,2.337662337662338,0.0,0.0,0.0,0.0,0.0,4.675324675324676,0.0,0.0,0.0,2.337662337662338,0.0,0.0,0.0,0.0,0.0,2.337662337662338,3.5064935064935066,1.168831168831169,0.0,0.0,7.012987012987013,18.701298701298704,24.545454545454547,7.012987012987013,49.09090909090909,0.0,0.0,0.0,147.27272727272728,79.48051948051949,2.337662337662338,0.0,1.168831168831169,0.0,28.051948051948052,4.675324675324676,0.0,0.0,2.337662337662338,0.0,0.0,0.0,0.0,4.675324675324676,0.0,0.0,0.0,1.0,4.558441558441559,0.8181818181818181,2.337662337662338,2.337662337662338,195.1948051948052
Bakary Sako,MLI,29,13.0,0,0,0,0,0,0,0,0,11.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,3.0,7.0,2.0,0.0,0.0,166.0,43.0,0.0,0.0,0.0,1.0,1.0,100.0,3.0,7.0,42.9,0.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,4,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,6.0,0.0,11.0,0.0,0.0,0.0,91.0,62.0,1.0,0.0,2.0,0.0,6.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2017-2018,RM,None,None,None,0.14444444444444443,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,200.7692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.15384615384616,6.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.692307692307693,55.38461538461539,346.1538461538462,20.76923076923077,48.46153846153847,13.846153846153847,0.0,0.0,1149.2307692307693,297.69230769230774,0.0,0.0,0.0,6.923076923076923,6.923076923076923,692.3076923076924,20.76923076923077,48.46153846153847,297.0,0.0,0.0,13.846153846153847,0.0,0.0,34.61538461538462,20.76923076923077,6.923076923076923,0.0,13.846153846153847,27.692307692307693,0.0,13.846153846153847,0.0,13.846153846153847,0.0,0.0,0.0,6.923076923076923,6.923076923076923,0.0,0.0,6.923076923076923,13.846153846153847,346.1538461538462,6.923076923076923,0.0,0.0,6.923076923076923,0.0,0.0,6.923076923076923,13.846153846153847,20.76923076923077,41.53846153846154,0.0,76.15384615384616,0.0,0.0,0.0,630.0000000000001,429.2307692307693,6.923076923076923,0.0,13.846153846153847,0.0,41.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.846153846153847,0.0,0.0,0.0,1.0,27.000000000000004,4.846153846153847,13.846153846153847,13.846153846153847,1156.1538461538462
Jeffrey Schlupp,GHA,24,90.0,0,0,0,0,1,0,0,0,70.0,4.0,3,2.0,0.0,0.0,0.1,5.0,0.0,36.0,52.0,69.2,8.0,34.0,1.0,2.0,0.0,595.0,257.0,17.0,20.0,85.0,16.0,23.0,69.6,3.0,6.0,50.0,0.1,2.0,3.0,2.0,1.0,40.0,12.0,2.0,0.0,0.0,2,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3,3.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,1.0,7.0,2.0,0.0,5.0,23.0,27.0,20.0,1.0,70.0,0.0,2.0,100.0,143.0,69.0,1.0,1.0,2.0,2.0,25.0,3.0,0,0,0,0,0.0,0.0,0,11.0,2.0,1.0,66.7,True,2017-2018,LB,None,None,None,1.0,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,4.0,3.0,2.0,0.0,0.0,0.1,5.0,0.0,36.0,52.0,69.2,8.0,34.0,1.0,2.0,0.0,595.0,257.0,17.0,20.0,85.0,16.0,23.0,69.6,3.0,6.0,50.0,0.1,2.0,3.0,2.0,1.0,40.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,1.0,7.0,2.0,0.0,5.0,23.0,27.0,20.0,1.0,70.0,0.0,2.0,100.0,143.0,69.0,1.0,1.0,2.0,2.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7,1.0,3.9,0.7,2.0,2.0,167.0
Mamadou Sakho,FRA,27,24.0,0,0,0,0,1,0,0,0,16.0,1.0,0,0.0,0.5,0.5,0.0,0.0,0.0,12.0,13.0,92.3,0.0,9.0,0.0,0.0,0.0,199.0,71.0,5.0,5.0,100.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,3.0,3.0,16.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,0,0,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2017-2018,CB,None,None,None,0.26666666666666666,Bournemouth_Crystal_Palace,Bournemouth_Crystal_Palace_2017,3.9,0.7,2.0,2.0,2017-12-09,Kevin Friend,Selhurst Park,Sat,15:00,"24,823",167,draw,draw,101.25,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,60.0,3.75,0.0,0.0,1.875,1.875,0.0,0.0,0.0,45.0,48.75,346.125,0.0,33.75,0.0,0.0,0.0,746.25,266.25,18.75,18.75,375.0,26.25,26.25,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,0.0,3.75,3.75,375.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,37.5,11.25,11.25,11.25,60.0,0.0,0.0,0.0,67.5,22.5,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,3.75,0.0,375.0,1.0,14.625,2.625,7.5,7.5,626.25
