player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Aleksandar Mitrovic,SRB,27,89.0,1,0,0,0,8,5,0,0,39.0,1.0,0,1.0,1.3,1.3,0.0,5.0,1.0,14.0,21.0,66.7,0.0,18.0,0.0,0.0,0.0,189.0,32.0,10.0,14.0,71.4,2.0,3.0,66.7,2.0,2.0,100.0,0.2,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,16.0,19.0,11.0,39.0,0.0,0.0,0.0,65.0,5.0,0.0,0.0,6.0,4.0,32.0,5.0,0,0,0,4,0.0,0.0,0,4.0,6.0,7.0,46.2,True,Fulham,Brentford,3,2022-2023,FW,None,None,None,2022,0.9888888888888889,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,27.303370786516854,1.0112359550561798,0.0,0.0,0.0,8.089887640449438,5.056179775280898,0.0,0.0,39.43820224719101,1.0112359550561798,0.0,1.0112359550561798,1.3146067415730338,1.3146067415730338,0.0,5.056179775280898,1.0112359550561798,14.157303370786517,21.235955056179776,67.4494382022472,0.0,18.202247191011235,0.0,0.0,0.0,191.12359550561797,32.359550561797754,10.112359550561797,14.157303370786517,72.20224719101124,2.0224719101123596,3.033707865168539,67.4494382022472,2.0224719101123596,2.0224719101123596,101.12359550561797,0.20224719101123595,0.0,0.0,0.0,0.0,21.235955056179776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,0.0,0.0,1.0112359550561798,4.044943820224719,16.179775280898877,19.213483146067414,11.123595505617978,39.43820224719101,0.0,0.0,0.0,65.73033707865169,5.056179775280898,0.0,0.0,6.067415730337078,4.044943820224719,32.359550561797754,5.056179775280898,0.0,0.0,0.0,4.044943820224719,0.0,0.0,0.0,4.044943820224719,6.067415730337078,7.078651685393258,46.71910112359551,1.0,2.426966292134831,1.8202247191011236,3.033707865168539,2.0224719101123596,26.29213483146067
Shane Duffy,IRL,30,1.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,Fulham,Brentford,3,2022-2023,FW,None,None,None,2022,0.011111111111111112,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,9000.0,0.0,0.0,0.0,0.0,0.0,1800.0,810.0,180.0,180.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9000.0,1.0,215.99999999999997,162.0,270.0,180.0,2340.0
Bobby Reid,JAM,29,90.0,1,0,0,0,1,1,0,0,32.0,1.0,0,0.0,0.6,0.6,0.1,3.0,0.0,11.0,22.0,50.0,2.0,17.0,0.0,0.0,0.0,141.0,43.0,9.0,13.0,69.2,1.0,5.0,20.0,1.0,2.0,50.0,0.1,2.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,14.0,6.0,32.0,0.0,0.0,0.0,62.0,12.0,0.0,0.0,5.0,3.0,24.0,3.0,0,2,0,0,0.0,0.0,0,3.0,0.0,2.0,0.0,True,Fulham,Brentford,3,2022-2023,LW,None,None,None,2022,1.0,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,29.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.6,0.6,0.1,3.0,0.0,11.0,22.0,50.0,2.0,17.0,0.0,0.0,0.0,141.0,43.0,9.0,13.0,69.2,1.0,5.0,20.0,1.0,2.0,50.0,0.1,2.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,14.0,6.0,32.0,0.0,0.0,0.0,62.0,12.0,0.0,0.0,5.0,3.0,24.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.4,1.8,3.0,2.0,26.0
Jay Stansfield,ENG,19,76.0,0,0,0,0,2,0,0,0,28.0,0.0,1,4.0,0.3,0.3,0.1,4.0,1.0,8.0,17.0,47.1,0.0,9.0,1.0,0.0,0.0,73.0,22.0,6.0,7.0,85.7,1.0,7.0,14.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,5.0,13.0,11.0,5.0,28.0,0.0,0.0,0.0,64.0,24.0,2.0,0.0,2.0,2.0,19.0,2.0,0,0,1,0,0.0,0.0,0,6.0,0.0,1.0,0.0,True,Fulham,Brentford,3,2022-2023,RW,None,None,None,2022,0.8444444444444444,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,22.5,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,33.1578947368421,0.0,1.1842105263157894,4.7368421052631575,0.35526315789473684,0.35526315789473684,0.11842105263157895,4.7368421052631575,1.1842105263157894,9.473684210526315,20.13157894736842,55.776315789473685,0.0,10.657894736842104,1.1842105263157894,0.0,0.0,86.44736842105263,26.05263157894737,7.105263157894737,8.289473684210526,101.48684210526316,1.1842105263157894,8.289473684210526,16.93421052631579,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,20.13157894736842,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,2.3684210526315788,1.1842105263157894,3.5526315789473686,1.1842105263157894,1.1842105263157894,0.0,2.3684210526315788,5.921052631578948,15.394736842105264,13.026315789473685,5.921052631578948,33.1578947368421,0.0,0.0,0.0,75.78947368421052,28.42105263157895,2.3684210526315788,0.0,2.3684210526315788,2.3684210526315788,22.5,2.3684210526315788,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,7.105263157894737,0.0,1.1842105263157894,0.0,1.0,2.8421052631578947,2.1315789473684212,3.5526315789473686,2.3684210526315788,30.789473684210527
Tom Cairney,SCO,31,14.0,0,0,0,0,0,0,0,0,16.0,0.0,0,1.0,0.0,0.0,0.2,1.0,0.0,10.0,14.0,71.4,2.0,9.0,2.0,1.0,0.0,204.0,84.0,6.0,7.0,85.7,1.0,3.0,33.3,3.0,4.0,75.0,0.0,1.0,2.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,0.0,16.0,0.0,0.0,0.0,72.0,34.0,1.0,0.0,0.0,0.0,13.0,3.0,0,0,1,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,Fulham,Brentford,3,2022-2023,RW,None,None,None,2022,0.15555555555555556,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,199.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.85714285714286,0.0,0.0,6.428571428571429,0.0,0.0,1.2857142857142858,6.428571428571429,0.0,64.28571428571428,90.0,459.00000000000006,12.857142857142858,57.857142857142854,12.857142857142858,6.428571428571429,0.0,1311.4285714285713,540.0,38.57142857142857,45.0,550.9285714285714,6.428571428571429,19.285714285714285,214.07142857142856,19.285714285714285,25.714285714285715,482.1428571428571,0.0,6.428571428571429,12.857142857142858,6.428571428571429,0.0,90.0,0.0,0.0,0.0,6.428571428571429,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,19.285714285714285,57.857142857142854,25.714285714285715,0.0,102.85714285714286,0.0,0.0,0.0,462.85714285714283,218.57142857142856,6.428571428571429,0.0,0.0,0.0,83.57142857142857,19.285714285714285,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,12.857142857142858,6.428571428571429,0.0,642.8571428571429,1.0,15.428571428571427,11.571428571428571,19.285714285714285,12.857142857142858,167.14285714285714
Andreas Pereira,BRA,26,90.0,0,1,0,0,3,2,0,0,42.0,2.0,1,0.0,0.2,0.2,0.4,8.0,1.0,27.0,35.0,77.1,5.0,21.0,5.0,1.0,1.0,565.0,183.0,13.0,14.0,92.9,8.0,8.0,100.0,6.0,11.0,54.5,0.2,4.0,5.0,1.0,0.0,24.0,10.0,2.0,0.0,0.0,7,0.0,5.0,1.0,4.0,0.0,1.0,0.0,2,0.0,1.0,1.0,2.0,3.0,66.7,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,24.0,17.0,2.0,42.0,100.0,0.0,0.0,206.0,135.0,3.0,1.0,1.0,1.0,23.0,2.0,0,2,1,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,Fulham,Brentford,3,2022-2023,AM,None,None,None,2022,1.0,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,26.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,42.0,2.0,1.0,0.0,0.2,0.2,0.4,8.0,1.0,27.0,35.0,77.1,5.0,21.0,5.0,1.0,1.0,565.0,183.0,13.0,14.0,92.9,8.0,8.0,100.0,6.0,11.0,54.5,0.2,4.0,5.0,1.0,0.0,24.0,10.0,2.0,0.0,0.0,7.0,0.0,5.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,66.7,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,24.0,17.0,2.0,42.0,100.0,0.0,0.0,206.0,135.0,3.0,1.0,1.0,1.0,23.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.4,1.8,3.0,2.0,26.0
Joao Palhinha,POR,27,90.0,1,0,0,0,1,1,1,0,34.0,4.0,1,0.0,0.1,0.1,0.0,0.0,0.0,14.0,23.0,60.9,0.0,11.0,2.0,1.0,1.0,208.0,96.0,9.0,15.0,60.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,5.0,3.0,0.0,2.0,11.0,18.0,6.0,1.0,34.0,100.0,0.0,0.0,85.0,50.0,1.0,0.0,1.0,0.0,17.0,1.0,0,1,3,0,0.0,0.0,0,4.0,3.0,2.0,60.0,True,Fulham,Brentford,3,2022-2023,DM,None,None,None,2022,1.0,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,27.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,34.0,4.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,14.0,23.0,60.9,0.0,11.0,2.0,1.0,1.0,208.0,96.0,9.0,15.0,60.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,5.0,3.0,0.0,2.0,11.0,18.0,6.0,1.0,34.0,100.0,0.0,0.0,85.0,50.0,1.0,0.0,1.0,0.0,17.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,60.0,1.0,2.4,1.8,3.0,2.0,26.0
Harrison Reed,ENG,27,90.0,0,0,0,0,3,0,0,0,40.0,0.0,2,0.0,0.2,0.2,0.0,1.0,1.0,23.0,32.0,71.9,1.0,16.0,0.0,0.0,0.0,349.0,134.0,10.0,13.0,76.9,6.0,6.0,100.0,2.0,4.0,50.0,0.0,0.0,1.0,2.0,1.0,31.0,1.0,0.0,0.0,0.0,4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,19.0,14.0,1.0,40.0,0.0,0.0,0.0,79.0,29.0,1.0,0.0,0.0,0.0,25.0,1.0,0,2,0,0,0.0,0.0,0,4.0,0.0,4.0,0.0,True,Fulham,Brentford,3,2022-2023,DM,None,None,None,2022,1.0,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,27.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,40.0,0.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,23.0,32.0,71.9,1.0,16.0,0.0,0.0,0.0,349.0,134.0,10.0,13.0,76.9,6.0,6.0,100.0,2.0,4.0,50.0,0.0,0.0,1.0,2.0,1.0,31.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,19.0,14.0,1.0,40.0,0.0,0.0,0.0,79.0,29.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,2.4,1.8,3.0,2.0,26.0
Antonee Robinson,USA,25,90.0,0,0,0,0,0,0,0,0,33.0,0.0,1,0.0,0.0,0.0,0.1,2.0,0.0,17.0,27.0,63.0,4.0,12.0,2.0,2.0,1.0,301.0,179.0,8.0,10.0,80.0,7.0,11.0,63.6,2.0,6.0,33.3,0.0,2.0,2.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,12.0,13.0,9.0,0.0,33.0,50.0,1.0,50.0,73.0,44.0,3.0,0.0,1.0,0.0,18.0,0.0,0,1,0,1,0.0,0.0,0,4.0,2.0,1.0,66.7,True,Fulham,Brentford,3,2022-2023,LB,None,None,None,2022,1.0,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,17.0,27.0,63.0,4.0,12.0,2.0,2.0,1.0,301.0,179.0,8.0,10.0,80.0,7.0,11.0,63.6,2.0,6.0,33.3,0.0,2.0,2.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,12.0,13.0,9.0,0.0,33.0,50.0,1.0,50.0,73.0,44.0,3.0,0.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7,1.0,2.4,1.8,3.0,2.0,26.0
Tim Ream,USA,34,90.0,0,0,0,0,0,0,0,0,44.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,25.0,35.0,71.4,1.0,17.0,1.0,0.0,0.0,516.0,238.0,7.0,7.0,100.0,15.0,18.0,83.3,2.0,9.0,22.2,0.0,0.0,3.0,0.0,0.0,34.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,24.0,20.0,1.0,1.0,44.0,0.0,0.0,0.0,95.0,65.0,0.0,0.0,2.0,0.0,21.0,0.0,0,0,0,0,0.0,0.0,0,4.0,2.0,0.0,100.0,True,Fulham,Brentford,3,2022-2023,CB,None,None,None,2022,1.0,Brentford_Fulham,Brentford_Fulham_2022,Fulham,Brentford,2022,3,Fulham,2.4,1.8,Brentford,3.0,2.0,2022-08-20,Peter Bankes,Craven Cottage,Sat,15:00,"21,798",26,Fulham,Brentford,Fulham,Brentford,Brentford_Fulham,Brentford_Fulham_2022,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,35.0,71.4,1.0,17.0,1.0,0.0,0.0,516.0,238.0,7.0,7.0,100.0,15.0,18.0,83.3,2.0,9.0,22.2,0.0,0.0,3.0,0.0,0.0,34.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,24.0,20.0,1.0,1.0,44.0,0.0,0.0,0.0,95.0,65.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0,1.0,2.4,1.8,3.0,2.0,26.0
