player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Glenn Murray,ENG,34,90.0,0,0,0,0,0,0,1,0,31.0,2.0,0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,22.0,45.5,0.0,19.0,3.0,3.0,1.0,71.0,15.0,7.0,12.0,58.3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,15.0,14.0,5.0,31.0,33.3,2.0,66.7,119.0,18.0,0.0,2.0,4.0,1.0,27.0,11.0,0,3,3,2,0.0,0.0,0,3.0,3.0,4.0,42.9,True,2017-2018,FW,None,None,None,1.0,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,22.0,45.5,0.0,19.0,3.0,3.0,1.0,71.0,15.0,7.0,12.0,58.3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,15.0,14.0,5.0,31.0,33.3,2.0,66.7,119.0,18.0,0.0,2.0,4.0,1.0,27.0,11.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,42.9,1.0,0.5,1.0,2.0,2.0,130.0
Pascal Gross,GER,26,83.0,1,0,0,0,2,1,0,0,51.0,0.0,0,0.0,0.1,0.1,0.1,3.0,0.0,36.0,45.0,80.0,5.0,26.0,2.0,0.0,0.0,579.0,168.0,24.0,26.0,92.3,4.0,4.0,100.0,5.0,10.0,50.0,0.1,1.0,4.0,1.0,0.0,39.0,5.0,2.0,0.0,0.0,6,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,31.0,2.0,51.0,0.0,0.0,0.0,110.0,41.0,2.0,0.0,4.0,1.0,35.0,10.0,0,2,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,True,2017-2018,FW,None,None,None,0.9222222222222223,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,28.19277108433735,1.0843373493975903,0.0,0.0,0.0,2.1686746987951806,1.0843373493975903,0.0,0.0,55.3012048192771,0.0,0.0,0.0,0.10843373493975904,0.10843373493975904,0.10843373493975904,3.2530120481927707,0.0,39.03614457831325,48.795180722891565,86.74698795180723,5.421686746987952,28.19277108433735,2.1686746987951806,0.0,0.0,627.8313253012047,182.16867469879517,26.024096385542165,28.19277108433735,100.08433734939759,4.337349397590361,4.337349397590361,108.43373493975903,5.421686746987952,10.843373493975903,54.21686746987952,0.10843373493975904,1.0843373493975903,4.337349397590361,1.0843373493975903,0.0,42.28915662650602,5.421686746987952,2.1686746987951806,0.0,0.0,6.506024096385541,0.0,3.2530120481927707,1.0843373493975903,2.1686746987951806,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,2.1686746987951806,0.0,2.1686746987951806,0.0,0.0,0.0,0.0,0.0,0.0,4.337349397590361,17.349397590361445,33.614457831325296,2.1686746987951806,55.3012048192771,0.0,0.0,0.0,119.27710843373494,44.4578313253012,2.1686746987951806,0.0,4.337349397590361,1.0843373493975903,37.95180722891566,10.843373493975903,0.0,2.1686746987951806,0.0,0.0,0.0,0.0,0.0,2.1686746987951806,0.0,2.1686746987951806,0.0,1.0,0.5421686746987951,1.0843373493975903,2.1686746987951806,2.1686746987951806,140.96385542168673
Izzy Brown,ENG,20,7.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,66.7,0.0,3.0,0.0,0.0,0.0,66.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2017-2018,FW,None,None,None,0.07777777777777778,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,257.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,51.42857142857143,77.14285714285714,857.5714285714286,0.0,38.57142857142857,0.0,0.0,0.0,848.5714285714286,0.0,25.714285714285715,25.714285714285715,1285.7142857142858,12.857142857142858,12.857142857142858,1285.7142857142858,12.857142857142858,12.857142857142858,1285.7142857142858,0.0,0.0,0.0,0.0,0.0,77.14285714285714,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57142857142857,38.57142857142857,12.857142857142858,77.14285714285714,0.0,0.0,0.0,141.42857142857142,0.0,0.0,0.0,0.0,0.0,51.42857142857143,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.428571428571429,12.857142857142858,25.714285714285715,25.714285714285715,1671.4285714285713
Jose Izquierdo,COL,25,73.0,1,0,0,0,3,1,0,0,30.0,0.0,0,0.0,0.3,0.3,0.0,2.0,0.0,18.0,25.0,72.0,3.0,24.0,5.0,2.0,2.0,204.0,63.0,13.0,16.0,81.3,5.0,6.0,83.3,0.0,2.0,0.0,0.2,1.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,7.0,17.0,5.0,30.0,100.0,0.0,0.0,187.0,110.0,2.0,2.0,0.0,0.0,22.0,6.0,0,1,1,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,2017-2018,LM,None,None,None,0.8111111111111111,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,30.82191780821918,1.2328767123287672,0.0,0.0,0.0,3.6986301369863015,1.2328767123287672,0.0,0.0,36.986301369863014,0.0,0.0,0.0,0.3698630136986301,0.3698630136986301,0.0,2.4657534246575343,0.0,22.191780821917806,30.82191780821918,88.76712328767123,3.6986301369863015,29.589041095890412,6.164383561643835,2.4657534246575343,2.4657534246575343,251.50684931506848,77.67123287671232,16.027397260273972,19.726027397260275,100.23287671232876,6.164383561643835,7.397260273972603,102.6986301369863,0.0,2.4657534246575343,0.0,0.24657534246575344,1.2328767123287672,1.2328767123287672,1.2328767123287672,0.0,30.82191780821918,0.0,0.0,0.0,0.0,3.6986301369863015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4657534246575343,0.0,1.2328767123287672,7.397260273972603,8.63013698630137,20.958904109589042,6.164383561643835,36.986301369863014,123.28767123287672,0.0,0.0,230.54794520547944,135.6164383561644,2.4657534246575343,2.4657534246575343,0.0,0.0,27.123287671232877,7.397260273972603,0.0,1.2328767123287672,1.2328767123287672,0.0,0.0,0.0,0.0,4.931506849315069,0.0,1.2328767123287672,0.0,1.0,0.6164383561643836,1.2328767123287672,2.4657534246575343,2.4657534246575343,160.27397260273972
Solly March,ENG,23,17.0,0,0,0,0,0,0,0,0,14.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,50.0,0.0,6.0,1.0,1.0,0.0,39.0,5.0,3.0,5.0,60.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,3.0,7.0,0.0,14.0,0.0,1.0,100.0,44.0,31.0,0.0,1.0,0.0,1.0,7.0,1.0,0,2,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,True,2017-2018,LM,None,None,None,0.18888888888888888,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,121.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.11764705882354,0.0,5.294117647058823,5.294117647058823,0.0,0.0,0.0,5.294117647058823,0.0,21.176470588235293,42.35294117647059,264.70588235294116,0.0,31.764705882352942,5.294117647058823,5.294117647058823,0.0,206.47058823529412,26.47058823529412,15.882352941176471,26.47058823529412,317.6470588235294,5.294117647058823,5.294117647058823,529.4117647058823,0.0,10.588235294117647,0.0,0.0,5.294117647058823,0.0,0.0,0.0,31.764705882352942,10.588235294117647,0.0,0.0,0.0,10.588235294117647,0.0,10.588235294117647,5.294117647058823,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,5.294117647058823,10.588235294117647,0.0,10.588235294117647,26.47058823529412,15.882352941176471,37.05882352941177,0.0,74.11764705882354,0.0,5.294117647058823,529.4117647058823,232.94117647058823,164.11764705882354,0.0,5.294117647058823,0.0,5.294117647058823,37.05882352941177,5.294117647058823,0.0,10.588235294117647,0.0,0.0,0.0,0.0,0.0,10.588235294117647,0.0,10.588235294117647,0.0,1.0,2.6470588235294117,5.294117647058823,10.588235294117647,10.588235294117647,688.2352941176471
Davy Propper,NED,26,90.0,0,1,0,0,2,1,0,0,77.0,0.0,1,1.0,0.1,0.1,0.2,5.0,2.0,55.0,67.0,82.1,12.0,48.0,1.0,7.0,6.0,997.0,296.0,20.0,22.0,90.9,27.0,31.0,87.1,6.0,9.0,66.7,0.1,2.0,8.0,1.0,1.0,66.0,1.0,1.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,14.0,57.0,7.0,1.0,77.0,85.7,1.0,14.3,239.0,89.0,1.0,0.0,1.0,1.0,51.0,1.0,0,1,0,0,0.0,0.0,0,11.0,0.0,0.0,0.0,True,2017-2018,CM,None,None,None,1.0,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,26.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,77.0,0.0,1.0,1.0,0.1,0.1,0.2,5.0,2.0,55.0,67.0,82.1,12.0,48.0,1.0,7.0,6.0,997.0,296.0,20.0,22.0,90.9,27.0,31.0,87.1,6.0,9.0,66.7,0.1,2.0,8.0,1.0,1.0,66.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,14.0,57.0,7.0,1.0,77.0,85.7,1.0,14.3,239.0,89.0,1.0,0.0,1.0,1.0,51.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,2.0,130.0
Dale Stephens,ENG,28,90.0,0,0,0,0,1,0,0,0,94.0,2.0,3,0.0,0.0,0.0,0.0,1.0,0.0,71.0,86.0,82.6,15.0,59.0,4.0,0.0,0.0,1541.0,517.0,23.0,24.0,95.8,35.0,41.0,85.4,13.0,19.0,68.4,0.1,0.0,14.0,0.0,0.0,82.0,3.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,3.0,18.0,62.0,14.0,0.0,94.0,0.0,0.0,0.0,425.0,283.0,7.0,0.0,2.0,0.0,69.0,0.0,0,0,0,0,0.0,0.0,0,7.0,0.0,1.0,0.0,True,2017-2018,CM,None,None,None,1.0,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,86.0,82.6,15.0,59.0,4.0,0.0,0.0,1541.0,517.0,23.0,24.0,95.8,35.0,41.0,85.4,13.0,19.0,68.4,0.1,0.0,14.0,0.0,0.0,82.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,3.0,18.0,62.0,14.0,0.0,94.0,0.0,0.0,0.0,425.0,283.0,7.0,0.0,2.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.5,1.0,2.0,2.0,130.0
Anthony Knockaert,FRA,26,83.0,0,0,0,0,0,0,0,0,33.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,23.0,27.0,85.2,1.0,21.0,2.0,2.0,1.0,360.0,58.0,15.0,17.0,88.2,5.0,5.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0.0,1.0,1.0,1.0,7.0,14.3,6.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,15.0,13.0,1.0,33.0,50.0,1.0,50.0,127.0,66.0,0.0,1.0,1.0,1.0,24.0,4.0,0,0,1,1,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2017-2018,RM,None,None,None,0.9222222222222223,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,28.19277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.78313253012048,2.1686746987951806,2.1686746987951806,1.0843373493975903,0.0,0.0,0.0,1.0843373493975903,0.0,24.939759036144576,29.277108433734938,92.38554216867469,1.0843373493975903,22.771084337349397,2.1686746987951806,2.1686746987951806,1.0843373493975903,390.3614457831325,62.891566265060234,16.265060240963855,18.433734939759034,95.63855421686746,5.421686746987952,5.421686746987952,108.43373493975903,2.1686746987951806,3.2530120481927707,72.32530120481928,0.0,0.0,0.0,0.0,0.0,27.10843373493976,2.1686746987951806,1.0843373493975903,1.0843373493975903,0.0,1.0843373493975903,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,0.0,2.1686746987951806,0.0,1.0843373493975903,1.0843373493975903,1.0843373493975903,7.590361445783132,15.506024096385541,6.506024096385541,0.0,1.0843373493975903,4.337349397590361,0.0,0.0,0.0,6.506024096385541,16.265060240963855,14.096385542168674,1.0843373493975903,35.78313253012048,54.21686746987952,1.0843373493975903,54.21686746987952,137.71084337349396,71.56626506024097,0.0,1.0843373493975903,1.0843373493975903,1.0843373493975903,26.024096385542165,4.337349397590361,0.0,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,2.1686746987951806,0.0,0.0,0.0,1.0,0.5421686746987951,1.0843373493975903,2.1686746987951806,2.1686746987951806,140.96385542168673
Ezequiel Schelotto,ITA,28,7.0,0,0,0,0,1,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,100.0,0.0,0.0,15.0,11.0,0.0,1.0,0.0,0.0,3.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2017-2018,RM,None,None,None,0.07777777777777778,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,360.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,64.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,38.57142857142857,428.1428571428571,0.0,25.714285714285715,12.857142857142858,12.857142857142858,12.857142857142858,257.1428571428571,0.0,0.0,0.0,0.0,12.857142857142858,25.714285714285715,642.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57142857142857,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,38.57142857142857,12.857142857142858,64.28571428571428,1285.7142857142858,0.0,0.0,192.85714285714286,141.42857142857142,0.0,12.857142857142858,0.0,0.0,38.57142857142857,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,1.0,6.428571428571429,12.857142857142858,25.714285714285715,25.714285714285715,1671.4285714285713
Gaetan Bong,CMR,29,90.0,0,0,0,0,0,0,0,0,59.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,34.0,51.0,66.7,4.0,31.0,2.0,0.0,0.0,511.0,184.0,18.0,25.0,72.0,11.0,14.0,78.6,3.0,8.0,37.5,0.0,0.0,2.0,0.0,0.0,43.0,8.0,0.0,0.0,0.0,2,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,5.0,19.0,29.0,13.0,0.0,59.0,0.0,0.0,0.0,170.0,107.0,2.0,0.0,1.0,0.0,30.0,6.0,0,2,0,0,0.0,0.0,0,6.0,2.0,1.0,66.7,True,2017-2018,LB,None,None,None,1.0,Brighton_Stoke_City,Brighton_Stoke_City_2017,0.5,1.0,2.0,2.0,2017-11-20,Lee Mason,The American Express Community Stadium,Mon,20:00,"29,676",130,draw,draw,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,51.0,66.7,4.0,31.0,2.0,0.0,0.0,511.0,184.0,18.0,25.0,72.0,11.0,14.0,78.6,3.0,8.0,37.5,0.0,0.0,2.0,0.0,0.0,43.0,8.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,5.0,19.0,29.0,13.0,0.0,59.0,0.0,0.0,0.0,170.0,107.0,2.0,0.0,1.0,0.0,30.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7,1.0,0.5,1.0,2.0,2.0,130.0
