player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Eden Hazard,BEL,26,72.0,0,0,0,0,1,0,0,0,54.0,0.0,0,0.0,0.1,0.1,0.1,7.0,2.0,37.0,49.0,75.5,5.0,42.0,5.0,9.0,7.0,585.0,158.0,21.0,25.0,84.0,10.0,11.0,90.9,4.0,7.0,57.1,0.1,2.0,2.0,2.0,0.0,43.0,4.0,3.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,36.0,6.0,54.0,77.8,2.0,22.2,270.0,113.0,1.0,1.0,2.0,1.0,49.0,12.0,0,0,3,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2017-2018,FW,None,None,None,0.8,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,32.5,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.125,0.125,0.125,8.75,2.5,46.25,61.25,94.375,6.25,52.5,6.25,11.25,8.75,731.25,197.5,26.25,31.25,105.0,12.5,13.75,113.625,5.0,8.75,71.375,0.125,2.5,2.5,2.5,0.0,53.75,5.0,3.75,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,2.5,1.25,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,45.0,7.5,67.5,97.24999999999999,2.5,27.749999999999996,337.5,141.25,1.25,1.25,2.5,1.25,61.25,15.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.0,1.7499999999999998,0.625,1.25,0.0,238.75
Alvaro Morata,ESP,25,18.0,0,0,0,0,2,1,0,0,14.0,0.0,0,1.0,0.1,0.1,0.1,4.0,0.0,9.0,9.0,100.0,0.0,11.0,2.0,3.0,2.0,109.0,1.0,6.0,6.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,14.0,66.7,1.0,33.3,53.0,28.0,1.0,1.0,0.0,1.0,15.0,4.0,0,1,2,0,0.0,0.0,0,1.0,0.0,3.0,0.0,True,2017-2018,FW,None,None,None,0.2,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,125.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,70.0,0.0,0.0,5.0,0.5,0.5,0.5,20.0,0.0,45.0,45.0,500.0,0.0,55.0,10.0,15.0,10.0,545.0,5.0,30.0,30.0,500.0,10.0,10.0,500.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,15.0,70.0,333.5,5.0,166.49999999999997,265.0,140.0,5.0,5.0,0.0,5.0,75.0,20.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,1.0,6.999999999999999,2.5,5.0,0.0,955.0
Pedro,ESP,30,67.0,0,0,0,0,1,0,0,0,30.0,2.0,0,1.0,0.1,0.1,0.1,3.0,0.0,20.0,28.0,71.4,4.0,21.0,6.0,4.0,4.0,269.0,91.0,11.0,14.0,78.6,5.0,6.0,83.3,1.0,3.0,33.3,0.1,1.0,1.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9.0,21.0,2.0,30.0,100.0,0.0,0.0,249.0,165.0,4.0,0.0,1.0,1.0,18.0,3.0,0,0,1,1,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2017-2018,AM,None,None,None,0.7444444444444445,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,40.298507462686565,0.0,0.0,0.0,0.0,1.3432835820895521,0.0,0.0,0.0,40.298507462686565,2.6865671641791042,0.0,1.3432835820895521,0.13432835820895522,0.13432835820895522,0.13432835820895522,4.029850746268656,0.0,26.865671641791042,37.61194029850746,95.91044776119404,5.3731343283582085,28.208955223880597,8.059701492537313,5.3731343283582085,5.3731343283582085,361.34328358208955,122.23880597014924,14.776119402985074,18.80597014925373,105.5820895522388,6.716417910447761,8.059701492537313,111.89552238805969,1.3432835820895521,4.029850746268656,44.731343283582085,0.13432835820895522,1.3432835820895521,1.3432835820895521,4.029850746268656,0.0,37.61194029850746,0.0,0.0,0.0,0.0,2.6865671641791042,0.0,0.0,0.0,0.0,0.0,0.0,2.6865671641791042,2.6865671641791042,0.0,1.3432835820895521,1.3432835820895521,0.0,0.0,0.0,0.0,0.0,1.3432835820895521,2.6865671641791042,0.0,0.0,0.0,2.6865671641791042,12.08955223880597,28.208955223880597,2.6865671641791042,40.298507462686565,134.32835820895522,0.0,0.0,334.4776119402985,221.6417910447761,5.3731343283582085,0.0,1.3432835820895521,1.3432835820895521,24.17910447761194,4.029850746268656,0.0,0.0,1.3432835820895521,1.3432835820895521,0.0,0.0,0.0,6.716417910447761,0.0,0.0,0.0,1.0,1.880597014925373,0.6716417910447761,1.3432835820895521,0.0,256.56716417910445
Cesc Fabregas,ESP,30,23.0,0,0,0,0,3,1,0,0,28.0,0.0,0,0.0,0.3,0.3,0.1,5.0,0.0,19.0,24.0,79.2,4.0,15.0,3.0,2.0,2.0,292.0,150.0,9.0,10.0,90.0,5.0,7.0,71.4,2.0,4.0,50.0,0.0,2.0,4.0,2.0,0.0,16.0,8.0,3.0,0.0,0.0,3,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,19.0,2.0,28.0,100.0,0.0,0.0,67.0,54.0,1.0,1.0,0.0,2.0,19.0,1.0,0,0,2,1,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2017-2018,AM,None,None,None,0.25555555555555554,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,117.3913043478261,0.0,0.0,0.0,0.0,11.73913043478261,3.91304347826087,0.0,0.0,109.56521739130436,0.0,0.0,0.0,1.173913043478261,1.173913043478261,0.39130434782608703,19.565217391304348,0.0,74.34782608695653,93.91304347826087,309.91304347826093,15.65217391304348,58.69565217391305,11.73913043478261,7.82608695652174,7.82608695652174,1142.608695652174,586.9565217391305,35.21739130434783,39.130434782608695,352.1739130434783,19.565217391304348,27.39130434782609,279.3913043478261,7.82608695652174,15.65217391304348,195.6521739130435,0.0,7.82608695652174,15.65217391304348,7.82608695652174,0.0,62.60869565217392,31.30434782608696,11.73913043478261,0.0,0.0,11.73913043478261,0.0,19.565217391304348,0.0,7.82608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,11.73913043478261,27.39130434782609,74.34782608695653,7.82608695652174,109.56521739130436,391.304347826087,0.0,0.0,262.1739130434783,211.30434782608697,3.91304347826087,3.91304347826087,0.0,7.82608695652174,74.34782608695653,3.91304347826087,0.0,0.0,7.82608695652174,3.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.478260869565218,1.956521739130435,3.91304347826087,0.0,747.3913043478261
Willian,BRA,29,90.0,0,0,0,0,4,0,0,0,78.0,1.0,1,1.0,0.2,0.2,0.4,13.0,0.0,42.0,57.0,73.7,6.0,55.0,10.0,14.0,7.0,615.0,104.0,27.0,31.0,87.1,12.0,16.0,75.0,2.0,3.0,66.7,0.1,6.0,2.0,2.0,0.0,53.0,4.0,1.0,0.0,0.0,3,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,18.0,56.0,9.0,78.0,50.0,7.0,50.0,444.0,220.0,4.0,2.0,3.0,0.0,64.0,15.0,0,1,3,1,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2017-2018,AM,None,None,None,1.0,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,78.0,1.0,1.0,1.0,0.2,0.2,0.4,13.0,0.0,42.0,57.0,73.7,6.0,55.0,10.0,14.0,7.0,615.0,104.0,27.0,31.0,87.1,12.0,16.0,75.0,2.0,3.0,66.7,0.1,6.0,2.0,2.0,0.0,53.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,18.0,56.0,9.0,78.0,50.0,7.0,50.0,444.0,220.0,4.0,2.0,3.0,0.0,64.0,15.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4,0.5,1.0,0.0,191.0
Tiemoue Bakayoko,FRA,23,90.0,0,0,0,0,3,1,0,0,67.0,1.0,0,1.0,0.2,0.2,0.1,3.0,0.0,57.0,59.0,96.6,9.0,54.0,0.0,3.0,3.0,888.0,216.0,33.0,35.0,94.3,19.0,19.0,100.0,4.0,4.0,100.0,0.1,2.0,10.0,2.0,0.0,59.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,10.0,32.0,27.0,1.0,67.0,100.0,0.0,0.0,227.0,108.0,2.0,0.0,2.0,0.0,56.0,3.0,0,3,1,0,0.0,0.0,0,8.0,0.0,0.0,0.0,True,2017-2018,CM,None,None,None,1.0,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,23.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,67.0,1.0,0.0,1.0,0.2,0.2,0.1,3.0,0.0,57.0,59.0,96.6,9.0,54.0,0.0,3.0,3.0,888.0,216.0,33.0,35.0,94.3,19.0,19.0,100.0,4.0,4.0,100.0,0.1,2.0,10.0,2.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,10.0,32.0,27.0,1.0,67.0,100.0,0.0,0.0,227.0,108.0,2.0,0.0,2.0,0.0,56.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.4,0.5,1.0,0.0,191.0
N'Golo Kante,FRA,26,90.0,0,0,0,0,1,1,0,0,68.0,4.0,1,2.0,0.1,0.1,0.0,1.0,0.0,50.0,56.0,89.3,9.0,44.0,1.0,1.0,1.0,845.0,229.0,24.0,27.0,88.9,20.0,21.0,95.2,5.0,6.0,83.3,0.1,1.0,6.0,1.0,0.0,55.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,2.0,0.0,1.0,3.0,33.3,2.0,0.0,2.0,5.0,2.0,0.0,2.0,13.0,42.0,14.0,1.0,68.0,100.0,0.0,0.0,229.0,138.0,0.0,0.0,1.0,1.0,53.0,1.0,0,0,1,0,0.0,0.0,0,11.0,0.0,1.0,0.0,True,2017-2018,CM,None,None,None,1.0,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,4.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,50.0,56.0,89.3,9.0,44.0,1.0,1.0,1.0,845.0,229.0,24.0,27.0,88.9,20.0,21.0,95.2,5.0,6.0,83.3,0.1,1.0,6.0,1.0,0.0,55.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,33.3,2.0,0.0,2.0,5.0,2.0,0.0,2.0,13.0,42.0,14.0,1.0,68.0,100.0,0.0,0.0,229.0,138.0,0.0,0.0,1.0,1.0,53.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,1.4,0.5,1.0,0.0,191.0
Marcos Alonso,ESP,26,90.0,1,0,0,0,6,3,1,0,75.0,1.0,1,0.0,0.3,0.3,0.1,4.0,0.0,52.0,60.0,86.7,5.0,40.0,2.0,1.0,1.0,838.0,254.0,24.0,27.0,88.9,24.0,25.0,96.0,2.0,4.0,50.0,0.1,2.0,5.0,1.0,0.0,51.0,9.0,0.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,16.0,19.0,40.0,7.0,75.0,100.0,0.0,0.0,209.0,132.0,1.0,1.0,0.0,1.0,48.0,7.0,0,1,0,0,0.0,0.0,0,3.0,2.0,2.0,50.0,True,2017-2018,WB,None,None,None,1.0,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,26.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,75.0,1.0,1.0,0.0,0.3,0.3,0.1,4.0,0.0,52.0,60.0,86.7,5.0,40.0,2.0,1.0,1.0,838.0,254.0,24.0,27.0,88.9,24.0,25.0,96.0,2.0,4.0,50.0,0.1,2.0,5.0,1.0,0.0,51.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,16.0,19.0,40.0,7.0,75.0,100.0,0.0,0.0,209.0,132.0,1.0,1.0,0.0,1.0,48.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0,1.0,1.4,0.5,1.0,0.0,191.0
Victor Moses,NGA,27,81.0,0,0,0,0,0,0,0,0,52.0,0.0,2,2.0,0.0,0.0,0.1,3.0,0.0,32.0,42.0,76.2,0.0,17.0,2.0,3.0,1.0,625.0,169.0,13.0,15.0,86.7,14.0,17.0,82.4,5.0,7.0,71.4,0.2,2.0,0.0,2.0,2.0,26.0,16.0,0.0,0.0,0.0,3,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,12.0,17.0,24.0,2.0,52.0,33.3,2.0,66.7,107.0,49.0,2.0,0.0,1.0,0.0,18.0,5.0,0,0,2,0,0.0,0.0,0,4.0,1.0,3.0,25.0,True,2017-2018,WB,None,None,None,0.9,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.77777777777778,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,0.11111111111111112,3.333333333333333,0.0,35.55555555555556,46.666666666666664,84.66666666666667,0.0,18.88888888888889,2.2222222222222223,3.333333333333333,1.1111111111111112,694.4444444444445,187.77777777777777,14.444444444444445,16.666666666666668,96.33333333333333,15.555555555555555,18.88888888888889,91.55555555555556,5.555555555555555,7.777777777777778,79.33333333333334,0.22222222222222224,2.2222222222222223,0.0,2.2222222222222223,2.2222222222222223,28.88888888888889,17.77777777777778,0.0,0.0,0.0,3.333333333333333,17.77777777777778,0.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,1.1111111111111112,0.0,0.0,13.333333333333332,18.88888888888889,26.666666666666664,2.2222222222222223,57.77777777777778,36.99999999999999,2.2222222222222223,74.11111111111111,118.88888888888889,54.44444444444444,2.2222222222222223,0.0,1.1111111111111112,0.0,20.0,5.555555555555555,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,4.444444444444445,1.1111111111111112,3.333333333333333,27.77777777777778,1.0,1.5555555555555554,0.5555555555555556,1.1111111111111112,0.0,212.22222222222223
Davide Zappacosta,ITA,25,9.0,0,0,0,0,0,0,0,0,9.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,2.0,0.0,0.0,0.0,66.0,50.0,2.0,2.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2017-2018,WB,None,None,None,0.1,Chelsea_Southampton,Chelsea_Southampton_2017,1.4,0.5,1.0,0.0,2017-12-16,Roger East,Stamford Bridge,Sat,15:00,"41,562",191,Chelsea,Southampton,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,667.0,0.0,20.0,0.0,0.0,0.0,660.0,500.0,20.0,20.0,1000.0,20.0,30.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,30.0,20.0,40.0,0.0,90.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1000.0,1.0,13.999999999999998,5.0,10.0,0.0,1910.0
