player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Dominic Calvert-Lewin,ENG,20,90.0,1,1,0,0,2,2,0,0,41.0,0.0,0,0.0,0.2,0.2,0.3,1.0,1.0,17.0,31.0,54.8,2.0,20.0,3.0,0.0,0.0,171.0,35.0,13.0,23.0,56.5,2.0,5.0,40.0,0.0,0.0,0.0,0.1,1.0,0.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,12.0,23.0,4.0,41.0,0.0,0.0,0.0,104.0,27.0,0.0,2.0,4.0,3.0,37.0,5.0,0,3,0,1,0.0,0.0,0,0.0,13.0,14.0,48.1,True,Everton,Huddersfield,15,2017-2018,FW,None,None,None,2017,1.0,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,20.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,41.0,0.0,0.0,0.0,0.2,0.2,0.3,1.0,1.0,17.0,31.0,54.8,2.0,20.0,3.0,0.0,0.0,171.0,35.0,13.0,23.0,56.5,2.0,5.0,40.0,0.0,0.0,0.0,0.1,1.0,0.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,12.0,23.0,4.0,41.0,0.0,0.0,0.0,104.0,27.0,0.0,2.0,4.0,3.0,37.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,14.0,48.1,1.0,0.7,0.3,2.0,0.0,159.0
Gylfi Sigurdsson,ISL,28,90.0,1,0,0,0,1,1,0,0,44.0,0.0,2,1.0,0.3,0.3,0.2,1.0,0.0,23.0,35.0,65.7,4.0,20.0,0.0,0.0,0.0,361.0,138.0,13.0,16.0,81.3,7.0,11.0,63.6,2.0,7.0,28.6,0.2,1.0,2.0,0.0,0.0,28.0,7.0,3.0,0.0,0.0,4,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,14.0,21.0,3.0,44.0,0.0,0.0,0.0,93.0,39.0,0.0,0.0,3.0,1.0,27.0,3.0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,Everton,Huddersfield,15,2017-2018,LM,LW,AM,None,2017,1.0,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,28.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,0.0,2.0,1.0,0.3,0.3,0.2,1.0,0.0,23.0,35.0,65.7,4.0,20.0,0.0,0.0,0.0,361.0,138.0,13.0,16.0,81.3,7.0,11.0,63.6,2.0,7.0,28.6,0.2,1.0,2.0,0.0,0.0,28.0,7.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,14.0,21.0,3.0,44.0,0.0,0.0,0.0,93.0,39.0,0.0,0.0,3.0,1.0,27.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7,0.3,2.0,0.0,159.0
Wayne Rooney,ENG,32,79.0,0,1,0,0,1,0,0,0,51.0,0.0,0,2.0,0.0,0.0,0.1,2.0,1.0,33.0,42.0,78.6,2.0,32.0,0.0,1.0,0.0,557.0,151.0,16.0,19.0,84.2,12.0,13.0,92.3,4.0,6.0,66.7,0.0,1.0,5.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,22.0,15.0,1.0,51.0,0.0,1.0,100.0,87.0,52.0,0.0,0.0,2.0,2.0,37.0,1.0,0,1,1,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Everton,Huddersfield,15,2017-2018,CM,AM,None,None,2017,0.8777777777777778,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,36.45569620253165,0.0,1.139240506329114,0.0,0.0,1.139240506329114,0.0,0.0,0.0,58.10126582278481,0.0,0.0,2.278481012658228,0.0,0.0,0.1139240506329114,2.278481012658228,1.139240506329114,37.59493670886076,47.848101265822784,89.54430379746834,2.278481012658228,36.45569620253165,0.0,1.139240506329114,0.0,634.5569620253165,172.0253164556962,18.227848101265824,21.645569620253166,95.9240506329114,13.670886075949367,14.810126582278482,105.15189873417721,4.556962025316456,6.8354430379746836,75.98734177215191,0.0,1.139240506329114,5.69620253164557,0.0,0.0,46.708860759493675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,2.278481012658228,0.0,0.0,0.0,0.0,0.0,1.139240506329114,0.0,1.139240506329114,0.0,2.278481012658228,0.0,0.0,0.0,0.0,15.949367088607595,25.063291139240505,17.088607594936708,1.139240506329114,58.10126582278481,0.0,1.139240506329114,113.92405063291139,99.11392405063292,59.24050632911393,0.0,0.0,2.278481012658228,2.278481012658228,42.151898734177216,1.139240506329114,0.0,1.139240506329114,1.139240506329114,0.0,0.0,0.0,0.0,6.8354430379746836,0.0,0.0,0.0,1.0,0.7974683544303797,0.34177215189873417,2.278481012658228,0.0,181.13924050632912
Michael Keane,ENG,24,11.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,3.0,0.0,0.0,0.0,62.0,12.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,16.0,13.0,1.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,Everton,Huddersfield,15,2017-2018,CB,AM,None,None,2017,0.12222222222222222,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,196.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.72727272727273,49.09090909090909,545.7272727272727,0.0,24.545454545454547,0.0,0.0,0.0,507.2727272727273,98.18181818181819,8.181818181818182,8.181818181818182,818.1818181818182,16.363636363636363,24.545454545454547,545.7272727272727,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,49.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,8.181818181818182,16.363636363636363,24.545454545454547,16.363636363636363,0.0,57.27272727272727,0.0,0.0,0.0,130.9090909090909,106.36363636363637,8.181818181818182,0.0,0.0,0.0,32.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,818.1818181818182,1.0,5.7272727272727275,2.4545454545454546,16.363636363636363,0.0,1300.909090909091
Tom Davies,ENG,19,65.0,0,0,0,0,0,0,1,0,34.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,29.0,72.4,2.0,19.0,0.0,0.0,0.0,227.0,58.0,12.0,13.0,92.3,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,0.0,3.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,16.0,16.0,0.0,34.0,0.0,0.0,0.0,73.0,31.0,1.0,0.0,2.0,1.0,26.0,4.0,0,1,4,0,0.0,0.0,0,1.0,2.0,2.0,50.0,True,Everton,Huddersfield,15,2017-2018,CM,None,None,None,2017,0.7222222222222222,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,26.307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,47.07692307692308,4.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.076923076923077,40.15384615384615,100.24615384615386,2.769230769230769,26.307692307692307,0.0,0.0,0.0,314.3076923076923,80.3076923076923,16.615384615384617,18.0,127.8,5.538461538461538,11.076923076923077,69.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,38.76923076923077,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,4.153846153846154,0.0,4.153846153846154,0.0,1.3846153846153846,4.153846153846154,46.107692307692304,2.769230769230769,0.0,0.0,4.153846153846154,0.0,0.0,0.0,2.769230769230769,22.153846153846153,22.153846153846153,0.0,47.07692307692308,0.0,0.0,0.0,101.07692307692308,42.92307692307693,1.3846153846153846,0.0,2.769230769230769,1.3846153846153846,36.0,5.538461538461538,0.0,1.3846153846153846,5.538461538461538,0.0,0.0,0.0,0.0,1.3846153846153846,2.769230769230769,2.769230769230769,69.23076923076923,1.0,0.9692307692307692,0.41538461538461535,2.769230769230769,0.0,220.15384615384616
Morgan Schneiderlin,FRA,28,25.0,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,6.0,0.0,0.0,0.0,89.0,29.0,5.0,5.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,Everton,Huddersfield,15,2017-2018,DM,CM,None,None,2017,0.2777777777777778,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,100.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,32.4,280.08,0.0,21.599999999999998,0.0,0.0,0.0,320.4,104.39999999999999,18.0,18.0,360.0,7.199999999999999,10.799999999999999,240.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999999999999,25.2,3.5999999999999996,0.0,36.0,0.0,0.0,0.0,79.2,10.799999999999999,0.0,0.0,3.5999999999999996,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999999999999,3.5999999999999996,3.5999999999999996,180.0,1.0,2.5199999999999996,1.0799999999999998,7.199999999999999,0.0,572.4
Aaron Lennon,ENG,30,70.0,0,0,0,0,0,0,0,0,23.0,4.0,1,1.0,0.0,0.0,0.1,2.0,1.0,6.0,9.0,66.7,0.0,11.0,2.0,4.0,0.0,63.0,12.0,5.0,7.0,71.4,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,5.0,2.0,0.0,0.0,5.0,3.0,15.0,1.0,23.0,0.0,4.0,100.0,66.0,45.0,0.0,1.0,1.0,2.0,11.0,2.0,0,1,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,Everton,Huddersfield,15,2017-2018,RM,None,None,None,2017,0.7777777777777778,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.57142857142857,5.142857142857142,1.2857142857142856,1.2857142857142856,0.0,0.0,0.1285714285714286,2.571428571428571,1.2857142857142856,7.714285714285714,11.571428571428571,85.75714285714285,0.0,14.142857142857142,2.571428571428571,5.142857142857142,0.0,81.0,15.428571428571429,6.428571428571429,9.0,91.80000000000001,1.2857142857142856,2.571428571428571,64.28571428571428,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,10.285714285714285,1.2857142857142856,0.0,0.0,0.0,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,3.857142857142857,1.2857142857142856,0.0,2.571428571428571,3.857142857142857,85.75714285714285,1.2857142857142856,0.0,1.2857142857142856,6.428571428571429,2.571428571428571,0.0,0.0,6.428571428571429,3.857142857142857,19.285714285714285,1.2857142857142856,29.57142857142857,0.0,5.142857142857142,128.57142857142856,84.85714285714286,57.857142857142854,0.0,1.2857142857142856,1.2857142857142856,2.571428571428571,14.142857142857142,2.571428571428571,0.0,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,1.0,0.8999999999999999,0.3857142857142857,2.571428571428571,0.0,204.42857142857142
Ademola Lookman,NGA,20,20.0,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,90.9,0.0,9.0,0.0,1.0,0.0,126.0,14.0,8.0,9.0,88.9,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,4.0,0.0,13.0,0.0,1.0,100.0,55.0,6.0,0.0,0.0,0.0,2.0,11.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Everton,Huddersfield,15,2017-2018,RW,AM,None,None,2017,0.2222222222222222,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,49.5,409.05000000000007,0.0,40.5,0.0,4.5,0.0,567.0,63.0,36.0,40.5,400.05000000000007,4.5,4.5,450.0,4.5,4.5,450.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,22.5,22.5,18.0,0.0,58.5,0.0,4.5,450.0,247.5,27.0,0.0,0.0,0.0,9.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,3.15,1.35,9.0,0.0,715.5
Idrissa Gana Gueye,SEN,28,90.0,0,0,0,0,0,0,0,0,58.0,3.0,3,0.0,0.0,0.0,0.0,1.0,1.0,37.0,43.0,86.0,2.0,24.0,0.0,2.0,1.0,587.0,89.0,17.0,19.0,89.5,10.0,11.0,90.9,5.0,5.0,100.0,0.0,0.0,5.0,0.0,0.0,41.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,6.0,6.0,0.0,3.0,15.0,35.0,8.0,0.0,58.0,50.0,1.0,50.0,84.0,16.0,1.0,0.0,1.0,1.0,27.0,1.0,0,1,2,0,0.0,0.0,0,9.0,4.0,1.0,80.0,True,Everton,Huddersfield,15,2017-2018,DM,CM,None,None,2017,1.0,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,43.0,86.0,2.0,24.0,0.0,2.0,1.0,587.0,89.0,17.0,19.0,89.5,10.0,11.0,90.9,5.0,5.0,100.0,0.0,0.0,5.0,0.0,0.0,41.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,6.0,6.0,0.0,3.0,15.0,35.0,8.0,0.0,58.0,50.0,1.0,50.0,84.0,16.0,1.0,0.0,1.0,1.0,27.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,80.0,1.0,0.7,0.3,2.0,0.0,159.0
Cuco Martina,CUW,28,90.0,0,0,0,0,1,1,0,0,57.0,1.0,3,2.0,0.0,0.0,0.0,1.0,0.0,29.0,41.0,70.7,1.0,15.0,0.0,2.0,1.0,525.0,249.0,12.0,13.0,92.3,14.0,17.0,82.4,3.0,11.0,27.3,0.0,0.0,1.0,0.0,0.0,28.0,13.0,0.0,0.0,1.0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,2.0,21.0,23.0,13.0,1.0,57.0,50.0,1.0,50.0,95.0,30.0,2.0,0.0,2.0,1.0,23.0,2.0,0,1,0,0,0.0,0.0,0,4.0,4.0,2.0,66.7,True,Everton,Huddersfield,15,2017-2018,LB,WB,None,None,2017,1.0,Everton_Huddersfield,Everton_Huddersfield_2017,Everton,Huddersfield,2017,15,Everton,0.7,0.3,Huddersfield,2.0,0.0,2017-12-02,Chris Kavanagh,Goodison Park,Sat,15:00,"39,167",159,Everton,Huddersfield,Everton,Huddersfield,Everton_Huddersfield,Everton_Huddersfield_2017,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,41.0,70.7,1.0,15.0,0.0,2.0,1.0,525.0,249.0,12.0,13.0,92.3,14.0,17.0,82.4,3.0,11.0,27.3,0.0,0.0,1.0,0.0,0.0,28.0,13.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,2.0,21.0,23.0,13.0,1.0,57.0,50.0,1.0,50.0,95.0,30.0,2.0,0.0,2.0,1.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,66.7,1.0,0.7,0.3,2.0,0.0,159.0
