player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Roberto Firmino,BRA,26,67.0,2,0,0,0,4,2,0,0,34.0,2.0,3,0.0,1.1,1.1,0.1,7.0,1.0,19.0,27.0,70.4,2.0,21.0,4.0,2.0,2.0,195.0,68.0,10.0,14.0,71.4,5.0,7.0,71.4,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,2.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,14.0,19.0,5.0,34.0,100.0,0.0,0.0,102.0,52.0,2.0,2.0,1.0,1.0,26.0,11.0,0,2,2,2,0.0,0.0,0,7.0,0.0,1.0,0.0,True,Liverpool,Swansea City,20,2017-2018,FW,None,None,None,2017,0.7444444444444445,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,34.92537313432836,2.6865671641791042,0.0,0.0,0.0,5.3731343283582085,2.6865671641791042,0.0,0.0,45.67164179104478,2.6865671641791042,4.029850746268656,0.0,1.4776119402985075,1.4776119402985075,0.13432835820895522,9.402985074626866,1.3432835820895521,25.52238805970149,36.26865671641791,94.56716417910448,2.6865671641791042,28.208955223880597,5.3731343283582085,2.6865671641791042,2.6865671641791042,261.94029850746267,91.34328358208955,13.432835820895521,18.80597014925373,95.91044776119404,6.716417910447761,9.402985074626866,95.91044776119404,0.0,0.0,0.0,0.0,2.6865671641791042,2.6865671641791042,0.0,0.0,33.582089552238806,2.6865671641791042,0.0,1.3432835820895521,0.0,0.0,1.3432835820895521,0.0,0.0,0.0,0.0,0.0,0.0,1.3432835820895521,0.0,2.6865671641791042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.716417910447761,0.0,0.0,0.0,1.3432835820895521,18.80597014925373,25.52238805970149,6.716417910447761,45.67164179104478,134.32835820895522,0.0,0.0,137.01492537313433,69.85074626865672,2.6865671641791042,2.6865671641791042,1.3432835820895521,1.3432835820895521,34.92537313432836,14.776119402985074,0.0,2.6865671641791042,2.6865671641791042,2.6865671641791042,0.0,0.0,0.0,9.402985074626866,0.0,1.3432835820895521,0.0,1.0,4.164179104477612,0.5373134328358209,6.716417910447761,0.0,290.14925373134326
Dominic Solanke,ENG,20,23.0,0,0,0,0,2,1,0,0,12.0,0.0,0,0.0,0.7,0.7,0.0,2.0,0.0,8.0,9.0,88.9,2.0,6.0,3.0,1.0,1.0,72.0,29.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,12.0,100.0,0.0,0.0,84.0,68.0,2.0,2.0,0.0,0.0,10.0,2.0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,True,Liverpool,Swansea City,20,2017-2018,FW,None,None,None,2017,0.25555555555555554,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,78.26086956521739,0.0,0.0,0.0,0.0,7.82608695652174,3.91304347826087,0.0,0.0,46.95652173913044,0.0,0.0,0.0,2.739130434782609,2.739130434782609,0.0,7.82608695652174,0.0,31.30434782608696,35.21739130434783,347.86956521739137,7.82608695652174,23.47826086956522,11.73913043478261,3.91304347826087,3.91304347826087,281.7391304347826,113.47826086956523,27.39130434782609,31.30434782608696,342.3913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,0.0,3.91304347826087,0.0,35.21739130434783,0.0,0.0,0.0,0.0,3.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65217391304348,35.21739130434783,15.65217391304348,46.95652173913044,391.304347826087,0.0,0.0,328.69565217391306,266.0869565217391,7.82608695652174,7.82608695652174,0.0,0.0,39.130434782608695,7.82608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,3.91304347826087,3.91304347826087,195.6521739130435,1.0,12.130434782608697,1.5652173913043481,19.565217391304348,0.0,845.2173913043479
Philippe Coutinho,BRA,25,90.0,1,1,0,0,4,1,0,0,51.0,1.0,1,1.0,0.3,0.3,0.5,10.0,3.0,28.0,44.0,63.6,6.0,33.0,5.0,6.0,5.0,410.0,160.0,14.0,17.0,82.4,13.0,15.0,86.7,0.0,6.0,0.0,0.4,5.0,1.0,3.0,0.0,36.0,7.0,4.0,1.0,1.0,2,0.0,3.0,1.0,1.0,0.0,1.0,3.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,18.0,30.0,3.0,51.0,83.3,1.0,16.7,236.0,123.0,4.0,1.0,0.0,2.0,37.0,11.0,0,0,3,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,Liverpool,Swansea City,20,2017-2018,LW,None,None,None,2017,1.0,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,25.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,51.0,1.0,1.0,1.0,0.3,0.3,0.5,10.0,3.0,28.0,44.0,63.6,6.0,33.0,5.0,6.0,5.0,410.0,160.0,14.0,17.0,82.4,13.0,15.0,86.7,0.0,6.0,0.0,0.4,5.0,1.0,3.0,0.0,36.0,7.0,4.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,18.0,30.0,3.0,51.0,83.3,1.0,16.7,236.0,123.0,4.0,1.0,0.0,2.0,37.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,3.1,0.4,5.0,0.0,216.0
Mohamed Salah,EGY,25,68.0,0,2,0,0,4,2,0,0,27.0,0.0,0,0.0,0.6,0.6,0.9,5.0,2.0,15.0,19.0,78.9,4.0,17.0,3.0,4.0,3.0,205.0,93.0,7.0,9.0,77.8,7.0,7.0,100.0,0.0,1.0,0.0,0.4,3.0,1.0,1.0,0.0,17.0,2.0,1.0,1.0,0.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,21.0,8.0,27.0,75.0,1.0,25.0,93.0,71.0,2.0,3.0,3.0,1.0,22.0,7.0,0,0,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,Liverpool,Swansea City,20,2017-2018,RW,None,None,None,2017,0.7555555555555555,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,33.088235294117645,0.0,2.6470588235294117,0.0,0.0,5.294117647058823,2.6470588235294117,0.0,0.0,35.73529411764706,0.0,0.0,0.0,0.7941176470588235,0.7941176470588235,1.1911764705882353,6.61764705882353,2.6470588235294117,19.852941176470587,25.147058823529413,104.4264705882353,5.294117647058823,22.5,3.9705882352941178,5.294117647058823,3.9705882352941178,271.3235294117647,123.08823529411765,9.264705882352942,11.911764705882353,102.97058823529412,9.264705882352942,9.264705882352942,132.35294117647058,0.0,1.3235294117647058,0.0,0.5294117647058824,3.9705882352941178,1.3235294117647058,1.3235294117647058,0.0,22.5,2.6470588235294117,1.3235294117647058,1.3235294117647058,0.0,2.6470588235294117,0.0,1.3235294117647058,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,0.0,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,6.61764705882353,27.794117647058822,10.588235294117647,35.73529411764706,99.26470588235294,1.3235294117647058,33.088235294117645,123.08823529411765,93.97058823529412,2.6470588235294117,3.9705882352941178,3.9705882352941178,1.3235294117647058,29.11764705882353,9.264705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9705882352941178,0.0,1.3235294117647058,0.0,1.0,4.102941176470589,0.5294117647058824,6.61764705882353,0.0,285.88235294117646
Adam Lallana,ENG,29,22.0,0,0,0,0,2,0,0,0,26.0,0.0,0,0.0,0.1,0.1,0.0,5.0,1.0,18.0,23.0,78.3,3.0,19.0,5.0,2.0,2.0,196.0,55.0,13.0,13.0,100.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,3.0,26.0,100.0,0.0,0.0,198.0,107.0,2.0,1.0,0.0,1.0,24.0,3.0,0,0,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,Liverpool,Swansea City,20,2017-2018,RW,None,None,None,2017,0.24444444444444444,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,118.63636363636364,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,106.36363636363637,0.0,0.0,0.0,0.4090909090909091,0.4090909090909091,0.0,20.454545454545457,4.090909090909091,73.63636363636364,94.0909090909091,320.3181818181818,12.272727272727273,77.72727272727273,20.454545454545457,8.181818181818182,8.181818181818182,801.8181818181819,225.0,53.18181818181819,53.18181818181819,409.0909090909091,12.272727272727273,20.454545454545457,245.45454545454547,0.0,0.0,0.0,0.0,0.0,12.272727272727273,4.090909090909091,0.0,94.0909090909091,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45454545454545,45.0,12.272727272727273,106.36363636363637,409.0909090909091,0.0,0.0,810.0,437.72727272727275,8.181818181818182,4.090909090909091,0.0,4.090909090909091,98.18181818181819,12.272727272727273,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,4.090909090909091,0.0,4.090909090909091,0.0,1.0,12.681818181818183,1.6363636363636365,20.454545454545457,0.0,883.6363636363636
Georginio Wijnaldum,NED,27,90.0,0,0,0,0,0,0,0,0,53.0,1.0,2,1.0,0.0,0.0,0.1,2.0,0.0,45.0,48.0,93.8,4.0,37.0,4.0,5.0,5.0,558.0,119.0,24.0,25.0,96.0,15.0,16.0,93.8,0.0,1.0,0.0,0.1,1.0,4.0,1.0,0.0,47.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,7.0,32.0,17.0,0.0,53.0,100.0,0.0,0.0,276.0,166.0,3.0,0.0,1.0,0.0,34.0,2.0,0,0,0,1,0.0,0.0,0,11.0,0.0,3.0,0.0,True,Liverpool,Swansea City,20,2017-2018,LM,None,None,None,2017,1.0,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,2.0,1.0,0.0,0.0,0.1,2.0,0.0,45.0,48.0,93.8,4.0,37.0,4.0,5.0,5.0,558.0,119.0,24.0,25.0,96.0,15.0,16.0,93.8,0.0,1.0,0.0,0.1,1.0,4.0,1.0,0.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,7.0,32.0,17.0,0.0,53.0,100.0,0.0,0.0,276.0,166.0,3.0,0.0,1.0,0.0,34.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,1.0,3.1,0.4,5.0,0.0,216.0
Emre Can,GER,23,90.0,0,0,0,0,1,1,0,0,83.0,6.0,1,0.0,0.0,0.0,0.0,1.0,0.0,66.0,73.0,90.4,7.0,54.0,6.0,0.0,0.0,1099.0,222.0,35.0,36.0,97.2,24.0,25.0,96.0,6.0,9.0,66.7,0.0,0.0,8.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,11.0,65.0,7.0,0.0,83.0,0.0,0.0,0.0,362.0,270.0,1.0,0.0,1.0,1.0,62.0,2.0,0,0,0,0,0.0,0.0,0,7.0,2.0,2.0,50.0,True,Liverpool,Swansea City,20,2017-2018,CM,None,None,None,2017,1.0,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,73.0,90.4,7.0,54.0,6.0,0.0,0.0,1099.0,222.0,35.0,36.0,97.2,24.0,25.0,96.0,6.0,9.0,66.7,0.0,0.0,8.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,11.0,65.0,7.0,0.0,83.0,0.0,0.0,0.0,362.0,270.0,1.0,0.0,1.0,1.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,50.0,1.0,3.1,0.4,5.0,0.0,216.0
Alex Oxlade-Chamberlain,ENG,24,90.0,1,0,0,0,3,1,0,0,55.0,1.0,0,3.0,0.1,0.1,0.0,1.0,1.0,32.0,42.0,76.2,8.0,32.0,3.0,3.0,2.0,599.0,163.0,15.0,18.0,83.3,13.0,16.0,81.3,4.0,6.0,66.7,0.0,0.0,6.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,35.0,19.0,5.0,55.0,66.7,1.0,33.3,208.0,95.0,3.0,2.0,2.0,2.0,37.0,5.0,0,1,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,Liverpool,Swansea City,20,2017-2018,RM,None,None,None,2017,1.0,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,24.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,55.0,1.0,0.0,3.0,0.1,0.1,0.0,1.0,1.0,32.0,42.0,76.2,8.0,32.0,3.0,3.0,2.0,599.0,163.0,15.0,18.0,83.3,13.0,16.0,81.3,4.0,6.0,66.7,0.0,0.0,6.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,35.0,19.0,5.0,55.0,66.7,1.0,33.3,208.0,95.0,3.0,2.0,2.0,2.0,37.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.1,0.4,5.0,0.0,216.0
Andrew Robertson,SCO,23,74.0,0,0,0,0,1,0,0,0,56.0,2.0,0,2.0,0.0,0.0,0.4,2.0,0.0,44.0,50.0,88.0,7.0,34.0,0.0,0.0,0.0,781.0,292.0,15.0,18.0,83.3,25.0,27.0,92.6,2.0,2.0,100.0,0.1,2.0,8.0,3.0,0.0,44.0,6.0,0.0,1.0,0.0,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,13.0,31.0,13.0,2.0,56.0,0.0,0.0,0.0,172.0,64.0,1.0,0.0,0.0,2.0,38.0,6.0,0,0,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,Liverpool,Swansea City,20,2017-2018,LB,None,None,None,2017,0.8222222222222222,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,27.972972972972975,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,68.10810810810811,2.4324324324324325,0.0,2.4324324324324325,0.0,0.0,0.4864864864864865,2.4324324324324325,0.0,53.513513513513516,60.810810810810814,107.02702702702703,8.513513513513514,41.351351351351354,0.0,0.0,0.0,949.8648648648649,355.13513513513516,18.243243243243246,21.89189189189189,101.3108108108108,30.405405405405407,32.83783783783784,112.62162162162161,2.4324324324324325,2.4324324324324325,121.62162162162163,0.12162162162162163,2.4324324324324325,9.72972972972973,3.6486486486486487,0.0,53.513513513513516,7.297297297297297,0.0,1.2162162162162162,0.0,3.6486486486486487,7.297297297297297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,1.2162162162162162,1.2162162162162162,2.4324324324324325,60.810810810810814,1.2162162162162162,0.0,2.4324324324324325,2.4324324324324325,0.0,0.0,1.2162162162162162,15.810810810810812,37.7027027027027,15.810810810810812,2.4324324324324325,68.10810810810811,0.0,0.0,0.0,209.1891891891892,77.83783783783784,1.2162162162162162,0.0,0.0,2.4324324324324325,46.21621621621622,7.297297297297297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,1.2162162162162162,0.0,121.62162162162163,1.0,3.7702702702702706,0.4864864864864865,6.081081081081082,0.0,262.7027027027027
James Milner,ENG,31,16.0,0,0,0,0,0,0,0,0,14.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,0.0,10.0,0.0,0.0,0.0,159.0,15.0,3.0,3.0,100.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,7.0,2.0,14.0,0.0,0.0,0.0,29.0,7.0,0.0,0.0,1.0,0.0,11.0,3.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Liverpool,Swansea City,20,2017-2018,LB,None,None,None,2017,0.17777777777777778,Liverpool_Swansea_City,Liverpool_Swansea_City_2017,Liverpool,Swansea City,2017,20,Liverpool,3.1,0.4,Swansea City,5.0,0.0,2017-12-26,Kevin Friend,Anfield,Tue,17:30,"52,850",216,Liverpool,Swansea City,Liverpool,Swansea City,Liverpool_Swansea_City,Liverpool_Swansea City_2017,174.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.625,61.875,460.12499999999994,0.0,56.25,0.0,0.0,0.0,894.375,84.375,16.875,16.875,562.5,28.125,33.75,468.56249999999994,5.625,5.625,562.5,0.0,0.0,0.0,0.0,0.0,56.25,5.625,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,5.625,5.625,562.5,0.0,0.0,0.0,5.625,5.625,0.0,5.625,11.25,28.125,39.375,11.25,78.75,0.0,0.0,0.0,163.125,39.375,0.0,0.0,5.625,0.0,61.875,16.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.4375,2.25,28.125,0.0,1215.0
