player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Mohamed Salah,EGY,25,90.0,0,0,0,0,2,0,0,0,33.0,0.0,0,1.0,0.5,0.5,0.4,3.0,0.0,21.0,26.0,80.8,1.0,23.0,2.0,5.0,5.0,276.0,53.0,13.0,15.0,86.7,5.0,7.0,71.4,2.0,2.0,100.0,0.2,1.0,0.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,24.0,4.0,33.0,100.0,0.0,0.0,285.0,80.0,2.0,1.0,3.0,4.0,25.0,9.0,0,1,2,0,0.0,0.0,0,3.0,0.0,2.0,0.0,True,2017-2018,FW,RM,None,None,1.0,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.5,0.5,0.4,3.0,0.0,21.0,26.0,80.8,1.0,23.0,2.0,5.0,5.0,276.0,53.0,13.0,15.0,86.7,5.0,7.0,71.4,2.0,2.0,100.0,0.2,1.0,0.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,24.0,4.0,33.0,100.0,0.0,0.0,285.0,80.0,2.0,1.0,3.0,4.0,25.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.1,0.4,0.0,0.0,182.0
Roberto Firmino,BRA,26,90.0,0,0,0,0,2,0,0,0,44.0,2.0,0,1.0,0.5,0.5,0.1,6.0,0.0,22.0,34.0,64.7,3.0,26.0,2.0,3.0,3.0,228.0,52.0,17.0,21.0,81.0,3.0,9.0,33.3,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,31.0,3.0,1.0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,12.0,30.0,8.0,44.0,100.0,0.0,0.0,114.0,37.0,0.0,2.0,2.0,3.0,32.0,15.0,0,3,0,0,0.0,0.0,0,2.0,2.0,4.0,33.3,True,2017-2018,FW,None,None,None,1.0,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,2.0,0.0,1.0,0.5,0.5,0.1,6.0,0.0,22.0,34.0,64.7,3.0,26.0,2.0,3.0,3.0,228.0,52.0,17.0,21.0,81.0,3.0,9.0,33.3,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,31.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,12.0,30.0,8.0,44.0,100.0,0.0,0.0,114.0,37.0,0.0,2.0,2.0,3.0,32.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,33.3,1.0,2.1,0.4,0.0,0.0,182.0
Philippe Coutinho,BRA,25,90.0,0,0,0,0,2,2,0,0,112.0,3.0,0,0.0,0.1,0.1,0.0,5.0,0.0,75.0,101.0,74.3,20.0,82.0,8.0,5.0,1.0,1410.0,474.0,29.0,32.0,90.6,38.0,49.0,77.6,8.0,15.0,53.3,0.3,1.0,17.0,4.0,0.0,93.0,8.0,2.0,6.0,0.0,5,0.0,5.0,3.0,1.0,0.0,0.0,4.0,2,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,58.0,50.0,1.0,112.0,20.0,4.0,80.0,583.0,361.0,6.0,0.0,1.0,0.0,89.0,3.0,0,0,0,0,0.0,0.0,0,10.0,1.0,0.0,100.0,True,2017-2018,LM,CM,None,None,1.0,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,112.0,3.0,0.0,0.0,0.1,0.1,0.0,5.0,0.0,75.0,101.0,74.3,20.0,82.0,8.0,5.0,1.0,1410.0,474.0,29.0,32.0,90.6,38.0,49.0,77.6,8.0,15.0,53.3,0.3,1.0,17.0,4.0,0.0,93.0,8.0,2.0,6.0,0.0,5.0,0.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,58.0,50.0,1.0,112.0,20.0,4.0,80.0,583.0,361.0,6.0,0.0,1.0,0.0,89.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0,1.0,2.1,0.4,0.0,0.0,182.0
Emre Can,GER,23,90.0,0,0,0,0,1,0,1,0,104.0,5.0,1,2.0,0.0,0.0,0.1,2.0,0.0,82.0,91.0,90.1,7.0,71.0,12.0,2.0,2.0,1246.0,288.0,44.0,48.0,91.7,32.0,33.0,97.0,3.0,4.0,75.0,0.1,2.0,5.0,2.0,0.0,88.0,3.0,1.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4,1.0,3.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,19.0,56.0,29.0,0.0,104.0,100.0,0.0,0.0,623.0,453.0,8.0,0.0,1.0,1.0,76.0,0.0,0,4,2,0,0.0,0.0,0,5.0,2.0,0.0,100.0,True,2017-2018,CM,None,None,None,1.0,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,104.0,5.0,1.0,2.0,0.0,0.0,0.1,2.0,0.0,82.0,91.0,90.1,7.0,71.0,12.0,2.0,2.0,1246.0,288.0,44.0,48.0,91.7,32.0,33.0,97.0,3.0,4.0,75.0,0.1,2.0,5.0,2.0,0.0,88.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,19.0,56.0,29.0,0.0,104.0,100.0,0.0,0.0,623.0,453.0,8.0,0.0,1.0,1.0,76.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0,1.0,2.1,0.4,0.0,0.0,182.0
Georginio Wijnaldum,NED,27,75.0,0,0,0,0,1,0,0,0,66.0,2.0,0,0.0,0.8,0.8,0.0,2.0,0.0,53.0,60.0,88.3,4.0,41.0,2.0,0.0,0.0,754.0,83.0,29.0,31.0,93.5,22.0,25.0,88.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,49.0,10.0,2.0,66.0,0.0,0.0,0.0,187.0,107.0,1.0,0.0,2.0,1.0,52.0,4.0,0,1,0,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,2017-2018,CM,None,None,None,0.8333333333333334,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,32.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,79.2,2.4,0.0,0.0,0.96,0.96,0.0,2.4,0.0,63.599999999999994,72.0,105.96,4.8,49.199999999999996,2.4,0.0,0.0,904.8,99.6,34.8,37.199999999999996,112.19999999999999,26.4,30.0,105.6,0.0,1.2,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,69.6,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,1.2,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.0,0.0,8.4,58.8,12.0,2.4,79.2,0.0,0.0,0.0,224.39999999999998,128.4,1.2,0.0,2.4,1.2,62.4,4.8,0.0,1.2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.2,0.0,1.0,2.52,0.48,0.0,0.0,218.39999999999998
Alex Oxlade-Chamberlain,ENG,24,15.0,0,0,0,0,1,1,0,0,16.0,1.0,0,1.0,0.1,0.1,0.0,0.0,0.0,9.0,9.0,100.0,1.0,11.0,1.0,3.0,0.0,118.0,39.0,7.0,7.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,16.0,0.0,2.0,66.7,64.0,28.0,1.0,0.0,1.0,0.0,13.0,5.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2017-2018,LM,RM,None,None,0.16666666666666666,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,144.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,96.0,6.0,0.0,6.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,54.0,54.0,600.0,6.0,66.0,6.0,18.0,0.0,708.0,234.0,42.0,42.0,600.0,12.0,12.0,600.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,42.0,54.0,24.0,96.0,0.0,12.0,400.20000000000005,384.0,168.0,6.0,0.0,6.0,0.0,78.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.600000000000001,2.4000000000000004,0.0,0.0,1092.0
Sadio Mane,SEN,25,75.0,0,0,0,0,2,0,0,0,42.0,2.0,1,1.0,0.1,0.1,0.0,5.0,0.0,18.0,30.0,60.0,5.0,33.0,5.0,4.0,3.0,237.0,66.0,14.0,19.0,73.7,2.0,5.0,40.0,1.0,2.0,50.0,0.1,0.0,2.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,11.0,29.0,2.0,42.0,75.0,1.0,25.0,220.0,158.0,6.0,0.0,1.0,3.0,33.0,12.0,0,2,1,1,0.0,0.0,0,3.0,2.0,2.0,50.0,True,2017-2018,RM,None,None,None,0.8333333333333334,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,30.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,50.4,2.4,1.2,1.2,0.12,0.12,0.0,6.0,0.0,21.599999999999998,36.0,72.0,6.0,39.6,6.0,4.8,3.5999999999999996,284.4,79.2,16.8,22.8,88.44,2.4,6.0,48.0,1.2,2.4,60.0,0.12,0.0,2.4,2.4,0.0,36.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.4,0.0,1.2,1.2,0.0,1.2,0.0,1.2,0.0,1.2,3.5999999999999996,3.5999999999999996,0.0,3.5999999999999996,3.5999999999999996,13.2,34.8,2.4,50.4,90.0,1.2,30.0,264.0,189.6,7.199999999999999,0.0,1.2,3.5999999999999996,39.6,14.399999999999999,0.0,2.4,1.2,1.2,0.0,0.0,0.0,3.5999999999999996,2.4,2.4,60.0,1.0,2.52,0.48,0.0,0.0,218.39999999999998
Dominic Solanke,ENG,20,15.0,0,0,0,0,1,0,0,0,11.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,3.0,5.0,60.0,2.0,6.0,0.0,2.0,0.0,40.0,28.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,11.0,0.0,2.0,100.0,14.0,7.0,0.0,0.0,1.0,0.0,8.0,2.0,0,1,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2017-2018,FW,None,None,None,0.16666666666666666,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,120.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,6.0,0.0,18.0,30.0,360.0,12.0,36.0,0.0,12.0,0.0,240.0,168.0,12.0,12.0,600.0,6.0,12.0,300.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,48.0,18.0,66.0,0.0,12.0,600.0,84.0,42.0,0.0,0.0,6.0,0.0,48.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,600.0,1.0,12.600000000000001,2.4000000000000004,0.0,0.0,1092.0
Andrew Robertson,SCO,23,90.0,0,0,0,0,1,0,0,0,101.0,2.0,2,0.0,0.1,0.1,0.0,0.0,0.0,82.0,90.0,91.1,7.0,62.0,2.0,1.0,0.0,1260.0,333.0,42.0,44.0,95.5,35.0,39.0,89.7,3.0,3.0,100.0,0.0,0.0,8.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,22.0,50.0,29.0,2.0,101.0,0.0,1.0,100.0,253.0,143.0,0.0,0.0,3.0,0.0,71.0,12.0,0,1,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2017-2018,LB,None,None,None,1.0,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,2.0,2.0,0.0,0.1,0.1,0.0,0.0,0.0,82.0,90.0,91.1,7.0,62.0,2.0,1.0,0.0,1260.0,333.0,42.0,44.0,95.5,35.0,39.0,89.7,3.0,3.0,100.0,0.0,0.0,8.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,22.0,50.0,29.0,2.0,101.0,0.0,1.0,100.0,253.0,143.0,0.0,0.0,3.0,0.0,71.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.1,0.4,0.0,0.0,182.0
Ragnar Klavan,EST,32,90.0,0,0,0,0,0,0,0,0,107.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,93.0,97.0,95.9,7.0,70.0,2.0,0.0,0.0,1653.0,673.0,32.0,33.0,97.0,57.0,58.0,98.3,3.0,5.0,60.0,0.0,0.0,4.0,0.0,0.0,94.0,3.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,6.0,47.0,60.0,0.0,0.0,107.0,0.0,0.0,0.0,500.0,336.0,0.0,0.0,0.0,0.0,79.0,0.0,0,1,0,0,0.0,0.0,0,8.0,3.0,3.0,50.0,True,2017-2018,CB,None,None,None,1.0,Liverpool_West_Brom,Liverpool_West_Brom_2017,2.1,0.4,0.0,0.0,2017-12-13,Paul Tierney,Anfield,Wed,20:00,"53,243",182,draw,draw,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,97.0,95.9,7.0,70.0,2.0,0.0,0.0,1653.0,673.0,32.0,33.0,97.0,57.0,58.0,98.3,3.0,5.0,60.0,0.0,0.0,4.0,0.0,0.0,94.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,6.0,47.0,60.0,0.0,0.0,107.0,0.0,0.0,0.0,500.0,336.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,50.0,1.0,2.1,0.4,0.0,0.0,182.0
