player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Billy Sharp,ENG,33,62.0,0,0,0,0,1,0,1,0,24.0,0.0,0,0.0,0.1,0.1,0.1,5.0,0.0,15.0,20.0,75.0,1.0,17.0,2.0,2.0,2.0,188.0,10.0,10.0,12.0,83.3,4.0,4.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,5.0,24.0,100.0,0.0,0.0,130.0,46.0,0.0,0.0,3.0,0.0,19.0,12.0,0,1,2,2,0.0,0.0,0,0.0,0.0,3.0,0.0,True,2019-2020,FW,None,None,None,0.6888888888888889,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,47.903225806451616,0.0,0.0,0.0,0.0,1.4516129032258065,0.0,1.4516129032258065,0.0,34.83870967741935,0.0,0.0,0.0,0.14516129032258066,0.14516129032258066,0.14516129032258066,7.258064516129032,0.0,21.774193548387096,29.032258064516128,108.87096774193549,1.4516129032258065,24.677419354838708,2.903225806451613,2.903225806451613,2.903225806451613,272.9032258064516,14.516129032258064,14.516129032258064,17.419354838709676,120.91935483870968,5.806451612903226,5.806451612903226,145.16129032258064,0.0,0.0,0.0,0.0,4.354838709677419,0.0,0.0,0.0,26.129032258064516,2.903225806451613,0.0,0.0,0.0,2.903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,4.354838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516129032258065,7.258064516129032,26.129032258064516,7.258064516129032,34.83870967741935,145.16129032258064,0.0,0.0,188.70967741935485,66.7741935483871,0.0,0.0,4.354838709677419,0.0,27.580645161290324,17.419354838709676,0.0,1.4516129032258065,2.903225806451613,2.903225806451613,0.0,0.0,0.0,0.0,0.0,4.354838709677419,0.0,1.0,1.5967741935483872,0.7258064516129032,0.0,2.903225806451613,235.16129032258064
Lys Mousset,FRA,23,28.0,0,0,0,0,1,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,71.4,1.0,6.0,0.0,1.0,1.0,51.0,9.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,10.0,100.0,0.0,0.0,27.0,6.0,0.0,0.0,0.0,3.0,7.0,2.0,0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,True,2019-2020,FW,None,None,None,0.3111111111111111,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,73.92857142857143,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,32.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,16.07142857142857,22.5,229.50000000000003,3.2142857142857144,19.285714285714285,0.0,3.2142857142857144,3.2142857142857144,163.92857142857142,28.928571428571427,9.642857142857142,12.857142857142858,241.07142857142856,3.2142857142857144,3.2142857142857144,321.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.285714285714285,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,3.2142857142857144,25.714285714285715,6.428571428571429,32.14285714285714,321.42857142857144,0.0,0.0,86.78571428571428,19.285714285714285,0.0,0.0,0.0,9.642857142857142,22.5,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,3.2142857142857144,160.71428571428572,1.0,3.535714285714286,1.6071428571428572,0.0,6.428571428571429,520.7142857142857
Oliver McBurnie,SCO,23,90.0,0,0,0,0,3,2,0,0,34.0,0.0,0,1.0,0.4,0.4,0.0,1.0,0.0,16.0,21.0,76.2,3.0,17.0,1.0,2.0,0.0,190.0,44.0,13.0,15.0,86.7,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,13.0,19.0,5.0,34.0,0.0,2.0,100.0,55.0,25.0,0.0,1.0,1.0,1.0,25.0,6.0,0,1,1,0,0.0,0.0,0,2.0,3.0,7.0,30.0,True,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,23.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,34.0,0.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,16.0,21.0,76.2,3.0,17.0,1.0,2.0,0.0,190.0,44.0,13.0,15.0,86.7,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,13.0,19.0,5.0,34.0,0.0,2.0,100.0,55.0,25.0,0.0,1.0,1.0,1.0,25.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,30.0,1.0,1.1,0.5,0.0,2.0,162.0
John Fleck,SCO,28,90.0,0,0,0,0,1,0,0,0,78.0,1.0,0,3.0,0.1,0.1,0.1,3.0,0.0,48.0,69.0,69.6,8.0,34.0,2.0,1.0,1.0,785.0,225.0,25.0,33.0,75.8,16.0,21.0,76.2,5.0,10.0,50.0,0.1,1.0,10.0,1.0,0.0,62.0,7.0,1.0,0.0,1.0,10,2.0,4.0,3.0,0.0,1.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,11.0,35.0,32.0,2.0,78.0,100.0,0.0,0.0,200.0,94.0,4.0,0.0,0.0,2.0,50.0,5.0,0,1,1,0,0.0,0.0,0,9.0,0.0,0.0,0.0,True,2019-2020,CM,DM,None,None,1.0,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,1.0,0.0,3.0,0.1,0.1,0.1,3.0,0.0,48.0,69.0,69.6,8.0,34.0,2.0,1.0,1.0,785.0,225.0,25.0,33.0,75.8,16.0,21.0,76.2,5.0,10.0,50.0,0.1,1.0,10.0,1.0,0.0,62.0,7.0,1.0,0.0,1.0,10.0,2.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,11.0,35.0,32.0,2.0,78.0,100.0,0.0,0.0,200.0,94.0,4.0,0.0,0.0,2.0,50.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.1,0.5,0.0,2.0,162.0
Oliver Norwood,NIR,28,71.0,0,0,0,0,1,1,0,0,123.0,2.0,0,0.0,0.2,0.2,0.0,2.0,0.0,101.0,119.0,84.9,19.0,87.0,0.0,0.0,0.0,2162.0,501.0,24.0,29.0,82.8,60.0,60.0,100.0,17.0,27.0,63.0,0.1,0.0,19.0,0.0,0.0,113.0,5.0,1.0,0.0,4.0,5,0.0,4.0,3.0,0.0,0.0,1.0,0.0,2,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,88.0,25.0,0.0,123.0,0.0,0.0,0.0,355.0,184.0,1.0,0.0,0.0,0.0,106.0,2.0,0,0,0,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,2019-2020,CM,None,None,None,0.7888888888888889,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,35.49295774647887,0.0,0.0,0.0,0.0,1.267605633802817,1.267605633802817,0.0,0.0,155.9154929577465,2.535211267605634,0.0,0.0,0.2535211267605634,0.2535211267605634,0.0,2.535211267605634,0.0,128.0281690140845,150.84507042253523,107.61971830985917,24.084507042253524,110.28169014084507,0.0,0.0,0.0,2740.56338028169,635.0704225352113,30.422535211267608,36.76056338028169,104.95774647887323,76.05633802816902,76.05633802816902,126.7605633802817,21.549295774647888,34.225352112676056,79.85915492957747,0.1267605633802817,0.0,24.084507042253524,0.0,0.0,143.2394366197183,6.338028169014085,1.267605633802817,0.0,5.070422535211268,6.338028169014085,0.0,5.070422535211268,3.802816901408451,0.0,0.0,1.267605633802817,0.0,2.535211267605634,1.267605633802817,1.267605633802817,0.0,1.267605633802817,2.535211267605634,63.38028169014085,1.267605633802817,0.0,0.0,2.535211267605634,0.0,0.0,1.267605633802817,12.67605633802817,111.54929577464789,31.690140845070424,0.0,155.9154929577465,0.0,0.0,0.0,450.0,233.2394366197183,1.267605633802817,0.0,0.0,0.0,134.3661971830986,2.535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.338028169014085,1.267605633802817,1.267605633802817,63.38028169014085,1.0,1.3943661971830987,0.6338028169014085,0.0,2.535211267605634,205.35211267605635
David McGoldrick,IRL,32,19.0,0,0,0,0,1,0,0,0,15.0,3.0,0,0.0,0.1,0.1,0.0,0.0,0.0,9.0,11.0,81.8,1.0,8.0,0.0,0.0,0.0,185.0,47.0,5.0,6.0,83.3,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,8.0,6.0,1.0,15.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,1.0,1.0,11.0,2.0,0,1,0,1,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2019-2020,AM,CM,None,None,0.2111111111111111,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,151.57894736842104,0.0,0.0,0.0,0.0,4.7368421052631575,0.0,0.0,0.0,71.05263157894737,14.210526315789474,0.0,0.0,0.4736842105263158,0.4736842105263158,0.0,0.0,0.0,42.63157894736842,52.10526315789474,387.4736842105263,4.7368421052631575,37.89473684210526,0.0,0.0,0.0,876.3157894736842,222.6315789473684,23.68421052631579,28.42105263157895,394.57894736842104,14.210526315789474,18.94736842105263,355.2631578947368,4.7368421052631575,4.7368421052631575,473.6842105263158,0.0,0.0,4.7368421052631575,0.0,0.0,52.10526315789474,0.0,0.0,0.0,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473684210526315,0.0,4.7368421052631575,9.473684210526315,4.7368421052631575,4.7368421052631575,473.6842105263158,0.0,0.0,0.0,14.210526315789474,0.0,0.0,0.0,9.473684210526315,37.89473684210526,28.42105263157895,4.7368421052631575,71.05263157894737,0.0,0.0,0.0,151.57894736842104,9.473684210526315,0.0,0.0,4.7368421052631575,4.7368421052631575,52.10526315789474,9.473684210526315,0.0,4.7368421052631575,0.0,4.7368421052631575,0.0,0.0,0.0,14.210526315789474,4.7368421052631575,0.0,473.6842105263158,1.0,5.210526315789474,2.3684210526315788,0.0,9.473684210526315,767.3684210526316
John Lundstram,ENG,25,90.0,0,0,0,0,1,0,0,0,95.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,74.0,88.0,84.1,8.0,63.0,1.0,0.0,0.0,1542.0,386.0,28.0,32.0,87.5,32.0,36.0,88.9,13.0,17.0,76.5,0.2,0.0,6.0,5.0,2.0,85.0,2.0,1.0,0.0,4.0,8,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3,2.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,9.0,54.0,33.0,1.0,95.0,0.0,0.0,0.0,385.0,144.0,2.0,0.0,2.0,0.0,80.0,5.0,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2019-2020,CM,RM,None,None,1.0,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,74.0,88.0,84.1,8.0,63.0,1.0,0.0,0.0,1542.0,386.0,28.0,32.0,87.5,32.0,36.0,88.9,13.0,17.0,76.5,0.2,0.0,6.0,5.0,2.0,85.0,2.0,1.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,9.0,54.0,33.0,1.0,95.0,0.0,0.0,0.0,385.0,144.0,2.0,0.0,2.0,0.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,1.0,1.1,0.5,0.0,2.0,162.0
Enda Stevens,IRL,29,90.0,0,0,0,0,1,1,0,0,95.0,4.0,1,0.0,0.0,0.0,0.2,2.0,0.0,69.0,84.0,82.1,9.0,51.0,3.0,1.0,0.0,1037.0,269.0,42.0,50.0,84.0,24.0,27.0,88.9,3.0,6.0,50.0,0.2,2.0,3.0,3.0,0.0,76.0,8.0,0.0,1.0,0.0,6,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2,3.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,41.0,46.0,5.0,95.0,0.0,1.0,100.0,311.0,167.0,4.0,1.0,2.0,1.0,69.0,19.0,0,2,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,2019-2020,WB,LB,None,None,1.0,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.0,4.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,69.0,84.0,82.1,9.0,51.0,3.0,1.0,0.0,1037.0,269.0,42.0,50.0,84.0,24.0,27.0,88.9,3.0,6.0,50.0,0.2,2.0,3.0,3.0,0.0,76.0,8.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,41.0,46.0,5.0,95.0,0.0,1.0,100.0,311.0,167.0,4.0,1.0,2.0,1.0,69.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0,1.0,1.1,0.5,0.0,2.0,162.0
George Baldock,GRE,26,90.0,0,0,0,0,0,0,0,0,67.0,2.0,0,1.0,0.0,0.0,0.1,5.0,0.0,47.0,58.0,81.0,0.0,39.0,2.0,3.0,2.0,632.0,105.0,34.0,37.0,91.9,10.0,13.0,76.9,3.0,8.0,37.5,0.1,2.0,1.0,2.0,2.0,47.0,11.0,1.0,0.0,0.0,6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,10.0,20.0,37.0,0.0,67.0,66.7,1.0,33.3,259.0,105.0,0.0,0.0,3.0,0.0,44.0,7.0,0,0,2,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,2019-2020,WB,RB,None,None,1.0,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2.0,0.0,1.0,0.0,0.0,0.1,5.0,0.0,47.0,58.0,81.0,0.0,39.0,2.0,3.0,2.0,632.0,105.0,34.0,37.0,91.9,10.0,13.0,76.9,3.0,8.0,37.5,0.1,2.0,1.0,2.0,2.0,47.0,11.0,1.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,10.0,20.0,37.0,0.0,67.0,66.7,1.0,33.3,259.0,105.0,0.0,0.0,3.0,0.0,44.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,1.0,1.1,0.5,0.0,2.0,162.0
Jack O'Connell,ENG,25,90.0,0,0,0,0,1,1,0,0,116.0,1.0,0,0.0,0.2,0.2,0.0,0.0,0.0,89.0,110.0,80.9,13.0,77.0,0.0,0.0,0.0,1550.0,516.0,45.0,48.0,93.8,39.0,44.0,88.6,5.0,16.0,31.3,0.0,0.0,9.0,3.0,0.0,103.0,7.0,1.0,0.0,3.0,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,29.0,70.0,17.0,3.0,116.0,0.0,0.0,0.0,312.0,174.0,1.0,0.0,1.0,0.0,88.0,3.0,0,0,0,0,0.0,0.0,0,6.0,2.0,3.0,40.0,True,2019-2020,CB,None,None,None,1.0,Newcastle_Utd_Sheffield_Utd,Newcastle_Utd_Sheffield_Utd_2019,1.1,0.5,0.0,2.0,2019-12-05,Stuart Attwell,Bramall Lane,Thu,19:30,"30,409",162,Newcastle Utd,Sheffield Utd,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,116.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,89.0,110.0,80.9,13.0,77.0,0.0,0.0,0.0,1550.0,516.0,45.0,48.0,93.8,39.0,44.0,88.6,5.0,16.0,31.3,0.0,0.0,9.0,3.0,0.0,103.0,7.0,1.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,29.0,70.0,17.0,3.0,116.0,0.0,0.0,0.0,312.0,174.0,1.0,0.0,1.0,0.0,88.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,40.0,1.0,1.1,0.5,0.0,2.0,162.0
