player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Teemu Pukki,FIN,29,90.0,0,0,0,0,4,2,0,0,45.0,0.0,1,1.0,0.2,0.2,0.1,6.0,0.0,29.0,32.0,90.6,2.0,26.0,1.0,2.0,1.0,362.0,37.0,16.0,18.0,88.9,9.0,10.0,90.0,0.0,0.0,0.0,0.2,3.0,0.0,1.0,0.0,30.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,11.0,31.0,6.0,45.0,50.0,1.0,50.0,120.0,33.0,2.0,1.0,4.0,2.0,31.0,13.0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,2019-2020,FW,LW,None,None,1.0,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,29.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,45.0,0.0,1.0,1.0,0.2,0.2,0.1,6.0,0.0,29.0,32.0,90.6,2.0,26.0,1.0,2.0,1.0,362.0,37.0,16.0,18.0,88.9,9.0,10.0,90.0,0.0,0.0,0.0,0.2,3.0,0.0,1.0,0.0,30.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,11.0,31.0,6.0,45.0,50.0,1.0,50.0,120.0,33.0,2.0,1.0,4.0,2.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.7,1.3,0.0,2.0,121.0
Onel Hernandez,CUB,26,90.0,0,0,0,0,1,0,0,0,45.0,1.0,1,0.0,0.1,0.1,0.0,5.0,0.0,21.0,31.0,67.7,2.0,34.0,11.0,13.0,7.0,256.0,56.0,17.0,21.0,81.0,4.0,7.0,57.1,0.0,1.0,0.0,0.1,1.0,0.0,3.0,1.0,26.0,5.0,0.0,0.0,0.0,6,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,38.0,11.0,45.0,53.8,6.0,46.2,376.0,229.0,3.0,8.0,3.0,1.0,32.0,15.0,0,1,1,1,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2019-2020,LW,RW,None,None,1.0,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,1.0,0.0,0.1,0.1,0.0,5.0,0.0,21.0,31.0,67.7,2.0,34.0,11.0,13.0,7.0,256.0,56.0,17.0,21.0,81.0,4.0,7.0,57.1,0.0,1.0,0.0,0.1,1.0,0.0,3.0,1.0,26.0,5.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,38.0,11.0,45.0,53.8,6.0,46.2,376.0,229.0,3.0,8.0,3.0,1.0,32.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7,1.3,0.0,2.0,121.0
Emi Buendia,ARG,22,61.0,0,0,0,0,1,0,0,0,54.0,4.0,0,3.0,0.1,0.1,0.0,1.0,0.0,27.0,41.0,65.9,7.0,33.0,2.0,3.0,1.0,405.0,175.0,16.0,21.0,76.2,7.0,10.0,70.0,3.0,7.0,42.9,0.1,0.0,4.0,1.0,0.0,34.0,7.0,1.0,0.0,0.0,6,1.0,5.0,3.0,2.0,0.0,0.0,1.0,3,3.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,9.0,31.0,17.0,1.0,54.0,33.3,2.0,66.7,159.0,85.0,3.0,0.0,5.0,2.0,35.0,3.0,0,0,1,0,0.0,0.0,0,7.0,1.0,0.0,100.0,True,2019-2020,RW,None,None,None,0.6777777777777778,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,32.459016393442624,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,79.67213114754098,5.9016393442622945,0.0,4.426229508196721,0.14754098360655737,0.14754098360655737,0.0,1.4754098360655736,0.0,39.83606557377049,60.49180327868852,97.22950819672131,10.327868852459016,48.68852459016393,2.9508196721311473,4.426229508196721,1.4754098360655736,597.5409836065573,258.1967213114754,23.606557377049178,30.983606557377048,112.42622950819673,10.327868852459016,14.754098360655737,103.27868852459015,4.426229508196721,10.327868852459016,63.29508196721311,0.14754098360655737,0.0,5.9016393442622945,1.4754098360655736,0.0,50.1639344262295,10.327868852459016,1.4754098360655736,0.0,0.0,8.852459016393443,1.4754098360655736,7.377049180327869,4.426229508196721,2.9508196721311473,0.0,0.0,1.4754098360655736,4.426229508196721,4.426229508196721,1.4754098360655736,0.0,1.4754098360655736,2.9508196721311473,73.77049180327869,1.4754098360655736,0.0,4.426229508196721,5.9016393442622945,0.0,1.4754098360655736,0.0,13.278688524590164,45.73770491803278,25.08196721311475,1.4754098360655736,79.67213114754098,49.1311475409836,2.9508196721311473,98.40983606557377,234.59016393442622,125.40983606557377,4.426229508196721,0.0,7.377049180327869,2.9508196721311473,51.639344262295076,4.426229508196721,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,10.327868852459016,1.4754098360655736,0.0,147.54098360655738,1.0,1.0327868852459015,1.9180327868852458,0.0,2.9508196721311473,178.52459016393442
Todd Cantwell,ENG,21,29.0,0,0,0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,32.0,68.8,3.0,26.0,2.0,4.0,3.0,381.0,71.0,9.0,11.0,81.8,8.0,10.0,80.0,3.0,7.0,42.9,0.0,1.0,2.0,1.0,0.0,25.0,7.0,4.0,0.0,1.0,6,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,26.0,2.0,37.0,75.0,1.0,25.0,161.0,76.0,2.0,1.0,1.0,1.0,28.0,3.0,0,0,1,0,0.0,0.0,0,1.0,2.0,0.0,100.0,True,2019-2020,RW,AM,None,None,0.32222222222222224,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,65.17241379310344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.82758620689654,0.0,0.0,0.0,0.0,0.0,0.0,12.413793103448276,0.0,68.27586206896551,99.3103448275862,213.51724137931032,9.310344827586206,80.6896551724138,6.206896551724138,12.413793103448276,9.310344827586206,1182.4137931034481,220.3448275862069,27.93103448275862,34.137931034482754,253.8620689655172,24.82758620689655,31.034482758620687,248.2758620689655,9.310344827586206,21.72413793103448,133.13793103448273,0.0,3.103448275862069,6.206896551724138,3.103448275862069,0.0,77.58620689655172,21.72413793103448,12.413793103448276,0.0,3.103448275862069,18.620689655172413,0.0,9.310344827586206,0.0,3.103448275862069,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,6.206896551724138,27.93103448275862,80.6896551724138,6.206896551724138,114.82758620689654,232.75862068965515,3.103448275862069,77.58620689655172,499.6551724137931,235.86206896551724,6.206896551724138,3.103448275862069,3.103448275862069,3.103448275862069,86.89655172413792,9.310344827586206,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,3.103448275862069,6.206896551724138,0.0,310.34482758620686,1.0,2.172413793103448,4.0344827586206895,0.0,6.206896551724138,375.51724137931035
Marco Stiepermann,GER,28,61.0,0,0,0,0,0,0,0,0,30.0,2.0,1,1.0,0.0,0.0,0.0,3.0,0.0,11.0,19.0,57.9,2.0,22.0,3.0,4.0,3.0,152.0,64.0,4.0,7.0,57.1,5.0,6.0,83.3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,15.0,11.0,2.0,30.0,75.0,1.0,25.0,108.0,57.0,1.0,1.0,3.0,1.0,18.0,0.0,0,1,1,0,0.0,0.0,0,4.0,0.0,4.0,0.0,True,2019-2020,AM,None,None,None,0.6777777777777778,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,41.31147540983606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.26229508196721,2.9508196721311473,1.4754098360655736,1.4754098360655736,0.0,0.0,0.0,4.426229508196721,0.0,16.229508196721312,28.0327868852459,85.42622950819671,2.9508196721311473,32.459016393442624,4.426229508196721,5.9016393442622945,4.426229508196721,224.2622950819672,94.42622950819671,5.9016393442622945,10.327868852459016,84.24590163934425,7.377049180327869,8.852459016393443,122.90163934426228,0.0,1.4754098360655736,0.0,0.0,1.4754098360655736,1.4754098360655736,0.0,0.0,26.557377049180328,1.4754098360655736,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,1.4754098360655736,1.4754098360655736,1.4754098360655736,0.0,0.0,2.9508196721311473,0.0,2.9508196721311473,0.0,1.4754098360655736,4.426229508196721,1.4754098360655736,0.0,0.0,7.377049180327869,22.131147540983605,16.229508196721312,2.9508196721311473,44.26229508196721,110.65573770491802,1.4754098360655736,36.885245901639344,159.34426229508196,84.09836065573771,1.4754098360655736,1.4754098360655736,4.426229508196721,1.4754098360655736,26.557377049180328,0.0,0.0,1.4754098360655736,1.4754098360655736,0.0,0.0,0.0,0.0,5.9016393442622945,0.0,5.9016393442622945,0.0,1.0,1.0327868852459015,1.9180327868852458,0.0,2.9508196721311473,178.52459016393442
Josip Drmic,SUI,27,29.0,0,0,0,0,0,0,0,0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2019-2020,AM,FW,None,None,0.32222222222222224,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,83.79310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.413793103448276,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,6.206896551724138,9.310344827586206,207.0,0.0,6.206896551724138,0.0,0.0,0.0,99.3103448275862,0.0,0.0,3.103448275862069,0.0,6.206896551724138,6.206896551724138,310.34482758620686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.310344827586206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,3.103448275862069,3.103448275862069,6.206896551724138,0.0,12.413793103448276,0.0,0.0,0.0,43.44827586206896,43.44827586206896,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,0.0,3.103448275862069,0.0,0.0,0.0,1.0,2.172413793103448,4.0344827586206895,0.0,6.206896551724138,375.51724137931035
Kenny McLean,SCO,27,90.0,0,0,0,0,2,2,0,0,82.0,1.0,0,3.0,0.1,0.1,0.1,3.0,0.0,53.0,69.0,76.8,8.0,50.0,3.0,1.0,1.0,728.0,281.0,29.0,33.0,87.9,19.0,23.0,82.6,3.0,6.0,50.0,0.1,2.0,9.0,1.0,0.0,64.0,4.0,0.0,0.0,0.0,5,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,18.0,37.0,28.0,3.0,82.0,100.0,0.0,0.0,204.0,134.0,1.0,0.0,5.0,1.0,55.0,7.0,0,1,2,0,0.0,0.0,0,9.0,0.0,2.0,0.0,True,2019-2020,DM,LB,None,None,1.0,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,27.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,82.0,1.0,0.0,3.0,0.1,0.1,0.1,3.0,0.0,53.0,69.0,76.8,8.0,50.0,3.0,1.0,1.0,728.0,281.0,29.0,33.0,87.9,19.0,23.0,82.6,3.0,6.0,50.0,0.1,2.0,9.0,1.0,0.0,64.0,4.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,18.0,37.0,28.0,3.0,82.0,100.0,0.0,0.0,204.0,134.0,1.0,0.0,5.0,1.0,55.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,0.7,1.3,0.0,2.0,121.0
Tom Trybull,GER,26,90.0,0,0,0,0,2,0,0,0,73.0,4.0,1,3.0,0.0,0.0,0.0,1.0,0.0,60.0,61.0,98.4,5.0,50.0,0.0,0.0,0.0,1099.0,279.0,26.0,26.0,100.0,26.0,27.0,96.3,7.0,7.0,100.0,0.0,0.0,5.0,0.0,0.0,59.0,2.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,0.0,3.0,6.0,50.0,3.0,1.0,2.0,5.0,1.0,0.0,4.0,15.0,51.0,7.0,1.0,73.0,0.0,0.0,0.0,215.0,91.0,0.0,0.0,2.0,1.0,52.0,1.0,0,1,1,0,0.0,0.0,0,3.0,2.0,1.0,66.7,True,2019-2020,DM,None,None,None,1.0,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,60.0,61.0,98.4,5.0,50.0,0.0,0.0,0.0,1099.0,279.0,26.0,26.0,100.0,26.0,27.0,96.3,7.0,7.0,100.0,0.0,0.0,5.0,0.0,0.0,59.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,6.0,50.0,3.0,1.0,2.0,5.0,1.0,0.0,4.0,15.0,51.0,7.0,1.0,73.0,0.0,0.0,0.0,215.0,91.0,0.0,0.0,2.0,1.0,52.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7,1.0,0.7,1.3,0.0,2.0,121.0
Jamal Lewis,NIR,21,80.0,0,0,0,0,2,1,0,0,82.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,65.0,75.0,86.7,6.0,61.0,6.0,1.0,1.0,1036.0,225.0,26.0,31.0,83.9,35.0,35.0,100.0,1.0,3.0,33.3,0.0,0.0,8.0,2.0,0.0,67.0,8.0,1.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,19.0,51.0,12.0,2.0,82.0,100.0,0.0,0.0,418.0,274.0,5.0,2.0,0.0,1.0,62.0,6.0,0,0,1,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,2019-2020,LB,None,None,None,0.8888888888888888,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,23.625,0.0,0.0,0.0,0.0,2.25,1.125,0.0,0.0,92.25,1.125,1.125,1.125,0.0,0.0,0.0,0.0,0.0,73.125,84.375,97.53750000000001,6.75,68.625,6.75,1.125,1.125,1165.5,253.125,29.25,34.875,94.38750000000002,39.375,39.375,112.5,1.125,3.375,37.4625,0.0,0.0,9.0,2.25,0.0,75.375,9.0,1.125,0.0,0.0,0.0,7.875,0.0,0.0,0.0,0.0,0.0,1.125,0.0,1.125,0.0,0.0,1.125,2.25,56.25,1.125,0.0,1.125,2.25,1.125,0.0,4.5,21.375,57.375,13.5,2.25,92.25,112.5,0.0,0.0,470.25,308.25,5.625,2.25,0.0,1.125,69.75,6.75,0.0,0.0,1.125,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,1.0,0.7875,1.4625000000000001,0.0,2.25,136.125
Mario Vrancic,BIH,30,10.0,0,0,0,0,1,0,1,0,16.0,1.0,0,1.0,0.1,0.1,0.0,1.0,0.0,10.0,13.0,76.9,4.0,10.0,0.0,0.0,0.0,141.0,41.0,7.0,8.0,87.5,1.0,2.0,50.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,11.0,0.0,16.0,0.0,0.0,0.0,37.0,13.0,0.0,0.0,1.0,0.0,9.0,0.0,0,1,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2019-2020,DM,None,None,None,0.1111111111111111,Norwich_City_Watford,Norwich_City_Watford_2019,0.7,1.3,0.0,2.0,2019-11-08,Andre Marriner,Carrow Road,Fri,20:00,"27,074",121,Watford,Norwich City,270.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,144.0,9.0,0.0,9.0,0.9000000000000001,0.9000000000000001,0.0,9.0,0.0,90.0,117.0,692.1000000000001,36.0,90.0,0.0,0.0,0.0,1269.0,369.0,63.0,72.0,787.5,9.0,18.0,450.0,9.0,18.0,450.0,0.0,9.0,0.0,0.0,0.0,108.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,900.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,36.0,99.0,0.0,144.0,0.0,0.0,0.0,333.0,117.0,0.0,0.0,9.0,0.0,81.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,6.3,11.700000000000001,0.0,18.0,1089.0
