player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Joshua King,NOR,26,81.0,1,0,0,0,2,1,0,0,28.0,0.0,0,0.0,0.1,0.1,0.1,4.0,0.0,14.0,22.0,63.6,3.0,22.0,3.0,3.0,2.0,184.0,35.0,9.0,13.0,69.2,4.0,5.0,80.0,1.0,2.0,50.0,0.1,2.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,5.0,28.0,66.7,1.0,33.3,125.0,59.0,1.0,2.0,1.0,4.0,27.0,11.0,0,2,2,0,0.0,0.0,0,1.0,3.0,4.0,42.9,True,2018-2019,FW,None,None,None,0.9,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,28.88888888888889,1.1111111111111112,0.0,0.0,0.0,2.2222222222222223,1.1111111111111112,0.0,0.0,31.11111111111111,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,4.444444444444445,0.0,15.555555555555555,24.444444444444443,70.66666666666667,3.333333333333333,24.444444444444443,3.333333333333333,3.333333333333333,2.2222222222222223,204.44444444444443,38.888888888888886,10.0,14.444444444444445,76.88888888888889,4.444444444444445,5.555555555555555,88.88888888888889,1.1111111111111112,2.2222222222222223,55.55555555555556,0.11111111111111112,2.2222222222222223,0.0,1.1111111111111112,0.0,23.333333333333332,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,20.0,5.555555555555555,31.11111111111111,74.11111111111111,1.1111111111111112,36.99999999999999,138.88888888888889,65.55555555555556,1.1111111111111112,2.2222222222222223,1.1111111111111112,4.444444444444445,30.0,12.222222222222221,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,0.0,0.0,1.1111111111111112,3.333333333333333,4.444444444444445,47.666666666666664,1.0,0.6666666666666666,1.777777777777778,1.1111111111111112,2.2222222222222223,154.44444444444443
Lys Mousset,FRA,22,9.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,3.0,0.0,0.0,0.0,24.0,12.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,0,1,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,True,2018-2019,FW,None,None,None,0.1,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,500.0,10.0,30.0,0.0,0.0,0.0,240.0,120.0,10.0,20.0,500.0,10.0,20.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,40.0,0.0,0.0,0.0,140.0,90.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,500.0,1.0,5.999999999999999,16.0,10.0,20.0,1390.0
Callum Wilson,ENG,26,90.0,0,0,0,0,2,1,0,0,31.0,1.0,1,0.0,0.1,0.1,0.0,3.0,1.0,14.0,20.0,70.0,3.0,22.0,1.0,0.0,0.0,190.0,50.0,7.0,10.0,70.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,16.0,5.0,31.0,0.0,0.0,0.0,85.0,19.0,1.0,0.0,6.0,3.0,22.0,8.0,0,0,2,0,0.0,0.0,0,1.0,1.0,3.0,25.0,True,2018-2019,FW,None,None,None,1.0,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,1.0,1.0,0.0,0.1,0.1,0.0,3.0,1.0,14.0,20.0,70.0,3.0,22.0,1.0,0.0,0.0,190.0,50.0,7.0,10.0,70.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,16.0,5.0,31.0,0.0,0.0,0.0,85.0,19.0,1.0,0.0,6.0,3.0,22.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0,1.0,0.6,1.6,1.0,2.0,139.0
Ryan Fraser,SCO,24,90.0,0,0,0,0,1,1,0,0,49.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,24.0,38.0,63.2,3.0,30.0,3.0,1.0,0.0,413.0,149.0,12.0,14.0,85.7,9.0,16.0,56.3,3.0,5.0,60.0,0.1,0.0,3.0,2.0,2.0,31.0,5.0,1.0,0.0,0.0,10,0.0,4.0,1.0,3.0,0.0,2.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,10.0,17.0,25.0,1.0,49.0,0.0,1.0,100.0,186.0,125.0,0.0,1.0,2.0,0.0,30.0,8.0,0,0,1,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,2018-2019,LM,RM,None,None,1.0,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,38.0,63.2,3.0,30.0,3.0,1.0,0.0,413.0,149.0,12.0,14.0,85.7,9.0,16.0,56.3,3.0,5.0,60.0,0.1,0.0,3.0,2.0,2.0,31.0,5.0,1.0,0.0,0.0,10.0,0.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,10.0,17.0,25.0,1.0,49.0,0.0,1.0,100.0,186.0,125.0,0.0,1.0,2.0,0.0,30.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0,1.0,0.6,1.6,1.0,2.0,139.0
Jefferson Lerma,COL,24,90.0,0,0,0,0,2,0,1,0,60.0,2.0,5,0.0,0.1,0.1,0.1,3.0,0.0,37.0,48.0,77.1,6.0,38.0,0.0,0.0,0.0,573.0,162.0,22.0,23.0,95.7,13.0,17.0,76.5,2.0,4.0,50.0,0.0,2.0,3.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,5.0,10.0,37.0,13.0,1.0,60.0,0.0,0.0,0.0,118.0,24.0,0.0,0.0,1.0,0.0,36.0,1.0,0,2,0,0,0.0,0.0,1,10.0,2.0,1.0,66.7,True,2018-2019,CM,None,None,None,1.0,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,24.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,60.0,2.0,5.0,0.0,0.1,0.1,0.1,3.0,0.0,37.0,48.0,77.1,6.0,38.0,0.0,0.0,0.0,573.0,162.0,22.0,23.0,95.7,13.0,17.0,76.5,2.0,4.0,50.0,0.0,2.0,3.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,5.0,10.0,37.0,13.0,1.0,60.0,0.0,0.0,0.0,118.0,24.0,0.0,0.0,1.0,0.0,36.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,1.0,66.7,1.0,0.6,1.6,1.0,2.0,139.0
Dan Gosling,ENG,28,72.0,0,0,0,0,0,0,0,0,42.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,37.0,86.5,3.0,26.0,1.0,0.0,0.0,511.0,65.0,19.0,21.0,90.5,10.0,12.0,83.3,3.0,3.0,100.0,0.0,0.0,2.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,27.0,8.0,0.0,42.0,0.0,0.0,0.0,116.0,40.0,0.0,0.0,0.0,1.0,31.0,0.0,0,0,1,0,0.0,0.0,0,3.0,1.0,2.0,33.3,True,2018-2019,CM,None,None,None,0.8,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,1.25,0.0,0.0,0.0,1.25,0.0,40.0,46.25,108.125,3.75,32.5,1.25,0.0,0.0,638.75,81.25,23.75,26.25,113.125,12.5,15.0,104.12499999999999,3.75,3.75,125.0,0.0,0.0,2.5,0.0,0.0,45.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,3.75,0.0,1.25,0.0,1.25,0.0,2.5,8.75,33.75,10.0,0.0,52.5,0.0,0.0,0.0,145.0,50.0,0.0,0.0,0.0,1.25,38.75,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,3.75,1.25,2.5,41.62499999999999,1.0,0.7499999999999999,2.0,1.25,2.5,173.75
Lewis Cook,ENG,21,18.0,0,0,0,0,0,0,0,0,10.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,85.7,1.0,7.0,1.0,0.0,0.0,94.0,32.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,10.0,0.0,0.0,0.0,40.0,15.0,1.0,0.0,0.0,1.0,7.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2018-2019,CM,None,None,None,0.2,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,30.0,35.0,428.5,5.0,35.0,5.0,0.0,0.0,470.0,160.0,20.0,25.0,400.0,10.0,10.0,500.0,0.0,0.0,0.0,0.5,0.0,5.0,5.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,25.0,15.0,0.0,50.0,0.0,0.0,0.0,200.0,75.0,5.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.9999999999999996,8.0,5.0,10.0,695.0
David Brooks,WAL,21,72.0,0,1,0,0,1,1,0,0,40.0,1.0,0,0.0,0.0,0.0,0.1,2.0,1.0,18.0,26.0,69.2,5.0,27.0,3.0,4.0,2.0,239.0,60.0,13.0,16.0,81.3,5.0,7.0,71.4,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,18.0,14.0,1.0,40.0,50.0,2.0,50.0,165.0,86.0,3.0,0.0,3.0,5.0,26.0,6.0,0,0,1,2,0.0,0.0,0,5.0,0.0,1.0,0.0,True,2018-2019,RM,LM,None,None,0.8,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,26.25,0.0,1.25,0.0,0.0,1.25,1.25,0.0,0.0,50.0,1.25,0.0,0.0,0.0,0.0,0.125,2.5,1.25,22.5,32.5,86.5,6.25,33.75,3.75,5.0,2.5,298.75,75.0,16.25,20.0,101.62499999999999,6.25,8.75,89.25,0.0,1.25,0.0,0.0,2.5,3.75,2.5,0.0,32.5,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.25,1.25,1.25,125.0,0.0,0.0,0.0,1.25,2.5,0.0,2.5,10.0,22.5,17.5,1.25,50.0,62.5,2.5,62.5,206.25,107.5,3.75,0.0,3.75,6.25,32.5,7.5,0.0,0.0,1.25,2.5,0.0,0.0,0.0,6.25,0.0,1.25,0.0,1.0,0.7499999999999999,2.0,1.25,2.5,173.75
Junior Stanislas,ENG,28,18.0,0,0,0,0,3,1,0,0,18.0,1.0,0,0.0,0.3,0.3,0.0,1.0,0.0,8.0,13.0,61.5,2.0,12.0,0.0,0.0,0.0,115.0,33.0,5.0,6.0,83.3,2.0,3.0,66.7,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,12.0,4.0,18.0,0.0,0.0,0.0,57.0,30.0,2.0,0.0,0.0,0.0,12.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2018-2019,RM,None,None,None,0.2,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,140.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,90.0,5.0,0.0,0.0,1.4999999999999998,1.4999999999999998,0.0,5.0,0.0,40.0,65.0,307.5,10.0,60.0,0.0,0.0,0.0,575.0,165.0,25.0,30.0,416.49999999999994,10.0,15.0,333.5,5.0,10.0,250.0,0.0,5.0,5.0,5.0,0.0,60.0,5.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,500.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,20.0,10.0,60.0,20.0,90.0,0.0,0.0,0.0,285.0,150.0,10.0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.9999999999999996,8.0,5.0,10.0,695.0
Charlie Daniels,ENG,32,90.0,0,0,0,0,0,0,0,0,70.0,1.0,1,1.0,0.0,0.0,0.1,1.0,0.0,46.0,58.0,79.3,5.0,38.0,1.0,2.0,2.0,734.0,340.0,27.0,31.0,87.1,11.0,17.0,64.7,6.0,7.0,85.7,0.0,1.0,5.0,1.0,1.0,47.0,11.0,0.0,0.0,0.0,3,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,5.0,0.0,4.0,24.0,30.0,18.0,4.0,70.0,100.0,0.0,0.0,164.0,88.0,2.0,0.0,1.0,1.0,37.0,4.0,0,0,1,0,0.0,0.0,0,5.0,2.0,1.0,66.7,True,2018-2019,LB,None,None,None,1.0,Arsenal_Bournemouth,Arsenal_Bournemouth_2018,0.6,1.6,1.0,2.0,2018-11-25,Craig Pawson,Vitality Stadium,Sun,13:30,"10,792",139,Arsenal,Bournemouth,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,46.0,58.0,79.3,5.0,38.0,1.0,2.0,2.0,734.0,340.0,27.0,31.0,87.1,11.0,17.0,64.7,6.0,7.0,85.7,0.0,1.0,5.0,1.0,1.0,47.0,11.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,5.0,0.0,4.0,24.0,30.0,18.0,4.0,70.0,100.0,0.0,0.0,164.0,88.0,2.0,0.0,1.0,1.0,37.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7,1.0,0.6,1.6,1.0,2.0,139.0
