player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Joe Gelhardt,ENG,19,90.0,0,0,0,0,0,0,1,0,22.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,17.0,64.7,0.0,14.0,0.0,1.0,1.0,89.0,2.0,9.0,10.0,90.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,2.0,22.0,100.0,0.0,0.0,28.0,17.0,0.0,0.0,1.0,3.0,17.0,3.0,0,3,5,0,1.0,0.0,0,2.0,0.0,0.0,0.0,True,2021-2022,FW,None,None,None,1.0,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,17.0,64.7,0.0,14.0,0.0,1.0,1.0,89.0,2.0,9.0,10.0,90.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,2.0,22.0,100.0,0.0,0.0,28.0,17.0,0.0,0.0,1.0,3.0,17.0,3.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.6,3.5,1.0,4.0,182.0
Jack Harrison,ENG,25,30.0,0,0,0,0,0,0,0,0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2021-2022,LW,None,None,None,0.3333333333333333,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,150.0,0.0,3.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,4.800000000000001,10.5,3.0,12.0,546.0
Crysencio Summerville,NED,20,50.0,0,0,0,0,1,0,0,0,28.0,1.0,1,0.0,0.2,0.2,0.0,1.0,0.0,17.0,23.0,73.9,3.0,18.0,0.0,1.0,1.0,184.0,58.0,11.0,13.0,84.6,4.0,5.0,80.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,9.0,11.0,2.0,28.0,100.0,0.0,0.0,70.0,42.0,0.0,0.0,1.0,0.0,20.0,4.0,0,0,0,0,0.0,0.0,0,6.0,0.0,2.0,0.0,True,2021-2022,LW,None,None,None,0.5555555555555556,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,36.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,50.4,1.7999999999999998,1.7999999999999998,0.0,0.36,0.36,0.0,1.7999999999999998,0.0,30.599999999999998,41.4,133.02,5.3999999999999995,32.4,0.0,1.7999999999999998,1.7999999999999998,331.2,104.39999999999999,19.8,23.4,152.27999999999997,7.199999999999999,9.0,144.0,0.0,1.7999999999999998,0.0,0.0,1.7999999999999998,1.7999999999999998,3.5999999999999996,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,14.399999999999999,16.2,19.8,3.5999999999999996,50.4,180.0,0.0,0.0,126.0,75.6,0.0,0.0,1.7999999999999998,0.0,36.0,7.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.799999999999999,0.0,3.5999999999999996,0.0,1.0,2.88,6.3,1.7999999999999998,7.199999999999999,327.59999999999997
Liam McCarron,SCO,20,10.0,0,0,0,0,0,0,0,0,3.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2021-2022,LW,None,None,None,0.1111111111111111,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,900.0,0.0,18.0,0.0,0.0,0.0,378.0,0.0,9.0,9.0,900.0,0.0,0.0,0.0,9.0,9.0,900.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,135.0,54.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,14.400000000000002,31.5,9.0,36.0,1638.0
Raphinha,BRA,25,90.0,1,0,1,1,3,0,0,0,50.0,1.0,1,0.0,1.3,0.5,0.0,2.0,0.0,21.0,36.0,58.3,8.0,38.0,3.0,4.0,2.0,350.0,181.0,8.0,11.0,72.7,11.0,15.0,73.3,1.0,4.0,25.0,0.0,0.0,5.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,25.0,18.0,4.0,49.0,50.0,2.0,50.0,151.0,82.0,0.0,1.0,2.0,1.0,37.0,3.0,0,2,0,0,0.0,0.0,0,6.0,1.0,2.0,33.3,True,2021-2022,RW,None,None,None,1.0,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,25.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,1.3,0.5,0.0,2.0,0.0,21.0,36.0,58.3,8.0,38.0,3.0,4.0,2.0,350.0,181.0,8.0,11.0,72.7,11.0,15.0,73.3,1.0,4.0,25.0,0.0,0.0,5.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,25.0,18.0,4.0,49.0,50.0,2.0,50.0,151.0,82.0,0.0,1.0,2.0,1.0,37.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,1.0,1.6,3.5,1.0,4.0,182.0
Tyler Roberts,WAL,22,90.0,0,0,0,0,4,1,0,0,41.0,0.0,0,0.0,0.2,0.2,0.0,2.0,0.0,21.0,28.0,75.0,4.0,25.0,0.0,0.0,0.0,255.0,86.0,11.0,14.0,78.6,5.0,7.0,71.4,1.0,2.0,50.0,0.0,0.0,3.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,9.0,20.0,12.0,1.0,41.0,0.0,0.0,0.0,98.0,25.0,1.0,0.0,3.0,2.0,31.0,5.0,0,1,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2021-2022,AM,None,None,None,1.0,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,22.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,21.0,28.0,75.0,4.0,25.0,0.0,0.0,0.0,255.0,86.0,11.0,14.0,78.6,5.0,7.0,71.4,1.0,2.0,50.0,0.0,0.0,3.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,9.0,20.0,12.0,1.0,41.0,0.0,0.0,0.0,98.0,25.0,1.0,0.0,3.0,2.0,31.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,1.0,1.6,3.5,1.0,4.0,182.0
Adam Forshaw,ENG,30,90.0,0,0,0,0,0,0,0,0,57.0,4.0,1,1.0,0.0,0.0,0.4,2.0,0.0,37.0,43.0,86.0,2.0,32.0,0.0,2.0,2.0,704.0,268.0,13.0,15.0,86.7,13.0,13.0,100.0,8.0,11.0,72.7,0.0,1.0,4.0,0.0,0.0,43.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,1.0,5.0,0.0,1.0,3.0,27.0,28.0,6.0,0.0,57.0,100.0,0.0,0.0,149.0,65.0,0.0,0.0,1.0,2.0,34.0,0.0,0,0,1,0,0.0,0.0,0,11.0,0.0,0.0,0.0,True,2021-2022,DM,None,None,None,1.0,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,4.0,1.0,1.0,0.0,0.0,0.4,2.0,0.0,37.0,43.0,86.0,2.0,32.0,0.0,2.0,2.0,704.0,268.0,13.0,15.0,86.7,13.0,13.0,100.0,8.0,11.0,72.7,0.0,1.0,4.0,0.0,0.0,43.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,1.0,5.0,0.0,1.0,3.0,27.0,28.0,6.0,0.0,57.0,100.0,0.0,0.0,149.0,65.0,0.0,0.0,1.0,2.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.6,3.5,1.0,4.0,182.0
Mateusz Klich,POL,31,77.0,0,0,0,0,0,0,0,0,51.0,1.0,0,1.0,0.0,0.0,0.3,4.0,1.0,34.0,41.0,82.9,1.0,27.0,3.0,4.0,2.0,410.0,108.0,17.0,20.0,85.0,10.0,13.0,76.9,0.0,0.0,0.0,0.1,3.0,0.0,2.0,1.0,40.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,13.0,23.0,16.0,1.0,51.0,50.0,2.0,50.0,145.0,79.0,2.0,0.0,0.0,0.0,35.0,7.0,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,2021-2022,DM,None,None,None,0.8555555555555555,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,36.23376623376623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.61038961038961,1.168831168831169,0.0,1.168831168831169,0.0,0.0,0.35064935064935066,4.675324675324676,1.168831168831169,39.740259740259745,47.922077922077925,96.89610389610391,1.168831168831169,31.55844155844156,3.5064935064935066,4.675324675324676,2.337662337662338,479.22077922077926,126.23376623376625,19.870129870129873,23.376623376623378,99.35064935064935,11.688311688311689,15.194805194805195,89.8831168831169,0.0,0.0,0.0,0.1168831168831169,3.5064935064935066,0.0,2.337662337662338,1.168831168831169,46.753246753246756,1.168831168831169,1.168831168831169,0.0,0.0,2.337662337662338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168831168831169,0.0,0.0,0.0,0.0,0.0,0.0,1.168831168831169,1.168831168831169,3.5064935064935066,0.0,2.337662337662338,15.194805194805195,26.883116883116884,18.701298701298704,1.168831168831169,59.61038961038961,58.44155844155844,2.337662337662338,58.44155844155844,169.4805194805195,92.33766233766234,2.337662337662338,0.0,0.0,0.0,40.909090909090914,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.337662337662338,0.0,1.168831168831169,0.0,1.0,1.8701298701298703,4.090909090909091,1.168831168831169,4.675324675324676,212.72727272727275
Sam Greenwood,ENG,19,13.0,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,7.0,1.0,0.0,0.0,76.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,52.0,18.0,1.0,0.0,1.0,0.0,7.0,3.0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2021-2022,DM,None,None,None,0.14444444444444443,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,131.53846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538461538462,48.46153846153847,494.3076923076924,0.0,48.46153846153847,6.923076923076923,0.0,0.0,526.1538461538462,0.0,13.846153846153847,13.846153846153847,692.3076923076924,6.923076923076923,6.923076923076923,692.3076923076924,6.923076923076923,13.846153846153847,346.1538461538462,0.0,0.0,0.0,0.0,0.0,48.46153846153847,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,27.692307692307693,20.76923076923077,0.0,55.38461538461539,0.0,0.0,0.0,360.00000000000006,124.61538461538463,6.923076923076923,0.0,6.923076923076923,0.0,48.46153846153847,20.76923076923077,0.0,6.923076923076923,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,1.0,11.076923076923078,24.230769230769234,6.923076923076923,27.692307692307693,1260.0000000000002
Stuart Dallas,NIR,30,90.0,0,0,0,0,0,0,1,0,53.0,1.0,3,2.0,0.0,0.0,0.0,2.0,0.0,36.0,44.0,81.8,2.0,21.0,2.0,0.0,0.0,446.0,154.0,21.0,24.0,87.5,13.0,15.0,86.7,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,11.0,2.0,0.0,0.0,1,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,4.0,1.0,1.0,4.0,28.0,21.0,7.0,2.0,53.0,0.0,0.0,0.0,109.0,77.0,1.0,1.0,3.0,0.0,27.0,1.0,0,1,0,0,0.0,0.0,0,7.0,0.0,2.0,0.0,True,2021-2022,LB,None,None,None,1.0,Arsenal_Leeds_United,Arsenal_Leeds_United_2021,1.6,3.5,1.0,4.0,2021-12-18,Andre Marriner,Elland Road,Sat,17:30,"36,166",182,Arsenal,Leeds United,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,36.0,44.0,81.8,2.0,21.0,2.0,0.0,0.0,446.0,154.0,21.0,24.0,87.5,13.0,15.0,86.7,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,11.0,2.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,4.0,1.0,1.0,4.0,28.0,21.0,7.0,2.0,53.0,0.0,0.0,0.0,109.0,77.0,1.0,1.0,3.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,1.6,3.5,1.0,4.0,182.0
