player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Roberto Firmino,BRA,27,85.0,0,0,0,0,6,1,0,0,62.0,2.0,0,1.0,0.3,0.3,0.0,4.0,0.0,35.0,45.0,77.8,0.0,42.0,4.0,4.0,2.0,377.0,68.0,25.0,30.0,83.3,4.0,7.0,57.1,1.0,1.0,100.0,0.1,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,22.0,40.0,13.0,62.0,50.0,2.0,50.0,242.0,89.0,4.0,3.0,5.0,0.0,48.0,12.0,0,0,0,0,0.0,0.0,0,5.0,0.0,2.0,0.0,True,2019-2020,FW,None,None,None,0.9444444444444444,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,28.58823529411765,0.0,0.0,0.0,0.0,6.352941176470589,1.0588235294117647,0.0,0.0,65.64705882352942,2.1176470588235294,0.0,1.0588235294117647,0.3176470588235294,0.3176470588235294,0.0,4.235294117647059,0.0,37.05882352941177,47.64705882352941,82.37647058823529,0.0,44.470588235294116,4.235294117647059,4.235294117647059,2.1176470588235294,399.1764705882353,72.0,26.47058823529412,31.764705882352942,88.2,4.235294117647059,7.411764705882353,60.45882352941177,1.0588235294117647,1.0588235294117647,105.88235294117648,0.10588235294117648,0.0,0.0,0.0,0.0,46.588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0588235294117647,0.0,1.0588235294117647,0.0,1.0588235294117647,1.0588235294117647,1.0588235294117647,2.1176470588235294,52.94117647058824,1.0588235294117647,0.0,1.0588235294117647,2.1176470588235294,0.0,0.0,0.0,0.0,23.294117647058822,42.35294117647059,13.764705882352942,65.64705882352942,52.94117647058824,2.1176470588235294,52.94117647058824,256.2352941176471,94.23529411764706,4.235294117647059,3.1764705882352944,5.294117647058823,0.0,50.82352941176471,12.705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,0.0,2.1176470588235294,0.0,1.0,2.6470588235294117,1.0588235294117647,3.1764705882352944,1.0588235294117647,29.647058823529413
Adam Lallana,ENG,31,5.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,True,2019-2020,FW,None,None,None,0.05555555555555555,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,1800.0,0.0,36.0,0.0,0.0,0.0,144.0,0.0,18.0,18.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,45.0,18.0,54.0,18.0,504.0
Sadio Mane,SEN,27,76.0,0,0,0,0,3,1,0,0,52.0,6.0,1,0.0,0.2,0.2,0.2,6.0,0.0,34.0,37.0,91.9,6.0,40.0,8.0,0.0,0.0,492.0,90.0,22.0,22.0,100.0,8.0,8.0,100.0,3.0,4.0,75.0,0.1,4.0,1.0,4.0,0.0,36.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3.0,3.0,2.0,2.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,11.0,40.0,6.0,52.0,0.0,0.0,0.0,283.0,174.0,4.0,3.0,2.0,4.0,42.0,10.0,0,1,2,0,0.0,0.0,0,3.0,1.0,2.0,33.3,True,2019-2020,LW,None,None,None,0.8444444444444444,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,31.973684210526315,0.0,0.0,0.0,0.0,3.5526315789473686,1.1842105263157894,0.0,0.0,61.578947368421055,7.105263157894737,1.1842105263157894,0.0,0.2368421052631579,0.2368421052631579,0.2368421052631579,7.105263157894737,0.0,40.26315789473684,43.81578947368421,108.82894736842105,7.105263157894737,47.36842105263158,9.473684210526315,0.0,0.0,582.6315789473684,106.57894736842105,26.05263157894737,26.05263157894737,118.42105263157895,9.473684210526315,9.473684210526315,118.42105263157895,3.5526315789473686,4.7368421052631575,88.8157894736842,0.11842105263157895,4.7368421052631575,1.1842105263157894,4.7368421052631575,0.0,42.63157894736842,1.1842105263157894,0.0,1.1842105263157894,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,4.7368421052631575,0.0,3.5526315789473686,3.5526315789473686,2.3684210526315788,2.3684210526315788,118.42105263157895,0.0,0.0,0.0,8.289473684210526,0.0,0.0,0.0,1.1842105263157894,13.026315789473685,47.36842105263158,7.105263157894737,61.578947368421055,0.0,0.0,0.0,335.13157894736844,206.05263157894737,4.7368421052631575,3.5526315789473686,2.3684210526315788,4.7368421052631575,49.73684210526316,11.842105263157896,0.0,1.1842105263157894,2.3684210526315788,0.0,0.0,0.0,0.0,3.5526315789473686,1.1842105263157894,2.3684210526315788,39.43421052631579,1.0,2.960526315789474,1.1842105263157894,3.5526315789473686,1.1842105263157894,33.1578947368421
Alex Oxlade-Chamberlain,ENG,26,14.0,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,3.0,0.0,0.0,0.0,61.0,9.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,10.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,2019-2020,LW,None,None,None,0.15555555555555556,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,167.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.28571428571428,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,25.714285714285715,32.14285714285714,514.2857142857142,0.0,19.285714285714285,0.0,0.0,0.0,392.1428571428571,57.857142857142854,12.857142857142858,12.857142857142858,642.8571428571429,0.0,0.0,0.0,6.428571428571429,6.428571428571429,642.8571428571429,0.0,0.0,0.0,0.0,0.0,25.714285714285715,6.428571428571429,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,6.428571428571429,0.0,0.0,19.285714285714285,32.14285714285714,12.857142857142858,0.0,64.28571428571428,0.0,0.0,0.0,77.14285714285714,12.857142857142858,0.0,0.0,0.0,0.0,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,1.0,16.07142857142857,6.428571428571429,19.285714285714285,6.428571428571429,180.0
Mohamed Salah,EGY,27,90.0,2,0,1,1,4,1,0,0,50.0,1.0,0,0.0,1.6,0.8,0.0,8.0,2.0,29.0,40.0,72.5,5.0,41.0,7.0,4.0,3.0,319.0,87.0,16.0,19.0,84.2,6.0,8.0,75.0,1.0,1.0,100.0,0.5,1.0,1.0,4.0,0.0,39.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,38.0,10.0,49.0,75.0,1.0,25.0,296.0,211.0,6.0,4.0,1.0,2.0,41.0,10.0,0,0,1,1,1.0,0.0,0,4.0,1.0,1.0,50.0,True,2019-2020,RW,None,None,None,1.0,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,27.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,1.6,0.8,0.0,8.0,2.0,29.0,40.0,72.5,5.0,41.0,7.0,4.0,3.0,319.0,87.0,16.0,19.0,84.2,6.0,8.0,75.0,1.0,1.0,100.0,0.5,1.0,1.0,4.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,38.0,10.0,49.0,75.0,1.0,25.0,296.0,211.0,6.0,4.0,1.0,2.0,41.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,2.5,1.0,3.0,1.0,28.0
Georginio Wijnaldum,NED,28,68.0,0,0,0,0,2,0,0,0,65.0,1.0,2,0.0,0.1,0.1,0.0,2.0,1.0,57.0,58.0,98.3,9.0,54.0,1.0,3.0,1.0,828.0,181.0,30.0,30.0,100.0,20.0,20.0,100.0,3.0,4.0,75.0,0.1,0.0,7.0,1.0,0.0,58.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,30.0,30.0,1.0,65.0,33.3,2.0,66.7,212.0,95.0,2.0,0.0,2.0,2.0,51.0,3.0,0,0,0,0,0.0,0.0,0,6.0,0.0,1.0,0.0,True,2019-2020,LM,None,None,None,0.7555555555555555,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,37.05882352941177,0.0,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,86.02941176470588,1.3235294117647058,2.6470588235294117,0.0,0.1323529411764706,0.1323529411764706,0.0,2.6470588235294117,1.3235294117647058,75.44117647058823,76.76470588235294,130.10294117647058,11.911764705882353,71.47058823529412,1.3235294117647058,3.9705882352941178,1.3235294117647058,1095.8823529411766,239.55882352941177,39.705882352941174,39.705882352941174,132.35294117647058,26.47058823529412,26.47058823529412,132.35294117647058,3.9705882352941178,5.294117647058823,99.26470588235294,0.1323529411764706,0.0,9.264705882352942,1.3235294117647058,0.0,76.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9705882352941178,0.0,0.0,0.0,7.9411764705882355,39.705882352941174,39.705882352941174,1.3235294117647058,86.02941176470588,44.0735294117647,2.6470588235294117,88.27941176470588,280.5882352941177,125.73529411764706,2.6470588235294117,0.0,2.6470588235294117,2.6470588235294117,67.5,3.9705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9411764705882355,0.0,1.3235294117647058,0.0,1.0,3.308823529411765,1.3235294117647058,3.9705882352941178,1.3235294117647058,37.05882352941177
James Milner,ENG,33,22.0,0,0,0,0,0,0,0,0,20.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,72.2,2.0,17.0,0.0,0.0,0.0,232.0,70.0,6.0,6.0,100.0,6.0,7.0,85.7,1.0,4.0,25.0,0.0,0.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,11.0,6.0,0.0,20.0,0.0,0.0,0.0,68.0,25.0,0.0,0.0,0.0,1.0,13.0,0.0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2019-2020,LM,None,None,None,0.24444444444444444,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818181818183,4.090909090909091,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,53.18181818181819,73.63636363636364,295.3636363636364,8.181818181818182,69.54545454545455,0.0,0.0,0.0,949.0909090909091,286.3636363636364,24.545454545454547,24.545454545454547,409.0909090909091,24.545454545454547,28.636363636363637,350.5909090909091,4.090909090909091,16.363636363636363,102.27272727272728,0.0,0.0,8.181818181818182,0.0,0.0,69.54545454545455,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,8.181818181818182,12.272727272727273,45.0,24.545454545454547,0.0,81.81818181818183,0.0,0.0,0.0,278.1818181818182,102.27272727272728,0.0,0.0,0.0,4.090909090909091,53.18181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.454545454545457,0.0,0.0,0.0,1.0,10.227272727272728,4.090909090909091,12.272727272727273,4.090909090909091,114.54545454545455
Fabinho,BRA,25,90.0,0,1,0,0,0,0,1,0,73.0,2.0,0,1.0,0.0,0.0,0.4,6.0,1.0,66.0,71.0,93.0,8.0,58.0,1.0,1.0,1.0,1405.0,406.0,18.0,18.0,100.0,36.0,40.0,90.0,11.0,12.0,91.7,0.1,4.0,13.0,2.0,1.0,71.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,2.0,3.0,66.7,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,48.0,22.0,1.0,73.0,100.0,0.0,0.0,271.0,111.0,3.0,0.0,1.0,0.0,57.0,2.0,0,1,1,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,2019-2020,CM,None,None,None,1.0,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,2.0,0.0,1.0,0.0,0.0,0.4,6.0,1.0,66.0,71.0,93.0,8.0,58.0,1.0,1.0,1.0,1405.0,406.0,18.0,18.0,100.0,36.0,40.0,90.0,11.0,12.0,91.7,0.1,4.0,13.0,2.0,1.0,71.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,48.0,22.0,1.0,73.0,100.0,0.0,0.0,271.0,111.0,3.0,0.0,1.0,0.0,57.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.5,1.0,3.0,1.0,28.0
Jordan Henderson,ENG,29,90.0,0,0,0,0,1,0,0,0,68.0,5.0,1,1.0,0.1,0.1,0.0,2.0,0.0,44.0,56.0,78.6,10.0,46.0,1.0,0.0,0.0,883.0,209.0,14.0,16.0,87.5,21.0,27.0,77.8,7.0,8.0,87.5,0.1,0.0,2.0,0.0,0.0,54.0,2.0,0.0,0.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,4.0,7.0,30.0,32.0,2.0,68.0,0.0,0.0,0.0,155.0,71.0,5.0,0.0,0.0,0.0,48.0,4.0,0,2,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,2019-2020,RM,None,None,None,1.0,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,5.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,44.0,56.0,78.6,10.0,46.0,1.0,0.0,0.0,883.0,209.0,14.0,16.0,87.5,21.0,27.0,77.8,7.0,8.0,87.5,0.1,0.0,2.0,0.0,0.0,54.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,4.0,7.0,30.0,32.0,2.0,68.0,0.0,0.0,0.0,155.0,71.0,5.0,0.0,0.0,0.0,48.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0,1.0,2.5,1.0,3.0,1.0,28.0
Andrew Robertson,SCO,25,90.0,0,0,0,0,3,0,0,0,95.0,3.0,1,0.0,0.1,0.1,0.5,6.0,0.0,73.0,86.0,84.9,8.0,64.0,12.0,2.0,2.0,1145.0,441.0,42.0,42.0,100.0,24.0,28.0,85.7,5.0,11.0,45.5,0.3,3.0,9.0,1.0,1.0,77.0,9.0,2.0,0.0,1.0,10,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,1.0,1.0,7.0,14.3,6.0,0.0,0.0,4.0,2.0,0.0,2.0,19.0,32.0,46.0,6.0,95.0,100.0,0.0,0.0,474.0,353.0,5.0,3.0,1.0,0.0,70.0,15.0,0,3,0,0,0.0,0.0,0,5.0,0.0,2.0,0.0,True,2019-2020,LB,None,None,None,1.0,Arsenal_Liverpool,Arsenal_Liverpool_2019,2.5,1.0,3.0,1.0,2019-08-24,Anthony Taylor,Anfield,Sat,17:30,"53,298",28,Liverpool,Arsenal,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,95.0,3.0,1.0,0.0,0.1,0.1,0.5,6.0,0.0,73.0,86.0,84.9,8.0,64.0,12.0,2.0,2.0,1145.0,441.0,42.0,42.0,100.0,24.0,28.0,85.7,5.0,11.0,45.5,0.3,3.0,9.0,1.0,1.0,77.0,9.0,2.0,0.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,7.0,14.3,6.0,0.0,0.0,4.0,2.0,0.0,2.0,19.0,32.0,46.0,6.0,95.0,100.0,0.0,0.0,474.0,353.0,5.0,3.0,1.0,0.0,70.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,2.5,1.0,3.0,1.0,28.0
