player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Eddie Nketiah,ENG,23,90.0,0,0,0,0,4,0,1,0,24.0,1.0,0,0.0,0.6,0.6,0.0,2.0,1.0,11.0,13.0,84.6,1.0,14.0,1.0,1.0,0.0,171.0,38.0,5.0,5.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,12.0,7.0,5.0,24.0,0.0,1.0,100.0,72.0,15.0,0.0,1.0,2.0,3.0,16.0,4.0,0,3,3,0,1.0,0.0,0,2.0,0.0,3.0,0.0,True,2022-2023,FW,None,None,None,1.0,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,23.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,0.6,0.6,0.0,2.0,1.0,11.0,13.0,84.6,1.0,14.0,1.0,1.0,0.0,171.0,38.0,5.0,5.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,12.0,7.0,5.0,24.0,0.0,1.0,100.0,72.0,15.0,0.0,1.0,2.0,3.0,16.0,4.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.6,1.8,1.0,3.0,245.0
Martinelli,BRA,21,75.0,0,0,0,0,0,0,0,0,30.0,1.0,0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,23.0,78.3,2.0,18.0,3.0,4.0,3.0,256.0,82.0,13.0,13.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0.1,1.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,11.0,14.0,1.0,30.0,75.0,1.0,25.0,102.0,71.0,2.0,1.0,2.0,1.0,19.0,4.0,0,2,1,0,0.0,0.0,0,4.0,0.0,2.0,0.0,True,2022-2023,LW,None,None,None,0.8333333333333334,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.599999999999998,27.599999999999998,93.96,2.4,21.599999999999998,3.5999999999999996,4.8,3.5999999999999996,307.2,98.39999999999999,15.6,15.6,120.0,4.8,6.0,96.0,1.2,2.4,60.0,0.12,1.2,0.0,1.2,0.0,26.4,1.2,0.0,0.0,0.0,3.5999999999999996,0.0,1.2,1.2,0.0,0.0,0.0,2.4,0.0,1.2,0.0,0.0,1.2,1.2,120.0,0.0,0.0,0.0,1.2,0.0,0.0,1.2,7.199999999999999,13.2,16.8,1.2,36.0,90.0,1.2,30.0,122.39999999999999,85.2,2.4,1.2,2.4,1.2,22.8,4.8,0.0,2.4,1.2,0.0,0.0,0.0,0.0,4.8,0.0,2.4,0.0,1.0,1.92,2.16,1.2,3.5999999999999996,294.0
Leandro Trossard,BEL,28,15.0,0,0,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,10.0,14.0,71.4,2.0,15.0,1.0,0.0,0.0,163.0,34.0,5.0,6.0,83.3,4.0,6.0,66.7,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,17.0,0.0,0.0,0.0,70.0,35.0,0.0,0.0,1.0,1.0,15.0,8.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,LW,None,None,None,0.16666666666666666,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,6.0,0.0,60.0,84.0,428.40000000000003,12.0,90.0,6.0,0.0,0.0,978.0,204.0,30.0,36.0,499.8,24.0,36.0,400.20000000000005,6.0,12.0,300.0,0.0,6.0,6.0,6.0,0.0,84.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,72.0,12.0,102.0,0.0,0.0,0.0,420.0,210.0,0.0,0.0,6.0,6.0,90.0,48.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.600000000000001,10.8,6.0,18.0,1470.0
Bukayo Saka,ENG,21,90.0,1,0,1,1,0,0,0,0,42.0,2.0,1,1.0,0.8,0.0,0.2,1.0,0.0,19.0,27.0,70.4,3.0,22.0,2.0,4.0,1.0,309.0,76.0,8.0,11.0,72.7,8.0,10.0,80.0,1.0,2.0,50.0,0.1,1.0,2.0,3.0,1.0,22.0,5.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,15.0,20.0,2.0,41.0,25.0,1.0,25.0,158.0,95.0,1.0,0.0,3.0,2.0,28.0,8.0,0,1,4,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,2022-2023,RW,None,None,None,1.0,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,21.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,2.0,1.0,1.0,0.8,0.0,0.2,1.0,0.0,19.0,27.0,70.4,3.0,22.0,2.0,4.0,1.0,309.0,76.0,8.0,11.0,72.7,8.0,10.0,80.0,1.0,2.0,50.0,0.1,1.0,2.0,3.0,1.0,22.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,15.0,20.0,2.0,41.0,25.0,1.0,25.0,158.0,95.0,1.0,0.0,3.0,2.0,28.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.6,1.8,1.0,3.0,245.0
Granit Xhaka,SUI,30,82.0,0,0,0,0,1,0,0,0,47.0,2.0,1,0.0,0.1,0.1,0.0,1.0,1.0,31.0,41.0,75.6,4.0,29.0,1.0,1.0,0.0,743.0,254.0,7.0,10.0,70.0,16.0,20.0,80.0,8.0,9.0,88.9,0.1,0.0,3.0,1.0,0.0,39.0,2.0,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,16.0,22.0,10.0,2.0,47.0,0.0,1.0,100.0,127.0,56.0,0.0,1.0,1.0,0.0,35.0,3.0,0,0,0,0,0.0,0.0,0,4.0,0.0,2.0,0.0,True,2022-2023,LM,None,None,None,0.9111111111111111,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,32.926829268292686,0.0,0.0,0.0,0.0,1.0975609756097562,0.0,0.0,0.0,51.58536585365854,2.1951219512195124,1.0975609756097562,0.0,0.10975609756097562,0.10975609756097562,0.0,1.0975609756097562,1.0975609756097562,34.02439024390244,45.0,82.97560975609755,4.390243902439025,31.829268292682926,1.0975609756097562,1.0975609756097562,0.0,815.4878048780488,278.7804878048781,7.682926829268292,10.975609756097562,76.82926829268293,17.5609756097561,21.951219512195124,87.8048780487805,8.78048780487805,9.878048780487806,97.57317073170732,0.10975609756097562,0.0,3.2926829268292686,1.0975609756097562,0.0,42.80487804878049,2.1951219512195124,1.0975609756097562,1.0975609756097562,2.1951219512195124,3.2926829268292686,1.0975609756097562,0.0,0.0,0.0,0.0,0.0,1.0975609756097562,1.0975609756097562,1.0975609756097562,1.0975609756097562,0.0,1.0975609756097562,2.1951219512195124,54.87804878048781,1.0975609756097562,0.0,0.0,3.2926829268292686,0.0,0.0,2.1951219512195124,17.5609756097561,24.146341463414636,10.975609756097562,2.1951219512195124,51.58536585365854,0.0,1.0975609756097562,109.75609756097562,139.39024390243904,61.46341463414634,0.0,1.0975609756097562,1.0975609756097562,0.0,38.41463414634146,3.2926829268292686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.390243902439025,0.0,2.1951219512195124,0.0,1.0,1.75609756097561,1.975609756097561,1.0975609756097562,3.2926829268292686,268.9024390243903
Fabio Vieira,POR,22,8.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,1.0,5.0,1.0,1.0,0.0,78.0,19.0,2.0,5.0,40.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,9.0,0.0,1.0,100.0,28.0,14.0,1.0,0.0,0.0,0.0,7.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,LM,None,None,None,0.08888888888888889,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,247.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,90.0,703.125,11.25,56.25,11.25,11.25,0.0,877.5,213.75,22.5,56.25,450.0,33.75,33.75,1125.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,78.75,11.25,0.0,0.0,0.0,22.5,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,56.25,11.25,101.25,0.0,11.25,1125.0,315.0,157.5,11.25,0.0,0.0,0.0,78.75,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,20.25,11.25,33.75,2756.25
Jorginho,ITA,31,90.0,0,0,0,0,0,0,0,0,72.0,1.0,3,1.0,0.0,0.0,0.1,2.0,0.0,58.0,66.0,87.9,8.0,46.0,1.0,0.0,0.0,956.0,298.0,26.0,29.0,89.7,25.0,27.0,92.6,5.0,7.0,71.4,0.1,1.0,8.0,3.0,0.0,63.0,3.0,3.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,4.0,19.0,42.0,11.0,1.0,72.0,0.0,0.0,0.0,174.0,59.0,1.0,0.0,0.0,0.0,55.0,2.0,0,1,0,0,0.0,0.0,0,8.0,0.0,0.0,0.0,True,2022-2023,CM,None,None,None,1.0,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,3.0,1.0,0.0,0.0,0.1,2.0,0.0,58.0,66.0,87.9,8.0,46.0,1.0,0.0,0.0,956.0,298.0,26.0,29.0,89.7,25.0,27.0,92.6,5.0,7.0,71.4,0.1,1.0,8.0,3.0,0.0,63.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,4.0,19.0,42.0,11.0,1.0,72.0,0.0,0.0,0.0,174.0,59.0,1.0,0.0,0.0,0.0,55.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.6,1.8,1.0,3.0,245.0
Martin Odegaard,NOR,24,90.0,0,0,0,0,2,0,0,0,53.0,0.0,0,1.0,0.1,0.1,0.0,2.0,0.0,38.0,47.0,80.9,7.0,34.0,0.0,1.0,0.0,630.0,133.0,18.0,20.0,90.0,13.0,16.0,81.3,5.0,8.0,62.5,0.1,1.0,3.0,2.0,0.0,43.0,4.0,4.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,27.0,22.0,1.0,53.0,0.0,1.0,100.0,168.0,76.0,1.0,0.0,2.0,2.0,40.0,5.0,0,1,0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,2022-2023,RM,None,None,None,1.0,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,0.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,38.0,47.0,80.9,7.0,34.0,0.0,1.0,0.0,630.0,133.0,18.0,20.0,90.0,13.0,16.0,81.3,5.0,8.0,62.5,0.1,1.0,3.0,2.0,0.0,43.0,4.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,27.0,22.0,1.0,53.0,0.0,1.0,100.0,168.0,76.0,1.0,0.0,2.0,2.0,40.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.6,1.8,1.0,3.0,245.0
Oleksandr Zinchenko,UKR,26,90.0,0,0,0,0,0,0,0,0,85.0,2.0,2,0.0,0.0,0.0,0.3,3.0,0.0,61.0,74.0,82.4,8.0,41.0,3.0,2.0,1.0,1066.0,180.0,22.0,23.0,95.7,33.0,38.0,86.8,4.0,8.0,50.0,0.2,1.0,4.0,2.0,1.0,60.0,14.0,2.0,0.0,1.0,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,29.0,35.0,21.0,2.0,85.0,50.0,1.0,50.0,235.0,144.0,4.0,0.0,3.0,0.0,45.0,4.0,0,0,0,0,0.0,0.0,0,8.0,2.0,1.0,66.7,True,2022-2023,LB,None,None,None,1.0,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2.0,2.0,0.0,0.0,0.0,0.3,3.0,0.0,61.0,74.0,82.4,8.0,41.0,3.0,2.0,1.0,1066.0,180.0,22.0,23.0,95.7,33.0,38.0,86.8,4.0,8.0,50.0,0.2,1.0,4.0,2.0,1.0,60.0,14.0,2.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,29.0,35.0,21.0,2.0,85.0,50.0,1.0,50.0,235.0,144.0,4.0,0.0,3.0,0.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7,1.0,1.6,1.8,1.0,3.0,245.0
Gabriel Dos Santos,BRA,25,90.0,0,0,0,0,0,0,0,0,73.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,65.0,69.0,94.2,3.0,52.0,1.0,0.0,0.0,1206.0,389.0,23.0,24.0,95.8,38.0,38.0,100.0,4.0,6.0,66.7,0.0,1.0,2.0,0.0,0.0,66.0,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,45.0,26.0,2.0,1.0,73.0,0.0,0.0,0.0,270.0,175.0,0.0,0.0,0.0,0.0,58.0,0.0,0,1,2,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,2022-2023,CB,None,None,None,1.0,Arsenal_Manchester_City,Arsenal_Manchester_City_2022,1.6,1.8,1.0,3.0,2023-02-15,Anthony Taylor,Emirates Stadium,Wed,19:30,"60,276",245,Manchester City,Arsenal,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,65.0,69.0,94.2,3.0,52.0,1.0,0.0,0.0,1206.0,389.0,23.0,24.0,95.8,38.0,38.0,100.0,4.0,6.0,66.7,0.0,1.0,2.0,0.0,0.0,66.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,45.0,26.0,2.0,1.0,73.0,0.0,0.0,0.0,270.0,175.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.6,1.8,1.0,3.0,245.0
