player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Danny Welbeck,ENG,31,58.0,0,0,0,0,0,0,0,0,15.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,5.0,0.0,0.0,0.0,50.0,6.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,6.0,7.0,1.0,15.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.0,1.0,8.0,3.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,FW,None,None,None,0.6444444444444445,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,48.103448275862064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.275862068965516,0.0,0.0,6.206896551724138,0.0,0.0,0.0,0.0,0.0,9.310344827586206,10.86206896551724,132.98275862068965,0.0,7.758620689655172,0.0,0.0,0.0,77.58620689655172,9.310344827586206,9.310344827586206,10.86206896551724,132.98275862068965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.310344827586206,1.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,1.5517241379310345,1.5517241379310345,4.655172413793103,0.0,1.5517241379310345,0.0,1.5517241379310345,3.103448275862069,9.310344827586206,10.86206896551724,1.5517241379310345,23.275862068965516,0.0,0.0,0.0,17.068965517241377,1.5517241379310345,0.0,0.0,4.655172413793103,1.5517241379310345,12.413793103448276,4.655172413793103,0.0,1.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9310344827586206,2.3275862068965516,1.5517241379310345,3.103448275862069,245.17241379310343
Deniz Undav,GER,26,32.0,0,0,0,0,1,0,0,0,6.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,FW,None,None,None,0.35555555555555557,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,73.125,0.0,0.0,0.0,0.0,2.8125,0.0,0.0,0.0,16.875,0.0,0.0,0.0,0.28125,0.28125,0.0,0.0,0.0,8.4375,14.0625,168.75,0.0,2.8125,0.0,0.0,0.0,42.1875,8.4375,2.8125,8.4375,93.65624999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.875,2.8125,16.875,0.0,0.0,0.0,14.0625,14.0625,0.0,0.0,0.0,0.0,16.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6874999999999998,4.21875,2.8125,5.625,444.375
Leandro Trossard,BEL,27,90.0,0,0,0,0,1,1,0,0,55.0,1.0,0,1.0,0.0,0.0,0.1,2.0,0.0,32.0,42.0,76.2,4.0,38.0,4.0,2.0,0.0,510.0,118.0,16.0,18.0,88.9,11.0,14.0,78.6,3.0,5.0,60.0,0.1,2.0,3.0,3.0,1.0,40.0,1.0,1.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,23.0,29.0,4.0,55.0,0.0,0.0,0.0,143.0,80.0,1.0,2.0,4.0,3.0,43.0,4.0,0,2,1,1,0.0,0.0,0,4.0,0.0,0.0,0.0,True,2022-2023,AM,LW,None,None,1.0,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,1.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,32.0,42.0,76.2,4.0,38.0,4.0,2.0,0.0,510.0,118.0,16.0,18.0,88.9,11.0,14.0,78.6,3.0,5.0,60.0,0.1,2.0,3.0,3.0,1.0,40.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,23.0,29.0,4.0,55.0,0.0,0.0,0.0,143.0,80.0,1.0,2.0,4.0,3.0,43.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.6,1.5,1.0,2.0,158.0
Solly March,ENG,28,90.0,0,0,0,0,0,0,0,0,55.0,2.0,1,2.0,0.0,0.0,0.0,1.0,0.0,28.0,42.0,66.7,3.0,30.0,2.0,5.0,2.0,637.0,96.0,8.0,11.0,72.7,14.0,18.0,77.8,6.0,11.0,54.5,0.0,0.0,2.0,1.0,0.0,34.0,8.0,1.0,0.0,3.0,7,1.0,6.0,4.0,0.0,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,7.0,16.0,33.0,2.0,55.0,40.0,3.0,60.0,213.0,125.0,1.0,0.0,0.0,2.0,31.0,11.0,0,2,1,1,0.0,0.0,0,2.0,1.0,0.0,100.0,True,2022-2023,RW,WB,AM,None,1.0,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,28.0,42.0,66.7,3.0,30.0,2.0,5.0,2.0,637.0,96.0,8.0,11.0,72.7,14.0,18.0,77.8,6.0,11.0,54.5,0.0,0.0,2.0,1.0,0.0,34.0,8.0,1.0,0.0,3.0,7.0,1.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,7.0,16.0,33.0,2.0,55.0,40.0,3.0,60.0,213.0,125.0,1.0,0.0,0.0,2.0,31.0,11.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,1.0,0.6,1.5,1.0,2.0,158.0
Adam Lallana,ENG,34,4.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,AM,None,None,None,0.044444444444444446,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,2250.0,0.0,22.5,0.0,0.0,0.0,247.5,0.0,22.5,22.5,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.499999999999998,33.75,22.5,45.0,3555.0
Julio Cesar Enciso,PAR,18,54.0,0,0,0,0,0,0,0,0,17.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,10.0,0.0,2.0,0.0,54.0,1.0,3.0,5.0,60.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,5.0,0.0,17.0,0.0,1.0,50.0,19.0,8.0,0.0,0.0,1.0,2.0,12.0,2.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2022-2023,AM,FW,None,None,0.6,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.333333333333336,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,10.0,16.666666666666668,100.0,0.0,16.666666666666668,0.0,3.3333333333333335,0.0,90.0,1.6666666666666667,5.0,8.333333333333334,100.0,1.6666666666666667,1.6666666666666667,166.66666666666669,0.0,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,15.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,18.333333333333336,8.333333333333334,0.0,28.333333333333336,0.0,1.6666666666666667,83.33333333333334,31.666666666666668,13.333333333333334,0.0,0.0,1.6666666666666667,3.3333333333333335,20.0,3.3333333333333335,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,1.0,1.0,2.5,1.6666666666666667,3.3333333333333335,263.33333333333337
Joel Veltman,NED,30,32.0,0,0,0,0,0,0,0,0,41.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,41.0,97.6,7.0,35.0,1.0,0.0,0.0,654.0,207.0,22.0,22.0,100.0,16.0,17.0,94.1,2.0,2.0,100.0,0.0,0.0,10.0,0.0,0.0,39.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,32.0,5.0,0.0,41.0,0.0,0.0,0.0,197.0,147.0,0.0,0.0,0.0,0.0,37.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,CB,FW,None,None,0.35555555555555557,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,84.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,115.3125,274.5,19.6875,98.4375,2.8125,0.0,0.0,1839.375,582.1875,61.875,61.875,281.25,45.0,47.8125,264.65625,5.625,5.625,281.25,0.0,0.0,28.125,0.0,0.0,109.6875,5.625,2.8125,0.0,0.0,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8125,11.25,90.0,14.0625,0.0,115.3125,0.0,0.0,0.0,554.0625,413.4375,0.0,0.0,0.0,0.0,104.0625,0.0,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6874999999999998,4.21875,2.8125,5.625,444.375
Moises Caicedo,ECU,21,90.0,0,0,0,0,0,0,1,0,78.0,7.0,2,0.0,0.0,0.0,0.0,0.0,0.0,53.0,63.0,84.1,8.0,46.0,0.0,1.0,0.0,832.0,226.0,28.0,32.0,87.5,18.0,20.0,90.0,5.0,7.0,71.4,0.0,0.0,7.0,1.0,1.0,62.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,3.0,2.0,2.0,100.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,8.0,50.0,21.0,1.0,78.0,0.0,1.0,100.0,121.0,75.0,0.0,0.0,3.0,1.0,55.0,1.0,0,2,3,0,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2022-2023,DM,CM,None,None,1.0,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,63.0,84.1,8.0,46.0,0.0,1.0,0.0,832.0,226.0,28.0,32.0,87.5,18.0,20.0,90.0,5.0,7.0,71.4,0.0,0.0,7.0,1.0,1.0,62.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,100.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,8.0,50.0,21.0,1.0,78.0,0.0,1.0,100.0,121.0,75.0,0.0,0.0,3.0,1.0,55.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,1.0,0.6,1.5,1.0,2.0,158.0
Alexis Mac Allister,ARG,23,90.0,1,0,0,0,1,1,0,0,84.0,2.0,2,1.0,0.3,0.3,0.2,1.0,0.0,68.0,71.0,95.8,5.0,55.0,1.0,3.0,1.0,1153.0,179.0,33.0,34.0,97.1,27.0,28.0,96.4,6.0,7.0,85.7,0.2,1.0,6.0,2.0,1.0,68.0,3.0,2.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,1.0,2.0,4.0,50.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,9.0,52.0,25.0,1.0,84.0,33.3,2.0,66.7,155.0,77.0,2.0,0.0,0.0,1.0,61.0,0.0,0,0,2,0,0.0,0.0,0,10.0,0.0,0.0,0.0,True,2022-2023,DM,CM,None,None,1.0,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,2.0,2.0,1.0,0.3,0.3,0.2,1.0,0.0,68.0,71.0,95.8,5.0,55.0,1.0,3.0,1.0,1153.0,179.0,33.0,34.0,97.1,27.0,28.0,96.4,6.0,7.0,85.7,0.2,1.0,6.0,2.0,1.0,68.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,9.0,52.0,25.0,1.0,84.0,33.3,2.0,66.7,155.0,77.0,2.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.6,1.5,1.0,2.0,158.0
Pervis Estupinan,ECU,24,80.0,0,0,0,0,1,0,0,0,56.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,33.0,49.0,67.3,1.0,27.0,1.0,1.0,0.0,441.0,154.0,16.0,18.0,88.9,14.0,19.0,73.7,1.0,6.0,16.7,0.0,0.0,2.0,0.0,0.0,41.0,7.0,0.0,0.0,0.0,3,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,14.0,23.0,19.0,2.0,56.0,0.0,1.0,100.0,86.0,42.0,2.0,0.0,0.0,0.0,31.0,9.0,0,3,1,1,0.0,0.0,0,8.0,1.0,1.0,50.0,True,2022-2023,LB,WB,None,None,0.8888888888888888,Aston_Villa_Brighton,Aston_Villa_Brighton_2022,0.6,1.5,1.0,2.0,2022-11-13,Chris Kavanagh,The American Express Community Stadium,Sun,14:00,"31,581",158,Aston Villa,Brighton,27.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,63.0,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,37.125,55.125,75.7125,1.125,30.375,1.125,1.125,0.0,496.125,173.25,18.0,20.25,100.01250000000002,15.75,21.375,82.91250000000001,1.125,6.75,18.7875,0.0,0.0,2.25,0.0,0.0,46.125,7.875,0.0,0.0,0.0,3.375,7.875,0.0,0.0,0.0,0.0,1.125,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,2.25,0.0,1.125,15.75,25.875,21.375,2.25,63.0,0.0,1.125,112.5,96.75,47.25,2.25,0.0,0.0,0.0,34.875,10.125,0.0,3.375,1.125,1.125,0.0,0.0,0.0,9.0,1.125,1.125,56.25,1.0,0.675,1.6875,1.125,2.25,177.75
