player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Aleksandar Mitrovic,SRB,26,90.0,0,0,0,0,6,1,0,0,32.0,0.0,0,0.0,0.4,0.4,0.0,1.0,0.0,13.0,16.0,81.3,0.0,8.0,0.0,1.0,0.0,137.0,6.0,12.0,12.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,12.0,32.0,0.0,1.0,100.0,23.0,1.0,0.0,0.0,3.0,0.0,20.0,5.0,0,2,2,0,0.0,0.0,0,2.0,5.0,5.0,50.0,True,2020-2021,FW,None,None,None,1.0,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,26.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,13.0,16.0,81.3,0.0,8.0,0.0,1.0,0.0,137.0,6.0,12.0,12.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,12.0,32.0,0.0,1.0,100.0,23.0,1.0,0.0,0.0,3.0,0.0,20.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,50.0,1.0,0.7,1.4,0.0,3.0,28.0
Ivan Cavaleiro,POR,26,90.0,0,0,0,0,4,0,0,0,59.0,3.0,0,0.0,0.1,0.1,0.0,2.0,0.0,24.0,38.0,63.2,4.0,37.0,5.0,12.0,6.0,462.0,56.0,12.0,13.0,92.3,6.0,12.0,50.0,5.0,9.0,55.6,0.1,1.0,2.0,2.0,1.0,34.0,4.0,0.0,0.0,1.0,10,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,37.0,6.0,59.0,50.0,6.0,50.0,281.0,86.0,2.0,4.0,4.0,2.0,45.0,16.0,0,2,2,0,0.0,0.0,0,4.0,1.0,1.0,50.0,True,2020-2021,LW,None,None,None,1.0,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,26.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,59.0,3.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,24.0,38.0,63.2,4.0,37.0,5.0,12.0,6.0,462.0,56.0,12.0,13.0,92.3,6.0,12.0,50.0,5.0,9.0,55.6,0.1,1.0,2.0,2.0,1.0,34.0,4.0,0.0,0.0,1.0,10.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,37.0,6.0,59.0,50.0,6.0,50.0,281.0,86.0,2.0,4.0,4.0,2.0,45.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,0.7,1.4,0.0,3.0,28.0
Bobby Reid,JAM,27,77.0,0,0,0,0,1,0,1,0,31.0,0.0,0,1.0,0.1,0.1,0.0,1.0,0.0,17.0,23.0,73.9,5.0,13.0,1.0,4.0,2.0,324.0,31.0,9.0,12.0,75.0,5.0,6.0,83.3,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,6.0,31.0,50.0,2.0,50.0,57.0,27.0,1.0,1.0,2.0,2.0,23.0,5.0,0,1,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2020-2021,RW,None,None,None,0.8555555555555555,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,31.55844155844156,0.0,0.0,0.0,0.0,1.168831168831169,0.0,1.168831168831169,0.0,36.23376623376623,0.0,0.0,1.168831168831169,0.1168831168831169,0.1168831168831169,0.0,1.168831168831169,0.0,19.870129870129873,26.883116883116884,86.37662337662339,5.8441558441558445,15.194805194805195,1.168831168831169,4.675324675324676,2.337662337662338,378.7012987012987,36.23376623376623,10.51948051948052,14.025974025974026,87.66233766233766,5.8441558441558445,7.012987012987013,97.36363636363636,3.5064935064935066,5.8441558441558445,70.12987012987013,0.0,0.0,0.0,0.0,0.0,26.883116883116884,0.0,0.0,0.0,1.168831168831169,1.168831168831169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168831168831169,0.0,0.0,0.0,0.0,0.0,16.363636363636363,19.870129870129873,7.012987012987013,36.23376623376623,58.44155844155844,2.337662337662338,58.44155844155844,66.62337662337663,31.55844155844156,1.168831168831169,1.168831168831169,2.337662337662338,2.337662337662338,26.883116883116884,5.8441558441558445,0.0,1.168831168831169,0.0,0.0,0.0,0.0,0.0,1.168831168831169,0.0,1.168831168831169,0.0,1.0,0.8181818181818181,1.6363636363636362,0.0,3.5064935064935066,32.72727272727273
Neeskens Kebano,COD,28,13.0,0,0,0,0,1,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,1.0,8.0,2.0,0.0,0.0,71.0,35.0,5.0,5.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,10.0,0.0,0.0,0.0,48.0,34.0,0.0,1.0,0.0,0.0,8.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2020-2021,RW,None,None,None,0.14444444444444443,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,193.84615384615387,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,69.23076923076924,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,41.53846153846154,55.38461538461539,519.2307692307693,6.923076923076923,55.38461538461539,13.846153846153847,0.0,0.0,491.5384615384616,242.30769230769232,34.61538461538462,34.61538461538462,692.3076923076924,6.923076923076923,20.76923076923077,230.53846153846155,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,48.46153846153847,6.923076923076923,6.923076923076923,0.0,0.0,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,6.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.846153846153847,55.38461538461539,6.923076923076923,69.23076923076924,0.0,0.0,0.0,332.3076923076923,235.38461538461542,0.0,6.923076923076923,0.0,0.0,55.38461538461539,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,1.0,4.846153846153847,9.692307692307693,0.0,20.76923076923077,193.84615384615387
Joe Bryan,ENG,27,90.0,0,0,0,0,2,1,1,0,75.0,0.0,1,1.0,0.1,0.1,0.1,6.0,0.0,51.0,71.0,71.8,5.0,30.0,4.0,5.0,5.0,887.0,416.0,25.0,31.0,80.6,20.0,27.0,74.1,4.0,7.0,57.1,0.1,1.0,4.0,1.0,1.0,55.0,16.0,2.0,0.0,0.0,12,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,13.0,33.0,30.0,2.0,75.0,100.0,0.0,0.0,219.0,137.0,2.0,0.0,1.0,0.0,44.0,11.0,0,2,1,0,0.0,0.0,0,5.0,1.0,2.0,33.3,True,2020-2021,LM,None,None,None,1.0,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,27.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,75.0,0.0,1.0,1.0,0.1,0.1,0.1,6.0,0.0,51.0,71.0,71.8,5.0,30.0,4.0,5.0,5.0,887.0,416.0,25.0,31.0,80.6,20.0,27.0,74.1,4.0,7.0,57.1,0.1,1.0,4.0,1.0,1.0,55.0,16.0,2.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,13.0,33.0,30.0,2.0,75.0,100.0,0.0,0.0,219.0,137.0,2.0,0.0,1.0,0.0,44.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3,1.0,0.7,1.4,0.0,3.0,28.0
Tom Cairney,SCO,29,90.0,0,0,0,0,1,0,1,0,100.0,1.0,0,1.0,0.0,0.0,0.1,4.0,0.0,81.0,92.0,88.0,17.0,61.0,5.0,3.0,3.0,1555.0,403.0,32.0,34.0,94.1,32.0,32.0,100.0,15.0,23.0,65.2,0.1,3.0,13.0,2.0,1.0,85.0,7.0,5.0,0.0,1.0,4,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,63.0,24.0,1.0,100.0,100.0,0.0,0.0,355.0,197.0,1.0,1.0,2.0,0.0,83.0,3.0,0,1,4,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,2020-2021,CM,None,None,None,1.0,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,29.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,81.0,92.0,88.0,17.0,61.0,5.0,3.0,3.0,1555.0,403.0,32.0,34.0,94.1,32.0,32.0,100.0,15.0,23.0,65.2,0.1,3.0,13.0,2.0,1.0,85.0,7.0,5.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,63.0,24.0,1.0,100.0,100.0,0.0,0.0,355.0,197.0,1.0,1.0,2.0,0.0,83.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.7,1.4,0.0,3.0,28.0
Andre-Frank Zambo Anguissa,CMR,24,90.0,0,0,0,0,1,0,0,0,80.0,0.0,3,1.0,0.0,0.0,0.0,2.0,0.0,60.0,69.0,87.0,9.0,44.0,2.0,8.0,5.0,1106.0,291.0,24.0,27.0,88.9,29.0,30.0,96.7,5.0,7.0,71.4,0.1,1.0,8.0,1.0,0.0,69.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,13.0,50.0,18.0,1.0,80.0,62.5,3.0,37.5,217.0,121.0,1.0,0.0,2.0,2.0,61.0,1.0,0,1,0,0,0.0,0.0,0,4.0,1.0,1.0,50.0,True,2020-2021,CM,None,None,None,1.0,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,60.0,69.0,87.0,9.0,44.0,2.0,8.0,5.0,1106.0,291.0,24.0,27.0,88.9,29.0,30.0,96.7,5.0,7.0,71.4,0.1,1.0,8.0,1.0,0.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,13.0,50.0,18.0,1.0,80.0,62.5,3.0,37.5,217.0,121.0,1.0,0.0,2.0,2.0,61.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,0.7,1.4,0.0,3.0,28.0
Kenny Tete,NED,24,38.0,0,0,0,0,0,0,0,0,30.0,1.0,0,0.0,0.0,0.0,0.1,3.0,0.0,22.0,27.0,81.5,2.0,17.0,2.0,1.0,0.0,412.0,150.0,7.0,7.0,100.0,10.0,13.0,76.9,4.0,5.0,80.0,0.2,2.0,0.0,3.0,3.0,26.0,1.0,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,10.0,16.0,1.0,30.0,0.0,1.0,100.0,125.0,63.0,1.0,0.0,0.0,0.0,24.0,5.0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2020-2021,RM,None,None,None,0.4222222222222222,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,56.8421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.05263157894737,2.3684210526315788,0.0,0.0,0.0,0.0,0.2368421052631579,7.105263157894737,0.0,52.10526315789474,63.94736842105263,193.02631578947367,4.7368421052631575,40.26315789473684,4.7368421052631575,2.3684210526315788,0.0,975.7894736842105,355.2631578947368,16.57894736842105,16.57894736842105,236.8421052631579,23.68421052631579,30.789473684210527,182.13157894736844,9.473684210526315,11.842105263157896,189.47368421052633,0.4736842105263158,4.7368421052631575,0.0,7.105263157894737,7.105263157894737,61.578947368421055,2.3684210526315788,0.0,0.0,0.0,14.210526315789474,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,2.3684210526315788,0.0,2.3684210526315788,0.0,0.0,2.3684210526315788,2.3684210526315788,0.0,2.3684210526315788,9.473684210526315,23.68421052631579,37.89473684210526,2.3684210526315788,71.05263157894737,0.0,2.3684210526315788,236.8421052631579,296.05263157894734,149.21052631578948,2.3684210526315788,0.0,0.0,0.0,56.8421052631579,11.842105263157896,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,1.0,1.657894736842105,3.31578947368421,0.0,7.105263157894737,66.3157894736842
Aboubakar Kamara,MTN,25,52.0,0,0,0,0,0,0,1,0,41.0,0.0,1,1.0,0.0,0.0,0.2,5.0,0.0,25.0,33.0,75.8,3.0,23.0,4.0,0.0,0.0,462.0,118.0,11.0,15.0,73.3,11.0,11.0,100.0,2.0,5.0,40.0,0.1,3.0,2.0,1.0,1.0,32.0,1.0,0.0,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,15.0,22.0,0.0,41.0,0.0,0.0,0.0,179.0,90.0,3.0,0.0,2.0,1.0,29.0,10.0,0,3,2,0,0.0,0.0,0,5.0,1.0,2.0,33.3,True,2020-2021,RM,None,None,None,0.5777777777777777,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,43.269230769230774,0.0,0.0,0.0,0.0,0.0,0.0,1.7307692307692308,0.0,70.96153846153847,0.0,1.7307692307692308,1.7307692307692308,0.0,0.0,0.3461538461538462,8.653846153846155,0.0,43.269230769230774,57.11538461538462,131.1923076923077,5.1923076923076925,39.807692307692314,6.923076923076923,0.0,0.0,799.6153846153846,204.23076923076925,19.03846153846154,25.961538461538463,126.86538461538463,19.03846153846154,19.03846153846154,173.0769230769231,3.4615384615384617,8.653846153846155,69.23076923076924,0.1730769230769231,5.1923076923076925,3.4615384615384617,1.7307692307692308,1.7307692307692308,55.38461538461539,1.7307692307692308,0.0,0.0,1.7307692307692308,10.384615384615385,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7307692307692308,1.7307692307692308,0.0,0.0,0.0,6.923076923076923,25.961538461538463,38.07692307692308,0.0,70.96153846153847,0.0,0.0,0.0,309.8076923076923,155.76923076923077,5.1923076923076925,0.0,3.4615384615384617,1.7307692307692308,50.1923076923077,17.30769230769231,0.0,5.1923076923076925,3.4615384615384617,0.0,0.0,0.0,0.0,8.653846153846155,1.7307692307692308,3.4615384615384617,57.63461538461539,1.0,1.2115384615384617,2.4230769230769234,0.0,5.1923076923076925,48.46153846153847
Tim Ream,USA,32,90.0,0,0,0,0,0,0,0,0,60.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,57.0,94.7,4.0,30.0,0.0,1.0,0.0,1023.0,450.0,14.0,15.0,93.3,37.0,37.0,100.0,3.0,4.0,75.0,0.0,0.0,3.0,0.0,0.0,57.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,36.0,24.0,0.0,0.0,60.0,0.0,1.0,100.0,125.0,97.0,0.0,0.0,0.0,0.0,44.0,0.0,0,0,0,0,0.0,0.0,0,6.0,3.0,1.0,75.0,True,2020-2021,CB,None,None,None,1.0,Aston_Villa_Fulham,Aston_Villa_Fulham_2020,0.7,1.4,0.0,3.0,2020-09-28,Stuart Attwell,Craven Cottage,Mon,17:45,0,28,Aston Villa,Fulham,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,57.0,94.7,4.0,30.0,0.0,1.0,0.0,1023.0,450.0,14.0,15.0,93.3,37.0,37.0,100.0,3.0,4.0,75.0,0.0,0.0,3.0,0.0,0.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,36.0,24.0,0.0,0.0,60.0,0.0,1.0,100.0,125.0,97.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,75.0,1.0,0.7,1.4,0.0,3.0,28.0
