player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Troy Deeney,ENG,31,90.0,2,0,1,1,4,2,1,0,56.0,2.0,0,3.0,1.6,0.8,0.2,5.0,2.0,22.0,35.0,62.9,5.0,25.0,3.0,1.0,0.0,293.0,72.0,10.0,17.0,58.8,10.0,12.0,83.3,0.0,1.0,0.0,0.2,3.0,2.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,24.0,30.0,7.0,55.0,0.0,1.0,100.0,125.0,83.0,2.0,1.0,3.0,1.0,42.0,7.0,0,3,2,0,1.0,0.0,0,2.0,4.0,8.0,33.3,True,2019-2020,FW,None,None,None,1.0,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,31.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,56.0,2.0,0.0,3.0,1.6,0.8,0.2,5.0,2.0,22.0,35.0,62.9,5.0,25.0,3.0,1.0,0.0,293.0,72.0,10.0,17.0,58.8,10.0,12.0,83.3,0.0,1.0,0.0,0.2,3.0,2.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,24.0,30.0,7.0,55.0,0.0,1.0,100.0,125.0,83.0,2.0,1.0,3.0,1.0,42.0,7.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,8.0,33.3,1.0,2.8,0.6,3.0,0.0,209.0
Gerard Deulofeu,ESP,25,90.0,0,0,0,0,0,0,0,0,52.0,0.0,3,0.0,0.0,0.0,0.4,7.0,0.0,32.0,41.0,78.0,8.0,37.0,4.0,4.0,3.0,526.0,171.0,18.0,19.0,94.7,6.0,9.0,66.7,6.0,7.0,85.7,0.3,6.0,3.0,2.0,0.0,39.0,2.0,1.0,0.0,0.0,3,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,16.0,33.0,6.0,52.0,75.0,1.0,25.0,314.0,191.0,3.0,2.0,3.0,0.0,34.0,5.0,0,2,0,0,0.0,0.0,0,6.0,0.0,2.0,0.0,True,2019-2020,LW,None,None,None,1.0,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,0.0,0.0,0.0,0.4,7.0,0.0,32.0,41.0,78.0,8.0,37.0,4.0,4.0,3.0,526.0,171.0,18.0,19.0,94.7,6.0,9.0,66.7,6.0,7.0,85.7,0.3,6.0,3.0,2.0,0.0,39.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,16.0,33.0,6.0,52.0,75.0,1.0,25.0,314.0,191.0,3.0,2.0,3.0,0.0,34.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,2.8,0.6,3.0,0.0,209.0
Ismaila Sarr,SEN,21,90.0,1,0,0,0,5,1,1,0,53.0,2.0,3,0.0,0.7,0.7,0.0,8.0,1.0,25.0,37.0,67.6,2.0,40.0,7.0,2.0,1.0,347.0,112.0,18.0,19.0,94.7,5.0,13.0,38.5,2.0,2.0,100.0,0.1,1.0,3.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,13.0,34.0,10.0,53.0,50.0,1.0,50.0,378.0,195.0,3.0,2.0,1.0,3.0,41.0,15.0,0,2,5,1,0.0,0.0,0,5.0,2.0,1.0,66.7,True,2019-2020,RW,None,None,None,1.0,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,21.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,53.0,2.0,3.0,0.0,0.7,0.7,0.0,8.0,1.0,25.0,37.0,67.6,2.0,40.0,7.0,2.0,1.0,347.0,112.0,18.0,19.0,94.7,5.0,13.0,38.5,2.0,2.0,100.0,0.1,1.0,3.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,13.0,34.0,10.0,53.0,50.0,1.0,50.0,378.0,195.0,3.0,2.0,1.0,3.0,41.0,15.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7,1.0,2.8,0.6,3.0,0.0,209.0
Abdoulaye Doucoure,MLI,26,90.0,0,0,0,0,3,1,0,0,62.0,4.0,0,1.0,0.1,0.1,0.0,4.0,1.0,40.0,56.0,71.4,5.0,38.0,3.0,0.0,0.0,559.0,121.0,20.0,24.0,83.3,17.0,19.0,89.5,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3,3.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,15.0,26.0,25.0,2.0,62.0,0.0,0.0,0.0,178.0,74.0,2.0,0.0,1.0,0.0,38.0,2.0,0,1,0,0,0.0,0.0,0,12.0,1.0,3.0,25.0,True,2019-2020,DM,AM,None,None,1.0,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,26.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,62.0,4.0,0.0,1.0,0.1,0.1,0.0,4.0,1.0,40.0,56.0,71.4,5.0,38.0,3.0,0.0,0.0,559.0,121.0,20.0,24.0,83.3,17.0,19.0,89.5,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,15.0,26.0,25.0,2.0,62.0,0.0,0.0,0.0,178.0,74.0,2.0,0.0,1.0,0.0,38.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0,1.0,2.8,0.6,3.0,0.0,209.0
Will Hughes,ENG,24,45.0,0,0,0,0,2,0,0,0,39.0,2.0,1,0.0,0.1,0.1,0.0,1.0,0.0,28.0,34.0,82.4,3.0,18.0,0.0,0.0,0.0,394.0,96.0,16.0,18.0,88.9,9.0,9.0,100.0,1.0,5.0,20.0,0.0,0.0,1.0,0.0,0.0,30.0,4.0,1.0,0.0,0.0,4,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2,1.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,22.0,14.0,0.0,39.0,0.0,0.0,0.0,94.0,42.0,2.0,0.0,0.0,0.0,23.0,1.0,0,1,0,0,0.0,0.0,0,6.0,1.0,0.0,100.0,True,2019-2020,DM,None,None,None,0.5,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,48.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,78.0,4.0,2.0,0.0,0.2,0.2,0.0,2.0,0.0,56.0,68.0,164.8,6.0,36.0,0.0,0.0,0.0,788.0,192.0,32.0,36.0,177.8,18.0,18.0,200.0,2.0,10.0,40.0,0.0,0.0,2.0,0.0,0.0,60.0,8.0,2.0,0.0,0.0,8.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,6.0,133.4,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,44.0,28.0,0.0,78.0,0.0,0.0,0.0,188.0,84.0,4.0,0.0,0.0,0.0,46.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,200.0,1.0,5.6,1.2,6.0,0.0,418.0
Nathaniel Chalobah,ENG,25,14.0,0,0,0,0,2,0,0,0,7.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,0.0,32.0,14.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,7.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2019-2020,AM,RB,None,None,0.15555555555555556,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,160.71428571428572,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,19.285714285714285,25.714285714285715,482.1428571428571,0.0,19.285714285714285,0.0,0.0,0.0,205.71428571428572,90.0,6.428571428571429,6.428571428571429,642.8571428571429,6.428571428571429,6.428571428571429,642.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.285714285714285,25.714285714285715,12.857142857142858,45.0,0.0,0.0,0.0,57.857142857142854,32.14285714285714,0.0,0.0,0.0,0.0,19.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,3.8571428571428568,19.285714285714285,0.0,1343.5714285714284
Craig Dawson,ENG,29,31.0,0,0,0,0,0,0,0,0,4.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2019-2020,RB,CB,None,None,0.34444444444444444,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,84.19354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.612903225806452,0.0,0.0,2.903225806451613,0.0,0.0,0.0,0.0,0.0,5.806451612903226,5.806451612903226,290.3225806451613,0.0,2.903225806451613,0.0,0.0,0.0,104.51612903225806,0.0,0.0,0.0,0.0,5.806451612903226,5.806451612903226,290.3225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.806451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903225806451613,0.0,2.903225806451613,2.903225806451613,0.0,0.0,0.0,0.0,2.903225806451613,5.806451612903226,5.806451612903226,0.0,0.0,11.612903225806452,0.0,0.0,0.0,2.903225806451613,0.0,0.0,0.0,0.0,0.0,2.903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903225806451613,0.0,0.0,0.0,1.0,8.129032258064516,1.7419354838709677,8.709677419354838,0.0,606.7741935483871
Etienne Capoue,FRA,31,90.0,0,1,0,0,1,0,1,0,73.0,2.0,2,1.0,0.0,0.0,0.6,3.0,1.0,49.0,58.0,84.5,6.0,43.0,0.0,2.0,2.0,1070.0,312.0,19.0,19.0,100.0,20.0,23.0,87.0,9.0,15.0,60.0,0.5,3.0,6.0,0.0,0.0,51.0,7.0,3.0,0.0,3.0,3,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,4.0,5.0,0.0,7.0,17.0,41.0,16.0,2.0,73.0,100.0,0.0,0.0,246.0,60.0,2.0,0.0,1.0,2.0,47.0,2.0,0,3,1,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,2019-2020,DM,None,None,None,1.0,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,73.0,2.0,2.0,1.0,0.0,0.0,0.6,3.0,1.0,49.0,58.0,84.5,6.0,43.0,0.0,2.0,2.0,1070.0,312.0,19.0,19.0,100.0,20.0,23.0,87.0,9.0,15.0,60.0,0.5,3.0,6.0,0.0,0.0,51.0,7.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,4.0,5.0,0.0,7.0,17.0,41.0,16.0,2.0,73.0,100.0,0.0,0.0,246.0,60.0,2.0,0.0,1.0,2.0,47.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.8,0.6,3.0,0.0,209.0
Kiko Femenia,ESP,28,90.0,0,0,0,0,0,0,0,0,49.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,46.0,82.6,3.0,31.0,0.0,1.0,1.0,629.0,234.0,22.0,25.0,88.0,11.0,15.0,73.3,5.0,6.0,83.3,0.0,0.0,1.0,0.0,0.0,38.0,8.0,0.0,0.0,1.0,2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,25.0,11.0,0.0,49.0,100.0,0.0,0.0,144.0,75.0,1.0,0.0,1.0,0.0,29.0,6.0,0,0,0,0,0.0,0.0,0,6.0,1.0,1.0,50.0,True,2019-2020,LB,RB,None,None,1.0,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,46.0,82.6,3.0,31.0,0.0,1.0,1.0,629.0,234.0,22.0,25.0,88.0,11.0,15.0,73.3,5.0,6.0,83.3,0.0,0.0,1.0,0.0,0.0,38.0,8.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,25.0,11.0,0.0,49.0,100.0,0.0,0.0,144.0,75.0,1.0,0.0,1.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,1.0,2.8,0.6,3.0,0.0,209.0
Craig Cathcart,NIR,30,84.0,0,0,0,0,0,0,0,0,51.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,38.0,42.0,90.5,2.0,29.0,0.0,0.0,0.0,697.0,190.0,13.0,13.0,100.0,23.0,24.0,95.8,2.0,5.0,40.0,0.0,0.0,2.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,6.0,25.0,26.0,0.0,0.0,51.0,0.0,0.0,0.0,124.0,52.0,0.0,0.0,0.0,1.0,32.0,0.0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,2019-2020,CB,None,None,None,0.9333333333333333,Aston_Villa_Watford,Aston_Villa_Watford_2019,2.8,0.6,3.0,0.0,2019-12-28,Simon Hooper,Vicarage Road Stadium,Sat,15:00,"21,348",209,Watford,Aston Villa,32.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.64285714285714,1.0714285714285714,0.0,1.0714285714285714,0.0,0.0,0.0,2.142857142857143,0.0,40.714285714285715,45.0,96.96428571428571,2.142857142857143,31.07142857142857,0.0,0.0,0.0,746.7857142857142,203.57142857142856,13.928571428571429,13.928571428571429,107.14285714285714,24.642857142857142,25.714285714285715,102.64285714285714,2.142857142857143,5.357142857142857,42.857142857142854,0.0,0.0,2.142857142857143,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,1.0714285714285714,6.428571428571429,0.0,6.428571428571429,26.785714285714285,27.857142857142858,0.0,0.0,54.64285714285714,0.0,0.0,0.0,132.85714285714286,55.714285714285715,0.0,0.0,0.0,1.0714285714285714,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,1.0,2.9999999999999996,0.6428571428571428,3.2142857142857144,0.0,223.92857142857142
