player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Javier Hernandez,MEX,30,66.0,0,0,0,0,4,2,0,0,26.0,0.0,0,0.0,0.1,0.1,0.0,3.0,1.0,15.0,21.0,71.4,1.0,10.0,0.0,0.0,0.0,214.0,65.0,9.0,11.0,81.8,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,15.0,3.0,26.0,0.0,0.0,0.0,36.0,9.0,0.0,0.0,1.0,0.0,20.0,4.0,0,0,2,0,1.0,0.0,0,3.0,1.0,1.0,50.0,True,2018-2019,FW,None,None,None,0.7333333333333333,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,40.909090909090914,0.0,0.0,0.0,0.0,5.454545454545455,2.7272727272727275,0.0,0.0,35.45454545454546,0.0,0.0,0.0,0.13636363636363638,0.13636363636363638,0.0,4.090909090909091,1.3636363636363638,20.454545454545457,28.636363636363637,97.36363636363637,1.3636363636363638,13.636363636363637,0.0,0.0,0.0,291.8181818181818,88.63636363636364,12.272727272727273,15.000000000000002,111.54545454545455,8.181818181818182,9.545454545454547,116.86363636363637,0.0,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,25.90909090909091,2.7272727272727275,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7272727272727275,12.272727272727273,20.454545454545457,4.090909090909091,35.45454545454546,0.0,0.0,0.0,49.09090909090909,12.272727272727273,0.0,0.0,1.3636363636363638,0.0,27.272727272727273,5.454545454545455,0.0,0.0,2.7272727272727275,0.0,1.3636363636363638,0.0,0.0,4.090909090909091,1.3636363636363638,1.3636363636363638,68.18181818181819,1.0,1.6363636363636365,1.772727272727273,1.3636363636363638,2.7272727272727275,16.363636363636363
Andriy Yarmolenko,UKR,28,24.0,0,0,0,0,0,0,1,0,18.0,0.0,0,0.0,0.0,0.0,0.1,3.0,0.0,14.0,17.0,82.4,3.0,12.0,3.0,0.0,0.0,252.0,53.0,5.0,6.0,83.3,6.0,8.0,75.0,2.0,2.0,100.0,0.1,1.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,0.0,18.0,0.0,0.0,0.0,168.0,122.0,4.0,0.0,0.0,0.0,15.0,2.0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2018-2019,CM,AM,FW,None,0.26666666666666666,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,105.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.375,11.25,0.0,52.5,63.75,309.0,11.25,45.0,11.25,0.0,0.0,945.0,198.75,18.75,22.5,312.375,22.5,30.0,281.25,7.5,7.5,375.0,0.375,3.75,0.0,7.5,0.0,63.75,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,26.25,41.25,0.0,67.5,0.0,0.0,0.0,630.0,457.5,15.0,0.0,0.0,0.0,56.25,7.5,0.0,3.75,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,4.5,4.875,3.75,7.5,45.0
Marko Arnautovic,AUT,29,90.0,1,0,1,1,3,1,0,0,35.0,1.0,0,0.0,0.9,0.1,0.1,3.0,0.0,21.0,29.0,72.4,2.0,17.0,1.0,0.0,0.0,288.0,95.0,7.0,12.0,58.3,11.0,13.0,84.6,0.0,0.0,0.0,0.1,3.0,1.0,2.0,1.0,27.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,26.0,4.0,34.0,0.0,0.0,0.0,79.0,41.0,0.0,2.0,2.0,0.0,30.0,7.0,0,0,0,0,0.0,0.0,0,1.0,1.0,2.0,33.3,True,2018-2019,FW,CM,None,None,1.0,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,29.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,35.0,1.0,0.0,0.0,0.9,0.1,0.1,3.0,0.0,21.0,29.0,72.4,2.0,17.0,1.0,0.0,0.0,288.0,95.0,7.0,12.0,58.3,11.0,13.0,84.6,0.0,0.0,0.0,0.1,3.0,1.0,2.0,1.0,27.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,26.0,4.0,34.0,0.0,0.0,0.0,79.0,41.0,0.0,2.0,2.0,0.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3,1.0,1.2,1.3,1.0,2.0,12.0
Felipe Anderson,BRA,25,90.0,0,0,0,0,0,0,1,0,71.0,4.0,1,1.0,0.0,0.0,0.0,4.0,1.0,44.0,58.0,75.9,7.0,42.0,6.0,4.0,3.0,794.0,211.0,17.0,20.0,85.0,20.0,25.0,80.0,5.0,8.0,62.5,0.4,1.0,4.0,3.0,0.0,55.0,3.0,0.0,1.0,1.0,5,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1.0,2.0,1.0,2.0,4.0,50.0,2.0,0.0,1.0,5.0,2.0,0.0,1.0,7.0,29.0,35.0,2.0,71.0,75.0,1.0,25.0,339.0,160.0,4.0,2.0,2.0,1.0,54.0,11.0,0,2,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,2018-2019,LM,LW,None,None,1.0,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,44.0,58.0,75.9,7.0,42.0,6.0,4.0,3.0,794.0,211.0,17.0,20.0,85.0,20.0,25.0,80.0,5.0,8.0,62.5,0.4,1.0,4.0,3.0,0.0,55.0,3.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,50.0,2.0,0.0,1.0,5.0,2.0,0.0,1.0,7.0,29.0,35.0,2.0,71.0,75.0,1.0,25.0,339.0,160.0,4.0,2.0,2.0,1.0,54.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,1.0,1.2,1.3,1.0,2.0,12.0
Jack Wilshere,ENG,26,90.0,0,0,0,0,1,1,1,0,63.0,1.0,1,1.0,0.1,0.1,0.0,1.0,0.0,46.0,56.0,82.1,6.0,33.0,2.0,3.0,3.0,766.0,178.0,21.0,21.0,100.0,15.0,16.0,93.8,7.0,8.0,87.5,0.0,1.0,8.0,0.0,0.0,55.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,41.0,16.0,2.0,63.0,100.0,0.0,0.0,178.0,92.0,1.0,0.0,0.0,0.0,44.0,4.0,0,2,2,0,0.0,0.0,0,8.0,2.0,0.0,100.0,True,2018-2019,CM,DM,None,None,1.0,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,26.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,63.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,46.0,56.0,82.1,6.0,33.0,2.0,3.0,3.0,766.0,178.0,21.0,21.0,100.0,15.0,16.0,93.8,7.0,8.0,87.5,0.0,1.0,8.0,0.0,0.0,55.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,41.0,16.0,2.0,63.0,100.0,0.0,0.0,178.0,92.0,1.0,0.0,0.0,0.0,44.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0,1.0,1.2,1.3,1.0,2.0,12.0
Mark Noble,ENG,31,76.0,0,0,0,0,0,0,1,0,67.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,53.0,62.0,85.5,9.0,39.0,0.0,0.0,0.0,1077.0,300.0,15.0,18.0,83.3,24.0,25.0,96.0,11.0,16.0,68.8,0.0,2.0,4.0,1.0,0.0,60.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,4.0,25.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,13.0,48.0,6.0,0.0,67.0,0.0,0.0,0.0,178.0,73.0,1.0,0.0,0.0,0.0,48.0,0.0,0,1,2,0,0.0,0.0,0,6.0,0.0,1.0,0.0,True,2018-2019,CM,DM,None,None,0.8444444444444444,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,36.71052631578947,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,79.34210526315789,3.5526315789473686,0.0,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,62.76315789473684,73.42105263157895,101.25,10.657894736842104,46.18421052631579,0.0,0.0,0.0,1275.3947368421052,355.2631578947368,17.763157894736842,21.31578947368421,98.64473684210526,28.42105263157895,29.605263157894736,113.6842105263158,13.026315789473685,18.94736842105263,81.47368421052632,0.0,2.3684210526315788,4.7368421052631575,1.1842105263157894,0.0,71.05263157894737,2.3684210526315788,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,1.1842105263157894,1.1842105263157894,1.1842105263157894,4.7368421052631575,29.605263157894736,3.5526315789473686,0.0,0.0,3.5526315789473686,0.0,0.0,1.1842105263157894,15.394736842105264,56.8421052631579,7.105263157894737,0.0,79.34210526315789,0.0,0.0,0.0,210.78947368421052,86.44736842105263,1.1842105263157894,0.0,0.0,0.0,56.8421052631579,0.0,0.0,1.1842105263157894,2.3684210526315788,0.0,0.0,0.0,0.0,7.105263157894737,0.0,1.1842105263157894,0.0,1.0,1.4210526315789473,1.5394736842105263,1.1842105263157894,2.3684210526315788,14.210526315789474
Lucas Perez,ESP,29,14.0,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,5.0,8.0,62.5,0.0,7.0,0.0,0.0,0.0,95.0,0.0,4.0,6.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,8.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,1.0,8.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,2018-2019,FW,DM,None,None,0.15555555555555556,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,186.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,6.428571428571429,0.0,32.14285714285714,51.42857142857143,401.7857142857143,0.0,45.0,0.0,0.0,0.0,610.7142857142857,0.0,25.714285714285715,38.57142857142857,428.7857142857143,0.0,0.0,0.0,6.428571428571429,12.857142857142858,321.42857142857144,0.0,6.428571428571429,0.0,0.0,0.0,51.42857142857143,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.285714285714285,32.14285714285714,12.857142857142858,51.42857142857143,0.0,0.0,0.0,77.14285714285714,12.857142857142858,0.0,0.0,0.0,6.428571428571429,51.42857142857143,25.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,1.0,7.7142857142857135,8.357142857142858,6.428571428571429,12.857142857142858,77.14285714285714
Robert Snodgrass,SCO,30,76.0,0,0,0,0,0,0,0,0,43.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,25.0,36.0,69.4,3.0,28.0,1.0,4.0,2.0,372.0,67.0,16.0,18.0,88.9,7.0,9.0,77.8,2.0,7.0,28.6,0.0,0.0,4.0,0.0,0.0,30.0,6.0,1.0,1.0,0.0,7,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,20.0,22.0,0.0,43.0,50.0,2.0,50.0,172.0,36.0,1.0,0.0,1.0,3.0,35.0,10.0,0,1,2,0,0.0,0.0,0,2.0,1.0,4.0,20.0,True,2018-2019,RM,RW,None,None,0.8444444444444444,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,35.526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.921052631578945,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,29.605263157894736,42.63157894736842,82.1842105263158,3.5526315789473686,33.1578947368421,1.1842105263157894,4.7368421052631575,2.3684210526315788,440.5263157894737,79.34210526315789,18.94736842105263,21.31578947368421,105.27631578947368,8.289473684210526,10.657894736842104,92.13157894736842,2.3684210526315788,8.289473684210526,33.86842105263158,0.0,0.0,4.7368421052631575,0.0,0.0,35.526315789473685,7.105263157894737,1.1842105263157894,1.1842105263157894,0.0,8.289473684210526,0.0,5.921052631578948,2.3684210526315788,2.3684210526315788,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,1.1842105263157894,0.0,0.0,1.1842105263157894,1.1842105263157894,0.0,1.1842105263157894,1.1842105263157894,23.68421052631579,26.05263157894737,0.0,50.921052631578945,59.21052631578947,2.3684210526315788,59.21052631578947,203.68421052631578,42.63157894736842,1.1842105263157894,0.0,1.1842105263157894,3.5526315789473686,41.44736842105263,11.842105263157896,0.0,1.1842105263157894,2.3684210526315788,0.0,0.0,0.0,0.0,2.3684210526315788,1.1842105263157894,4.7368421052631575,23.68421052631579,1.0,1.4210526315789473,1.5394736842105263,1.1842105263157894,2.3684210526315788,14.210526315789474
Carlos Sanchez,COL,32,14.0,0,0,0,0,1,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,12.0,91.7,1.0,9.0,0.0,0.0,0.0,288.0,82.0,1.0,2.0,50.0,5.0,5.0,100.0,5.0,5.0,100.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,13.0,0.0,0.0,0.0,39.0,17.0,1.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2018-2019,RM,RW,None,None,0.15555555555555556,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,205.71428571428572,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,0.0,83.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,0.0,70.71428571428571,77.14285714285714,589.5,6.428571428571429,57.857142857142854,0.0,0.0,0.0,1851.4285714285713,527.1428571428571,6.428571428571429,12.857142857142858,321.42857142857144,32.14285714285714,32.14285714285714,642.8571428571429,32.14285714285714,32.14285714285714,642.8571428571429,0.0,0.0,12.857142857142858,0.0,0.0,77.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,57.857142857142854,12.857142857142858,0.0,83.57142857142857,0.0,0.0,0.0,250.71428571428572,109.28571428571428,6.428571428571429,0.0,0.0,0.0,64.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7142857142857135,8.357142857142858,6.428571428571429,12.857142857142858,77.14285714285714
Arthur Masuaku,COD,24,90.0,0,0,0,0,0,0,0,0,80.0,6.0,2,2.0,0.0,0.0,0.0,1.0,0.0,54.0,62.0,87.1,7.0,38.0,4.0,4.0,2.0,985.0,300.0,19.0,21.0,90.5,28.0,31.0,90.3,5.0,8.0,62.5,0.0,0.0,4.0,0.0,0.0,50.0,12.0,1.0,0.0,2.0,1,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,1.0,8.0,2.0,0.0,4.0,25.0,42.0,15.0,1.0,80.0,50.0,2.0,50.0,344.0,228.0,3.0,1.0,2.0,1.0,45.0,1.0,0,4,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,True,2018-2019,LB,None,None,None,1.0,Bournemouth_West_Ham,Bournemouth_West_Ham_2018,1.2,1.3,1.0,2.0,2018-08-18,Stuart Attwell,London Stadium,Sat,15:00,"56,888",12,Bournemouth,West Ham,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,54.0,62.0,87.1,7.0,38.0,4.0,4.0,2.0,985.0,300.0,19.0,21.0,90.5,28.0,31.0,90.3,5.0,8.0,62.5,0.0,0.0,4.0,0.0,0.0,50.0,12.0,1.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,1.0,8.0,2.0,0.0,4.0,25.0,42.0,15.0,1.0,80.0,50.0,2.0,50.0,344.0,228.0,3.0,1.0,2.0,1.0,45.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.2,1.3,1.0,2.0,12.0
