player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Richarlison,BRA,21,90.0,2,0,0,0,4,2,0,0,37.0,1.0,0,0.0,0.7,0.7,0.0,5.0,2.0,14.0,24.0,58.3,1.0,20.0,3.0,3.0,3.0,181.0,24.0,9.0,10.0,90.0,4.0,9.0,44.4,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,21.0,8.0,37.0,100.0,0.0,0.0,132.0,74.0,2.0,3.0,6.0,4.0,31.0,11.0,0,0,2,1,0.0,0.0,0,2.0,4.0,2.0,66.7,True,2018-2019,FW,RW,None,None,1.0,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,37.0,1.0,0.0,0.0,0.7,0.7,0.0,5.0,2.0,14.0,24.0,58.3,1.0,20.0,3.0,3.0,3.0,181.0,24.0,9.0,10.0,90.0,4.0,9.0,44.4,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,21.0,8.0,37.0,100.0,0.0,0.0,132.0,74.0,2.0,3.0,6.0,4.0,31.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,66.7,1.0,2.0,0.5,3.0,1.0,112.0
Bernard,BRA,26,67.0,0,0,0,0,0,0,0,0,38.0,1.0,1,1.0,0.0,0.0,0.2,6.0,2.0,23.0,28.0,82.1,5.0,29.0,5.0,3.0,1.0,362.0,141.0,11.0,13.0,84.6,8.0,10.0,80.0,2.0,3.0,66.7,0.7,2.0,4.0,3.0,1.0,28.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,16.0,20.0,3.0,38.0,33.3,2.0,66.7,225.0,125.0,2.0,2.0,2.0,1.0,29.0,9.0,0,1,2,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2018-2019,LW,None,None,None,0.7444444444444445,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,34.92537313432836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.04477611940298,1.3432835820895521,1.3432835820895521,1.3432835820895521,0.0,0.0,0.26865671641791045,8.059701492537313,2.6865671641791042,30.8955223880597,37.61194029850746,110.28358208955223,6.716417910447761,38.95522388059701,6.716417910447761,4.029850746268656,1.3432835820895521,486.2686567164179,189.40298507462686,14.776119402985074,17.46268656716418,113.64179104477611,10.746268656716417,13.432835820895521,107.46268656716417,2.6865671641791042,4.029850746268656,89.59701492537313,0.9402985074626865,2.6865671641791042,5.3731343283582085,4.029850746268656,1.3432835820895521,37.61194029850746,0.0,0.0,0.0,0.0,2.6865671641791042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3432835820895521,0.0,0.0,1.3432835820895521,1.3432835820895521,1.3432835820895521,134.32835820895522,0.0,0.0,1.3432835820895521,2.6865671641791042,0.0,0.0,0.0,4.029850746268656,21.492537313432834,26.865671641791042,4.029850746268656,51.04477611940298,44.731343283582085,2.6865671641791042,89.59701492537313,302.23880597014926,167.91044776119404,2.6865671641791042,2.6865671641791042,2.6865671641791042,1.3432835820895521,38.95522388059701,12.08955223880597,0.0,1.3432835820895521,2.6865671641791042,0.0,0.0,0.0,0.0,6.716417910447761,0.0,0.0,0.0,1.0,2.6865671641791042,0.6716417910447761,4.029850746268656,1.3432835820895521,150.44776119402985
Ademola Lookman,NGA,21,23.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,1.0,8.0,1.0,0.0,0.0,78.0,29.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0,0.0,0.0,0.0,47.0,31.0,0.0,0.0,0.0,1.0,10.0,0.0,0,0,2,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2018-2019,LW,None,None,None,0.25555555555555554,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,82.17391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.39130434782609,27.39130434782609,391.304347826087,3.91304347826087,31.30434782608696,3.91304347826087,0.0,0.0,305.21739130434787,113.47826086956523,19.565217391304348,19.565217391304348,391.304347826087,7.82608695652174,7.82608695652174,391.304347826087,0.0,0.0,0.0,0.0,0.0,3.91304347826087,3.91304347826087,0.0,27.39130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.47826086956522,11.73913043478261,0.0,35.21739130434783,0.0,0.0,0.0,183.91304347826087,121.30434782608697,0.0,0.0,0.0,3.91304347826087,39.130434782608695,0.0,0.0,0.0,7.82608695652174,0.0,0.0,0.0,0.0,3.91304347826087,0.0,0.0,0.0,1.0,7.82608695652174,1.956521739130435,11.73913043478261,3.91304347826087,438.26086956521743
Theo Walcott,ENG,29,84.0,0,0,0,0,1,0,0,0,32.0,0.0,2,0.0,0.2,0.2,0.0,0.0,0.0,14.0,23.0,60.9,5.0,24.0,5.0,1.0,0.0,228.0,96.0,8.0,11.0,72.7,5.0,9.0,55.6,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,12.0,17.0,7.0,32.0,0.0,1.0,100.0,171.0,99.0,0.0,2.0,3.0,1.0,24.0,6.0,0,0,1,1,0.0,0.0,0,4.0,0.0,3.0,0.0,True,2018-2019,RW,None,None,None,0.9333333333333333,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,31.07142857142857,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,0.0,0.0,34.285714285714285,0.0,2.142857142857143,0.0,0.2142857142857143,0.2142857142857143,0.0,0.0,0.0,15.0,24.642857142857142,65.25,5.357142857142857,25.714285714285715,5.357142857142857,1.0714285714285714,0.0,244.28571428571428,102.85714285714286,8.571428571428571,11.785714285714285,77.89285714285714,5.357142857142857,9.642857142857142,59.57142857142857,1.0714285714285714,2.142857142857143,53.57142857142857,0.0,0.0,1.0714285714285714,0.0,0.0,23.57142857142857,1.0714285714285714,1.0714285714285714,0.0,0.0,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,0.0,1.0714285714285714,0.0,0.0,2.142857142857143,1.0714285714285714,0.0,1.0714285714285714,5.357142857142857,12.857142857142858,18.214285714285715,7.5,34.285714285714285,0.0,1.0714285714285714,107.14285714285714,183.21428571428572,106.07142857142857,0.0,2.142857142857143,3.2142857142857144,1.0714285714285714,25.714285714285715,6.428571428571429,0.0,0.0,1.0714285714285714,1.0714285714285714,0.0,0.0,0.0,4.285714285714286,0.0,3.2142857142857144,0.0,1.0,2.142857142857143,0.5357142857142857,3.2142857142857144,1.0714285714285714,120.0
Dominic Calvert-Lewin,ENG,21,6.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,3.0,1.0,1.0,1.0,48.0,10.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,100.0,0.0,0.0,35.0,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2018-2019,FW,RW,None,None,0.06666666666666667,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,750.0,15.0,45.0,15.0,15.0,15.0,720.0,150.0,15.0,30.0,750.0,0.0,15.0,0.0,15.0,15.0,1500.0,0.0,0.0,0.0,15.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,60.0,1500.0,0.0,0.0,525.0,150.0,15.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,30.0,7.5,45.0,15.0,1680.0
Gylfi Sigurdsson,ISL,29,89.0,0,1,0,0,3,0,0,0,44.0,1.0,0,0.0,0.8,0.8,0.2,3.0,1.0,27.0,36.0,75.0,5.0,22.0,1.0,1.0,0.0,306.0,125.0,17.0,19.0,89.5,7.0,10.0,70.0,1.0,4.0,25.0,0.3,2.0,2.0,1.0,0.0,29.0,6.0,3.0,1.0,0.0,4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,24.0,6.0,44.0,0.0,1.0,100.0,94.0,61.0,1.0,0.0,3.0,1.0,33.0,5.0,0,0,2,0,0.0,0.0,0,3.0,1.0,2.0,33.3,True,2018-2019,AM,None,None,None,0.9888888888888889,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,29.325842696629213,0.0,1.0112359550561798,0.0,0.0,3.033707865168539,0.0,0.0,0.0,44.49438202247191,1.0112359550561798,0.0,0.0,0.8089887640449438,0.8089887640449438,0.20224719101123595,3.033707865168539,1.0112359550561798,27.303370786516854,36.40449438202247,75.84269662921348,5.056179775280898,22.247191011235955,1.0112359550561798,1.0112359550561798,0.0,309.438202247191,126.40449438202246,17.191011235955056,19.213483146067414,90.50561797752809,7.078651685393258,10.112359550561797,70.78651685393258,1.0112359550561798,4.044943820224719,25.280898876404493,0.3033707865168539,2.0224719101123596,2.0224719101123596,1.0112359550561798,0.0,29.325842696629213,6.067415730337078,3.033707865168539,1.0112359550561798,0.0,4.044943820224719,0.0,1.0112359550561798,1.0112359550561798,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,0.0,1.0112359550561798,0.0,0.0,2.0224719101123596,0.0,2.0224719101123596,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,2.0224719101123596,19.213483146067414,24.269662921348313,6.067415730337078,44.49438202247191,0.0,1.0112359550561798,101.12359550561797,95.0561797752809,61.68539325842696,1.0112359550561798,0.0,3.033707865168539,1.0112359550561798,33.37078651685393,5.056179775280898,0.0,0.0,2.0224719101123596,0.0,0.0,0.0,0.0,3.033707865168539,1.0112359550561798,2.0224719101123596,33.674157303370784,1.0,2.0224719101123596,0.5056179775280899,3.033707865168539,1.0112359550561798,113.25842696629213
Yerry Mina,COL,24,1.0,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,8.0,0.0,0.0,0.0,140.0,47.0,2.0,2.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,32.0,13.0,0.0,0.0,1.0,0.0,8.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2018-2019,AM,CB,None,None,0.011111111111111112,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,630.0,9000.0,0.0,720.0,0.0,0.0,0.0,12600.0,4230.0,180.0,180.0,9000.0,360.0,360.0,9000.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,360.0,0.0,0.0,720.0,0.0,0.0,0.0,2880.0,1170.0,0.0,0.0,90.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,45.0,270.0,90.0,10080.0
Idrissa Gana Gueye,SEN,29,90.0,0,0,0,0,1,0,0,0,88.0,6.0,3,5.0,0.0,0.0,0.0,2.0,0.0,61.0,71.0,85.9,9.0,50.0,2.0,0.0,0.0,1090.0,245.0,28.0,33.0,84.8,27.0,30.0,90.0,6.0,7.0,85.7,0.0,0.0,4.0,0.0,0.0,70.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,4.0,0.0,2.0,2.0,100.0,0.0,0.0,5.0,9.0,3.0,0.0,3.0,17.0,59.0,13.0,0.0,88.0,0.0,0.0,0.0,264.0,152.0,3.0,0.0,1.0,0.0,53.0,2.0,0,1,2,0,0.0,0.0,0,12.0,1.0,1.0,50.0,True,2018-2019,DM,None,None,None,1.0,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.0,6.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,61.0,71.0,85.9,9.0,50.0,2.0,0.0,0.0,1090.0,245.0,28.0,33.0,84.8,27.0,30.0,90.0,6.0,7.0,85.7,0.0,0.0,4.0,0.0,0.0,70.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,0.0,2.0,2.0,100.0,0.0,0.0,5.0,9.0,3.0,0.0,3.0,17.0,59.0,13.0,0.0,88.0,0.0,0.0,0.0,264.0,152.0,3.0,0.0,1.0,0.0,53.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0,1.0,2.0,0.5,3.0,1.0,112.0
Andre Gomes,POR,25,90.0,0,0,0,0,0,0,0,0,79.0,1.0,0,2.0,0.0,0.0,0.0,2.0,0.0,64.0,74.0,86.5,11.0,47.0,4.0,2.0,2.0,1066.0,341.0,29.0,34.0,85.3,30.0,35.0,85.7,4.0,4.0,100.0,0.0,1.0,9.0,2.0,0.0,73.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,59.0,14.0,1.0,79.0,100.0,0.0,0.0,325.0,197.0,6.0,0.0,3.0,1.0,58.0,0.0,0,4,1,0,0.0,0.0,0,9.0,3.0,1.0,75.0,True,2018-2019,DM,None,None,None,1.0,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,64.0,74.0,86.5,11.0,47.0,4.0,2.0,2.0,1066.0,341.0,29.0,34.0,85.3,30.0,35.0,85.7,4.0,4.0,100.0,0.0,1.0,9.0,2.0,0.0,73.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,59.0,14.0,1.0,79.0,100.0,0.0,0.0,325.0,197.0,6.0,0.0,3.0,1.0,58.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,75.0,1.0,2.0,0.5,3.0,1.0,112.0
Lucas Digne,FRA,25,90.0,0,0,0,0,1,0,0,0,74.0,3.0,2,0.0,0.0,0.0,0.5,5.0,1.0,48.0,65.0,73.8,5.0,31.0,5.0,0.0,0.0,776.0,301.0,22.0,25.0,88.0,22.0,26.0,84.6,3.0,10.0,30.0,0.4,4.0,1.0,3.0,1.0,46.0,18.0,3.0,0.0,0.0,13,10.0,5.0,5.0,0.0,0.0,1.0,4.0,2,0.0,2.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,5.0,2.0,0.0,2.0,9.0,34.0,31.0,2.0,74.0,0.0,0.0,0.0,202.0,115.0,2.0,0.0,1.0,1.0,37.0,10.0,0,0,1,0,0.0,0.0,0,5.0,1.0,2.0,33.3,True,2018-2019,LB,None,None,None,1.0,Brighton_Everton,Brighton_Everton_2018,2.0,0.5,3.0,1.0,2018-11-03,David Coote,Goodison Park,Sat,15:00,"38,966",112,Everton,Brighton,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,3.0,2.0,0.0,0.0,0.0,0.5,5.0,1.0,48.0,65.0,73.8,5.0,31.0,5.0,0.0,0.0,776.0,301.0,22.0,25.0,88.0,22.0,26.0,84.6,3.0,10.0,30.0,0.4,4.0,1.0,3.0,1.0,46.0,18.0,3.0,0.0,0.0,13.0,10.0,5.0,5.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,5.0,2.0,0.0,2.0,9.0,34.0,31.0,2.0,74.0,0.0,0.0,0.0,202.0,115.0,2.0,0.0,1.0,1.0,37.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3,1.0,2.0,0.5,3.0,1.0,112.0
