player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Joelinton,BRA,23,90.0,0,0,0,0,3,0,0,0,25.0,1.0,0,0.0,0.2,0.2,0.1,4.0,0.0,11.0,14.0,78.6,0.0,18.0,2.0,1.0,1.0,174.0,30.0,6.0,7.0,85.7,4.0,5.0,80.0,1.0,1.0,100.0,0.1,2.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,12.0,7.0,25.0,100.0,0.0,0.0,78.0,47.0,0.0,3.0,4.0,2.0,21.0,5.0,0,2,1,0,0.0,0.0,0,3.0,4.0,12.0,25.0,True,2019-2020,FW,None,None,None,1.0,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.2,0.2,0.1,4.0,0.0,11.0,14.0,78.6,0.0,18.0,2.0,1.0,1.0,174.0,30.0,6.0,7.0,85.7,4.0,5.0,80.0,1.0,1.0,100.0,0.1,2.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,12.0,7.0,25.0,100.0,0.0,0.0,78.0,47.0,0.0,3.0,4.0,2.0,21.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,12.0,25.0,1.0,0.9,1.4,0.0,0.0,60.0
Christian Atsu,GHA,27,90.0,0,0,0,0,1,0,1,0,37.0,0.0,0,3.0,0.1,0.1,0.0,1.0,0.0,21.0,27.0,77.8,3.0,24.0,3.0,3.0,2.0,243.0,98.0,14.0,16.0,87.5,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,10.0,15.0,15.0,2.0,37.0,66.7,1.0,33.3,227.0,146.0,3.0,1.0,1.0,1.0,22.0,1.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,LM,RM,None,None,1.0,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,37.0,0.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,21.0,27.0,77.8,3.0,24.0,3.0,3.0,2.0,243.0,98.0,14.0,16.0,87.5,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,10.0,15.0,15.0,2.0,37.0,66.7,1.0,33.3,227.0,146.0,3.0,1.0,1.0,1.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.9,1.4,0.0,0.0,60.0
Jonjo Shelvey,ENG,27,72.0,0,0,0,0,1,1,0,0,40.0,0.0,1,1.0,0.0,0.0,0.2,4.0,0.0,22.0,33.0,66.7,2.0,19.0,1.0,1.0,1.0,492.0,147.0,5.0,8.0,62.5,9.0,11.0,81.8,7.0,12.0,58.3,0.1,4.0,2.0,0.0,0.0,27.0,6.0,3.0,0.0,1.0,5,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,8.0,27.0,5.0,0.0,40.0,100.0,0.0,0.0,94.0,49.0,0.0,0.0,2.0,0.0,20.0,0.0,0,0,1,0,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2019-2020,CM,None,None,None,0.8,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,33.75,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,50.0,0.0,1.25,1.25,0.0,0.0,0.25,5.0,0.0,27.5,41.25,83.375,2.5,23.75,1.25,1.25,1.25,615.0,183.75,6.25,10.0,78.125,11.25,13.75,102.24999999999999,8.75,15.0,72.87499999999999,0.125,5.0,2.5,0.0,0.0,33.75,7.5,3.75,0.0,1.25,6.25,0.0,3.75,1.25,2.5,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,1.25,1.25,1.25,0.0,2.5,10.0,33.75,6.25,0.0,50.0,125.0,0.0,0.0,117.5,61.25,0.0,0.0,2.5,0.0,25.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,6.25,1.25,0.0,125.0,1.0,1.125,1.7499999999999998,0.0,0.0,75.0
Ki Sung-yueng,KOR,30,18.0,0,0,0,0,0,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,16.0,81.3,1.0,9.0,0.0,0.0,0.0,332.0,99.0,5.0,6.0,83.3,3.0,3.0,100.0,5.0,7.0,71.4,0.0,1.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,16.0,0.0,0.0,0.0,45.0,31.0,0.0,0.0,0.0,0.0,10.0,0.0,0,1,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2019-2020,CM,None,None,None,0.2,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,65.0,80.0,406.49999999999994,5.0,45.0,0.0,0.0,0.0,1660.0,495.0,25.0,30.0,416.49999999999994,15.0,15.0,500.0,25.0,35.0,357.0,0.0,5.0,0.0,0.0,0.0,60.0,20.0,10.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,80.0,0.0,0.0,0.0,225.0,155.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,500.0,1.0,4.5,6.999999999999999,0.0,0.0,300.0
Isaac Hayden,ENG,24,90.0,0,0,0,0,0,0,0,0,33.0,3.0,2,1.0,0.0,0.0,0.3,1.0,0.0,20.0,26.0,76.9,2.0,18.0,1.0,0.0,0.0,229.0,56.0,14.0,16.0,87.5,5.0,6.0,83.3,0.0,0.0,0.0,0.3,1.0,2.0,1.0,0.0,24.0,2.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,7.0,21.0,5.0,0.0,33.0,0.0,0.0,0.0,62.0,29.0,1.0,0.0,0.0,2.0,18.0,1.0,0,1,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,2019-2020,CM,None,None,None,1.0,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,2.0,1.0,0.0,0.0,0.3,1.0,0.0,20.0,26.0,76.9,2.0,18.0,1.0,0.0,0.0,229.0,56.0,14.0,16.0,87.5,5.0,6.0,83.3,0.0,0.0,0.0,0.3,1.0,2.0,1.0,0.0,24.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,7.0,21.0,5.0,0.0,33.0,0.0,0.0,0.0,62.0,29.0,1.0,0.0,0.0,2.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0,1.0,0.9,1.4,0.0,0.0,60.0
Miguel Almiron,PAR,25,72.0,0,0,0,0,2,2,0,0,19.0,3.0,1,1.0,0.4,0.4,0.0,2.0,0.0,3.0,10.0,30.0,0.0,14.0,3.0,3.0,1.0,25.0,6.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,8.0,9.0,3.0,19.0,33.3,2.0,66.7,129.0,78.0,1.0,2.0,1.0,1.0,13.0,2.0,0,0,2,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,2019-2020,RM,None,None,None,0.8,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,31.25,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,23.75,3.75,1.25,1.25,0.5,0.5,0.0,2.5,0.0,3.75,12.5,37.5,0.0,17.5,3.75,3.75,1.25,31.25,7.5,2.5,5.0,62.5,0.0,1.25,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.25,1.25,1.25,0.0,1.25,0.0,1.25,0.0,1.25,5.0,0.0,0.0,1.25,3.75,10.0,11.25,3.75,23.75,41.62499999999999,2.5,83.375,161.25,97.5,1.25,2.5,1.25,1.25,16.25,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,3.75,0.0,1.25,0.0,1.0,1.125,1.7499999999999998,0.0,0.0,75.0
Allan Saint-Maximin,FRA,22,18.0,0,0,0,0,1,1,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,3.0,0.0,4.0,8.0,50.0,1.0,11.0,4.0,4.0,3.0,48.0,35.0,2.0,2.0,100.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,2.0,13.0,75.0,1.0,25.0,146.0,83.0,2.0,2.0,1.0,1.0,9.0,3.0,0,0,2,0,0.0,0.0,0,4.0,0.0,0.0,0.0,True,2019-2020,LM,None,None,None,0.2,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,110.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.5,15.0,0.0,20.0,40.0,250.0,5.0,55.0,20.0,20.0,15.0,240.0,175.0,10.0,10.0,500.0,5.0,15.0,166.49999999999997,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,35.0,10.0,65.0,375.0,5.0,125.0,730.0,415.0,10.0,10.0,5.0,5.0,45.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,4.5,6.999999999999999,0.0,0.0,300.0
Jetro Willems,NED,25,81.0,0,0,0,0,1,0,0,0,35.0,1.0,1,4.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,66.7,2.0,23.0,0.0,0.0,0.0,176.0,54.0,12.0,15.0,80.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,23.0,4.0,0.0,0.0,0.0,3,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,20.0,12.0,1.0,35.0,0.0,0.0,0.0,86.0,46.0,0.0,0.0,2.0,0.0,18.0,3.0,0,1,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2019-2020,LB,None,None,None,0.9,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,27.77777777777778,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,38.888888888888886,1.1111111111111112,1.1111111111111112,4.444444444444445,0.0,0.0,0.0,0.0,0.0,20.0,30.0,74.11111111111111,2.2222222222222223,25.555555555555554,0.0,0.0,0.0,195.55555555555554,60.0,13.333333333333332,16.666666666666668,88.88888888888889,3.333333333333333,5.555555555555555,66.66666666666667,0.0,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,1.1111111111111112,0.0,25.555555555555554,4.444444444444445,0.0,0.0,0.0,3.333333333333333,4.444444444444445,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445,2.2222222222222223,0.0,0.0,1.1111111111111112,5.555555555555555,22.22222222222222,13.333333333333332,1.1111111111111112,38.888888888888886,0.0,0.0,0.0,95.55555555555556,51.11111111111111,0.0,0.0,2.2222222222222223,0.0,20.0,3.333333333333333,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,1.0,1.0,1.5555555555555554,0.0,0.0,66.66666666666667
Andy Carroll,ENG,30,9.0,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,1.0,2.0,0.0,0.0,0.0,66.0,20.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0,1,0,0.0,0.0,0,0.0,1.0,1.0,50.0,True,2019-2020,LB,None,None,None,0.1,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,40.0,750.0,10.0,20.0,0.0,0.0,0.0,660.0,200.0,10.0,10.0,1000.0,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,10.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,40.0,10.0,60.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,500.0,1.0,9.0,13.999999999999998,0.0,0.0,600.0
Paul Dummett,WAL,27,90.0,0,0,0,0,0,0,0,0,55.0,1.0,2,2.0,0.0,0.0,0.0,1.0,0.0,34.0,46.0,73.9,1.0,24.0,1.0,0.0,0.0,448.0,168.0,20.0,22.0,90.9,10.0,12.0,83.3,2.0,9.0,22.2,0.0,1.0,1.0,0.0,0.0,39.0,7.0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,3.0,5.0,0.0,4.0,21.0,27.0,7.0,0.0,55.0,0.0,0.0,0.0,124.0,63.0,1.0,0.0,0.0,0.0,25.0,0.0,0,0,0,0,0.0,0.0,0,7.0,3.0,0.0,100.0,True,2019-2020,CB,None,None,None,1.0,Brighton_Newcastle_Utd,Brighton_Newcastle_Utd_2019,0.9,1.4,0.0,0.0,2019-09-21,Martin Atkinson,St. James' Park,Sat,17:30,"43,316",60,draw,draw,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,34.0,46.0,73.9,1.0,24.0,1.0,0.0,0.0,448.0,168.0,20.0,22.0,90.9,10.0,12.0,83.3,2.0,9.0,22.2,0.0,1.0,1.0,0.0,0.0,39.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,3.0,5.0,0.0,4.0,21.0,27.0,7.0,0.0,55.0,0.0,0.0,0.0,124.0,63.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,100.0,1.0,0.9,1.4,0.0,0.0,60.0
