player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Aaron Connolly,IRL,21,60.0,0,0,0,0,0,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,0.0,9.0,1.0,1.0,0.0,90.0,0.0,4.0,4.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,12.0,0.0,1.0,100.0,56.0,14.0,0.0,0.0,2.0,0.0,9.0,2.0,0,0,2,0,0.0,0.0,0,2.0,1.0,2.0,33.3,True,2021-2022,FW,None,None,None,0.6666666666666666,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,12.0,131.25,0.0,13.5,1.5,1.5,0.0,135.0,0.0,6.0,6.0,150.0,4.5,4.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.5,18.0,0.0,1.5,150.0,84.0,21.0,0.0,0.0,3.0,0.0,13.5,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.5,3.0,49.949999999999996,1.0,1.8,1.5,0.0,1.5,264.0
Alexis Mac Allister,ARG,22,30.0,0,0,0,0,1,0,0,0,37.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,25.0,34.0,73.5,3.0,25.0,1.0,0.0,0.0,391.0,119.0,11.0,15.0,73.3,11.0,14.0,78.6,1.0,3.0,33.3,0.0,0.0,6.0,1.0,0.0,31.0,3.0,2.0,0.0,0.0,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,21.0,9.0,0.0,37.0,0.0,0.0,0.0,92.0,30.0,0.0,0.0,0.0,0.0,25.0,1.0,0,0,1,0,0.0,0.0,0,2.0,2.0,0.0,100.0,True,2021-2022,FW,CM,None,None,0.3333333333333333,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,66.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,111.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,75.0,102.0,220.5,9.0,75.0,3.0,0.0,0.0,1173.0,357.0,33.0,45.0,219.9,33.0,42.0,235.79999999999998,3.0,9.0,99.89999999999999,0.0,0.0,18.0,3.0,0.0,93.0,9.0,6.0,0.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,63.0,27.0,0.0,111.0,0.0,0.0,0.0,276.0,90.0,0.0,0.0,0.0,0.0,75.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,300.0,1.0,3.6,3.0,0.0,3.0,528.0
Leandro Trossard,BEL,27,90.0,0,0,0,0,2,1,0,0,36.0,0.0,0,0.0,0.1,0.1,0.0,3.0,0.0,24.0,28.0,85.7,5.0,19.0,1.0,0.0,0.0,464.0,65.0,7.0,9.0,77.8,11.0,12.0,91.7,4.0,4.0,100.0,0.0,1.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,20.0,3.0,36.0,0.0,0.0,0.0,117.0,15.0,0.0,0.0,2.0,1.0,30.0,7.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2021-2022,LW,FW,None,None,1.0,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,24.0,28.0,85.7,5.0,19.0,1.0,0.0,0.0,464.0,65.0,7.0,9.0,77.8,11.0,12.0,91.7,4.0,4.0,100.0,0.0,1.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,20.0,3.0,36.0,0.0,0.0,0.0,117.0,15.0,0.0,0.0,2.0,1.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.2,1.0,0.0,1.0,176.0
Solly March,ENG,27,90.0,0,0,0,0,2,0,0,0,48.0,1.0,2,2.0,0.1,0.1,0.0,4.0,0.0,26.0,37.0,70.3,1.0,28.0,3.0,4.0,3.0,422.0,63.0,15.0,17.0,88.2,7.0,11.0,63.6,2.0,3.0,66.7,0.0,2.0,1.0,0.0,0.0,27.0,10.0,2.0,0.0,0.0,9,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,13.0,32.0,2.0,48.0,75.0,1.0,25.0,132.0,47.0,1.0,1.0,0.0,4.0,24.0,7.0,0,3,1,1,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2021-2022,RW,LW,None,None,1.0,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,1.0,2.0,2.0,0.1,0.1,0.0,4.0,0.0,26.0,37.0,70.3,1.0,28.0,3.0,4.0,3.0,422.0,63.0,15.0,17.0,88.2,7.0,11.0,63.6,2.0,3.0,66.7,0.0,2.0,1.0,0.0,0.0,27.0,10.0,2.0,0.0,0.0,9.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,13.0,32.0,2.0,48.0,75.0,1.0,25.0,132.0,47.0,1.0,1.0,0.0,4.0,24.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,1.0,1.2,1.0,0.0,1.0,176.0
Jakub Moder,POL,22,90.0,0,0,0,0,0,0,0,0,70.0,2.0,2,0.0,0.0,0.0,0.3,1.0,0.0,49.0,63.0,77.8,5.0,44.0,3.0,0.0,0.0,642.0,189.0,33.0,37.0,89.2,13.0,19.0,68.4,1.0,3.0,33.3,0.2,1.0,4.0,0.0,0.0,55.0,8.0,5.0,0.0,0.0,6,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1,1.0,1.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,32.0,30.0,2.0,70.0,0.0,0.0,0.0,208.0,95.0,2.0,1.0,3.0,2.0,48.0,4.0,0,3,1,0,0.0,0.0,0,8.0,0.0,4.0,0.0,True,2021-2022,LM,CM,None,None,1.0,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,2.0,0.0,0.0,0.0,0.3,1.0,0.0,49.0,63.0,77.8,5.0,44.0,3.0,0.0,0.0,642.0,189.0,33.0,37.0,89.2,13.0,19.0,68.4,1.0,3.0,33.3,0.2,1.0,4.0,0.0,0.0,55.0,8.0,5.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,32.0,30.0,2.0,70.0,0.0,0.0,0.0,208.0,95.0,2.0,1.0,3.0,2.0,48.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,1.0,1.2,1.0,0.0,1.0,176.0
Yves Bissouma,MLI,25,83.0,0,0,0,0,0,0,1,0,65.0,1.0,1,1.0,0.0,0.0,0.0,2.0,0.0,53.0,58.0,91.4,5.0,43.0,1.0,2.0,2.0,797.0,211.0,34.0,34.0,100.0,15.0,18.0,83.3,3.0,3.0,100.0,0.0,0.0,3.0,0.0,0.0,57.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,11.0,45.0,10.0,0.0,65.0,100.0,0.0,0.0,256.0,93.0,2.0,0.0,0.0,0.0,46.0,0.0,0,1,0,0,0.0,0.0,0,9.0,1.0,0.0,100.0,True,2021-2022,CM,None,None,None,0.9222222222222223,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,27.10843373493976,0.0,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,0.0,70.48192771084337,1.0843373493975903,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,2.1686746987951806,0.0,57.46987951807228,62.891566265060234,99.10843373493977,5.421686746987952,46.626506024096386,1.0843373493975903,2.1686746987951806,2.1686746987951806,864.2168674698795,228.79518072289156,36.86746987951807,36.86746987951807,108.43373493975903,16.265060240963855,19.518072289156624,90.32530120481927,3.2530120481927707,3.2530120481927707,108.43373493975903,0.0,0.0,3.2530120481927707,0.0,0.0,61.80722891566265,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,0.0,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,2.1686746987951806,2.1686746987951806,0.0,3.2530120481927707,11.927710843373493,48.795180722891565,10.843373493975903,0.0,70.48192771084337,108.43373493975903,0.0,0.0,277.5903614457831,100.8433734939759,2.1686746987951806,0.0,0.0,0.0,49.87951807228915,0.0,0.0,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,9.759036144578312,1.0843373493975903,0.0,108.43373493975903,1.0,1.3012048192771084,1.0843373493975903,0.0,1.0843373493975903,190.8433734939759
Adam Lallana,ENG,33,7.0,0,0,0,0,0,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,8.0,0.0,0.0,0.0,69.0,24.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,14.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,3.0,0.0,12.0,1.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2021-2022,RW,None,None,None,0.07777777777777778,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,424.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.85714285714286,141.42857142857142,934.7142857142858,12.857142857142858,102.85714285714286,0.0,0.0,0.0,887.1428571428571,308.57142857142856,77.14285714285714,90.0,1101.857142857143,12.857142857142858,12.857142857142858,1285.7142857142858,0.0,0.0,0.0,0.0,0.0,12.857142857142858,12.857142857142858,0.0,141.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,128.57142857142856,12.857142857142858,180.0,0.0,0.0,0.0,231.42857142857142,167.14285714285714,0.0,0.0,38.57142857142857,0.0,154.28571428571428,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,1285.7142857142858,1.0,15.428571428571427,12.857142857142858,0.0,12.857142857142858,2262.8571428571427
Enock Mwepu,ZAM,23,83.0,0,0,0,0,4,1,0,0,49.0,1.0,0,1.0,0.8,0.8,0.1,3.0,0.0,33.0,39.0,84.6,4.0,35.0,4.0,2.0,1.0,426.0,116.0,21.0,23.0,91.3,9.0,11.0,81.8,1.0,3.0,33.3,0.1,1.0,5.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,23.0,25.0,4.0,49.0,50.0,1.0,50.0,204.0,110.0,2.0,0.0,2.0,2.0,40.0,6.0,0,0,2,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2021-2022,RM,None,None,None,0.9222222222222223,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,24.939759036144576,0.0,0.0,0.0,0.0,4.337349397590361,1.0843373493975903,0.0,0.0,53.132530120481924,1.0843373493975903,0.0,1.0843373493975903,0.8674698795180723,0.8674698795180723,0.10843373493975904,3.2530120481927707,0.0,35.78313253012048,42.28915662650602,91.73493975903614,4.337349397590361,37.95180722891566,4.337349397590361,2.1686746987951806,1.0843373493975903,461.92771084337346,125.78313253012047,22.771084337349397,24.939759036144576,98.99999999999999,9.759036144578312,11.927710843373493,88.69879518072288,1.0843373493975903,3.2530120481927707,36.10843373493975,0.10843373493975904,1.0843373493975903,5.421686746987952,1.0843373493975903,0.0,42.28915662650602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,0.0,1.0843373493975903,0.0,0.0,3.2530120481927707,0.0,3.2530120481927707,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,2.1686746987951806,24.939759036144576,27.10843373493976,4.337349397590361,53.132530120481924,54.21686746987952,1.0843373493975903,54.21686746987952,221.2048192771084,119.27710843373494,2.1686746987951806,0.0,2.1686746987951806,2.1686746987951806,43.373493975903614,6.506024096385541,0.0,0.0,2.1686746987951806,0.0,0.0,0.0,0.0,5.421686746987952,0.0,0.0,0.0,1.0,1.3012048192771084,1.0843373493975903,0.0,1.0843373493975903,190.8433734939759
Taylor Richards,ENG,21,7.0,0,0,0,0,0,0,0,0,14.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,2.0,10.0,0.0,1.0,0.0,102.0,32.0,3.0,4.0,75.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,14.0,0.0,1.0,100.0,53.0,16.0,0.0,0.0,0.0,0.0,11.0,4.0,0,1,1,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,2021-2022,CM,None,None,None,0.07777777777777778,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,90.0,128.57142857142856,900.0,25.714285714285715,128.57142857142856,0.0,12.857142857142858,0.0,1311.4285714285713,411.42857142857144,38.57142857142857,51.42857142857143,964.2857142857142,51.42857142857143,51.42857142857143,1285.7142857142858,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,128.57142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,12.857142857142858,0.0,12.857142857142858,25.714285714285715,642.8571428571429,12.857142857142858,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,102.85714285714286,77.14285714285714,0.0,180.0,0.0,12.857142857142858,1285.7142857142858,681.4285714285714,205.71428571428572,0.0,0.0,0.0,0.0,141.42857142857142,51.42857142857143,0.0,12.857142857142858,12.857142857142858,0.0,0.0,0.0,0.0,12.857142857142858,12.857142857142858,0.0,1285.7142857142858,1.0,15.428571428571427,12.857142857142858,0.0,12.857142857142858,2262.8571428571427
Marc Cucurella,ESP,23,90.0,0,0,0,0,1,0,0,0,80.0,1.0,1,0.0,0.0,0.0,0.0,2.0,0.0,63.0,72.0,87.5,8.0,49.0,6.0,2.0,1.0,801.0,281.0,43.0,46.0,93.5,16.0,19.0,84.2,2.0,2.0,100.0,0.1,1.0,9.0,1.0,0.0,61.0,11.0,1.0,0.0,0.0,1,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,1.0,1.0,6.0,16.7,5.0,0.0,0.0,2.0,1.0,0.0,1.0,13.0,37.0,30.0,1.0,80.0,50.0,1.0,50.0,272.0,178.0,1.0,1.0,1.0,0.0,53.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,2.0,33.3,True,2021-2022,LB,None,None,None,1.0,Brighton_Wolves,Brighton_Wolves_2021,1.2,1.0,0.0,1.0,2021-12-15,Tony Harrington,The American Express Community Stadium,Wed,19:30,"30,362",176,Wolves,Brighton,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,72.0,87.5,8.0,49.0,6.0,2.0,1.0,801.0,281.0,43.0,46.0,93.5,16.0,19.0,84.2,2.0,2.0,100.0,0.1,1.0,9.0,1.0,0.0,61.0,11.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,16.7,5.0,0.0,0.0,2.0,1.0,0.0,1.0,13.0,37.0,30.0,1.0,80.0,50.0,1.0,50.0,272.0,178.0,1.0,1.0,1.0,0.0,53.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3,1.0,1.2,1.0,0.0,1.0,176.0
