player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Andre Gray,JAM,28,55.0,0,0,0,0,0,0,1,0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,2.0,7.0,0.0,1.0,0.0,92.0,28.0,1.0,2.0,50.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,13.0,0.0,1.0,100.0,15.0,1.0,0.0,0.0,1.0,0.0,10.0,5.0,0,1,0,1,0.0,0.0,0,0.0,1.0,3.0,25.0,True,2019-2020,FW,None,None,None,0.6111111111111112,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,45.81818181818181,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636362,0.0,21.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,13.09090909090909,102.27272727272727,3.2727272727272725,11.454545454545453,0.0,1.6363636363636362,0.0,150.54545454545453,45.81818181818181,1.6363636363636362,3.2727272727272725,81.81818181818181,3.2727272727272725,6.545454545454545,81.81818181818181,1.6363636363636362,1.6363636363636362,163.63636363636363,0.0,0.0,1.6363636363636362,1.6363636363636362,0.0,13.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,13.09090909090909,1.6363636363636362,21.27272727272727,0.0,1.6363636363636362,163.63636363636363,24.545454545454543,1.6363636363636362,0.0,0.0,1.6363636363636362,0.0,16.363636363636363,8.181818181818182,0.0,1.6363636363636362,0.0,1.6363636363636362,0.0,0.0,0.0,0.0,1.6363636363636362,4.909090909090908,40.90909090909091,1.0,1.6363636363636362,3.109090909090909,0.0,4.909090909090908,225.8181818181818
Troy Deeney,ENG,31,35.0,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,46.0,11.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,0.0,1.0,5.0,16.7,True,2019-2020,FW,None,None,None,0.3888888888888889,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,79.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714285,10.285714285714285,257.1428571428571,0.0,0.0,0.0,0.0,0.0,118.28571428571428,28.285714285714285,7.714285714285714,7.714285714285714,257.1428571428571,2.571428571428571,2.571428571428571,257.1428571428571,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,0.0,7.714285714285714,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.714285714285714,2.571428571428571,2.571428571428571,10.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,12.857142857142858,42.94285714285714,1.0,2.571428571428571,4.885714285714285,0.0,7.714285714285714,354.85714285714283
Gerard Deulofeu,ESP,25,90.0,0,0,0,0,4,3,0,0,47.0,1.0,0,0.0,0.2,0.2,0.2,9.0,0.0,24.0,36.0,66.7,2.0,36.0,10.0,2.0,2.0,368.0,81.0,12.0,13.0,92.3,8.0,13.0,61.5,2.0,6.0,33.3,0.4,5.0,0.0,2.0,0.0,31.0,4.0,2.0,0.0,0.0,10,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,34.0,6.0,47.0,100.0,0.0,0.0,417.0,280.0,8.0,3.0,3.0,2.0,32.0,5.0,0,0,2,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,2019-2020,FW,LW,None,None,1.0,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,25.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,47.0,1.0,0.0,0.0,0.2,0.2,0.2,9.0,0.0,24.0,36.0,66.7,2.0,36.0,10.0,2.0,2.0,368.0,81.0,12.0,13.0,92.3,8.0,13.0,61.5,2.0,6.0,33.3,0.4,5.0,0.0,2.0,0.0,31.0,4.0,2.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,34.0,6.0,47.0,100.0,0.0,0.0,417.0,280.0,8.0,3.0,3.0,2.0,32.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,1.9,0.0,3.0,138.0
Will Hughes,ENG,24,66.0,0,0,0,0,1,0,0,0,34.0,1.0,0,0.0,0.1,0.1,0.0,4.0,0.0,20.0,25.0,80.0,5.0,18.0,1.0,0.0,0.0,222.0,88.0,14.0,16.0,87.5,4.0,6.0,66.7,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,15.0,13.0,1.0,34.0,0.0,0.0,0.0,57.0,39.0,1.0,0.0,1.0,0.0,21.0,2.0,0,5,3,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2019-2020,CM,None,None,None,0.7333333333333333,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,32.72727272727273,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,46.36363636363637,1.3636363636363638,0.0,0.0,0.13636363636363638,0.13636363636363638,0.0,5.454545454545455,0.0,27.272727272727273,34.09090909090909,109.0909090909091,6.818181818181818,24.545454545454547,1.3636363636363638,0.0,0.0,302.72727272727275,120.00000000000001,19.090909090909093,21.81818181818182,119.31818181818183,5.454545454545455,8.181818181818182,90.95454545454547,0.0,1.3636363636363638,0.0,0.0,0.0,2.7272727272727275,1.3636363636363638,0.0,34.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,4.090909090909091,0.0,2.7272727272727275,8.181818181818182,20.454545454545457,17.72727272727273,1.3636363636363638,46.36363636363637,0.0,0.0,0.0,77.72727272727273,53.18181818181819,1.3636363636363638,0.0,1.3636363636363638,0.0,28.636363636363637,2.7272727272727275,0.0,6.818181818181818,4.090909090909091,0.0,0.0,0.0,0.0,4.090909090909091,1.3636363636363638,0.0,136.36363636363637,1.0,1.3636363636363638,2.590909090909091,0.0,4.090909090909091,188.1818181818182
Ismaila Sarr,SEN,21,24.0,0,0,0,0,1,0,0,0,9.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,5.0,7.0,71.4,0.0,10.0,2.0,1.0,1.0,64.0,4.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,9.0,100.0,0.0,0.0,64.0,27.0,0.0,0.0,1.0,1.0,9.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,2019-2020,RW,None,None,None,0.26666666666666666,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,78.75,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.0,18.75,26.25,267.75,0.0,37.5,7.5,3.75,3.75,240.0,15.0,11.25,11.25,375.0,7.5,7.5,375.0,0.0,3.75,0.0,0.0,0.0,3.75,0.0,0.0,26.25,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.75,3.75,33.75,375.0,0.0,0.0,240.0,101.25,0.0,0.0,3.75,3.75,33.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1.0,3.75,7.125,0.0,11.25,517.5
Etienne Capoue,FRA,31,90.0,0,0,0,0,3,0,0,0,62.0,1.0,0,0.0,0.2,0.2,0.2,4.0,0.0,47.0,54.0,87.0,2.0,28.0,1.0,0.0,0.0,916.0,198.0,18.0,19.0,94.7,20.0,24.0,83.3,7.0,9.0,77.8,0.2,2.0,2.0,1.0,1.0,51.0,3.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,11.0,37.0,14.0,1.0,62.0,0.0,0.0,0.0,88.0,45.0,0.0,1.0,2.0,0.0,38.0,0.0,0,1,1,0,0.0,0.0,0,8.0,1.0,0.0,100.0,True,2019-2020,CM,None,None,None,1.0,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,0.2,0.2,0.2,4.0,0.0,47.0,54.0,87.0,2.0,28.0,1.0,0.0,0.0,916.0,198.0,18.0,19.0,94.7,20.0,24.0,83.3,7.0,9.0,77.8,0.2,2.0,2.0,1.0,1.0,51.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,11.0,37.0,14.0,1.0,62.0,0.0,0.0,0.0,88.0,45.0,0.0,1.0,2.0,0.0,38.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0,1.0,1.0,1.9,0.0,3.0,138.0
Abdoulaye Doucoure,MLI,26,90.0,0,0,0,0,2,0,0,0,61.0,2.0,0,1.0,0.1,0.1,0.1,4.0,0.0,41.0,49.0,83.7,1.0,33.0,1.0,1.0,1.0,520.0,112.0,24.0,30.0,80.0,13.0,13.0,100.0,0.0,0.0,0.0,0.1,2.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,13.0,19.0,29.0,6.0,61.0,100.0,0.0,0.0,137.0,68.0,2.0,0.0,4.0,2.0,43.0,2.0,0,1,0,0,0.0,0.0,0,8.0,3.0,4.0,42.9,True,2019-2020,CM,None,None,None,1.0,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,2.0,0.0,1.0,0.1,0.1,0.1,4.0,0.0,41.0,49.0,83.7,1.0,33.0,1.0,1.0,1.0,520.0,112.0,24.0,30.0,80.0,13.0,13.0,100.0,0.0,0.0,0.0,0.1,2.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,13.0,19.0,29.0,6.0,61.0,100.0,0.0,0.0,137.0,68.0,2.0,0.0,4.0,2.0,43.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,42.9,1.0,1.0,1.9,0.0,3.0,138.0
Jose Holebas,GRE,35,90.0,0,0,0,0,1,1,0,0,74.0,0.0,0,1.0,0.1,0.1,0.0,4.0,0.0,40.0,69.0,58.0,3.0,32.0,6.0,1.0,1.0,579.0,210.0,25.0,31.0,80.6,9.0,19.0,47.4,3.0,12.0,25.0,0.1,0.0,2.0,1.0,1.0,46.0,23.0,1.0,0.0,1.0,12,17.0,5.0,2.0,3.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,18.0,27.0,29.0,2.0,74.0,100.0,0.0,0.0,159.0,110.0,2.0,2.0,0.0,0.0,40.0,5.0,0,5,3,0,0.0,1.0,0,6.0,5.0,3.0,62.5,True,2019-2020,LB,LM,None,None,1.0,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,74.0,0.0,0.0,1.0,0.1,0.1,0.0,4.0,0.0,40.0,69.0,58.0,3.0,32.0,6.0,1.0,1.0,579.0,210.0,25.0,31.0,80.6,9.0,19.0,47.4,3.0,12.0,25.0,0.1,0.0,2.0,1.0,1.0,46.0,23.0,1.0,0.0,1.0,12.0,17.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,18.0,27.0,29.0,2.0,74.0,100.0,0.0,0.0,159.0,110.0,2.0,2.0,0.0,0.0,40.0,5.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,6.0,5.0,3.0,62.5,1.0,1.0,1.9,0.0,3.0,138.0
Craig Cathcart,NIR,30,90.0,0,0,0,0,1,0,0,0,49.0,2.0,0,1.0,0.1,0.1,0.0,0.0,0.0,33.0,40.0,82.5,1.0,24.0,0.0,1.0,1.0,551.0,262.0,16.0,16.0,100.0,14.0,17.0,82.4,2.0,5.0,40.0,0.0,0.0,1.0,1.0,1.0,38.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,4.0,25.0,21.0,3.0,1.0,49.0,100.0,0.0,0.0,100.0,54.0,0.0,0.0,1.0,0.0,26.0,0.0,0,0,0,0,0.0,0.0,0,4.0,3.0,3.0,50.0,True,2019-2020,CB,None,None,None,1.0,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,2.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,33.0,40.0,82.5,1.0,24.0,0.0,1.0,1.0,551.0,262.0,16.0,16.0,100.0,14.0,17.0,82.4,2.0,5.0,40.0,0.0,0.0,1.0,1.0,1.0,38.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,4.0,25.0,21.0,3.0,1.0,49.0,100.0,0.0,0.0,100.0,54.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,50.0,1.0,1.0,1.9,0.0,3.0,138.0
Craig Dawson,ENG,29,44.0,0,0,0,0,1,0,0,0,28.0,0.0,1,0.0,0.0,0.0,0.1,0.0,0.0,16.0,23.0,69.6,0.0,16.0,0.0,0.0,0.0,315.0,77.0,5.0,5.0,100.0,10.0,14.0,71.4,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,9.0,2.0,2.0,28.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,1.0,0.0,15.0,0.0,0,0,0,0,0.0,0.0,0,4.0,4.0,2.0,66.7,True,2019-2020,CB,None,None,None,0.4888888888888889,Burnley_Watford,Burnley_Watford_2019,1.0,1.9,0.0,3.0,2019-11-23,Paul Tierney,Vicarage Road Stadium,Sat,15:00,"19,711",138,Burnley,Watford,59.31818181818182,0.0,0.0,0.0,0.0,2.0454545454545454,0.0,0.0,0.0,57.27272727272727,0.0,2.0454545454545454,0.0,0.0,0.0,0.20454545454545456,0.0,0.0,32.72727272727273,47.04545454545455,142.36363636363635,0.0,32.72727272727273,0.0,0.0,0.0,644.3181818181819,157.5,10.227272727272728,10.227272727272728,204.54545454545456,20.454545454545457,28.636363636363637,146.04545454545456,2.0454545454545454,8.181818181818182,51.13636363636364,0.0,2.0454545454545454,0.0,0.0,0.0,47.04545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0454545454545454,2.0454545454545454,0.0,2.0454545454545454,34.77272727272727,18.40909090909091,4.090909090909091,4.090909090909091,57.27272727272727,0.0,0.0,0.0,112.5,40.909090909090914,0.0,0.0,2.0454545454545454,0.0,30.681818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,8.181818181818182,4.090909090909091,136.4318181818182,1.0,2.0454545454545454,3.8863636363636362,0.0,6.136363636363637,282.2727272727273
