player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Diogo Jota,POR,22,90.0,0,0,0,0,3,0,0,0,58.0,0.0,0,0.0,0.3,0.3,0.0,3.0,0.0,35.0,46.0,76.1,5.0,39.0,7.0,6.0,2.0,535.0,135.0,19.0,22.0,86.4,10.0,13.0,76.9,4.0,4.0,100.0,0.1,1.0,4.0,2.0,0.0,43.0,3.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,24.0,2.0,58.0,33.3,4.0,66.7,330.0,210.0,2.0,1.0,2.0,1.0,47.0,8.0,0,0,3,0,0.0,0.0,0,6.0,0.0,2.0,0.0,True,Wolves,Burnley,3,2019-2020,FW,LW,None,None,2019,1.0,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,0.0,35.0,46.0,76.1,5.0,39.0,7.0,6.0,2.0,535.0,135.0,19.0,22.0,86.4,10.0,13.0,76.9,4.0,4.0,100.0,0.1,1.0,4.0,2.0,0.0,43.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,24.0,2.0,58.0,33.3,4.0,66.7,330.0,210.0,2.0,1.0,2.0,1.0,47.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,1.5,1.6,1.0,1.0,30.0
Raul Jimenez,MEX,28,90.0,1,0,1,1,3,0,0,0,48.0,0.0,0,0.0,1.0,0.2,0.1,6.0,1.0,28.0,36.0,77.8,6.0,32.0,2.0,2.0,2.0,409.0,103.0,15.0,17.0,88.2,9.0,11.0,81.8,3.0,5.0,60.0,0.0,2.0,3.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,19.0,25.0,7.0,47.0,100.0,0.0,0.0,194.0,95.0,0.0,1.0,3.0,2.0,39.0,9.0,0,1,1,1,1.0,0.0,0,2.0,1.0,6.0,14.3,True,Wolves,Burnley,3,2019-2020,FW,None,None,None,2019,1.0,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,28.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,0.2,0.1,6.0,1.0,28.0,36.0,77.8,6.0,32.0,2.0,2.0,2.0,409.0,103.0,15.0,17.0,88.2,9.0,11.0,81.8,3.0,5.0,60.0,0.0,2.0,3.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,19.0,25.0,7.0,47.0,100.0,0.0,0.0,194.0,95.0,0.0,1.0,3.0,2.0,39.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,14.3,1.0,1.5,1.6,1.0,1.0,30.0
Joao Moutinho,POR,32,58.0,0,0,0,0,0,0,0,0,49.0,1.0,0,1.0,0.0,0.0,0.1,4.0,0.0,41.0,46.0,89.1,2.0,33.0,0.0,1.0,0.0,737.0,183.0,16.0,16.0,100.0,18.0,19.0,94.7,4.0,5.0,80.0,0.1,2.0,4.0,2.0,2.0,40.0,6.0,2.0,0.0,1.0,3,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,25.0,17.0,0.0,49.0,0.0,1.0,100.0,113.0,54.0,3.0,0.0,0.0,0.0,34.0,0.0,0,0,1,0,0.0,0.0,0,3.0,2.0,0.0,100.0,True,Wolves,Burnley,3,2019-2020,CM,None,None,None,2019,0.6444444444444445,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,49.6551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.03448275862068,1.5517241379310345,0.0,1.5517241379310345,0.0,0.0,0.15517241379310345,6.206896551724138,0.0,63.62068965517241,71.37931034482759,138.25862068965515,3.103448275862069,51.206896551724135,0.0,1.5517241379310345,0.0,1143.6206896551723,283.9655172413793,24.82758620689655,24.82758620689655,155.17241379310343,27.93103448275862,29.482758620689655,146.94827586206895,6.206896551724138,7.758620689655172,124.13793103448275,0.15517241379310345,3.103448275862069,6.206896551724138,3.103448275862069,3.103448275862069,62.068965517241374,9.310344827586206,3.103448275862069,0.0,1.5517241379310345,4.655172413793103,1.5517241379310345,4.655172413793103,0.0,1.5517241379310345,0.0,0.0,0.0,0.0,1.5517241379310345,0.0,0.0,1.5517241379310345,1.5517241379310345,155.17241379310343,0.0,0.0,1.5517241379310345,1.5517241379310345,0.0,0.0,0.0,12.413793103448276,38.79310344827586,26.379310344827584,0.0,76.03448275862068,0.0,1.5517241379310345,155.17241379310343,175.3448275862069,83.79310344827586,4.655172413793103,0.0,0.0,0.0,52.75862068965517,0.0,0.0,0.0,1.5517241379310345,0.0,0.0,0.0,0.0,4.655172413793103,3.103448275862069,0.0,155.17241379310343,1.0,2.3275862068965516,2.4827586206896552,1.5517241379310345,1.5517241379310345,46.55172413793103
Leander Dendoncker,BEL,24,32.0,0,0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,21.0,90.5,4.0,10.0,2.0,0.0,0.0,248.0,101.0,12.0,13.0,92.3,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,3.0,0.0,22.0,0.0,0.0,0.0,59.0,49.0,0.0,0.0,0.0,0.0,14.0,1.0,0,0,0,0,0.0,0.0,0,2.0,3.0,2.0,60.0,True,Wolves,Burnley,3,2019-2020,CM,None,None,None,2019,0.35555555555555557,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.875,0.0,0.0,0.0,0.0,0.0,0.0,2.8125,0.0,53.4375,59.0625,254.53125,11.25,28.125,5.625,0.0,0.0,697.5,284.0625,33.75,36.5625,259.59375,16.875,19.6875,241.03125,0.0,0.0,0.0,0.0,0.0,5.625,2.8125,0.0,59.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6875,33.75,8.4375,0.0,61.875,0.0,0.0,0.0,165.9375,137.8125,0.0,0.0,0.0,0.0,39.375,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,8.4375,5.625,168.75,1.0,4.21875,4.5,2.8125,2.8125,84.375
Ruben Neves,POR,22,90.0,0,0,0,0,5,1,0,0,96.0,1.0,0,0.0,0.1,0.1,0.1,3.0,1.0,65.0,90.0,72.2,10.0,61.0,1.0,0.0,0.0,1501.0,480.0,17.0,20.0,85.0,29.0,44.0,65.9,18.0,24.0,75.0,0.2,2.0,10.0,0.0,0.0,85.0,5.0,3.0,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,63.0,18.0,0.0,96.0,0.0,0.0,0.0,295.0,183.0,1.0,0.0,0.0,0.0,73.0,2.0,0,1,0,0,0.0,0.0,0,5.0,1.0,2.0,33.3,True,Wolves,Burnley,3,2019-2020,CM,None,None,None,2019,1.0,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,22.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,96.0,1.0,0.0,0.0,0.1,0.1,0.1,3.0,1.0,65.0,90.0,72.2,10.0,61.0,1.0,0.0,0.0,1501.0,480.0,17.0,20.0,85.0,29.0,44.0,65.9,18.0,24.0,75.0,0.2,2.0,10.0,0.0,0.0,85.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,63.0,18.0,0.0,96.0,0.0,0.0,0.0,295.0,183.0,1.0,0.0,0.0,0.0,73.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3,1.0,1.5,1.6,1.0,1.0,30.0
Morgan Gibbs-White,ENG,19,66.0,0,0,0,0,1,0,0,0,48.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,37.0,43.0,86.0,3.0,32.0,2.0,1.0,1.0,531.0,120.0,22.0,24.0,91.7,12.0,15.0,80.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,22.0,23.0,3.0,48.0,100.0,0.0,0.0,164.0,50.0,0.0,1.0,4.0,0.0,42.0,7.0,0,2,1,0,0.0,0.0,0,3.0,3.0,1.0,75.0,True,Wolves,Burnley,3,2019-2020,CM,None,None,None,2019,0.7333333333333333,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,25.90909090909091,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,65.45454545454545,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,4.090909090909091,0.0,50.45454545454546,58.63636363636364,117.27272727272728,4.090909090909091,43.63636363636364,2.7272727272727275,1.3636363636363638,1.3636363636363638,724.0909090909091,163.63636363636365,30.000000000000004,32.72727272727273,125.04545454545456,16.363636363636363,20.454545454545457,109.0909090909091,1.3636363636363638,2.7272727272727275,68.18181818181819,0.0,2.7272727272727275,2.7272727272727275,0.0,0.0,58.63636363636364,0.0,0.0,0.0,0.0,2.7272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,5.454545454545455,30.000000000000004,31.363636363636367,4.090909090909091,65.45454545454545,136.36363636363637,0.0,0.0,223.63636363636365,68.18181818181819,0.0,1.3636363636363638,5.454545454545455,0.0,57.27272727272727,9.545454545454547,0.0,2.7272727272727275,1.3636363636363638,0.0,0.0,0.0,0.0,4.090909090909091,4.090909090909091,1.3636363636363638,102.27272727272728,1.0,2.0454545454545454,2.181818181818182,1.3636363636363638,1.3636363636363638,40.909090909090914
Pedro Neto,POR,19,24.0,0,0,0,0,0,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,17.0,70.6,3.0,14.0,0.0,1.0,1.0,156.0,34.0,9.0,11.0,81.8,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,2.0,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,3.0,19.0,100.0,0.0,0.0,78.0,29.0,0.0,0.0,0.0,1.0,14.0,5.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Wolves,Burnley,3,2019-2020,RW,None,None,None,2019,0.26666666666666666,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,45.0,63.75,264.75,11.25,52.5,0.0,3.75,3.75,585.0,127.5,33.75,41.25,306.75,11.25,18.75,225.0,0.0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,56.25,7.5,3.75,0.0,0.0,7.5,3.75,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,33.75,11.25,71.25,375.0,0.0,0.0,292.5,108.75,0.0,0.0,0.0,3.75,52.5,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.0,5.625,6.0,3.75,3.75,112.5
Jonny Castro,ESP,25,90.0,0,0,0,0,2,0,0,0,74.0,1.0,1,2.0,0.1,0.1,0.0,2.0,0.0,51.0,64.0,79.7,4.0,43.0,7.0,1.0,1.0,609.0,153.0,33.0,37.0,89.2,12.0,17.0,70.6,1.0,4.0,25.0,0.0,0.0,2.0,0.0,0.0,55.0,9.0,1.0,0.0,0.0,7,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,12.0,28.0,34.0,3.0,74.0,100.0,0.0,0.0,346.0,222.0,5.0,1.0,0.0,1.0,49.0,9.0,0,1,1,0,0.0,0.0,0,7.0,1.0,2.0,33.3,True,Wolves,Burnley,3,2019-2020,WB,LM,None,None,2019,1.0,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,1.0,1.0,2.0,0.1,0.1,0.0,2.0,0.0,51.0,64.0,79.7,4.0,43.0,7.0,1.0,1.0,609.0,153.0,33.0,37.0,89.2,12.0,17.0,70.6,1.0,4.0,25.0,0.0,0.0,2.0,0.0,0.0,55.0,9.0,1.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,12.0,28.0,34.0,3.0,74.0,100.0,0.0,0.0,346.0,222.0,5.0,1.0,0.0,1.0,49.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3,1.0,1.5,1.6,1.0,1.0,30.0
Matt Doherty,IRL,27,75.0,0,0,0,0,1,0,0,0,52.0,2.0,1,0.0,0.0,0.0,0.0,2.0,0.0,31.0,41.0,75.6,3.0,22.0,2.0,0.0,0.0,343.0,140.0,22.0,25.0,88.0,7.0,11.0,63.6,0.0,1.0,0.0,0.1,0.0,1.0,1.0,0.0,36.0,5.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,11.0,22.0,19.0,4.0,52.0,0.0,0.0,0.0,120.0,69.0,4.0,0.0,1.0,0.0,31.0,4.0,0,1,0,0,0.0,0.0,0,3.0,7.0,3.0,70.0,True,Wolves,Burnley,3,2019-2020,WB,RM,None,None,2019,0.8333333333333334,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,32.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,62.4,2.4,1.2,0.0,0.0,0.0,0.0,2.4,0.0,37.199999999999996,49.199999999999996,90.71999999999998,3.5999999999999996,26.4,2.4,0.0,0.0,411.59999999999997,168.0,26.4,30.0,105.6,8.4,13.2,76.32,0.0,1.2,0.0,0.12,0.0,1.2,1.2,0.0,43.199999999999996,6.0,0.0,0.0,0.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,1.2,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,3.5999999999999996,0.0,3.5999999999999996,13.2,26.4,22.8,4.8,62.4,0.0,0.0,0.0,144.0,82.8,4.8,0.0,1.2,0.0,37.199999999999996,4.8,0.0,1.2,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,8.4,3.5999999999999996,84.0,1.0,1.7999999999999998,1.92,1.2,1.2,36.0
Adama Traore,ESP,23,15.0,0,0,0,0,1,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,2.0,10.0,6.0,2.0,1.0,116.0,28.0,5.0,6.0,83.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,3.0,16.0,50.0,1.0,50.0,113.0,86.0,3.0,3.0,0.0,0.0,12.0,7.0,0,1,3,0,0.0,0.0,0,1.0,3.0,0.0,100.0,True,Wolves,Burnley,3,2019-2020,RM,None,None,None,2019,0.16666666666666666,Burnley_Wolves,Burnley_Wolves_2019,Wolves,Burnley,2019,3,Wolves,1.5,1.6,Burnley,1.0,1.0,2019-08-25,Craig Pawson,Molineux Stadium,Sun,16:30,"30,522",30,draw,draw,Wolves,Burnley,Burnley_Wolves,Burnley_Wolves_2019,138.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,66.0,436.20000000000005,12.0,60.0,36.0,12.0,6.0,696.0,168.0,30.0,36.0,499.8,18.0,24.0,450.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,18.0,36.0,42.0,18.0,96.0,300.0,6.0,300.0,678.0,516.0,18.0,18.0,0.0,0.0,72.0,42.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,600.0,1.0,9.0,9.600000000000001,6.0,6.0,180.0
