player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Kai Havertz,GER,22,90.0,0,0,0,0,3,1,0,0,47.0,1.0,0,2.0,0.4,0.4,0.0,1.0,0.0,23.0,29.0,79.3,5.0,24.0,0.0,3.0,1.0,351.0,50.0,11.0,13.0,84.6,10.0,11.0,90.9,1.0,1.0,100.0,0.0,0.0,2.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,20.0,26.0,6.0,47.0,33.3,2.0,66.7,176.0,28.0,2.0,1.0,2.0,4.0,33.0,8.0,0,0,1,1,0.0,0.0,0,4.0,4.0,1.0,80.0,True,2021-2022,FW,RW,None,None,1.0,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,22.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,47.0,1.0,0.0,2.0,0.4,0.4,0.0,1.0,0.0,23.0,29.0,79.3,5.0,24.0,0.0,3.0,1.0,351.0,50.0,11.0,13.0,84.6,10.0,11.0,90.9,1.0,1.0,100.0,0.0,0.0,2.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,20.0,26.0,6.0,47.0,33.3,2.0,66.7,176.0,28.0,2.0,1.0,2.0,4.0,33.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,80.0,1.0,2.5,1.4,3.0,2.0,168.0
Timo Werner,GER,25,73.0,0,0,0,0,1,1,0,0,28.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,20.0,75.0,1.0,11.0,1.0,1.0,0.0,197.0,28.0,12.0,15.0,80.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,9.0,16.0,3.0,28.0,0.0,1.0,100.0,104.0,34.0,0.0,2.0,2.0,2.0,20.0,5.0,0,1,0,0,0.0,0.0,0,6.0,1.0,2.0,33.3,True,2021-2022,LW,None,None,None,0.8111111111111111,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,30.82191780821918,0.0,0.0,0.0,0.0,1.2328767123287672,1.2328767123287672,0.0,0.0,34.52054794520548,0.0,0.0,1.2328767123287672,0.0,0.0,0.0,1.2328767123287672,1.2328767123287672,18.493150684931507,24.65753424657534,92.46575342465754,1.2328767123287672,13.561643835616438,1.2328767123287672,1.2328767123287672,0.0,242.87671232876713,34.52054794520548,14.794520547945206,18.493150684931507,98.63013698630137,2.4657534246575343,2.4657534246575343,123.28767123287672,1.2328767123287672,2.4657534246575343,61.64383561643836,0.0,0.0,0.0,0.0,0.0,24.65753424657534,0.0,0.0,0.0,0.0,1.2328767123287672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4657534246575343,0.0,2.4657534246575343,0.0,1.2328767123287672,0.0,1.2328767123287672,0.0,0.0,4.931506849315069,11.095890410958903,19.726027397260275,3.6986301369863015,34.52054794520548,0.0,1.2328767123287672,123.28767123287672,128.21917808219177,41.917808219178085,0.0,2.4657534246575343,2.4657534246575343,2.4657534246575343,24.65753424657534,6.164383561643835,0.0,1.2328767123287672,0.0,0.0,0.0,0.0,0.0,7.397260273972603,1.2328767123287672,2.4657534246575343,41.054794520547944,1.0,3.0821917808219177,1.7260273972602738,3.6986301369863015,2.4657534246575343,207.12328767123287
Callum Hudson-Odoi,ENG,21,17.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,4.0,5.0,80.0,0.0,7.0,1.0,0.0,0.0,43.0,14.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,7.0,0.0,0.0,0.0,47.0,21.0,0.0,1.0,1.0,2.0,8.0,1.0,0,1,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2021-2022,LW,LM,None,None,0.18888888888888888,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,111.17647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05882352941177,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,5.294117647058823,0.0,21.176470588235293,26.47058823529412,423.5294117647059,0.0,37.05882352941177,5.294117647058823,0.0,0.0,227.64705882352942,74.11764705882354,21.176470588235293,21.176470588235293,529.4117647058823,0.0,5.294117647058823,0.0,0.0,0.0,0.0,0.5294117647058824,5.294117647058823,0.0,0.0,0.0,26.47058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.882352941176471,21.176470588235293,5.294117647058823,37.05882352941177,0.0,0.0,0.0,248.82352941176472,111.17647058823529,0.0,5.294117647058823,5.294117647058823,10.588235294117647,42.35294117647059,5.294117647058823,0.0,5.294117647058823,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.23529411764706,7.411764705882352,15.882352941176471,10.588235294117647,889.4117647058823
Mason Mount,ENG,22,90.0,1,0,0,0,2,2,1,0,45.0,2.0,1,1.0,0.2,0.2,0.0,6.0,1.0,27.0,32.0,84.4,4.0,20.0,1.0,2.0,1.0,416.0,167.0,15.0,16.0,93.8,7.0,9.0,77.8,3.0,3.0,100.0,0.2,1.0,0.0,4.0,0.0,28.0,4.0,0.0,0.0,0.0,5,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2,1.0,1.0,0.0,1.0,4.0,25.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,9.0,31.0,4.0,45.0,50.0,1.0,50.0,81.0,8.0,0.0,0.0,5.0,1.0,30.0,9.0,0,1,1,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,2021-2022,RW,LW,None,None,1.0,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,22.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,45.0,2.0,1.0,1.0,0.2,0.2,0.0,6.0,1.0,27.0,32.0,84.4,4.0,20.0,1.0,2.0,1.0,416.0,167.0,15.0,16.0,93.8,7.0,9.0,77.8,3.0,3.0,100.0,0.2,1.0,0.0,4.0,0.0,28.0,4.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,9.0,31.0,4.0,45.0,50.0,1.0,50.0,81.0,8.0,0.0,0.0,5.0,1.0,30.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.5,1.4,3.0,2.0,168.0
Marcos Alonso,ESP,30,86.0,0,1,0,0,2,0,0,0,67.0,3.0,4,1.0,0.1,0.1,0.1,4.0,2.0,39.0,47.0,83.0,5.0,17.0,1.0,3.0,1.0,662.0,338.0,17.0,21.0,81.0,20.0,20.0,100.0,1.0,4.0,25.0,0.1,1.0,2.0,2.0,1.0,29.0,18.0,4.0,0.0,0.0,4,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,1.0,1.0,2.0,2.0,100.0,0.0,0.0,1.0,7.0,1.0,0.0,3.0,15.0,25.0,27.0,2.0,67.0,33.3,2.0,66.7,120.0,46.0,1.0,1.0,2.0,2.0,27.0,7.0,0,1,2,0,0.0,1.0,0,3.0,2.0,1.0,66.7,True,2021-2022,LM,None,None,None,0.9555555555555556,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,31.3953488372093,0.0,1.0465116279069766,0.0,0.0,2.093023255813953,0.0,0.0,0.0,70.11627906976744,3.13953488372093,4.186046511627906,1.0465116279069766,0.10465116279069768,0.10465116279069768,0.10465116279069768,4.186046511627906,2.093023255813953,40.81395348837209,49.18604651162791,86.86046511627906,5.232558139534883,17.790697674418603,1.0465116279069766,3.13953488372093,1.0465116279069766,692.7906976744185,353.72093023255815,17.790697674418603,21.97674418604651,84.76744186046511,20.930232558139533,20.930232558139533,104.65116279069767,1.0465116279069766,4.186046511627906,26.162790697674417,0.10465116279069768,1.0465116279069766,2.093023255813953,2.093023255813953,1.0465116279069766,30.348837209302324,18.83720930232558,4.186046511627906,0.0,0.0,4.186046511627906,14.651162790697674,0.0,0.0,0.0,0.0,0.0,1.0465116279069766,3.13953488372093,1.0465116279069766,1.0465116279069766,1.0465116279069766,2.093023255813953,2.093023255813953,104.65116279069767,0.0,0.0,1.0465116279069766,7.325581395348837,1.0465116279069766,0.0,3.13953488372093,15.69767441860465,26.162790697674417,28.25581395348837,2.093023255813953,70.11627906976744,34.848837209302324,2.093023255813953,69.80232558139535,125.5813953488372,48.13953488372093,1.0465116279069766,1.0465116279069766,2.093023255813953,2.093023255813953,28.25581395348837,7.325581395348837,0.0,1.0465116279069766,2.093023255813953,0.0,0.0,1.0465116279069766,0.0,3.13953488372093,2.093023255813953,1.0465116279069766,69.80232558139535,1.0,2.6162790697674416,1.4651162790697674,3.13953488372093,2.093023255813953,175.81395348837208
Romelu Lukaku,BEL,28,4.0,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2021-2022,FW,None,None,None,0.044444444444444446,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,67.5,749.2499999999999,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.25,31.499999999999996,67.5,45.0,3780.0
Jorginho,ITA,29,90.0,2,0,2,2,0,0,0,0,62.0,1.0,2,2.0,1.6,0.0,0.2,1.0,0.0,46.0,54.0,85.2,6.0,23.0,1.0,1.0,1.0,795.0,242.0,19.0,20.0,95.0,24.0,28.0,85.7,3.0,3.0,100.0,0.1,1.0,3.0,1.0,0.0,53.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,11.0,37.0,14.0,2.0,60.0,100.0,0.0,0.0,98.0,65.0,1.0,0.0,1.0,0.0,49.0,1.0,0,1,3,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2021-2022,CM,None,None,None,1.0,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,29.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,62.0,1.0,2.0,2.0,1.6,0.0,0.2,1.0,0.0,46.0,54.0,85.2,6.0,23.0,1.0,1.0,1.0,795.0,242.0,19.0,20.0,95.0,24.0,28.0,85.7,3.0,3.0,100.0,0.1,1.0,3.0,1.0,0.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,11.0,37.0,14.0,2.0,60.0,100.0,0.0,0.0,98.0,65.0,1.0,0.0,1.0,0.0,49.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,1.0,2.5,1.4,3.0,2.0,168.0
Ruben Loftus-Cheek,ENG,25,90.0,0,0,0,0,3,0,0,0,51.0,4.0,2,1.0,0.1,0.1,0.0,3.0,0.0,28.0,34.0,82.4,7.0,22.0,2.0,3.0,2.0,419.0,116.0,12.0,13.0,92.3,14.0,17.0,82.4,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,34.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,8.0,29.0,14.0,2.0,51.0,66.7,1.0,33.3,186.0,93.0,0.0,0.0,1.0,2.0,32.0,2.0,0,1,3,0,0.0,0.0,0,6.0,2.0,0.0,100.0,True,2021-2022,CM,None,None,None,1.0,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,51.0,4.0,2.0,1.0,0.1,0.1,0.0,3.0,0.0,28.0,34.0,82.4,7.0,22.0,2.0,3.0,2.0,419.0,116.0,12.0,13.0,92.3,14.0,17.0,82.4,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,8.0,29.0,14.0,2.0,51.0,66.7,1.0,33.3,186.0,93.0,0.0,0.0,1.0,2.0,32.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0,1.0,2.5,1.4,3.0,2.0,168.0
Reece James,ENG,22,90.0,0,0,0,0,1,0,1,0,57.0,3.0,0,1.0,0.0,0.0,0.1,7.0,0.0,41.0,48.0,85.4,5.0,20.0,4.0,2.0,2.0,720.0,173.0,20.0,22.0,90.9,15.0,16.0,93.8,6.0,7.0,85.7,0.1,3.0,2.0,0.0,0.0,31.0,17.0,2.0,0.0,0.0,3,14.0,1.0,1.0,0.0,0.0,0.0,2.0,2,2.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,3.0,2.0,0.0,3.0,13.0,20.0,28.0,1.0,57.0,100.0,0.0,0.0,171.0,91.0,4.0,0.0,3.0,1.0,30.0,5.0,0,1,2,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,2021-2022,RM,None,None,None,1.0,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,3.0,0.0,1.0,0.0,0.0,0.1,7.0,0.0,41.0,48.0,85.4,5.0,20.0,4.0,2.0,2.0,720.0,173.0,20.0,22.0,90.9,15.0,16.0,93.8,6.0,7.0,85.7,0.1,3.0,2.0,0.0,0.0,31.0,17.0,2.0,0.0,0.0,3.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,3.0,2.0,0.0,3.0,13.0,20.0,28.0,1.0,57.0,100.0,0.0,0.0,171.0,91.0,4.0,0.0,3.0,1.0,30.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,2.5,1.4,3.0,2.0,168.0
Antonio Rudiger,GER,28,90.0,0,0,0,0,1,0,0,0,42.0,1.0,1,0.0,0.0,0.0,0.0,2.0,2.0,31.0,37.0,83.8,3.0,20.0,2.0,1.0,0.0,668.0,294.0,11.0,12.0,91.7,15.0,18.0,83.3,5.0,7.0,71.4,0.0,0.0,3.0,0.0,0.0,33.0,4.0,3.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,16.0,18.0,8.0,1.0,42.0,0.0,1.0,100.0,103.0,40.0,2.0,0.0,0.0,1.0,28.0,2.0,0,0,2,0,2.0,0.0,0,4.0,1.0,1.0,50.0,True,2021-2022,CB,None,None,None,1.0,Chelsea_Leeds_United,Chelsea_Leeds_United_2021,2.5,1.4,3.0,2.0,2021-12-11,Chris Kavanagh,Stamford Bridge,Sat,15:00,"39,959",168,Chelsea,Leeds United,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,37.0,83.8,3.0,20.0,2.0,1.0,0.0,668.0,294.0,11.0,12.0,91.7,15.0,18.0,83.3,5.0,7.0,71.4,0.0,0.0,3.0,0.0,0.0,33.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,16.0,18.0,8.0,1.0,42.0,0.0,1.0,100.0,103.0,40.0,2.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,2.5,1.4,3.0,2.0,168.0
