player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Salomon Rondon,VEN,28,61.0,0,0,0,0,1,0,0,0,19.0,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,10.0,11.0,90.9,2.0,10.0,1.0,0.0,0.0,165.0,36.0,5.0,6.0,83.3,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,12.0,6.0,1.0,19.0,0.0,0.0,0.0,61.0,28.0,1.0,0.0,3.0,0.0,11.0,1.0,0,1,1,1,0.0,0.0,0,4.0,1.0,4.0,20.0,True,Newcastle Utd,Chelsea,3,2018-2019,FW,None,None,None,2018,0.6777777777777778,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,41.31147540983606,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,28.0327868852459,0.0,1.4754098360655736,0.0,0.14754098360655737,0.14754098360655737,0.0,0.0,0.0,14.754098360655737,16.229508196721312,134.11475409836066,2.9508196721311473,14.754098360655737,1.4754098360655736,0.0,0.0,243.44262295081967,53.114754098360656,7.377049180327869,8.852459016393443,122.90163934426228,4.426229508196721,4.426229508196721,147.54098360655738,2.9508196721311473,2.9508196721311473,147.54098360655738,0.0,0.0,0.0,1.4754098360655736,0.0,14.754098360655737,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9508196721311473,0.0,2.9508196721311473,0.0,0.0,1.4754098360655736,1.4754098360655736,0.0,1.4754098360655736,2.9508196721311473,17.704918032786885,8.852459016393443,1.4754098360655736,28.0327868852459,0.0,0.0,0.0,90.0,41.31147540983606,1.4754098360655736,0.0,4.426229508196721,0.0,16.229508196721312,1.4754098360655736,0.0,1.4754098360655736,1.4754098360655736,1.4754098360655736,0.0,0.0,0.0,5.9016393442622945,1.4754098360655736,5.9016393442622945,29.508196721311474,1.0,0.29508196721311475,2.2131147540983607,1.4754098360655736,2.9508196721311473,44.26229508196721
Joselu,ESP,28,29.0,1,0,0,0,1,1,0,0,17.0,2.0,0,2.0,0.1,0.1,0.0,0.0,0.0,8.0,10.0,80.0,0.0,8.0,0.0,0.0,0.0,96.0,5.0,4.0,5.0,80.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,4.0,8.0,5.0,1.0,17.0,0.0,0.0,0.0,16.0,5.0,1.0,0.0,0.0,1.0,9.0,2.0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,Newcastle Utd,Chelsea,3,2018-2019,FW,None,None,None,2018,0.32222222222222224,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,86.89655172413792,3.103448275862069,0.0,0.0,0.0,3.103448275862069,3.103448275862069,0.0,0.0,52.75862068965517,6.206896551724138,0.0,6.206896551724138,0.3103448275862069,0.3103448275862069,0.0,0.0,0.0,24.82758620689655,31.034482758620687,248.2758620689655,0.0,24.82758620689655,0.0,0.0,0.0,297.9310344827586,15.517241379310343,12.413793103448276,15.517241379310343,248.2758620689655,6.206896551724138,6.206896551724138,310.34482758620686,3.103448275862069,3.103448275862069,310.34482758620686,0.0,0.0,0.0,0.0,0.0,24.82758620689655,6.206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,3.103448275862069,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,6.206896551724138,6.206896551724138,3.103448275862069,0.0,6.206896551724138,12.413793103448276,24.82758620689655,15.517241379310343,3.103448275862069,52.75862068965517,0.0,0.0,0.0,49.6551724137931,15.517241379310343,3.103448275862069,0.0,0.0,3.103448275862069,27.93103448275862,6.206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,3.103448275862069,0.0,1.0,0.6206896551724138,4.655172413793103,3.103448275862069,6.206896551724138,93.10344827586206
Jacob Murphy,ENG,23,72.0,0,0,0,0,1,1,0,0,19.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,62.5,0.0,9.0,1.0,4.0,2.0,124.0,41.0,1.0,2.0,50.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,3.0,9.0,2.0,19.0,50.0,2.0,50.0,133.0,53.0,1.0,0.0,4.0,1.0,8.0,4.0,0,1,0,0,0.0,0.0,0,4.0,2.0,1.0,66.7,True,Newcastle Utd,Chelsea,3,2018-2019,LM,None,None,None,2018,0.8,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,28.75,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,23.75,1.25,1.25,1.25,0.0,0.0,0.0,1.25,0.0,6.25,10.0,78.125,0.0,11.25,1.25,5.0,2.5,155.0,51.25,1.25,2.5,62.5,2.5,3.75,83.375,2.5,3.75,83.375,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.5,0.0,0.0,0.0,10.0,3.75,11.25,2.5,23.75,62.5,2.5,62.5,166.25,66.25,1.25,0.0,5.0,1.25,10.0,5.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,5.0,2.5,1.25,83.375,1.0,0.25,1.875,1.25,2.5,37.5
Ayoze Perez,ESP,25,18.0,0,0,0,0,1,0,0,0,8.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,8.0,1.0,3.0,0.0,21.0,12.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,8.0,0.0,3.0,100.0,44.0,15.0,1.0,0.0,0.0,1.0,9.0,0.0,0,1,2,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,Newcastle Utd,Chelsea,3,2018-2019,LM,None,None,None,2018,0.2,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,125.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,500.0,5.0,40.0,5.0,15.0,0.0,105.0,60.0,10.0,10.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,25.0,0.0,40.0,0.0,15.0,500.0,220.0,75.0,5.0,0.0,0.0,5.0,45.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,500.0,1.0,1.0,7.5,5.0,10.0,150.0
Ki Sung-yueng,KOR,29,90.0,0,0,0,0,1,0,0,0,30.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,80.0,0.0,10.0,0.0,0.0,0.0,386.0,115.0,9.0,9.0,100.0,6.0,8.0,75.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,17.0,8.0,5.0,0.0,1.0,3,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,11.0,10.0,0.0,30.0,0.0,0.0,0.0,29.0,8.0,1.0,0.0,0.0,2.0,9.0,2.0,0,2,1,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,Newcastle Utd,Chelsea,3,2018-2019,CM,None,None,None,2018,1.0,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,80.0,0.0,10.0,0.0,0.0,0.0,386.0,115.0,9.0,9.0,100.0,6.0,8.0,75.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,17.0,8.0,5.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,11.0,10.0,0.0,30.0,0.0,0.0,0.0,29.0,8.0,1.0,0.0,0.0,2.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.2,1.5,1.0,2.0,30.0
Mohamed Diame,SEN,31,90.0,0,0,0,0,1,0,0,0,30.0,4.0,2,2.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,56.3,1.0,13.0,0.0,0.0,0.0,218.0,55.0,3.0,5.0,60.0,2.0,6.0,33.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,2.0,6.0,2.0,0.0,2.0,17.0,9.0,4.0,0.0,30.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,3.0,13.0,0.0,0,2,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,Newcastle Utd,Chelsea,3,2018-2019,CM,None,None,None,2018,1.0,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,56.3,1.0,13.0,0.0,0.0,0.0,218.0,55.0,3.0,5.0,60.0,2.0,6.0,33.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,2.0,6.0,2.0,0.0,2.0,17.0,9.0,4.0,0.0,30.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.2,1.5,1.0,2.0,30.0
Matt Ritchie,SCO,28,90.0,0,0,0,0,0,0,1,0,36.0,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,18.0,28.0,64.3,4.0,23.0,1.0,0.0,0.0,318.0,109.0,11.0,13.0,84.6,4.0,9.0,44.4,3.0,5.0,60.0,0.0,1.0,3.0,1.0,0.0,25.0,3.0,1.0,0.0,0.0,5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,8.0,14.0,14.0,2.0,36.0,0.0,0.0,0.0,90.0,43.0,0.0,0.0,4.0,2.0,23.0,2.0,0,2,1,1,0.0,0.0,0,5.0,0.0,2.0,0.0,True,Newcastle Utd,Chelsea,3,2018-2019,RM,None,None,None,2018,1.0,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,28.0,64.3,4.0,23.0,1.0,0.0,0.0,318.0,109.0,11.0,13.0,84.6,4.0,9.0,44.4,3.0,5.0,60.0,0.0,1.0,3.0,1.0,0.0,25.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,8.0,14.0,14.0,2.0,36.0,0.0,0.0,0.0,90.0,43.0,0.0,0.0,4.0,2.0,23.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.2,1.5,1.0,2.0,30.0
Paul Dummett,WAL,26,90.0,0,0,0,0,0,0,0,0,38.0,1.0,2,0.0,0.0,0.0,0.0,2.0,0.0,11.0,26.0,42.3,2.0,12.0,0.0,0.0,0.0,227.0,97.0,4.0,7.0,57.1,4.0,8.0,50.0,3.0,10.0,30.0,0.0,0.0,1.0,2.0,2.0,20.0,6.0,0.0,0.0,1.0,3,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,17.0,12.0,9.0,0.0,38.0,0.0,0.0,0.0,47.0,18.0,0.0,0.0,0.0,0.0,18.0,1.0,0,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,True,Newcastle Utd,Chelsea,3,2018-2019,LB,None,None,None,2018,1.0,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,26.0,42.3,2.0,12.0,0.0,0.0,0.0,227.0,97.0,4.0,7.0,57.1,4.0,8.0,50.0,3.0,10.0,30.0,0.0,0.0,1.0,2.0,2.0,20.0,6.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,17.0,12.0,9.0,0.0,38.0,0.0,0.0,0.0,47.0,18.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,1.0,0.2,1.5,1.0,2.0,30.0
Ciaran Clark,IRL,28,90.0,0,0,0,0,0,0,0,0,33.0,3.0,2,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.0,60.0,2.0,11.0,0.0,0.0,0.0,270.0,98.0,5.0,7.0,71.4,2.0,5.0,40.0,4.0,5.0,80.0,0.0,0.0,4.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,5.0,8.0,0.0,7.0,14.0,15.0,4.0,1.0,33.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,0.0,11.0,0.0,0,0,0,0,0.0,0.0,0,5.0,3.0,1.0,75.0,True,Newcastle Utd,Chelsea,3,2018-2019,CB,None,None,None,2018,1.0,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.0,60.0,2.0,11.0,0.0,0.0,0.0,270.0,98.0,5.0,7.0,71.4,2.0,5.0,40.0,4.0,5.0,80.0,0.0,0.0,4.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,5.0,8.0,0.0,7.0,14.0,15.0,4.0,1.0,33.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0,1.0,0.2,1.5,1.0,2.0,30.0
Federico Fernandez,ARG,29,90.0,0,0,0,0,0,0,1,0,27.0,1.0,1,1.0,0.0,0.0,0.1,2.0,0.0,7.0,16.0,43.8,2.0,7.0,0.0,0.0,0.0,236.0,149.0,1.0,4.0,25.0,3.0,3.0,100.0,3.0,5.0,60.0,0.1,1.0,3.0,1.0,1.0,14.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,8.0,13.0,7.0,7.0,6.0,27.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0,1,1,0,0.0,0.0,0,3.0,3.0,0.0,100.0,True,Newcastle Utd,Chelsea,3,2018-2019,CB,None,None,None,2018,1.0,Chelsea_Newcastle_Utd,Chelsea_Newcastle_Utd_2018,Newcastle Utd,Chelsea,2018,3,Newcastle Utd,0.2,1.5,Chelsea,1.0,2.0,2018-08-26,Paul Tierney,St. James' Park,Sun,16:00,"51,791",30,Chelsea,Newcastle Utd,Newcastle Utd,Chelsea,Chelsea_Newcastle_Utd,Chelsea_Newcastle Utd_2018,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,1.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,7.0,16.0,43.8,2.0,7.0,0.0,0.0,0.0,236.0,149.0,1.0,4.0,25.0,3.0,3.0,100.0,3.0,5.0,60.0,0.1,1.0,3.0,1.0,1.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,8.0,13.0,7.0,7.0,6.0,27.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,100.0,1.0,0.2,1.5,1.0,2.0,30.0
