player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Aleksandar Mitrovic,SRB,26,90.0,0,0,0,0,5,0,0,0,32.0,1.0,0,0.0,0.6,0.6,0.1,3.0,0.0,17.0,22.0,77.3,0.0,21.0,2.0,1.0,1.0,251.0,47.0,8.0,8.0,100.0,4.0,6.0,66.7,2.0,2.0,100.0,0.1,2.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,18.0,8.0,32.0,100.0,0.0,0.0,85.0,57.0,2.0,0.0,4.0,1.0,25.0,9.0,0,0,1,0,0.0,0.0,0,2.0,3.0,0.0,100.0,True,Fulham,Crystal Palace,6,2020-2021,FW,None,None,None,2020,1.0,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,26.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.6,0.6,0.1,3.0,0.0,17.0,22.0,77.3,0.0,21.0,2.0,1.0,1.0,251.0,47.0,8.0,8.0,100.0,4.0,6.0,66.7,2.0,2.0,100.0,0.1,2.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,18.0,8.0,32.0,100.0,0.0,0.0,85.0,57.0,2.0,0.0,4.0,1.0,25.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0,1.0,1.1,2.5,1.0,2.0,55.0
Ademola Lookman,NGA,23,90.0,0,0,0,0,6,1,0,0,43.0,3.0,1,0.0,0.2,0.2,0.1,5.0,0.0,19.0,25.0,76.0,3.0,33.0,3.0,5.0,3.0,234.0,42.0,13.0,15.0,86.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,24.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,17.0,22.0,5.0,43.0,60.0,2.0,40.0,216.0,69.0,2.0,3.0,3.0,7.0,31.0,5.0,0,1,2,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,AM,LW,None,None,2020,1.0,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,23.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,43.0,3.0,1.0,0.0,0.2,0.2,0.1,5.0,0.0,19.0,25.0,76.0,3.0,33.0,3.0,5.0,3.0,234.0,42.0,13.0,15.0,86.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,17.0,22.0,5.0,43.0,60.0,2.0,40.0,216.0,69.0,2.0,3.0,3.0,7.0,31.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.1,2.5,1.0,2.0,55.0
Ruben Loftus-Cheek,ENG,24,73.0,0,0,0,0,0,0,0,0,46.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,39.0,92.3,4.0,33.0,1.0,3.0,2.0,480.0,129.0,24.0,25.0,96.0,7.0,8.0,87.5,2.0,2.0,100.0,0.1,0.0,4.0,2.0,0.0,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,24.0,19.0,2.0,46.0,66.7,1.0,33.3,206.0,103.0,2.0,0.0,1.0,1.0,38.0,5.0,0,0,1,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,AM,None,None,None,2020,0.8111111111111111,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,29.589041095890412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.71232876712329,0.0,0.0,1.2328767123287672,0.0,0.0,0.0,1.2328767123287672,0.0,44.38356164383561,48.082191780821915,113.7945205479452,4.931506849315069,40.68493150684932,1.2328767123287672,3.6986301369863015,2.4657534246575343,591.7808219178082,159.04109589041096,29.589041095890412,30.82191780821918,118.35616438356165,8.63013698630137,9.863013698630137,107.87671232876713,2.4657534246575343,2.4657534246575343,123.28767123287672,0.12328767123287672,0.0,4.931506849315069,2.4657534246575343,0.0,46.84931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2328767123287672,0.0,0.0,0.0,0.0,0.0,0.0,2.4657534246575343,0.0,2.4657534246575343,0.0,1.2328767123287672,0.0,1.2328767123287672,0.0,1.2328767123287672,4.931506849315069,29.589041095890412,23.424657534246574,2.4657534246575343,56.71232876712329,82.23287671232877,1.2328767123287672,41.054794520547944,253.97260273972603,126.98630136986301,2.4657534246575343,0.0,1.2328767123287672,1.2328767123287672,46.84931506849315,6.164383561643835,0.0,0.0,1.2328767123287672,0.0,0.0,0.0,0.0,2.4657534246575343,0.0,0.0,0.0,1.0,1.356164383561644,3.0821917808219177,1.2328767123287672,2.4657534246575343,67.8082191780822
Bobby Reid,JAM,27,17.0,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,0.0,1.0,0.0,30.0,12.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,1.0,100.0,12.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,AM,None,None,None,2020,0.18888888888888888,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,142.94117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.882352941176471,15.882352941176471,529.4117647058823,0.0,10.588235294117647,0.0,5.294117647058823,0.0,158.8235294117647,63.529411764705884,10.588235294117647,10.588235294117647,529.4117647058823,5.294117647058823,5.294117647058823,529.4117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.176470588235293,5.294117647058823,0.0,26.47058823529412,0.0,5.294117647058823,529.4117647058823,63.529411764705884,5.294117647058823,0.0,0.0,5.294117647058823,0.0,21.176470588235293,0.0,0.0,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8235294117647065,13.23529411764706,5.294117647058823,10.588235294117647,291.1764705882353
Tom Cairney,SCO,29,90.0,1,0,0,0,3,2,0,0,101.0,3.0,0,2.0,0.1,0.1,0.2,7.0,0.0,82.0,91.0,90.1,16.0,72.0,2.0,3.0,2.0,1297.0,286.0,45.0,46.0,97.8,30.0,32.0,93.8,5.0,10.0,50.0,0.1,5.0,8.0,0.0,0.0,82.0,9.0,5.0,0.0,1.0,5,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,46.0,47.0,5.0,101.0,66.7,1.0,33.3,335.0,138.0,3.0,2.0,3.0,1.0,79.0,4.0,0,0,1,0,0.0,0.0,0,5.0,0.0,1.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,LM,DM,None,None,2020,1.0,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,29.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,101.0,3.0,0.0,2.0,0.1,0.1,0.2,7.0,0.0,82.0,91.0,90.1,16.0,72.0,2.0,3.0,2.0,1297.0,286.0,45.0,46.0,97.8,30.0,32.0,93.8,5.0,10.0,50.0,0.1,5.0,8.0,0.0,0.0,82.0,9.0,5.0,0.0,1.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,46.0,47.0,5.0,101.0,66.7,1.0,33.3,335.0,138.0,3.0,2.0,3.0,1.0,79.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.1,2.5,1.0,2.0,55.0
Mario Lemina,GAB,27,78.0,0,0,0,0,0,0,0,0,86.0,3.0,1,1.0,0.0,0.0,0.0,1.0,0.0,61.0,75.0,81.3,5.0,55.0,1.0,2.0,2.0,1068.0,233.0,28.0,32.0,87.5,24.0,29.0,82.8,7.0,9.0,77.8,0.0,0.0,3.0,0.0,0.0,74.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,1.0,4.0,1.0,0.0,0.0,16.0,53.0,18.0,0.0,86.0,100.0,0.0,0.0,261.0,158.0,3.0,0.0,1.0,0.0,62.0,0.0,0,3,1,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,Fulham,Crystal Palace,6,2020-2021,CM,DM,None,None,2020,0.8666666666666667,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,31.153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.23076923076923,3.4615384615384612,1.1538461538461537,1.1538461538461537,0.0,0.0,0.0,1.1538461538461537,0.0,70.38461538461539,86.53846153846153,93.8076923076923,5.769230769230769,63.46153846153846,1.1538461538461537,2.3076923076923075,2.3076923076923075,1232.3076923076924,268.8461538461538,32.30769230769231,36.92307692307692,100.96153846153845,27.69230769230769,33.46153846153846,95.53846153846153,8.076923076923077,10.384615384615385,89.76923076923076,0.0,0.0,3.4615384615384612,0.0,0.0,85.38461538461539,1.1538461538461537,0.0,0.0,1.1538461538461537,1.1538461538461537,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,1.1538461538461537,2.3076923076923075,1.1538461538461537,0.0,1.1538461538461537,3.4615384615384612,38.42307692307692,2.3076923076923075,0.0,1.1538461538461537,4.615384615384615,1.1538461538461537,0.0,0.0,18.46153846153846,61.15384615384615,20.76923076923077,0.0,99.23076923076923,115.38461538461539,0.0,0.0,301.15384615384613,182.3076923076923,3.4615384615384612,0.0,1.1538461538461537,0.0,71.53846153846153,0.0,0.0,3.4615384615384612,1.1538461538461537,0.0,0.0,0.0,0.0,5.769230769230769,1.1538461538461537,1.1538461538461537,57.69230769230769,1.0,1.2692307692307694,2.8846153846153846,1.1538461538461537,2.3076923076923075,63.46153846153846
Harrison Reed,ENG,25,12.0,0,1,0,0,0,0,0,0,18.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,17.0,94.1,1.0,14.0,0.0,0.0,0.0,230.0,58.0,11.0,11.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,55.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,DM,None,None,None,2020,0.13333333333333333,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,187.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,120.0,127.5,705.75,7.5,105.0,0.0,0.0,0.0,1725.0,435.0,82.5,82.5,750.0,37.5,37.5,750.0,0.0,0.0,0.0,0.0,7.5,15.0,0.0,0.0,127.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,75.0,0.0,0.0,135.0,0.0,0.0,0.0,412.5,165.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.25,18.75,7.5,15.0,412.5
Andre-Frank Zambo Anguissa,CMR,24,65.0,0,0,0,0,2,0,0,0,83.0,3.0,3,0.0,0.1,0.1,0.0,1.0,0.0,72.0,78.0,92.3,10.0,72.0,2.0,1.0,0.0,1062.0,316.0,43.0,48.0,89.6,25.0,26.0,96.2,2.0,2.0,100.0,0.1,0.0,11.0,1.0,1.0,77.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,61.0,18.0,1.0,83.0,0.0,1.0,100.0,410.0,217.0,4.0,0.0,0.0,0.0,71.0,2.0,0,2,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,RM,None,None,None,2020,0.7222222222222222,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,33.23076923076923,0.0,0.0,0.0,0.0,2.769230769230769,0.0,0.0,0.0,114.92307692307692,4.153846153846154,4.153846153846154,0.0,0.13846153846153847,0.13846153846153847,0.0,1.3846153846153846,0.0,99.6923076923077,108.0,127.8,13.846153846153847,99.6923076923077,2.769230769230769,1.3846153846153846,0.0,1470.4615384615386,437.53846153846155,59.53846153846154,66.46153846153847,124.06153846153846,34.61538461538461,36.0,133.20000000000002,2.769230769230769,2.769230769230769,138.46153846153845,0.13846153846153847,0.0,15.230769230769232,1.3846153846153846,1.3846153846153846,106.61538461538461,1.3846153846153846,1.3846153846153846,0.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153846153846154,0.0,2.769230769230769,1.3846153846153846,0.0,1.3846153846153846,0.0,1.3846153846153846,0.0,0.0,8.307692307692308,0.0,0.0,0.0,6.923076923076923,84.46153846153847,24.923076923076923,1.3846153846153846,114.92307692307692,0.0,1.3846153846153846,138.46153846153845,567.6923076923077,300.46153846153845,5.538461538461538,0.0,0.0,0.0,98.3076923076923,2.769230769230769,0.0,2.769230769230769,0.0,0.0,0.0,0.0,0.0,6.923076923076923,0.0,0.0,0.0,1.0,1.5230769230769232,3.4615384615384617,1.3846153846153846,2.769230769230769,76.15384615384616
Aboubakar Kamara,MTN,25,22.0,0,0,0,0,0,0,0,1,9.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,8.0,0.0,0.0,0.0,72.0,15.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,1.0,8.0,2.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,RW,None,None,None,2020,0.24444444444444444,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,102.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,36.81818181818182,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.454545454545457,32.72727272727273,255.6818181818182,0.0,32.72727272727273,0.0,0.0,0.0,294.54545454545456,61.36363636363637,16.363636363636363,16.363636363636363,409.0909090909091,4.090909090909091,8.181818181818182,204.54545454545456,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,32.72727272727273,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,4.090909090909091,4.090909090909091,0.0,0.0,0.0,4.090909090909091,0.0,4.090909090909091,0.0,0.0,4.090909090909091,0.0,0.0,0.0,4.090909090909091,0.0,32.72727272727273,0.0,36.81818181818182,0.0,0.0,0.0,94.0909090909091,57.27272727272727,0.0,0.0,0.0,4.090909090909091,32.72727272727273,8.181818181818182,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.500000000000001,10.227272727272728,4.090909090909091,8.181818181818182,225.0
Antonee Robinson,USA,23,90.0,0,0,0,0,0,0,0,0,90.0,1.0,2,2.0,0.0,0.0,0.2,7.0,0.0,63.0,79.0,79.7,5.0,59.0,5.0,3.0,1.0,975.0,292.0,41.0,45.0,91.1,18.0,22.0,81.8,4.0,9.0,44.4,0.1,4.0,0.0,4.0,1.0,71.0,8.0,1.0,0.0,0.0,11,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,9.0,36.0,45.0,4.0,90.0,33.3,2.0,66.7,266.0,148.0,3.0,1.0,3.0,2.0,69.0,25.0,0,0,1,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Fulham,Crystal Palace,6,2020-2021,LB,None,None,None,2020,1.0,Crystal_Palace_Fulham,Crystal_Palace_Fulham_2020,Fulham,Crystal Palace,2020,6,Fulham,1.1,2.5,Crystal Palace,1.0,2.0,2020-10-24,Graham Scott,Craven Cottage,Sat,15:00,0,55,Crystal Palace,Fulham,Fulham,Crystal Palace,Crystal_Palace_Fulham,Crystal Palace_Fulham_2020,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,2.0,2.0,0.0,0.0,0.2,7.0,0.0,63.0,79.0,79.7,5.0,59.0,5.0,3.0,1.0,975.0,292.0,41.0,45.0,91.1,18.0,22.0,81.8,4.0,9.0,44.4,0.1,4.0,0.0,4.0,1.0,71.0,8.0,1.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,9.0,36.0,45.0,4.0,90.0,33.3,2.0,66.7,266.0,148.0,3.0,1.0,3.0,2.0,69.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.1,2.5,1.0,2.0,55.0
