player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Gianluca Scamacca,ITA,23,79.0,1,0,0,0,5,3,0,0,28.0,1.0,0,1.0,0.7,0.7,0.1,3.0,0.0,12.0,17.0,70.6,2.0,19.0,2.0,1.0,1.0,199.0,20.0,6.0,8.0,75.0,5.0,6.0,83.3,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,14.0,6.0,28.0,100.0,0.0,0.0,68.0,27.0,0.0,1.0,3.0,3.0,21.0,5.0,0,3,1,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,West Ham,Fulham,10,2022-2023,FW,None,None,None,2022,0.8777777777777778,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,26.20253164556962,1.139240506329114,0.0,0.0,0.0,5.69620253164557,3.4177215189873418,0.0,0.0,31.89873417721519,1.139240506329114,0.0,1.139240506329114,0.7974683544303797,0.7974683544303797,0.1139240506329114,3.4177215189873418,0.0,13.670886075949367,19.367088607594937,80.43037974683544,2.278481012658228,21.645569620253166,2.278481012658228,1.139240506329114,1.139240506329114,226.70886075949366,22.78481012658228,6.8354430379746836,9.113924050632912,85.44303797468355,5.69620253164557,6.8354430379746836,94.89873417721519,1.139240506329114,2.278481012658228,56.962025316455694,0.0,2.278481012658228,0.0,0.0,0.0,19.367088607594937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,1.139240506329114,0.0,1.139240506329114,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,1.139240506329114,0.0,0.0,0.0,0.0,15.949367088607595,15.949367088607595,6.8354430379746836,31.89873417721519,113.92405063291139,0.0,0.0,77.46835443037975,30.759493670886076,0.0,1.139240506329114,3.4177215189873418,3.4177215189873418,23.924050632911392,5.69620253164557,0.0,3.4177215189873418,1.139240506329114,0.0,0.0,0.0,0.0,2.278481012658228,0.0,1.139240506329114,0.0,1.0,2.7341772151898733,0.7974683544303797,3.4177215189873418,1.139240506329114,102.53164556962025
Michail Antonio,JAM,32,11.0,1,0,0,0,2,2,0,0,9.0,0.0,0,0.0,0.4,0.4,0.0,3.0,2.0,1.0,6.0,16.7,0.0,7.0,2.0,3.0,3.0,37.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,9.0,100.0,0.0,0.0,54.0,39.0,0.0,1.0,0.0,2.0,7.0,2.0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,West Ham,Fulham,10,2022-2023,FW,None,None,None,2022,0.12222222222222222,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,261.8181818181818,8.181818181818182,0.0,0.0,0.0,16.363636363636363,16.363636363636363,0.0,0.0,73.63636363636364,0.0,0.0,0.0,3.272727272727273,3.272727272727273,0.0,24.545454545454547,16.363636363636363,8.181818181818182,49.09090909090909,136.63636363636363,0.0,57.27272727272727,16.363636363636363,24.545454545454547,24.545454545454547,302.72727272727275,90.0,0.0,32.72727272727273,0.0,0.0,0.0,0.0,8.181818181818182,16.363636363636363,409.0909090909091,0.0,0.0,0.0,0.0,0.0,49.09090909090909,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.545454545454547,49.09090909090909,24.545454545454547,73.63636363636364,818.1818181818182,0.0,0.0,441.8181818181818,319.0909090909091,0.0,8.181818181818182,0.0,16.363636363636363,57.27272727272727,16.363636363636363,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,1.0,19.636363636363637,5.7272727272727275,24.545454545454547,8.181818181818182,736.3636363636364
Pablo Fornals,ESP,26,89.0,0,0,0,0,0,0,0,0,53.0,0.0,0,0.0,0.0,0.0,0.1,5.0,0.0,37.0,49.0,75.5,5.0,33.0,6.0,0.0,0.0,649.0,150.0,20.0,20.0,100.0,10.0,15.0,66.7,7.0,10.0,70.0,0.2,1.0,5.0,2.0,0.0,48.0,1.0,0.0,1.0,1.0,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,22.0,23.0,1.0,53.0,0.0,0.0,0.0,220.0,145.0,2.0,1.0,1.0,0.0,42.0,7.0,0,1,0,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,West Ham,Fulham,10,2022-2023,LW,AM,None,None,2022,0.9888888888888889,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,26.29213483146067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59550561797752,0.0,0.0,0.0,0.0,0.0,0.10112359550561797,5.056179775280898,0.0,37.41573033707865,49.550561797752806,76.34831460674157,5.056179775280898,33.37078651685393,6.067415730337078,0.0,0.0,656.2921348314607,151.68539325842696,20.224719101123593,20.224719101123593,101.12359550561797,10.112359550561797,15.168539325842696,67.4494382022472,7.078651685393258,10.112359550561797,70.78651685393258,0.20224719101123595,1.0112359550561798,5.056179775280898,2.0224719101123596,0.0,48.53932584269663,1.0112359550561798,0.0,1.0112359550561798,1.0112359550561798,4.044943820224719,0.0,1.0112359550561798,1.0112359550561798,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,1.0112359550561798,8.089887640449438,22.247191011235955,23.258426966292134,1.0112359550561798,53.59550561797752,0.0,0.0,0.0,222.47191011235955,146.62921348314606,2.0224719101123596,1.0112359550561798,1.0112359550561798,0.0,42.47191011235955,7.078651685393258,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,7.078651685393258,0.0,0.0,0.0,1.0,2.426966292134831,0.7078651685393258,3.033707865168539,1.0112359550561798,91.01123595505618
Flynn Downes,ENG,23,1.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,18.0,6.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,West Ham,Fulham,10,2022-2023,AM,None,None,None,2022,0.011111111111111112,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,9000.0,0.0,90.0,0.0,0.0,0.0,1620.0,540.0,180.0,180.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.0,215.99999999999997,62.99999999999999,270.0,90.0,8100.0
Jarrod Bowen,ENG,25,90.0,1,0,1,1,4,1,0,0,41.0,1.0,0,1.0,1.2,0.9,0.1,4.0,1.0,19.0,27.0,70.4,2.0,17.0,3.0,1.0,0.0,269.0,68.0,12.0,14.0,85.7,6.0,7.0,85.7,1.0,3.0,33.3,0.0,2.0,1.0,2.0,0.0,24.0,2.0,0.0,0.0,0.0,3,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,17.0,20.0,6.0,40.0,0.0,0.0,0.0,123.0,39.0,2.0,2.0,4.0,2.0,26.0,4.0,0,0,1,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,West Ham,Fulham,10,2022-2023,RW,None,None,None,2022,1.0,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,25.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,41.0,1.0,0.0,1.0,1.2,0.9,0.1,4.0,1.0,19.0,27.0,70.4,2.0,17.0,3.0,1.0,0.0,269.0,68.0,12.0,14.0,85.7,6.0,7.0,85.7,1.0,3.0,33.3,0.0,2.0,1.0,2.0,0.0,24.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,17.0,20.0,6.0,40.0,0.0,0.0,0.0,123.0,39.0,2.0,2.0,4.0,2.0,26.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.4,0.7,3.0,1.0,90.0
Lucas Paqueta,BRA,25,83.0,0,1,0,0,4,1,0,0,65.0,1.0,0,0.0,0.2,0.2,0.4,5.0,1.0,46.0,56.0,82.1,3.0,30.0,1.0,1.0,1.0,607.0,192.0,31.0,33.0,93.9,12.0,16.0,75.0,2.0,4.0,50.0,0.3,2.0,3.0,1.0,0.0,53.0,3.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,30.0,20.0,3.0,65.0,100.0,0.0,0.0,172.0,47.0,2.0,0.0,2.0,3.0,55.0,5.0,0,0,2,0,0.0,0.0,0,7.0,2.0,0.0,100.0,True,West Ham,Fulham,10,2022-2023,AM,None,None,None,2022,0.9222222222222223,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,27.10843373493976,0.0,1.0843373493975903,0.0,0.0,4.337349397590361,1.0843373493975903,0.0,0.0,70.48192771084337,1.0843373493975903,0.0,0.0,0.21686746987951808,0.21686746987951808,0.43373493975903615,5.421686746987952,1.0843373493975903,49.87951807228915,60.722891566265055,89.02409638554215,3.2530120481927707,32.53012048192771,1.0843373493975903,1.0843373493975903,1.0843373493975903,658.1927710843373,208.19277108433732,33.614457831325296,35.78313253012048,101.81927710843374,13.012048192771083,17.349397590361445,81.32530120481927,2.1686746987951806,4.337349397590361,54.21686746987952,0.3253012048192771,2.1686746987951806,3.2530120481927707,1.0843373493975903,0.0,57.46987951807228,3.2530120481927707,0.0,1.0843373493975903,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0843373493975903,0.0,0.0,1.0843373493975903,16.265060240963855,32.53012048192771,21.686746987951807,3.2530120481927707,70.48192771084337,108.43373493975903,0.0,0.0,186.50602409638554,50.963855421686745,2.1686746987951806,0.0,2.1686746987951806,3.2530120481927707,59.63855421686747,5.421686746987952,0.0,0.0,2.1686746987951806,0.0,0.0,0.0,0.0,7.590361445783132,2.1686746987951806,0.0,108.43373493975903,1.0,2.602409638554217,0.7590361445783131,3.2530120481927707,1.0843373493975903,97.59036144578313
Emerson Palmieri,ITA,28,7.0,0,0,0,0,0,0,0,0,11.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,1.0,6.0,2.0,0.0,0.0,77.0,16.0,4.0,6.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,11.0,0.0,0.0,0.0,76.0,34.0,3.0,1.0,1.0,2.0,7.0,0.0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,West Ham,Fulham,10,2022-2023,LW,None,None,None,2022,0.07777777777777778,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.42857142857142,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,77.14285714285714,115.71428571428571,857.5714285714286,12.857142857142858,77.14285714285714,25.714285714285715,0.0,0.0,990.0,205.71428571428572,51.42857142857143,77.14285714285714,857.5714285714286,25.714285714285715,25.714285714285715,1285.7142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,0.0,25.714285714285715,77.14285714285714,51.42857142857143,12.857142857142858,141.42857142857142,0.0,0.0,0.0,977.1428571428571,437.1428571428571,38.57142857142857,12.857142857142858,12.857142857142858,25.714285714285715,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,12.857142857142858,0.0,1285.7142857142858,1.0,30.857142857142854,9.0,38.57142857142857,12.857142857142858,1157.142857142857
Declan Rice,ENG,23,90.0,0,0,0,0,0,0,0,0,81.0,2.0,3,0.0,0.0,0.0,0.0,3.0,1.0,63.0,71.0,88.7,10.0,49.0,5.0,0.0,0.0,1029.0,359.0,34.0,36.0,94.4,23.0,23.0,100.0,5.0,8.0,62.5,0.0,0.0,10.0,1.0,0.0,70.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,20.0,46.0,16.0,1.0,81.0,0.0,0.0,0.0,278.0,179.0,4.0,0.0,1.0,1.0,54.0,0.0,0,0,0,0,0.0,0.0,0,9.0,1.0,1.0,50.0,True,West Ham,Fulham,10,2022-2023,DM,None,None,None,2022,1.0,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,63.0,71.0,88.7,10.0,49.0,5.0,0.0,0.0,1029.0,359.0,34.0,36.0,94.4,23.0,23.0,100.0,5.0,8.0,62.5,0.0,0.0,10.0,1.0,0.0,70.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,20.0,46.0,16.0,1.0,81.0,0.0,0.0,0.0,278.0,179.0,4.0,0.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0,1.0,2.4,0.7,3.0,1.0,90.0
Tomas Soucek,CZE,27,90.0,0,0,0,0,0,0,0,0,62.0,2.0,4,2.0,0.0,0.0,0.1,3.0,0.0,40.0,49.0,81.6,7.0,22.0,1.0,0.0,0.0,693.0,240.0,26.0,29.0,89.7,10.0,13.0,76.9,4.0,5.0,80.0,0.0,1.0,7.0,0.0,0.0,46.0,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,6.0,0.0,0.0,4.0,24.0,30.0,8.0,1.0,62.0,0.0,0.0,0.0,98.0,37.0,0.0,0.0,1.0,0.0,34.0,3.0,0,0,0,0,0.0,0.0,0,4.0,2.0,3.0,40.0,True,West Ham,Fulham,10,2022-2023,DM,None,None,None,2022,1.0,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2.0,4.0,2.0,0.0,0.0,0.1,3.0,0.0,40.0,49.0,81.6,7.0,22.0,1.0,0.0,0.0,693.0,240.0,26.0,29.0,89.7,10.0,13.0,76.9,4.0,5.0,80.0,0.0,1.0,7.0,0.0,0.0,46.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,6.0,0.0,0.0,4.0,24.0,30.0,8.0,1.0,62.0,0.0,0.0,0.0,98.0,37.0,0.0,0.0,1.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,40.0,1.0,2.4,0.7,3.0,1.0,90.0
Aaron Cresswell,ENG,32,90.0,0,0,0,0,0,0,0,0,74.0,1.0,1,3.0,0.0,0.0,0.2,3.0,0.0,53.0,66.0,80.3,4.0,37.0,2.0,0.0,0.0,665.0,265.0,41.0,42.0,97.6,10.0,16.0,62.5,1.0,6.0,16.7,0.1,3.0,2.0,2.0,1.0,59.0,7.0,0.0,0.0,0.0,6,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,31.0,18.0,25.0,1.0,74.0,0.0,0.0,0.0,139.0,92.0,2.0,0.0,0.0,0.0,49.0,8.0,0,0,0,1,0.0,0.0,0,5.0,0.0,1.0,0.0,True,West Ham,Fulham,10,2022-2023,LB,None,None,None,2022,1.0,Fulham_West_Ham,Fulham_West_Ham_2022,West Ham,Fulham,2022,10,West Ham,2.4,0.7,Fulham,3.0,1.0,2022-10-09,Chris Kavanagh,London Stadium,Sun,14:00,"62,407",90,West Ham,Fulham,West Ham,Fulham,Fulham_West_Ham,Fulham_West Ham_2022,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,1.0,3.0,0.0,0.0,0.2,3.0,0.0,53.0,66.0,80.3,4.0,37.0,2.0,0.0,0.0,665.0,265.0,41.0,42.0,97.6,10.0,16.0,62.5,1.0,6.0,16.7,0.1,3.0,2.0,2.0,1.0,59.0,7.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,31.0,18.0,25.0,1.0,74.0,0.0,0.0,0.0,139.0,92.0,2.0,0.0,0.0,0.0,49.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.4,0.7,3.0,1.0,90.0
