player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Laurent Depoitre,BEL,28,69.0,1,0,0,0,1,1,0,0,31.0,2.0,1,1.0,0.5,0.5,0.0,1.0,1.0,11.0,18.0,61.1,0.0,12.0,0.0,1.0,1.0,116.0,10.0,7.0,10.0,70.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,6.0,17.0,9.0,4.0,31.0,100.0,0.0,0.0,58.0,35.0,1.0,0.0,3.0,2.0,16.0,1.0,0,1,0,0,0.0,0.0,0,4.0,2.0,5.0,28.6,True,Huddersfield,Manchester Utd,9,2017-2018,FW,None,None,None,2017,0.7666666666666667,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,36.52173913043478,1.3043478260869565,0.0,0.0,0.0,1.3043478260869565,1.3043478260869565,0.0,0.0,40.43478260869565,2.608695652173913,1.3043478260869565,1.3043478260869565,0.6521739130434783,0.6521739130434783,0.0,1.3043478260869565,1.3043478260869565,14.347826086956522,23.478260869565215,79.69565217391305,0.0,15.652173913043477,0.0,1.3043478260869565,1.3043478260869565,151.30434782608694,13.043478260869565,9.130434782608695,13.043478260869565,91.30434782608695,1.3043478260869565,2.608695652173913,65.21739130434783,1.3043478260869565,1.3043478260869565,130.43478260869566,0.0,0.0,0.0,0.0,0.0,22.173913043478258,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3043478260869565,1.3043478260869565,0.0,2.608695652173913,0.0,1.3043478260869565,2.608695652173913,65.21739130434783,1.3043478260869565,0.0,1.3043478260869565,3.913043478260869,1.3043478260869565,0.0,1.3043478260869565,7.826086956521738,22.173913043478258,11.739130434782608,5.217391304347826,40.43478260869565,130.43478260869566,0.0,0.0,75.65217391304347,45.65217391304348,1.3043478260869565,0.0,3.913043478260869,2.608695652173913,20.869565217391305,1.3043478260869565,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,5.217391304347826,2.608695652173913,6.521739130434782,37.30434782608695,1.0,1.5652173913043477,1.0434782608695652,2.608695652173913,1.3043478260869565,118.69565217391303
Steve Mounie,BEN,23,21.0,0,0,0,0,0,0,0,0,6.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,1.0,2.0,1.0,0.0,0.0,97.0,67.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,16.0,14.0,1.0,0.0,0.0,0.0,3.0,0.0,0,1,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,True,Huddersfield,Manchester Utd,9,2017-2018,FW,None,None,None,2017,0.23333333333333334,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,98.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,25.714285714285715,214.28571428571428,4.285714285714286,8.571428571428571,4.285714285714286,0.0,0.0,415.7142857142857,287.1428571428571,4.285714285714286,12.857142857142858,142.7142857142857,4.285714285714286,8.571428571428571,214.28571428571428,4.285714285714286,4.285714285714286,428.57142857142856,0.0,0.0,0.0,0.0,0.0,21.428571428571427,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,0.0,4.285714285714286,0.0,0.0,4.285714285714286,0.0,0.0,4.285714285714286,4.285714285714286,12.857142857142858,12.857142857142858,0.0,25.714285714285715,0.0,0.0,0.0,68.57142857142857,60.0,4.285714285714286,0.0,0.0,0.0,12.857142857142858,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,8.571428571428571,4.285714285714286,4.285714285714286,214.28571428571428,1.0,5.142857142857142,3.428571428571429,8.571428571428571,4.285714285714286,390.0
Tom Ince,ENG,25,89.0,0,0,0,0,1,1,0,0,18.0,0.0,0,0.0,0.2,0.2,0.0,1.0,1.0,8.0,15.0,53.3,0.0,14.0,2.0,0.0,0.0,115.0,40.0,4.0,7.0,57.1,2.0,2.0,100.0,1.0,5.0,20.0,0.1,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,6.0,7.0,2.0,18.0,0.0,0.0,0.0,156.0,106.0,1.0,1.0,0.0,1.0,13.0,5.0,0,1,1,1,0.0,0.0,0,4.0,0.0,0.0,0.0,True,Huddersfield,Manchester Utd,9,2017-2018,LW,LM,None,None,2017,0.9888888888888889,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,25.280898876404493,0.0,0.0,0.0,0.0,1.0112359550561798,1.0112359550561798,0.0,0.0,18.202247191011235,0.0,0.0,0.0,0.20224719101123595,0.20224719101123595,0.0,1.0112359550561798,1.0112359550561798,8.089887640449438,15.168539325842696,53.898876404494374,0.0,14.157303370786517,2.0224719101123596,0.0,0.0,116.29213483146067,40.44943820224719,4.044943820224719,7.078651685393258,57.741573033707866,2.0224719101123596,2.0224719101123596,101.12359550561797,1.0112359550561798,5.056179775280898,20.224719101123593,0.10112359550561797,0.0,0.0,1.0112359550561798,1.0112359550561798,15.168539325842696,0.0,0.0,0.0,0.0,1.0112359550561798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0224719101123596,0.0,2.0224719101123596,7.078651685393258,6.067415730337078,7.078651685393258,2.0224719101123596,18.202247191011235,0.0,0.0,0.0,157.75280898876403,107.19101123595505,1.0112359550561798,1.0112359550561798,0.0,1.0112359550561798,13.146067415730336,5.056179775280898,0.0,1.0112359550561798,1.0112359550561798,1.0112359550561798,0.0,0.0,0.0,4.044943820224719,0.0,0.0,0.0,1.0,1.2134831460674156,0.8089887640449438,2.0224719101123596,1.0112359550561798,92.02247191011236
Scott Malone,ENG,26,1.0,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,Huddersfield,Manchester Utd,9,2017-2018,LM,None,None,None,2017,0.011111111111111112,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.99999999999999,72.0,180.0,90.0,8190.0
Elias Kachunga,COD,25,38.0,0,0,0,0,1,0,0,0,14.0,0.0,1,1.0,0.1,0.1,0.0,1.0,0.0,3.0,9.0,33.3,0.0,7.0,1.0,0.0,0.0,22.0,1.0,2.0,5.0,40.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,6.0,5.0,2.0,14.0,0.0,0.0,0.0,29.0,21.0,0.0,0.0,1.0,0.0,10.0,1.0,0,0,1,0,0.0,0.0,0,4.0,2.0,1.0,66.7,True,Huddersfield,Manchester Utd,9,2017-2018,RW,None,None,None,2017,0.4222222222222222,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,59.21052631578947,0.0,0.0,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,33.1578947368421,0.0,2.3684210526315788,2.3684210526315788,0.2368421052631579,0.2368421052631579,0.0,2.3684210526315788,0.0,7.105263157894737,21.31578947368421,78.86842105263158,0.0,16.57894736842105,2.3684210526315788,0.0,0.0,52.10526315789474,2.3684210526315788,4.7368421052631575,11.842105263157896,94.73684210526316,0.0,4.7368421052631575,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,21.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105263157894737,0.0,7.105263157894737,0.0,2.3684210526315788,2.3684210526315788,2.3684210526315788,0.0,2.3684210526315788,7.105263157894737,14.210526315789474,11.842105263157896,4.7368421052631575,33.1578947368421,0.0,0.0,0.0,68.6842105263158,49.73684210526316,0.0,0.0,2.3684210526315788,0.0,23.68421052631579,2.3684210526315788,0.0,0.0,2.3684210526315788,0.0,0.0,0.0,0.0,9.473684210526315,4.7368421052631575,2.3684210526315788,157.97368421052633,1.0,2.8421052631578947,1.8947368421052633,4.7368421052631575,2.3684210526315788,215.52631578947367
Rajiv van La Parra,NED,26,52.0,0,0,0,0,1,0,0,0,34.0,1.0,0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,11.0,45.5,1.0,17.0,3.0,9.0,6.0,72.0,16.0,3.0,4.0,75.0,2.0,4.0,50.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,9.0,22.0,3.0,34.0,66.7,3.0,33.3,247.0,94.0,4.0,2.0,5.0,3.0,15.0,3.0,0,0,5,0,0.0,0.0,0,9.0,0.0,0.0,0.0,True,Huddersfield,Manchester Utd,9,2017-2018,RW,RM,None,None,2017,0.5777777777777777,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,45.00000000000001,0.0,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,58.846153846153854,1.7307692307692308,0.0,3.4615384615384617,0.0,0.0,0.0,3.4615384615384617,0.0,8.653846153846155,19.03846153846154,78.75000000000001,1.7307692307692308,29.423076923076927,5.1923076923076925,15.576923076923078,10.384615384615385,124.61538461538463,27.692307692307693,5.1923076923076925,6.923076923076923,129.80769230769232,3.4615384615384617,6.923076923076923,86.53846153846155,0.0,1.7307692307692308,0.0,0.3461538461538462,0.0,0.0,0.0,0.0,17.30769230769231,0.0,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,1.7307692307692308,0.0,0.0,0.0,8.653846153846155,15.576923076923078,38.07692307692308,5.1923076923076925,58.846153846153854,115.44230769230771,5.1923076923076925,57.63461538461539,427.50000000000006,162.6923076923077,6.923076923076923,3.4615384615384617,8.653846153846155,5.1923076923076925,25.961538461538463,5.1923076923076925,0.0,0.0,8.653846153846155,0.0,0.0,0.0,0.0,15.576923076923078,0.0,0.0,0.0,1.0,2.076923076923077,1.3846153846153848,3.4615384615384617,1.7307692307692308,157.50000000000003
Aaron Mooy,AUS,27,90.0,1,0,0,0,1,1,1,0,44.0,3.0,1,1.0,0.5,0.5,0.2,2.0,0.0,20.0,34.0,58.8,2.0,16.0,2.0,0.0,0.0,284.0,123.0,7.0,9.0,77.8,6.0,9.0,66.7,2.0,10.0,20.0,0.1,1.0,2.0,1.0,0.0,25.0,9.0,5.0,0.0,0.0,6,0.0,4.0,1.0,2.0,0.0,0.0,1.0,2,2.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,4.0,3.0,0.0,2.0,13.0,19.0,13.0,1.0,44.0,0.0,0.0,0.0,101.0,51.0,1.0,0.0,1.0,1.0,14.0,0.0,0,1,0,0,0.0,0.0,0,7.0,1.0,2.0,33.3,True,Huddersfield,Manchester Utd,9,2017-2018,AM,CM,None,None,2017,1.0,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,27.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,44.0,3.0,1.0,1.0,0.5,0.5,0.2,2.0,0.0,20.0,34.0,58.8,2.0,16.0,2.0,0.0,0.0,284.0,123.0,7.0,9.0,77.8,6.0,9.0,66.7,2.0,10.0,20.0,0.1,1.0,2.0,1.0,0.0,25.0,9.0,5.0,0.0,0.0,6.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,4.0,3.0,0.0,2.0,13.0,19.0,13.0,1.0,44.0,0.0,0.0,0.0,101.0,51.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3,1.0,1.2,0.8,2.0,1.0,91.0
Danny Williams,USA,28,90.0,0,0,0,0,0,0,1,0,39.0,4.0,1,0.0,0.0,0.0,0.1,1.0,0.0,14.0,23.0,60.9,2.0,22.0,4.0,3.0,3.0,198.0,87.0,9.0,11.0,81.8,2.0,6.0,33.3,2.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,23.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,5.0,2.0,0.0,3.0,14.0,16.0,11.0,2.0,39.0,100.0,0.0,0.0,225.0,65.0,3.0,1.0,5.0,2.0,18.0,2.0,0,1,2,1,0.0,0.0,0,9.0,1.0,2.0,33.3,True,Huddersfield,Manchester Utd,9,2017-2018,DM,CM,None,None,2017,1.0,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,4.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,14.0,23.0,60.9,2.0,22.0,4.0,3.0,3.0,198.0,87.0,9.0,11.0,81.8,2.0,6.0,33.3,2.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,5.0,2.0,0.0,3.0,14.0,16.0,11.0,2.0,39.0,100.0,0.0,0.0,225.0,65.0,3.0,1.0,5.0,2.0,18.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3,1.0,1.2,0.8,2.0,1.0,91.0
Jonathan Hogg,ENG,28,90.0,0,0,0,0,0,0,0,0,32.0,5.0,3,2.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,2.0,8.0,1.0,1.0,1.0,213.0,57.0,7.0,9.0,77.8,6.0,8.0,75.0,1.0,3.0,33.3,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.0,2.0,0.0,3.0,4.0,75.0,1.0,0.0,2.0,8.0,2.0,0.0,2.0,11.0,17.0,5.0,0.0,32.0,100.0,0.0,0.0,45.0,28.0,0.0,0.0,0.0,1.0,9.0,0.0,0,2,0,0,0.0,0.0,0,4.0,2.0,1.0,66.7,True,Huddersfield,Manchester Utd,9,2017-2018,DM,None,None,None,2017,1.0,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,2.0,8.0,1.0,1.0,1.0,213.0,57.0,7.0,9.0,77.8,6.0,8.0,75.0,1.0,3.0,33.3,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,3.0,4.0,75.0,1.0,0.0,2.0,8.0,2.0,0.0,2.0,11.0,17.0,5.0,0.0,32.0,100.0,0.0,0.0,45.0,28.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7,1.0,1.2,0.8,2.0,1.0,91.0
Chris Lowe,GER,28,90.0,0,0,0,0,0,0,0,0,25.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,50.0,1.0,6.0,1.0,0.0,0.0,158.0,142.0,3.0,4.0,75.0,4.0,7.0,57.1,1.0,3.0,33.3,0.0,0.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2.0,0.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,3.0,4.0,0.0,5.0,15.0,10.0,1.0,0.0,25.0,0.0,0.0,0.0,78.0,42.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,True,Huddersfield,Manchester Utd,9,2017-2018,LB,None,None,None,2017,1.0,Huddersfield_Manchester_Utd,Huddersfield_Manchester_Utd_2017,Huddersfield,Manchester Utd,2017,9,Huddersfield,1.2,0.8,Manchester Utd,2.0,1.0,2017-10-21,Lee Mason,The John Smith's Stadium,Sat,15:00,"24,426",91,Huddersfield,Manchester Utd,Huddersfield,Manchester Utd,Huddersfield_Manchester_Utd,Huddersfield_Manchester Utd_2017,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,50.0,1.0,6.0,1.0,0.0,0.0,158.0,142.0,3.0,4.0,75.0,4.0,7.0,57.1,1.0,3.0,33.3,0.0,0.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,3.0,4.0,0.0,5.0,15.0,10.0,1.0,0.0,25.0,0.0,0.0,0.0,78.0,42.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2,0.8,2.0,1.0,91.0
