player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Harry Kane,ENG,28,90.0,0,0,0,0,4,1,0,0,47.0,2.0,0,1.0,0.7,0.7,0.0,4.0,1.0,19.0,24.0,79.2,4.0,30.0,2.0,7.0,3.0,305.0,108.0,10.0,11.0,90.9,5.0,5.0,100.0,2.0,2.0,100.0,0.1,0.0,3.0,2.0,0.0,21.0,2.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,6.0,21.0,20.0,5.0,47.0,42.9,4.0,57.1,221.0,76.0,6.0,0.0,6.0,1.0,37.0,9.0,0,2,2,2,0.0,0.0,0,1.0,2.0,1.0,66.7,True,2021-2022,FW,None,None,None,1.0,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,28.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,47.0,2.0,0.0,1.0,0.7,0.7,0.0,4.0,1.0,19.0,24.0,79.2,4.0,30.0,2.0,7.0,3.0,305.0,108.0,10.0,11.0,90.9,5.0,5.0,100.0,2.0,2.0,100.0,0.1,0.0,3.0,2.0,0.0,21.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,6.0,21.0,20.0,5.0,47.0,42.9,4.0,57.1,221.0,76.0,6.0,0.0,6.0,1.0,37.0,9.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7,1.0,2.1,1.4,2.0,1.0,130.0
Son Heung-min,KOR,29,90.0,0,0,0,0,2,0,0,0,52.0,1.0,0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,42.0,78.6,3.0,36.0,3.0,5.0,3.0,389.0,85.0,24.0,26.0,92.3,5.0,6.0,83.3,1.0,5.0,20.0,0.1,0.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,4,0.0,4.0,1.0,3.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,33.0,20.0,5.0,52.0,60.0,2.0,40.0,299.0,139.0,3.0,2.0,2.0,0.0,38.0,9.0,0,1,2,0,0.0,0.0,0,11.0,0.0,1.0,0.0,True,2021-2022,AM,None,None,None,1.0,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,42.0,78.6,3.0,36.0,3.0,5.0,3.0,389.0,85.0,24.0,26.0,92.3,5.0,6.0,83.3,1.0,5.0,20.0,0.1,0.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,33.0,20.0,5.0,52.0,60.0,2.0,40.0,299.0,139.0,3.0,2.0,2.0,0.0,38.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,2.1,1.4,2.0,1.0,130.0
Lucas Moura,BRA,29,87.0,0,1,0,0,1,0,0,0,48.0,1.0,0,1.0,0.0,0.0,0.6,4.0,1.0,22.0,37.0,59.5,7.0,29.0,6.0,6.0,3.0,295.0,110.0,13.0,20.0,65.0,9.0,13.0,69.2,0.0,0.0,0.0,0.1,3.0,1.0,2.0,0.0,35.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,30.0,15.0,1.0,48.0,50.0,3.0,50.0,205.0,125.0,6.0,0.0,6.0,1.0,33.0,5.0,0,1,4,0,0.0,0.0,0,6.0,1.0,1.0,50.0,True,2021-2022,AM,None,None,None,0.9666666666666667,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,30.0,0.0,1.0344827586206897,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,49.6551724137931,1.0344827586206897,0.0,1.0344827586206897,0.0,0.0,0.6206896551724138,4.137931034482759,1.0344827586206897,22.75862068965517,38.275862068965516,61.55172413793103,7.241379310344827,30.0,6.206896551724138,6.206896551724138,3.103448275862069,305.17241379310343,113.79310344827586,13.448275862068966,20.689655172413794,67.24137931034483,9.310344827586206,13.448275862068966,71.58620689655173,0.0,0.0,0.0,0.10344827586206896,3.103448275862069,1.0344827586206897,2.0689655172413794,0.0,36.206896551724135,1.0344827586206897,0.0,0.0,0.0,1.0344827586206897,1.0344827586206897,0.0,0.0,0.0,0.0,1.0344827586206897,2.0689655172413794,1.0344827586206897,0.0,1.0344827586206897,0.0,1.0344827586206897,2.0689655172413794,51.724137931034484,1.0344827586206897,0.0,1.0344827586206897,1.0344827586206897,0.0,0.0,0.0,5.172413793103448,31.03448275862069,15.517241379310345,1.0344827586206897,49.6551724137931,51.724137931034484,3.103448275862069,51.724137931034484,212.06896551724137,129.3103448275862,6.206896551724138,0.0,6.206896551724138,1.0344827586206897,34.13793103448276,5.172413793103448,0.0,1.0344827586206897,4.137931034482759,0.0,0.0,0.0,0.0,6.206896551724138,1.0344827586206897,1.0344827586206897,51.724137931034484,1.0,2.1724137931034484,1.4482758620689655,2.0689655172413794,1.0344827586206897,134.48275862068965
Dele Alli,ENG,25,3.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,2.0,0.0,True,2021-2022,AM,None,None,None,0.03333333333333333,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,63.0,42.0,60.0,30.0,3900.0
Harry Winks,ENG,25,90.0,0,0,0,0,0,0,0,0,61.0,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,40.0,49.0,81.6,8.0,34.0,0.0,2.0,1.0,671.0,277.0,16.0,21.0,76.2,22.0,23.0,95.7,2.0,4.0,50.0,0.0,0.0,6.0,1.0,0.0,47.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,1.0,3.0,2.0,0.0,4.0,14.0,37.0,10.0,0.0,61.0,50.0,1.0,50.0,168.0,29.0,2.0,0.0,4.0,0.0,37.0,2.0,0,1,1,0,0.0,0.0,0,4.0,3.0,0.0,100.0,True,2021-2022,CM,None,None,None,1.0,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,49.0,81.6,8.0,34.0,0.0,2.0,1.0,671.0,277.0,16.0,21.0,76.2,22.0,23.0,95.7,2.0,4.0,50.0,0.0,0.0,6.0,1.0,0.0,47.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,1.0,3.0,2.0,0.0,4.0,14.0,37.0,10.0,0.0,61.0,50.0,1.0,50.0,168.0,29.0,2.0,0.0,4.0,0.0,37.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,100.0,1.0,2.1,1.4,2.0,1.0,130.0
Pierre Hojbjerg,DEN,26,90.0,1,0,0,0,2,1,0,0,66.0,0.0,2,1.0,0.2,0.2,0.0,4.0,0.0,48.0,55.0,87.3,6.0,26.0,1.0,1.0,0.0,670.0,174.0,30.0,32.0,93.8,16.0,17.0,94.1,1.0,5.0,20.0,0.0,0.0,6.0,1.0,0.0,49.0,6.0,5.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,18.0,45.0,4.0,1.0,66.0,0.0,1.0,100.0,171.0,76.0,1.0,0.0,3.0,0.0,41.0,1.0,0,1,2,0,0.0,0.0,0,7.0,0.0,0.0,0.0,True,2021-2022,CM,None,None,None,1.0,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,26.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,66.0,0.0,2.0,1.0,0.2,0.2,0.0,4.0,0.0,48.0,55.0,87.3,6.0,26.0,1.0,1.0,0.0,670.0,174.0,30.0,32.0,93.8,16.0,17.0,94.1,1.0,5.0,20.0,0.0,0.0,6.0,1.0,0.0,49.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,18.0,45.0,4.0,1.0,66.0,0.0,1.0,100.0,171.0,76.0,1.0,0.0,3.0,0.0,41.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.1,1.4,2.0,1.0,130.0
Sergio Reguilon,ESP,24,78.0,1,0,0,0,2,1,0,0,50.0,1.0,3,1.0,0.7,0.7,0.1,1.0,0.0,17.0,29.0,58.6,2.0,18.0,1.0,4.0,0.0,322.0,117.0,3.0,6.0,50.0,14.0,19.0,73.7,0.0,2.0,0.0,0.1,1.0,0.0,1.0,1.0,26.0,2.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,4.0,3.0,0.0,5.0,11.0,20.0,20.0,5.0,50.0,0.0,4.0,100.0,129.0,33.0,2.0,0.0,2.0,1.0,19.0,8.0,0,0,0,0,0.0,0.0,0,10.0,1.0,1.0,50.0,True,2021-2022,WB,None,None,None,0.8666666666666667,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,27.69230769230769,1.1538461538461537,0.0,0.0,0.0,2.3076923076923075,1.1538461538461537,0.0,0.0,57.69230769230769,1.1538461538461537,3.4615384615384612,1.1538461538461537,0.8076923076923076,0.8076923076923076,0.11538461538461539,1.1538461538461537,0.0,19.615384615384613,33.46153846153846,67.61538461538461,2.3076923076923075,20.76923076923077,1.1538461538461537,4.615384615384615,0.0,371.53846153846155,135.0,3.4615384615384612,6.9230769230769225,57.69230769230769,16.153846153846153,21.923076923076923,85.03846153846153,0.0,2.3076923076923075,0.0,0.11538461538461539,1.1538461538461537,0.0,1.1538461538461537,1.1538461538461537,30.0,2.3076923076923075,0.0,0.0,0.0,6.9230769230769225,2.3076923076923075,0.0,0.0,0.0,0.0,1.1538461538461537,1.1538461538461537,1.1538461538461537,0.0,0.0,1.1538461538461537,1.1538461538461537,3.4615384615384612,38.42307692307692,2.3076923076923075,1.1538461538461537,0.0,4.615384615384615,3.4615384615384612,0.0,5.769230769230769,12.692307692307692,23.076923076923077,23.076923076923077,5.769230769230769,57.69230769230769,0.0,4.615384615384615,115.38461538461539,148.84615384615384,38.07692307692307,2.3076923076923075,0.0,2.3076923076923075,1.1538461538461537,21.923076923076923,9.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538461538461538,1.1538461538461537,1.1538461538461537,57.69230769230769,1.0,2.423076923076923,1.6153846153846152,2.3076923076923075,1.1538461538461537,150.0
Ryan Sessegnon,ENG,21,12.0,0,0,0,0,0,0,0,0,10.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,37.5,0.0,4.0,0.0,0.0,0.0,58.0,43.0,2.0,4.0,50.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,10.0,0.0,0.0,0.0,28.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0,1,0,0,0.0,0.0,0,0.0,2.0,0.0,100.0,True,2021-2022,WB,None,None,None,0.13333333333333333,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.5,0.0,0.0,0.0,0.0,7.5,0.0,22.5,60.0,281.25,0.0,30.0,0.0,0.0,0.0,435.0,322.5,15.0,30.0,375.0,0.0,15.0,0.0,7.5,15.0,375.0,0.0,7.5,7.5,0.0,0.0,30.0,30.0,0.0,0.0,0.0,7.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,7.5,52.5,15.0,0.0,75.0,0.0,0.0,0.0,210.0,52.5,0.0,0.0,0.0,0.0,22.5,15.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,750.0,1.0,15.75,10.5,15.0,7.5,975.0
Emerson,BRA,22,90.0,0,0,0,0,0,0,1,0,52.0,7.0,1,0.0,0.0,0.0,0.0,1.0,0.0,28.0,37.0,75.7,1.0,15.0,2.0,0.0,0.0,450.0,150.0,13.0,16.0,81.3,12.0,16.0,75.0,1.0,1.0,100.0,0.1,0.0,0.0,1.0,0.0,28.0,9.0,0.0,0.0,0.0,4,9.0,0.0,0.0,0.0,0.0,0.0,2.0,5,5.0,1.0,1.0,3.0,5.0,60.0,2.0,0.0,0.0,8.0,4.0,0.0,2.0,24.0,14.0,14.0,3.0,52.0,0.0,0.0,0.0,97.0,45.0,0.0,0.0,1.0,1.0,18.0,4.0,0,2,0,1,0.0,0.0,0,6.0,0.0,2.0,0.0,True,2021-2022,WB,None,None,None,1.0,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,37.0,75.7,1.0,15.0,2.0,0.0,0.0,450.0,150.0,13.0,16.0,81.3,12.0,16.0,75.0,1.0,1.0,100.0,0.1,0.0,0.0,1.0,0.0,28.0,9.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,3.0,5.0,60.0,2.0,0.0,0.0,8.0,4.0,0.0,2.0,24.0,14.0,14.0,3.0,52.0,0.0,0.0,0.0,97.0,45.0,0.0,0.0,1.0,1.0,18.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,2.1,1.4,2.0,1.0,130.0
Ben Davies,WAL,28,90.0,0,0,0,0,1,1,0,0,31.0,0.0,2,1.0,0.4,0.4,0.0,0.0,0.0,19.0,23.0,82.6,3.0,8.0,1.0,0.0,0.0,275.0,82.0,12.0,13.0,92.3,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,1.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,4.0,11.0,17.0,3.0,2.0,31.0,0.0,0.0,0.0,74.0,35.0,0.0,0.0,0.0,0.0,11.0,2.0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,2021-2022,CB,None,None,None,1.0,Leeds_United_Tottenham,Leeds_United_Tottenham_2021,2.1,1.4,2.0,1.0,2021-11-21,Andre Marriner,Tottenham Hotspur Stadium,Sun,16:30,"58,989",130,Tottenham,Leeds United,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0,2.0,1.0,0.4,0.4,0.0,0.0,0.0,19.0,23.0,82.6,3.0,8.0,1.0,0.0,0.0,275.0,82.0,12.0,13.0,92.3,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,4.0,11.0,17.0,3.0,2.0,31.0,0.0,0.0,0.0,74.0,35.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,2.1,1.4,2.0,1.0,130.0
