player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Jamie Vardy,ENG,35,70.0,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,5.0,10.0,50.0,1.0,8.0,1.0,1.0,0.0,63.0,19.0,4.0,5.0,80.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0,13.0,0.0,1.0,100.0,29.0,14.0,0.0,1.0,0.0,1.0,8.0,4.0,0,1,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2022-2023,FW,None,None,None,0.7777777777777778,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.714285714285715,0.0,0.0,0.0,0.0,0.0,0.1285714285714286,1.2857142857142856,0.0,6.428571428571429,12.857142857142858,64.28571428571428,1.2857142857142856,10.285714285714285,1.2857142857142856,1.2857142857142856,0.0,81.0,24.428571428571427,5.142857142857142,6.428571428571429,102.85714285714286,1.2857142857142856,3.857142857142857,42.81428571428571,0.0,1.2857142857142856,0.0,0.0,1.2857142857142856,0.0,1.2857142857142856,0.0,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,5.142857142857142,7.714285714285714,1.2857142857142856,16.714285714285715,0.0,1.2857142857142856,128.57142857142856,37.285714285714285,18.0,0.0,1.2857142857142856,0.0,1.2857142857142856,10.285714285714285,5.142857142857142,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,1.2857142857142856,0.0,1.0,0.8999999999999999,1.2857142857142856,0.0,1.2857142857142856,164.57142857142856
Kelechi Iheanacho,NGA,26,20.0,0,0,0,0,2,1,0,0,10.0,0.0,0,1.0,0.2,0.2,0.1,2.0,0.0,5.0,6.0,83.3,2.0,7.0,1.0,1.0,0.0,72.0,34.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0.1,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,10.0,0.0,1.0,100.0,40.0,22.0,0.0,1.0,1.0,0.0,7.0,1.0,0,0,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,2022-2023,FW,None,None,None,0.2222222222222222,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,117.0,0.0,0.0,0.0,0.0,9.0,4.5,0.0,0.0,45.0,0.0,0.0,4.5,0.9000000000000001,0.9000000000000001,0.45000000000000007,9.0,0.0,22.5,27.0,374.85,9.0,31.5,4.5,4.5,0.0,324.0,153.0,13.5,13.5,450.0,4.5,4.5,450.0,4.5,9.0,225.0,0.45000000000000007,4.5,0.0,4.5,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,9.0,22.5,22.5,9.0,45.0,0.0,4.5,450.0,180.0,99.0,0.0,4.5,4.5,0.0,31.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,4.5,0.0,1.0,3.15,4.5,0.0,4.5,576.0
Harvey Barnes,ENG,24,90.0,0,0,0,0,2,1,0,0,28.0,1.0,0,2.0,0.1,0.1,0.0,1.0,0.0,12.0,18.0,66.7,2.0,12.0,2.0,2.0,2.0,189.0,28.0,5.0,6.0,83.3,7.0,10.0,70.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,12.0,9.0,3.0,28.0,100.0,0.0,0.0,138.0,63.0,1.0,2.0,1.0,1.0,20.0,3.0,0,0,1,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,2022-2023,LW,None,None,None,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,24.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,12.0,18.0,66.7,2.0,12.0,2.0,2.0,2.0,189.0,28.0,5.0,6.0,83.3,7.0,10.0,70.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.0,12.0,9.0,3.0,28.0,100.0,0.0,0.0,138.0,63.0,1.0,2.0,1.0,1.0,20.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,1.0,128.0
James Maddison,ENG,25,90.0,0,0,0,0,0,0,0,0,37.0,1.0,1,0.0,0.0,0.0,0.5,6.0,0.0,23.0,32.0,71.9,4.0,19.0,1.0,0.0,0.0,495.0,143.0,7.0,8.0,87.5,12.0,15.0,80.0,4.0,6.0,66.7,0.3,5.0,3.0,1.0,0.0,27.0,5.0,2.0,0.0,0.0,4,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,12.0,10.0,15.0,0.0,37.0,0.0,0.0,0.0,77.0,30.0,0.0,0.0,1.0,0.0,22.0,3.0,0,0,1,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2022-2023,RW,None,None,None,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,0.0,0.0,0.5,6.0,0.0,23.0,32.0,71.9,4.0,19.0,1.0,0.0,0.0,495.0,143.0,7.0,8.0,87.5,12.0,15.0,80.0,4.0,6.0,66.7,0.3,5.0,3.0,1.0,0.0,27.0,5.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,12.0,10.0,15.0,0.0,37.0,0.0,0.0,0.0,77.0,30.0,0.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,1.0,128.0
James Justin,ENG,24,90.0,0,0,0,0,1,0,0,0,51.0,2.0,0,3.0,0.0,0.0,0.0,1.0,0.0,31.0,37.0,83.8,2.0,13.0,2.0,0.0,0.0,499.0,226.0,13.0,15.0,86.7,15.0,16.0,93.8,2.0,4.0,50.0,0.0,1.0,2.0,1.0,1.0,31.0,6.0,0.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,3.0,2.0,4.0,0.0,7.0,26.0,17.0,8.0,2.0,51.0,0.0,0.0,0.0,85.0,51.0,1.0,1.0,1.0,0.0,26.0,2.0,0,0,1,0,0.0,0.0,0,2.0,2.0,1.0,66.7,True,2022-2023,LM,None,None,None,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,31.0,37.0,83.8,2.0,13.0,2.0,0.0,0.0,499.0,226.0,13.0,15.0,86.7,15.0,16.0,93.8,2.0,4.0,50.0,0.0,1.0,2.0,1.0,1.0,31.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,3.0,2.0,4.0,0.0,7.0,26.0,17.0,8.0,2.0,51.0,0.0,0.0,0.0,85.0,51.0,1.0,1.0,1.0,0.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7,1.0,0.7,1.0,0.0,1.0,128.0
Youri Tielemans,BEL,25,90.0,0,0,0,0,1,1,0,0,57.0,2.0,1,4.0,0.0,0.0,0.0,5.0,0.0,40.0,46.0,87.0,1.0,23.0,0.0,2.0,0.0,680.0,270.0,15.0,16.0,93.8,19.0,21.0,90.5,4.0,7.0,57.1,0.0,0.0,5.0,1.0,1.0,43.0,3.0,3.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,31.0,24.0,3.0,0.0,57.0,0.0,1.0,50.0,109.0,55.0,0.0,0.0,1.0,0.0,39.0,2.0,0,1,3,0,0.0,0.0,0,6.0,1.0,1.0,50.0,True,2022-2023,CM,None,None,None,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,40.0,46.0,87.0,1.0,23.0,0.0,2.0,0.0,680.0,270.0,15.0,16.0,93.8,19.0,21.0,90.5,4.0,7.0,57.1,0.0,0.0,5.0,1.0,1.0,43.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,31.0,24.0,3.0,0.0,57.0,0.0,1.0,50.0,109.0,55.0,0.0,0.0,1.0,0.0,39.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,1.0,0.7,1.0,0.0,1.0,128.0
Kiernan Dewsbury-Hall,ENG,24,45.0,0,0,0,0,0,0,0,0,18.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,1.0,12.0,0.0,0.0,0.0,193.0,18.0,5.0,6.0,83.3,5.0,5.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,5.0,2.0,0.0,18.0,0.0,0.0,0.0,68.0,38.0,0.0,0.0,2.0,1.0,15.0,0.0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,2022-2023,CM,None,None,None,0.5,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,157.2,2.0,24.0,0.0,0.0,0.0,386.0,36.0,10.0,12.0,166.6,10.0,10.0,200.0,2.0,6.0,66.6,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,22.0,10.0,4.0,0.0,36.0,0.0,0.0,0.0,136.0,76.0,0.0,0.0,4.0,2.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.0,0.0,2.0,256.0
Nampalys Mendy,SEN,30,45.0,0,0,0,0,0,0,0,0,19.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,88.9,0.0,11.0,0.0,1.0,1.0,249.0,21.0,8.0,10.0,80.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,1.0,0.0,19.0,100.0,0.0,0.0,47.0,7.0,0.0,0.0,0.0,0.0,14.0,1.0,0,1,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2022-2023,CM,None,None,None,0.5,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,177.8,0.0,22.0,0.0,2.0,2.0,498.0,42.0,16.0,20.0,160.0,16.0,16.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,18.0,18.0,2.0,0.0,38.0,200.0,0.0,0.0,94.0,14.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.4,2.0,0.0,2.0,256.0
Timothy Castagne,BEL,26,90.0,0,0,0,0,1,0,0,0,60.0,3.0,0,3.0,0.2,0.2,0.0,0.0,0.0,39.0,46.0,84.8,2.0,22.0,1.0,0.0,0.0,577.0,152.0,26.0,28.0,92.9,9.0,11.0,81.8,3.0,4.0,75.0,0.0,0.0,2.0,0.0,0.0,41.0,5.0,0.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,26.0,23.0,11.0,1.0,60.0,0.0,0.0,0.0,99.0,58.0,0.0,0.0,2.0,0.0,38.0,3.0,0,0,1,0,0.0,0.0,0,3.0,2.0,4.0,33.3,True,2022-2023,RM,None,None,None,1.0,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,3.0,0.0,3.0,0.2,0.2,0.0,0.0,0.0,39.0,46.0,84.8,2.0,22.0,1.0,0.0,0.0,577.0,152.0,26.0,28.0,92.9,9.0,11.0,81.8,3.0,4.0,75.0,0.0,0.0,2.0,0.0,0.0,41.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,26.0,23.0,11.0,1.0,60.0,0.0,0.0,0.0,99.0,58.0,0.0,0.0,2.0,0.0,38.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3,1.0,0.7,1.0,0.0,1.0,128.0
Caglar Soyuncu,TUR,26,71.0,0,0,0,0,0,0,0,0,54.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,83.0,3.0,34.0,1.0,0.0,0.0,667.0,208.0,17.0,18.0,94.4,21.0,24.0,87.5,1.0,5.0,20.0,0.0,0.0,2.0,0.0,0.0,45.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,2.0,2.0,0.0,11.0,37.0,17.0,0.0,0.0,54.0,0.0,0.0,0.0,162.0,104.0,0.0,0.0,0.0,0.0,41.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,True,2022-2023,CB,None,None,None,0.7888888888888889,Leicester_City_Manchester_City,Leicester_City_Manchester_City_2022,0.7,1.0,0.0,1.0,2022-10-29,Robert Jones,King Power Stadium,Sat,12:30,"32,223",128,Manchester City,Leicester City,32.95774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.45070422535211,2.535211267605634,0.0,2.535211267605634,0.0,0.0,0.0,0.0,0.0,49.43661971830986,59.5774647887324,105.21126760563381,3.802816901408451,43.098591549295776,1.267605633802817,0.0,0.0,845.4929577464789,263.6619718309859,21.549295774647888,22.816901408450704,119.66197183098593,26.619718309859156,30.422535211267608,110.91549295774648,1.267605633802817,6.338028169014085,25.35211267605634,0.0,0.0,2.535211267605634,0.0,0.0,57.04225352112676,2.535211267605634,2.535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.267605633802817,1.267605633802817,1.267605633802817,0.0,1.267605633802817,1.267605633802817,126.7605633802817,0.0,1.267605633802817,1.267605633802817,2.535211267605634,2.535211267605634,0.0,13.943661971830986,46.901408450704224,21.549295774647888,0.0,0.0,68.45070422535211,0.0,0.0,0.0,205.35211267605635,131.83098591549296,0.0,0.0,0.0,0.0,51.971830985915496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535211267605634,0.0,1.267605633802817,0.0,1.0,0.8873239436619718,1.267605633802817,0.0,1.267605633802817,162.25352112676057
