player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Roberto Firmino,BRA,30,90.0,1,0,0,0,5,1,0,0,51.0,1.0,0,1.0,0.2,0.2,0.4,6.0,0.0,33.0,40.0,82.5,11.0,29.0,0.0,1.0,0.0,534.0,235.0,15.0,18.0,83.3,16.0,18.0,88.9,1.0,1.0,100.0,0.4,2.0,4.0,2.0,0.0,39.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,29.0,16.0,6.0,51.0,0.0,1.0,100.0,101.0,40.0,0.0,0.0,1.0,0.0,41.0,4.0,0,1,0,1,0.0,0.0,0,4.0,3.0,3.0,50.0,True,2022-2023,FW,None,None,None,1.0,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,30.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,51.0,1.0,0.0,1.0,0.2,0.2,0.4,6.0,0.0,33.0,40.0,82.5,11.0,29.0,0.0,1.0,0.0,534.0,235.0,15.0,18.0,83.3,16.0,18.0,88.9,1.0,1.0,100.0,0.4,2.0,4.0,2.0,0.0,39.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,29.0,16.0,6.0,51.0,0.0,1.0,100.0,101.0,40.0,0.0,0.0,1.0,0.0,41.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,50.0,1.0,1.5,0.7,2.0,1.0,52.0
Luis Diaz,COL,25,90.0,0,0,0,0,5,2,0,0,50.0,0.0,0,1.0,0.6,0.6,0.0,4.0,0.0,28.0,39.0,71.8,7.0,40.0,3.0,5.0,2.0,517.0,163.0,12.0,17.0,70.6,12.0,15.0,80.0,3.0,4.0,75.0,0.1,0.0,4.0,0.0,0.0,39.0,0.0,0.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,29.0,12.0,50.0,40.0,2.0,40.0,359.0,141.0,2.0,3.0,1.0,0.0,47.0,22.0,0,2,2,1,0.0,0.0,0,7.0,0.0,1.0,0.0,True,2022-2023,LW,None,None,None,1.0,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,25.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,50.0,0.0,0.0,1.0,0.6,0.6,0.0,4.0,0.0,28.0,39.0,71.8,7.0,40.0,3.0,5.0,2.0,517.0,163.0,12.0,17.0,70.6,12.0,15.0,80.0,3.0,4.0,75.0,0.1,0.0,4.0,0.0,0.0,39.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,29.0,12.0,50.0,40.0,2.0,40.0,359.0,141.0,2.0,3.0,1.0,0.0,47.0,22.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.5,0.7,2.0,1.0,52.0
Mohamed Salah,EGY,30,90.0,0,2,0,0,2,0,0,0,33.0,0.0,0,0.0,0.2,0.2,0.4,7.0,2.0,21.0,24.0,87.5,4.0,20.0,4.0,6.0,3.0,282.0,81.0,13.0,14.0,92.9,7.0,7.0,100.0,0.0,0.0,0.0,0.3,6.0,0.0,3.0,0.0,21.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,10.0,33.0,50.0,3.0,50.0,133.0,56.0,1.0,2.0,0.0,3.0,21.0,11.0,0,0,2,0,0.0,0.0,0,1.0,1.0,3.0,25.0,True,2022-2023,RW,None,None,None,1.0,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,30.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.2,0.2,0.4,7.0,2.0,21.0,24.0,87.5,4.0,20.0,4.0,6.0,3.0,282.0,81.0,13.0,14.0,92.9,7.0,7.0,100.0,0.0,0.0,0.0,0.3,6.0,0.0,3.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,10.0,33.0,50.0,3.0,50.0,133.0,56.0,1.0,2.0,0.0,3.0,21.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0,1.0,1.5,0.7,2.0,1.0,52.0
Jordan Henderson,ENG,32,70.0,0,0,0,0,0,0,0,0,49.0,1.0,1,0.0,0.0,0.0,0.1,3.0,0.0,40.0,45.0,88.9,11.0,29.0,0.0,1.0,0.0,718.0,251.0,17.0,19.0,89.5,19.0,20.0,95.0,3.0,5.0,60.0,0.4,1.0,7.0,1.0,0.0,45.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,28.0,13.0,2.0,49.0,0.0,1.0,100.0,137.0,31.0,0.0,0.0,0.0,1.0,40.0,0.0,0,0,1,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2022-2023,LM,None,None,None,0.7777777777777778,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,41.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,0.1285714285714286,3.857142857142857,0.0,51.42857142857143,57.857142857142854,114.30000000000001,14.142857142857142,37.285714285714285,0.0,1.2857142857142856,0.0,923.1428571428571,322.7142857142857,21.857142857142858,24.428571428571427,115.07142857142857,24.428571428571427,25.714285714285715,122.14285714285714,3.857142857142857,6.428571428571429,77.14285714285714,0.5142857142857143,1.2857142857142856,9.0,1.2857142857142856,0.0,57.857142857142854,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,0.0,1.2857142857142856,10.285714285714285,36.0,16.714285714285715,2.571428571428571,63.0,0.0,1.2857142857142856,128.57142857142856,176.14285714285714,39.857142857142854,0.0,0.0,0.0,1.2857142857142856,51.42857142857143,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.0,0.0,1.0,1.9285714285714286,0.8999999999999999,2.571428571428571,1.2857142857142856,66.85714285714286
James Milner,ENG,36,20.0,0,0,0,0,0,0,0,0,30.0,1.0,1,0.0,0.0,0.0,0.0,2.0,1.0,22.0,27.0,81.5,2.0,10.0,1.0,0.0,0.0,469.0,178.0,10.0,11.0,90.9,8.0,9.0,88.9,4.0,7.0,57.1,0.1,1.0,2.0,0.0,0.0,19.0,8.0,4.0,0.0,0.0,5,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,13.0,11.0,1.0,30.0,0.0,0.0,0.0,22.0,12.0,1.0,0.0,0.0,0.0,13.0,3.0,0,1,1,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,2022-2023,RB,None,None,None,0.2222222222222222,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,4.5,4.5,0.0,0.0,0.0,0.0,9.0,4.5,99.0,121.5,366.75,9.0,45.0,4.5,0.0,0.0,2110.5,801.0,45.0,49.5,409.05000000000007,36.0,40.5,400.05000000000007,18.0,31.5,256.95000000000005,0.45000000000000007,4.5,9.0,0.0,0.0,85.5,36.0,18.0,0.0,0.0,22.5,13.5,4.5,0.0,4.5,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,4.5,0.0,4.5,0.0,0.0,9.0,0.0,0.0,0.0,27.0,58.5,49.5,4.5,135.0,0.0,0.0,0.0,99.0,54.0,4.5,0.0,0.0,0.0,58.5,13.5,0.0,4.5,4.5,0.0,0.0,0.0,0.0,13.5,4.5,4.5,225.0,1.0,6.75,3.15,9.0,4.5,234.0
Fabinho,BRA,28,90.0,0,0,0,0,2,0,0,0,93.0,1.0,0,0.0,0.1,0.1,0.0,1.0,0.0,79.0,89.0,88.8,6.0,56.0,0.0,0.0,0.0,1348.0,334.0,38.0,41.0,92.7,34.0,38.0,89.5,6.0,9.0,66.7,0.0,0.0,6.0,0.0,0.0,87.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,23.0,48.0,22.0,1.0,93.0,0.0,0.0,0.0,229.0,91.0,1.0,0.0,1.0,0.0,72.0,3.0,0,3,0,0,0.0,0.0,0,5.0,1.0,1.0,50.0,True,2022-2023,CM,None,None,None,1.0,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,93.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,79.0,89.0,88.8,6.0,56.0,0.0,0.0,0.0,1348.0,334.0,38.0,41.0,92.7,34.0,38.0,89.5,6.0,9.0,66.7,0.0,0.0,6.0,0.0,0.0,87.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,23.0,48.0,22.0,1.0,93.0,0.0,0.0,0.0,229.0,91.0,1.0,0.0,1.0,0.0,72.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0,1.0,1.5,0.7,2.0,1.0,52.0
Harvey Elliott,ENG,19,90.0,0,0,0,0,1,1,0,0,63.0,0.0,0,0.0,0.1,0.1,0.0,4.0,1.0,41.0,52.0,78.8,9.0,45.0,3.0,9.0,4.0,703.0,205.0,19.0,21.0,90.5,17.0,21.0,81.0,5.0,7.0,71.4,0.1,1.0,5.0,3.0,1.0,49.0,3.0,0.0,0.0,1.0,5,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,36.0,3.0,63.0,44.4,4.0,44.4,330.0,134.0,2.0,1.0,1.0,3.0,46.0,9.0,0,0,2,0,0.0,0.0,0,7.0,0.0,1.0,0.0,True,2022-2023,RM,None,None,None,1.0,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,41.0,52.0,78.8,9.0,45.0,3.0,9.0,4.0,703.0,205.0,19.0,21.0,90.5,17.0,21.0,81.0,5.0,7.0,71.4,0.1,1.0,5.0,3.0,1.0,49.0,3.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,36.0,3.0,63.0,44.4,4.0,44.4,330.0,134.0,2.0,1.0,1.0,3.0,46.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.5,0.7,2.0,1.0,52.0
Andrew Robertson,SCO,28,70.0,0,0,0,0,1,0,0,0,55.0,1.0,0,0.0,0.0,0.0,0.2,4.0,0.0,41.0,51.0,80.4,5.0,32.0,2.0,1.0,0.0,686.0,163.0,23.0,24.0,95.8,15.0,19.0,78.9,3.0,7.0,42.9,0.1,3.0,1.0,1.0,1.0,46.0,5.0,0.0,0.0,0.0,8,0.0,5.0,1.0,3.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,19.0,26.0,2.0,55.0,0.0,1.0,100.0,227.0,98.0,2.0,0.0,0.0,0.0,41.0,10.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2022-2023,LB,None,None,None,0.7777777777777778,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,36.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,70.71428571428571,1.2857142857142856,0.0,0.0,0.0,0.0,0.2571428571428572,5.142857142857142,0.0,52.714285714285715,65.57142857142857,103.37142857142858,6.428571428571429,41.14285714285714,2.571428571428571,1.2857142857142856,0.0,882.0,209.57142857142856,29.57142857142857,30.857142857142858,123.17142857142856,19.285714285714285,24.428571428571427,101.44285714285715,3.857142857142857,9.0,55.15714285714285,0.1285714285714286,3.857142857142857,1.2857142857142856,1.2857142857142856,1.2857142857142856,59.14285714285714,6.428571428571429,0.0,0.0,0.0,10.285714285714285,0.0,6.428571428571429,1.2857142857142856,3.857142857142857,0.0,0.0,0.0,1.2857142857142856,1.2857142857142856,0.0,0.0,1.2857142857142856,2.571428571428571,64.28571428571428,1.2857142857142856,0.0,0.0,1.2857142857142856,0.0,0.0,1.2857142857142856,12.857142857142858,24.428571428571427,33.42857142857143,2.571428571428571,70.71428571428571,0.0,1.2857142857142856,128.57142857142856,291.85714285714283,126.0,2.571428571428571,0.0,0.0,0.0,52.714285714285715,12.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,128.57142857142856,1.0,1.9285714285714286,0.8999999999999999,2.571428571428571,1.2857142857142856,66.85714285714286
Kostas Tsimikas,GRE,26,20.0,0,0,0,0,0,0,0,0,24.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,22.0,72.7,0.0,12.0,2.0,1.0,0.0,304.0,90.0,8.0,8.0,100.0,5.0,7.0,71.4,3.0,6.0,50.0,0.0,1.0,0.0,1.0,1.0,17.0,5.0,2.0,0.0,0.0,8,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,15.0,1.0,24.0,0.0,1.0,100.0,86.0,48.0,0.0,0.0,1.0,0.0,15.0,4.0,0,0,0,0,0.0,0.0,0,1.0,1.0,1.0,50.0,True,2022-2023,LB,None,None,None,0.2222222222222222,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,72.0,99.0,327.15000000000003,0.0,54.0,9.0,4.5,0.0,1368.0,405.0,36.0,36.0,450.0,22.5,31.5,321.30000000000007,13.5,27.0,225.0,0.0,4.5,0.0,4.5,4.5,76.5,22.5,9.0,0.0,0.0,36.0,4.5,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,31.5,67.5,4.5,108.0,0.0,4.5,450.0,387.0,216.0,0.0,0.0,4.5,0.0,67.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,225.0,1.0,6.75,3.15,9.0,4.5,234.0
Virgil van Dijk,NED,31,90.0,0,0,0,0,1,1,0,0,98.0,0.0,3,0.0,0.1,0.1,0.0,2.0,0.0,76.0,89.0,85.4,6.0,60.0,2.0,0.0,0.0,1536.0,541.0,22.0,23.0,95.7,48.0,52.0,92.3,6.0,13.0,46.2,0.0,1.0,10.0,0.0,0.0,87.0,2.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,35.0,55.0,8.0,4.0,98.0,0.0,0.0,0.0,290.0,180.0,1.0,1.0,1.0,0.0,75.0,1.0,0,0,0,0,0.0,0.0,0,3.0,1.0,3.0,25.0,True,2022-2023,CB,None,None,None,1.0,Liverpool_Newcastle_Utd,Liverpool_Newcastle_Utd_2022,1.5,0.7,2.0,1.0,2022-08-31,Andre Marriner,Anfield,Wed,20:00,"53,316",52,Liverpool,Newcastle Utd,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,98.0,0.0,3.0,0.0,0.1,0.1,0.0,2.0,0.0,76.0,89.0,85.4,6.0,60.0,2.0,0.0,0.0,1536.0,541.0,22.0,23.0,95.7,48.0,52.0,92.3,6.0,13.0,46.2,0.0,1.0,10.0,0.0,0.0,87.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,35.0,55.0,8.0,4.0,98.0,0.0,0.0,0.0,290.0,180.0,1.0,1.0,1.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0,1.0,1.5,0.7,2.0,1.0,52.0
