player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Son Heung-min,KOR,29,90.0,1,0,0,0,2,1,0,0,41.0,0.0,0,0.0,1.2,1.2,0.8,4.0,0.0,20.0,29.0,69.0,2.0,16.0,3.0,2.0,0.0,271.0,87.0,9.0,13.0,69.2,7.0,9.0,77.8,1.0,2.0,50.0,0.5,2.0,0.0,2.0,0.0,23.0,6.0,0.0,1.0,0.0,6,0.0,6.0,3.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,23.0,4.0,41.0,0.0,1.0,50.0,114.0,39.0,0.0,2.0,5.0,0.0,25.0,6.0,0,0,1,1,0.0,0.0,0,4.0,1.0,2.0,33.3,True,Tottenham,Liverpool,18,2021-2022,FW,None,None,None,2021,1.0,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,29.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,1.2,1.2,0.8,4.0,0.0,20.0,29.0,69.0,2.0,16.0,3.0,2.0,0.0,271.0,87.0,9.0,13.0,69.2,7.0,9.0,77.8,1.0,2.0,50.0,0.5,2.0,0.0,2.0,0.0,23.0,6.0,0.0,1.0,0.0,6.0,0.0,6.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,23.0,4.0,41.0,0.0,1.0,50.0,114.0,39.0,0.0,2.0,5.0,0.0,25.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3,1.0,3.0,1.1,2.0,2.0,185.0
Harry Kane,ENG,28,90.0,1,0,0,0,6,2,1,0,28.0,0.0,0,1.0,1.1,1.1,0.6,2.0,0.0,11.0,17.0,64.7,3.0,15.0,3.0,2.0,2.0,177.0,57.0,6.0,9.0,66.7,5.0,6.0,83.3,0.0,1.0,0.0,0.3,1.0,1.0,1.0,0.0,15.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,9.0,28.0,100.0,0.0,0.0,129.0,73.0,1.0,2.0,3.0,2.0,22.0,5.0,0,1,1,1,0.0,0.0,0,2.0,2.0,0.0,100.0,True,Tottenham,Liverpool,18,2021-2022,FW,None,None,None,2021,1.0,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,28.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,28.0,0.0,0.0,1.0,1.1,1.1,0.6,2.0,0.0,11.0,17.0,64.7,3.0,15.0,3.0,2.0,2.0,177.0,57.0,6.0,9.0,66.7,5.0,6.0,83.3,0.0,1.0,0.0,0.3,1.0,1.0,1.0,0.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,9.0,28.0,100.0,0.0,0.0,129.0,73.0,1.0,2.0,3.0,2.0,22.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0,1.0,3.0,1.1,2.0,2.0,185.0
Dele Alli,ENG,25,80.0,0,0,0,0,1,1,0,0,40.0,0.0,1,5.0,0.6,0.6,0.2,1.0,0.0,14.0,22.0,63.6,1.0,19.0,1.0,7.0,5.0,236.0,64.0,5.0,8.0,62.5,7.0,9.0,77.8,1.0,3.0,33.3,0.3,1.0,1.0,0.0,0.0,21.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,13.0,18.0,10.0,3.0,40.0,71.4,2.0,28.6,139.0,36.0,1.0,0.0,2.0,3.0,17.0,6.0,0,4,1,1,0.0,0.0,0,8.0,1.0,2.0,33.3,True,Tottenham,Liverpool,18,2021-2022,CM,None,None,None,2021,0.8888888888888888,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,28.125,0.0,0.0,0.0,0.0,1.125,1.125,0.0,0.0,45.0,0.0,1.125,5.625,0.675,0.675,0.22500000000000003,1.125,0.0,15.75,24.75,71.55000000000001,1.125,21.375,1.125,7.875,5.625,265.5,72.0,5.625,9.0,70.3125,7.875,10.125,87.525,1.125,3.375,37.4625,0.3375,1.125,1.125,0.0,0.0,23.625,1.125,0.0,1.125,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,1.125,4.5,0.0,5.625,14.625,20.25,11.25,3.375,45.0,80.32500000000002,2.25,32.175000000000004,156.375,40.5,1.125,0.0,2.25,3.375,19.125,6.75,0.0,4.5,1.125,1.125,0.0,0.0,0.0,9.0,1.125,2.25,37.4625,1.0,3.375,1.2375000000000003,2.25,2.25,208.125
Lucas Moura,BRA,29,10.0,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,1.0,7.0,0.0,0.0,0.0,57.0,24.0,2.0,5.0,40.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,9.0,0.0,0.0,0.0,28.0,9.0,1.0,0.0,1.0,0.0,7.0,0.0,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,Tottenham,Liverpool,18,2021-2022,CM,None,None,None,2021,0.1111111111111111,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,72.0,450.0,9.0,63.0,0.0,0.0,0.0,513.0,216.0,18.0,45.0,360.0,18.0,18.0,900.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,45.0,18.0,0.0,81.0,0.0,0.0,0.0,252.0,81.0,9.0,0.0,9.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,0.0,900.0,1.0,27.0,9.900000000000002,18.0,18.0,1665.0
Harry Winks,ENG,25,90.0,0,0,0,0,0,0,1,0,74.0,1.0,4,4.0,0.0,0.0,0.0,4.0,1.0,50.0,64.0,78.1,5.0,41.0,2.0,2.0,1.0,1001.0,424.0,21.0,25.0,84.0,17.0,19.0,89.5,11.0,15.0,73.3,0.2,1.0,7.0,1.0,0.0,63.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,22.0,47.0,8.0,0.0,74.0,50.0,1.0,50.0,285.0,112.0,1.0,0.0,1.0,0.0,54.0,1.0,0,1,2,0,0.0,0.0,0,6.0,0.0,1.0,0.0,True,Tottenham,Liverpool,18,2021-2022,CM,None,None,None,2021,1.0,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,50.0,64.0,78.1,5.0,41.0,2.0,2.0,1.0,1001.0,424.0,21.0,25.0,84.0,17.0,19.0,89.5,11.0,15.0,73.3,0.2,1.0,7.0,1.0,0.0,63.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,22.0,47.0,8.0,0.0,74.0,50.0,1.0,50.0,285.0,112.0,1.0,0.0,1.0,0.0,54.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,1.1,2.0,2.0,185.0
Tanguy Ndombele,FRA,24,63.0,0,1,0,0,0,0,0,0,28.0,0.0,0,3.0,0.0,0.0,0.1,3.0,1.0,11.0,16.0,68.8,4.0,13.0,2.0,2.0,0.0,180.0,84.0,4.0,6.0,66.7,5.0,6.0,83.3,1.0,1.0,100.0,0.2,1.0,4.0,1.0,0.0,16.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,12.0,13.0,3.0,0.0,28.0,0.0,2.0,100.0,84.0,61.0,1.0,0.0,2.0,2.0,16.0,1.0,0,1,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,True,Tottenham,Liverpool,18,2021-2022,CM,None,None,None,2021,0.7,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,34.285714285714285,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,4.285714285714286,0.0,0.0,0.14285714285714288,4.285714285714286,1.4285714285714286,15.714285714285715,22.857142857142858,98.28571428571429,5.714285714285714,18.571428571428573,2.857142857142857,2.857142857142857,0.0,257.14285714285717,120.00000000000001,5.714285714285714,8.571428571428571,95.28571428571429,7.142857142857143,8.571428571428571,119.0,1.4285714285714286,1.4285714285714286,142.85714285714286,0.28571428571428575,1.4285714285714286,5.714285714285714,1.4285714285714286,0.0,22.857142857142858,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,2.857142857142857,0.0,4.285714285714286,0.0,1.4285714285714286,0.0,5.714285714285714,17.142857142857142,18.571428571428573,4.285714285714286,0.0,40.0,0.0,2.857142857142857,142.85714285714286,120.00000000000001,87.14285714285715,1.4285714285714286,0.0,2.857142857142857,2.857142857142857,22.857142857142858,1.4285714285714286,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,8.571428571428571,0.0,0.0,0.0,1.0,4.285714285714286,1.5714285714285716,2.857142857142857,2.857142857142857,264.2857142857143
Oliver Skipp,ENG,21,27.0,0,0,0,0,0,0,0,0,21.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,1.0,8.0,1.0,0.0,0.0,218.0,40.0,9.0,10.0,90.0,6.0,6.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,3.0,0.0,21.0,0.0,0.0,0.0,58.0,26.0,1.0,0.0,1.0,1.0,13.0,0.0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,Tottenham,Liverpool,18,2021-2022,CM,None,None,None,2021,0.3,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.66666666666667,66.66666666666667,283.33333333333337,3.3333333333333335,26.666666666666668,3.3333333333333335,0.0,0.0,726.6666666666667,133.33333333333334,30.0,33.333333333333336,300.0,20.0,20.0,333.33333333333337,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,43.333333333333336,10.0,0.0,70.0,0.0,0.0,0.0,193.33333333333334,86.66666666666667,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,43.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,3.3333333333333335,0.0,333.33333333333337,1.0,10.0,3.666666666666667,6.666666666666667,6.666666666666667,616.6666666666667
Ryan Sessegnon,ENG,21,85.0,0,0,0,0,0,0,0,0,56.0,6.0,1,1.0,0.0,0.0,0.0,0.0,0.0,30.0,41.0,73.2,2.0,22.0,2.0,3.0,1.0,401.0,146.0,17.0,20.0,85.0,9.0,14.0,64.3,1.0,3.0,33.3,0.1,0.0,1.0,0.0,0.0,33.0,8.0,0.0,0.0,0.0,2,8.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,21.0,16.0,19.0,2.0,56.0,33.3,2.0,66.7,122.0,32.0,0.0,1.0,4.0,5.0,25.0,2.0,0,2,1,0,0.0,0.0,0,4.0,1.0,2.0,33.3,True,Tottenham,Liverpool,18,2021-2022,LB,None,None,None,2021,0.9444444444444444,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,22.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.294117647058826,6.352941176470589,1.0588235294117647,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,31.764705882352942,43.411764705882355,77.50588235294119,2.1176470588235294,23.294117647058822,2.1176470588235294,3.1764705882352944,1.0588235294117647,424.5882352941177,154.58823529411765,18.0,21.176470588235293,90.0,9.529411764705882,14.823529411764707,68.08235294117647,1.0588235294117647,3.1764705882352944,35.258823529411764,0.10588235294117648,0.0,1.0588235294117647,0.0,0.0,34.94117647058824,8.470588235294118,0.0,0.0,0.0,2.1176470588235294,8.470588235294118,0.0,0.0,0.0,0.0,0.0,1.0588235294117647,5.294117647058823,3.1764705882352944,2.1176470588235294,1.0588235294117647,0.0,0.0,0.0,0.0,1.0588235294117647,0.0,7.411764705882353,0.0,0.0,2.1176470588235294,22.235294117647058,16.941176470588236,20.11764705882353,2.1176470588235294,59.294117647058826,35.258823529411764,2.1176470588235294,70.62352941176471,129.1764705882353,33.88235294117647,0.0,1.0588235294117647,4.235294117647059,5.294117647058823,26.47058823529412,2.1176470588235294,0.0,2.1176470588235294,1.0588235294117647,0.0,0.0,0.0,0.0,4.235294117647059,1.0588235294117647,2.1176470588235294,35.258823529411764,1.0,3.1764705882352944,1.1647058823529413,2.1176470588235294,2.1176470588235294,195.88235294117646
Sergio Reguilon,ESP,25,5.0,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,3.0,0.0,1.0,0.0,42.0,5.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,7.0,0.0,1.0,100.0,14.0,8.0,0.0,0.0,1.0,0.0,3.0,1.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,True,Tottenham,Liverpool,18,2021-2022,LB,None,None,None,2021,0.05555555555555555,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,90.0,1080.0,0.0,54.0,0.0,18.0,0.0,756.0,90.0,36.0,36.0,1800.0,18.0,36.0,900.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,54.0,54.0,0.0,126.0,0.0,18.0,1800.0,252.0,144.0,0.0,0.0,18.0,0.0,54.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,54.0,19.800000000000004,36.0,36.0,3330.0
Ben Davies,WAL,28,90.0,0,0,0,0,0,0,1,0,46.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,39.0,69.2,2.0,24.0,0.0,1.0,0.0,405.0,203.0,13.0,15.0,86.7,14.0,19.0,73.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,22.0,23.0,2.0,2.0,46.0,0.0,1.0,100.0,140.0,58.0,0.0,0.0,2.0,2.0,29.0,1.0,0,1,1,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,Tottenham,Liverpool,18,2021-2022,CB,None,None,None,2021,1.0,Liverpool_Tottenham,Liverpool_Tottenham_2021,Tottenham,Liverpool,2021,18,Tottenham,3.0,1.1,Liverpool,2.0,2.0,2021-12-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"45,421",185,draw,draw,Tottenham,Liverpool,Liverpool_Tottenham,Liverpool_Tottenham_2021,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,39.0,69.2,2.0,24.0,0.0,1.0,0.0,405.0,203.0,13.0,15.0,86.7,14.0,19.0,73.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,22.0,23.0,2.0,2.0,46.0,0.0,1.0,100.0,140.0,58.0,0.0,0.0,2.0,2.0,29.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,3.0,1.1,2.0,2.0,185.0
