player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Joselu,ESP,27,61.0,0,0,0,0,0,0,0,0,28.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,54.5,0.0,7.0,0.0,0.0,0.0,107.0,0.0,11.0,15.0,73.3,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,22.0,3.0,0.0,28.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,19.0,0.0,0,1,0,0,0.0,0.0,0,2.0,9.0,4.0,69.2,True,Newcastle Utd,Manchester City,20,2017-2018,FW,None,None,None,2017,0.6777777777777778,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,39.83606557377049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.31147540983606,0.0,0.0,4.426229508196721,0.0,0.0,0.0,0.0,0.0,17.704918032786885,32.459016393442624,80.40983606557377,0.0,10.327868852459016,0.0,0.0,0.0,157.86885245901638,0.0,16.229508196721312,22.131147540983605,108.14754098360655,1.4754098360655736,7.377049180327869,29.508196721311474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.508196721311474,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.426229508196721,0.0,0.0,0.0,0.0,4.426229508196721,32.459016393442624,4.426229508196721,0.0,41.31147540983606,0.0,0.0,0.0,5.9016393442622945,2.9508196721311473,0.0,0.0,2.9508196721311473,1.4754098360655736,28.0327868852459,0.0,0.0,1.4754098360655736,0.0,0.0,0.0,0.0,0.0,2.9508196721311473,13.278688524590164,5.9016393442622945,102.09836065573771,1.0,0.29508196721311475,2.6557377049180326,0.0,1.4754098360655736,320.1639344262295
Dwight Gayle,ENG,27,29.0,0,0,0,0,2,0,1,0,8.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,66.7,0.0,6.0,0.0,0.0,0.0,27.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,1.0,2.0,7.0,2.0,0,1,0,0,0.0,0.0,0,1.0,1.0,2.0,33.3,True,Newcastle Utd,Manchester City,20,2017-2018,FW,None,None,None,2017,0.32222222222222224,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,83.79310344827586,0.0,0.0,0.0,0.0,6.206896551724138,0.0,3.103448275862069,0.0,24.82758620689655,0.0,0.0,0.0,0.3103448275862069,0.3103448275862069,0.0,0.0,0.0,6.206896551724138,9.310344827586206,207.0,0.0,18.620689655172413,0.0,0.0,0.0,83.79310344827586,0.0,3.103448275862069,3.103448275862069,310.34482758620686,3.103448275862069,6.206896551724138,155.17241379310343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.310344827586206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.413793103448276,12.413793103448276,3.103448275862069,24.82758620689655,0.0,0.0,0.0,55.86206896551724,27.93103448275862,0.0,0.0,3.103448275862069,6.206896551724138,21.72413793103448,6.206896551724138,0.0,3.103448275862069,0.0,0.0,0.0,0.0,0.0,3.103448275862069,3.103448275862069,6.206896551724138,103.34482758620688,1.0,0.6206896551724138,5.586206896551724,0.0,3.103448275862069,673.448275862069
Jacob Murphy,ENG,22,90.0,0,0,0,0,0,0,0,0,26.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,1.0,15.0,0.0,4.0,4.0,115.0,75.0,6.0,9.0,66.7,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,10.0,6.0,0.0,26.0,100.0,0.0,0.0,108.0,50.0,1.0,0.0,0.0,3.0,16.0,6.0,0,2,1,0,0.0,0.0,0,6.0,1.0,2.0,33.3,True,Newcastle Utd,Manchester City,20,2017-2018,LM,RM,RW,None,2017,1.0,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,1.0,15.0,0.0,4.0,4.0,115.0,75.0,6.0,9.0,66.7,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,10.0,6.0,0.0,26.0,100.0,0.0,0.0,108.0,50.0,1.0,0.0,0.0,3.0,16.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,1.0,0.2,1.8,0.0,1.0,217.0
Jonjo Shelvey,ENG,25,90.0,0,0,0,0,2,1,0,0,44.0,2.0,1,0.0,0.0,0.0,0.1,3.0,0.0,22.0,38.0,57.9,4.0,23.0,1.0,0.0,0.0,454.0,143.0,8.0,11.0,72.7,9.0,12.0,75.0,4.0,13.0,30.8,0.0,2.0,2.0,0.0,0.0,32.0,6.0,3.0,0.0,1.0,4,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,3.0,14.0,22.0,8.0,0.0,44.0,0.0,0.0,0.0,88.0,47.0,1.0,0.0,0.0,0.0,19.0,2.0,0,1,0,0,0.0,0.0,0,9.0,1.0,0.0,100.0,True,Newcastle Utd,Manchester City,20,2017-2018,CM,LM,None,None,2017,1.0,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,25.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,2.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,22.0,38.0,57.9,4.0,23.0,1.0,0.0,0.0,454.0,143.0,8.0,11.0,72.7,9.0,12.0,75.0,4.0,13.0,30.8,0.0,2.0,2.0,0.0,0.0,32.0,6.0,3.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,1.0,0.0,3.0,14.0,22.0,8.0,0.0,44.0,0.0,0.0,0.0,88.0,47.0,1.0,0.0,0.0,0.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0,1.0,0.2,1.8,0.0,1.0,217.0
Mohamed Diame,SEN,30,90.0,0,0,0,0,0,0,0,0,29.0,5.0,3,2.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,1.0,11.0,1.0,3.0,2.0,164.0,33.0,4.0,5.0,80.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2.0,2.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,8.0,2.0,1.0,3.0,13.0,14.0,3.0,0.0,29.0,66.7,1.0,33.3,70.0,32.0,2.0,0.0,1.0,2.0,10.0,1.0,0,2,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,Newcastle Utd,Manchester City,20,2017-2018,CM,None,None,None,2017,1.0,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,1.0,11.0,1.0,3.0,2.0,164.0,33.0,4.0,5.0,80.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,8.0,2.0,1.0,3.0,13.0,14.0,3.0,0.0,29.0,66.7,1.0,33.3,70.0,32.0,2.0,0.0,1.0,2.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,0.2,1.8,0.0,1.0,217.0
Rolando Aarons,ENG,22,70.0,0,0,0,0,1,0,0,0,20.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,4.0,13.0,30.8,0.0,11.0,0.0,2.0,1.0,29.0,11.0,3.0,6.0,50.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,9.0,6.0,1.0,20.0,50.0,1.0,50.0,47.0,27.0,1.0,0.0,3.0,1.0,13.0,1.0,0,1,1,1,0.0,0.0,0,3.0,1.0,2.0,33.3,True,Newcastle Utd,Manchester City,20,2017-2018,RM,None,None,None,2017,0.7777777777777778,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,28.285714285714285,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,25.714285714285715,0.0,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,1.2857142857142856,0.0,5.142857142857142,16.714285714285715,39.6,0.0,14.142857142857142,0.0,2.571428571428571,1.2857142857142856,37.285714285714285,14.142857142857142,3.857142857142857,7.714285714285714,64.28571428571428,0.0,3.857142857142857,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,16.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,2.571428571428571,0.0,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,7.714285714285714,11.571428571428571,7.714285714285714,1.2857142857142856,25.714285714285715,64.28571428571428,1.2857142857142856,64.28571428571428,60.42857142857143,34.714285714285715,1.2857142857142856,0.0,3.857142857142857,1.2857142857142856,16.714285714285715,1.2857142857142856,0.0,1.2857142857142856,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,3.857142857142857,1.2857142857142856,2.571428571428571,42.81428571428571,1.0,0.2571428571428572,2.3142857142857145,0.0,1.2857142857142856,279.0
Christian Atsu,GHA,25,20.0,0,0,0,0,0,0,0,0,9.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,57.1,1.0,6.0,2.0,3.0,2.0,45.0,19.0,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,9.0,66.7,1.0,33.3,44.0,19.0,0.0,2.0,0.0,0.0,7.0,0.0,0,0,0,1,0.0,0.0,0,2.0,1.0,0.0,100.0,True,Newcastle Utd,Manchester City,20,2017-2018,LM,LW,None,None,2017,0.2222222222222222,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.0,18.0,31.5,256.95000000000005,4.5,27.0,9.0,13.5,9.0,202.5,85.5,13.5,22.5,270.0,4.5,9.0,225.0,0.0,0.0,0.0,0.45000000000000007,4.5,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,13.5,27.0,9.0,40.5,300.15000000000003,4.5,149.85,198.0,85.5,0.0,9.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,9.0,4.5,0.0,450.0,1.0,0.9000000000000001,8.100000000000001,0.0,4.5,976.5
Javier Manquillo,ESP,23,90.0,0,0,0,0,0,0,0,0,26.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,0.0,9.0,0.0,0.0,0.0,220.0,127.0,10.0,13.0,76.9,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,17.0,4.0,0.0,26.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,0,1,0,1,0.0,0.0,0,2.0,1.0,1.0,50.0,True,Newcastle Utd,Manchester City,20,2017-2018,LB,None,None,None,2017,1.0,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,0.0,9.0,0.0,0.0,0.0,220.0,127.0,10.0,13.0,76.9,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,17.0,4.0,0.0,26.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,1.0,0.2,1.8,0.0,1.0,217.0
Paul Dummett,WAL,26,90.0,0,0,0,0,0,0,0,0,31.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,0.0,7.0,0.0,0.0,0.0,235.0,139.0,3.0,4.0,75.0,4.0,4.0,100.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,8.0,0.0,8.0,22.0,7.0,2.0,0.0,31.0,0.0,0.0,0.0,38.0,32.0,0.0,0.0,0.0,0.0,13.0,0.0,0,0,0,0,0.0,0.0,0,1.0,2.0,0.0,100.0,True,Newcastle Utd,Manchester City,20,2017-2018,CB,None,None,None,2017,1.0,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,0.0,7.0,0.0,0.0,0.0,235.0,139.0,3.0,4.0,75.0,4.0,4.0,100.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,8.0,0.0,8.0,22.0,7.0,2.0,0.0,31.0,0.0,0.0,0.0,38.0,32.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0,1.0,0.2,1.8,0.0,1.0,217.0
Jamaal Lascelles,ENG,24,90.0,0,0,0,0,1,0,0,0,28.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,13.0,16.0,81.3,2.0,13.0,0.0,0.0,0.0,241.0,64.0,4.0,4.0,100.0,6.0,7.0,85.7,2.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,8.0,19.0,7.0,2.0,1.0,28.0,0.0,0.0,0.0,34.0,10.0,0.0,0.0,1.0,0.0,9.0,0.0,0,0,0,0,0.0,0.0,0,7.0,1.0,0.0,100.0,True,Newcastle Utd,Manchester City,20,2017-2018,CB,None,None,None,2017,1.0,Manchester_City_Newcastle_Utd,Manchester_City_Newcastle_Utd_2017,Newcastle Utd,Manchester City,2017,20,Newcastle Utd,0.2,1.8,Manchester City,0.0,1.0,2017-12-27,Andre Marriner,St. James' Park,Wed,19:45,"52,311",217,Manchester City,Newcastle Utd,Newcastle Utd,Manchester City,Manchester_City_Newcastle_Utd,Manchester City_Newcastle Utd_2017,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,13.0,16.0,81.3,2.0,13.0,0.0,0.0,0.0,241.0,64.0,4.0,4.0,100.0,6.0,7.0,85.7,2.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,8.0,19.0,7.0,2.0,1.0,28.0,0.0,0.0,0.0,34.0,10.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,1.0,0.2,1.8,0.0,1.0,217.0
