player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
David McGoldrick,IRL,33,90.0,2,0,0,0,5,3,0,0,55.0,1.0,0,2.0,1.0,1.0,0.2,5.0,0.0,28.0,38.0,73.7,7.0,22.0,5.0,4.0,2.0,446.0,139.0,17.0,18.0,94.4,6.0,9.0,66.7,3.0,4.0,75.0,0.4,2.0,4.0,3.0,1.0,38.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,17.0,33.0,8.0,55.0,50.0,2.0,50.0,160.0,109.0,4.0,3.0,1.0,3.0,43.0,9.0,0,1,1,0,0.0,0.0,0,2.0,4.0,10.0,28.6,True,2020-2021,FW,CM,None,None,1.0,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,33.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,55.0,1.0,0.0,2.0,1.0,1.0,0.2,5.0,0.0,28.0,38.0,73.7,7.0,22.0,5.0,4.0,2.0,446.0,139.0,17.0,18.0,94.4,6.0,9.0,66.7,3.0,4.0,75.0,0.4,2.0,4.0,3.0,1.0,38.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,17.0,33.0,8.0,55.0,50.0,2.0,50.0,160.0,109.0,4.0,3.0,1.0,3.0,43.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,28.6,1.0,1.5,1.9,2.0,3.0,138.0
Oliver Burke,SCO,23,73.0,0,1,0,0,1,1,0,0,26.0,2.0,0,1.0,0.1,0.1,0.5,2.0,1.0,14.0,19.0,73.7,1.0,12.0,0.0,0.0,0.0,181.0,11.0,9.0,11.0,81.8,4.0,4.0,100.0,0.0,0.0,0.0,0.6,2.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,16.0,4.0,26.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,0.0,3.0,20.0,6.0,0,4,1,0,0.0,0.0,0,2.0,2.0,4.0,33.3,True,2020-2021,FW,None,None,None,0.8111111111111111,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,28.356164383561644,0.0,1.2328767123287672,0.0,0.0,1.2328767123287672,1.2328767123287672,0.0,0.0,32.054794520547944,2.4657534246575343,0.0,1.2328767123287672,0.12328767123287672,0.12328767123287672,0.6164383561643836,2.4657534246575343,1.2328767123287672,17.26027397260274,23.424657534246574,90.86301369863014,1.2328767123287672,14.794520547945206,0.0,0.0,0.0,223.15068493150685,13.561643835616438,11.095890410958903,13.561643835616438,100.84931506849314,4.931506849315069,4.931506849315069,123.28767123287672,0.0,0.0,0.0,0.7397260273972602,2.4657534246575343,0.0,1.2328767123287672,0.0,20.958904109589042,2.4657534246575343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4657534246575343,0.0,0.0,0.0,0.0,0.0,0.0,1.2328767123287672,2.4657534246575343,0.0,0.0,0.0,0.0,13.561643835616438,19.726027397260275,4.931506849315069,32.054794520547944,0.0,0.0,0.0,62.87671232876712,2.4657534246575343,0.0,0.0,0.0,3.6986301369863015,24.65753424657534,7.397260273972603,0.0,4.931506849315069,1.2328767123287672,0.0,0.0,0.0,0.0,2.4657534246575343,2.4657534246575343,4.931506849315069,41.054794520547944,1.0,1.8493150684931507,2.3424657534246576,2.4657534246575343,3.6986301369863015,170.13698630136986
Rhian Brewster,ENG,20,17.0,0,0,0,0,1,0,0,0,11.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,6.0,9.0,66.7,0.0,4.0,0.0,0.0,0.0,112.0,12.0,4.0,4.0,100.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0,0,0,0,0.0,0.0,0,0.0,2.0,1.0,66.7,True,2020-2021,FW,None,None,None,0.18888888888888888,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,105.88235294117648,0.0,0.0,0.0,0.0,5.294117647058823,0.0,0.0,0.0,58.23529411764706,0.0,0.0,0.0,0.5294117647058824,0.5294117647058824,0.5294117647058824,5.294117647058823,0.0,31.764705882352942,47.64705882352941,353.11764705882354,0.0,21.176470588235293,0.0,0.0,0.0,592.9411764705883,63.529411764705884,21.176470588235293,21.176470588235293,529.4117647058823,5.294117647058823,15.882352941176471,176.2941176470588,5.294117647058823,5.294117647058823,529.4117647058823,0.0,5.294117647058823,5.294117647058823,0.0,0.0,47.64705882352941,0.0,0.0,0.0,5.294117647058823,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,0.0,0.0,0.0,0.0,0.0,5.294117647058823,0.0,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.882352941176471,42.35294117647059,5.294117647058823,58.23529411764706,0.0,0.0,0.0,58.23529411764706,0.0,0.0,0.0,0.0,0.0,42.35294117647059,21.176470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.588235294117647,5.294117647058823,353.11764705882354,1.0,7.9411764705882355,10.058823529411764,10.588235294117647,15.882352941176471,730.5882352941177
John Fleck,SCO,29,90.0,0,0,0,0,1,0,0,0,50.0,0.0,1,0.0,0.1,0.1,0.2,5.0,0.0,34.0,42.0,81.0,6.0,12.0,1.0,3.0,1.0,526.0,184.0,18.0,19.0,94.7,11.0,13.0,84.6,3.0,8.0,37.5,0.0,2.0,9.0,0.0,0.0,35.0,7.0,1.0,0.0,0.0,5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25.0,20.0,4.0,50.0,33.3,2.0,66.7,45.0,14.0,1.0,1.0,1.0,0.0,24.0,2.0,0,1,0,0,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2020-2021,CM,None,None,None,1.0,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.1,0.1,0.2,5.0,0.0,34.0,42.0,81.0,6.0,12.0,1.0,3.0,1.0,526.0,184.0,18.0,19.0,94.7,11.0,13.0,84.6,3.0,8.0,37.5,0.0,2.0,9.0,0.0,0.0,35.0,7.0,1.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25.0,20.0,4.0,50.0,33.3,2.0,66.7,45.0,14.0,1.0,1.0,1.0,0.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,1.0,1.5,1.9,2.0,3.0,138.0
Ethan Ampadu,WAL,20,90.0,0,0,0,0,0,0,0,0,53.0,5.0,3,2.0,0.0,0.0,0.1,3.0,0.0,29.0,39.0,74.4,5.0,16.0,0.0,2.0,2.0,529.0,170.0,11.0,15.0,73.3,16.0,18.0,88.9,2.0,5.0,40.0,0.1,2.0,3.0,2.0,0.0,37.0,2.0,0.0,0.0,0.0,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3,2.0,2.0,1.0,2.0,5.0,40.0,3.0,0.0,2.0,8.0,1.0,0.0,1.0,13.0,28.0,12.0,0.0,53.0,100.0,0.0,0.0,59.0,34.0,0.0,0.0,1.0,0.0,26.0,3.0,0,1,1,0,0.0,0.0,0,7.0,1.0,0.0,100.0,True,2020-2021,CM,None,None,None,1.0,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,3.0,2.0,0.0,0.0,0.1,3.0,0.0,29.0,39.0,74.4,5.0,16.0,0.0,2.0,2.0,529.0,170.0,11.0,15.0,73.3,16.0,18.0,88.9,2.0,5.0,40.0,0.1,2.0,3.0,2.0,0.0,37.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,5.0,40.0,3.0,0.0,2.0,8.0,1.0,0.0,1.0,13.0,28.0,12.0,0.0,53.0,100.0,0.0,0.0,59.0,34.0,0.0,0.0,1.0,0.0,26.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0,1.0,1.5,1.9,2.0,3.0,138.0
Sander Berge,NOR,22,11.0,0,0,0,0,0,0,0,0,6.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,1.0,0.0,15.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,1.0,100.0,53.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,True,2020-2021,CM,None,None,None,0.12222222222222222,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09090909090909,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,16.363636363636363,24.545454545454547,545.7272727272727,0.0,16.363636363636363,0.0,8.181818181818182,0.0,122.72727272727273,0.0,8.181818181818182,8.181818181818182,818.1818181818182,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.545454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,32.72727272727273,16.363636363636363,0.0,49.09090909090909,0.0,8.181818181818182,818.1818181818182,433.6363636363636,0.0,8.181818181818182,0.0,8.181818181818182,0.0,24.545454545454547,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,818.1818181818182,1.0,12.272727272727273,15.545454545454545,16.363636363636363,24.545454545454547,1129.0909090909092
Phil Jagielka,ENG,38,51.0,0,0,0,0,0,0,1,0,27.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,60.9,1.0,8.0,0.0,0.0,0.0,318.0,108.0,5.0,8.0,62.5,5.0,7.0,71.4,4.0,7.0,57.1,0.0,0.0,1.0,0.0,0.0,18.0,5.0,1.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,11.0,14.0,2.0,0.0,27.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,1.0,0.0,9.0,0.0,0,2,0,0,0.0,0.0,0,6.0,1.0,0.0,100.0,True,2020-2021,CB,None,None,None,0.5666666666666667,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,67.05882352941177,0.0,0.0,0.0,0.0,0.0,0.0,1.7647058823529411,0.0,47.64705882352941,0.0,1.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,24.705882352941178,40.588235294117645,107.47058823529412,1.7647058823529411,14.117647058823529,0.0,0.0,0.0,561.1764705882354,190.58823529411765,8.823529411764707,14.117647058823529,110.29411764705883,8.823529411764707,12.352941176470589,126.00000000000001,7.0588235294117645,12.352941176470589,100.76470588235294,0.0,0.0,1.7647058823529411,0.0,0.0,31.764705882352942,8.823529411764707,1.7647058823529411,0.0,0.0,1.7647058823529411,7.0588235294117645,0.0,0.0,0.0,0.0,0.0,1.7647058823529411,0.0,0.0,0.0,0.0,0.0,1.7647058823529411,0.0,1.7647058823529411,0.0,0.0,1.7647058823529411,5.294117647058823,0.0,5.294117647058823,19.411764705882355,24.705882352941178,3.5294117647058822,0.0,47.64705882352941,0.0,0.0,0.0,35.294117647058826,21.176470588235293,0.0,0.0,1.7647058823529411,0.0,15.882352941176471,0.0,0.0,3.5294117647058822,0.0,0.0,0.0,0.0,0.0,10.588235294117647,1.7647058823529411,0.0,176.47058823529412,1.0,2.6470588235294117,3.3529411764705883,3.5294117647058822,5.294117647058823,243.52941176470588
Lys Mousset,FRA,24,28.0,0,0,0,0,2,2,0,0,13.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,5.0,7.0,71.4,0.0,7.0,0.0,1.0,0.0,63.0,13.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,13.0,0.0,1.0,100.0,17.0,6.0,0.0,0.0,1.0,1.0,10.0,3.0,0,2,0,0,0.0,0.0,0,1.0,1.0,2.0,33.3,True,2020-2021,FW,None,None,None,0.3111111111111111,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,77.14285714285714,0.0,0.0,0.0,0.0,6.428571428571429,6.428571428571429,0.0,0.0,41.785714285714285,0.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.0,3.2142857142857144,0.0,16.07142857142857,22.5,229.50000000000003,0.0,22.5,0.0,3.2142857142857144,0.0,202.5,41.785714285714285,12.857142857142858,12.857142857142858,321.42857142857144,3.2142857142857144,3.2142857142857144,321.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.07142857142857,25.714285714285715,3.2142857142857144,41.785714285714285,0.0,3.2142857142857144,321.42857142857144,54.64285714285714,19.285714285714285,0.0,0.0,3.2142857142857144,3.2142857142857144,32.14285714285714,9.642857142857142,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,3.2142857142857144,6.428571428571429,107.03571428571428,1.0,4.821428571428571,6.107142857142857,6.428571428571429,9.642857142857142,443.57142857142856
Enda Stevens,IRL,30,90.0,0,0,0,0,0,0,0,0,47.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,40.0,67.5,5.0,16.0,0.0,0.0,0.0,417.0,220.0,16.0,18.0,88.9,9.0,13.0,69.2,2.0,8.0,25.0,0.0,0.0,2.0,1.0,0.0,36.0,3.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,2.0,2.0,2.0,100.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,10.0,16.0,21.0,1.0,47.0,0.0,0.0,0.0,58.0,17.0,0.0,0.0,2.0,2.0,31.0,4.0,0,0,0,0,0.0,0.0,0,4.0,1.0,1.0,50.0,True,2020-2021,LB,None,None,None,1.0,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,40.0,67.5,5.0,16.0,0.0,0.0,0.0,417.0,220.0,16.0,18.0,88.9,9.0,13.0,69.2,2.0,8.0,25.0,0.0,0.0,2.0,1.0,0.0,36.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,10.0,16.0,21.0,1.0,47.0,0.0,0.0,0.0,58.0,17.0,0.0,0.0,2.0,2.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,1.0,1.5,1.9,2.0,3.0,138.0
Jack Robinson,ENG,27,90.0,0,0,0,0,0,0,1,0,51.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33.0,47.0,70.2,3.0,16.0,0.0,1.0,0.0,552.0,220.0,12.0,14.0,85.7,14.0,17.0,82.4,3.0,10.0,30.0,0.0,0.0,3.0,0.0,0.0,41.0,6.0,1.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,13.0,24.0,14.0,0.0,51.0,0.0,1.0,100.0,90.0,35.0,1.0,0.0,0.0,1.0,29.0,1.0,0,0,0,0,0.0,0.0,0,3.0,1.0,1.0,50.0,True,2020-2021,CB,None,None,None,1.0,Manchester_Utd_Sheffield_Utd,Manchester_Utd_Sheffield_Utd_2020,1.5,1.9,2.0,3.0,2020-12-17,Michael Oliver,Bramall Lane,Thu,20:00,0,138,Manchester Utd,Sheffield Utd,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,47.0,70.2,3.0,16.0,0.0,1.0,0.0,552.0,220.0,12.0,14.0,85.7,14.0,17.0,82.4,3.0,10.0,30.0,0.0,0.0,3.0,0.0,0.0,41.0,6.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,13.0,24.0,14.0,0.0,51.0,0.0,1.0,100.0,90.0,35.0,1.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0,1.0,1.5,1.9,2.0,3.0,138.0
