player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Shane Long,IRL,30,81.0,0,0,0,0,2,0,0,0,25.0,0.0,0,0.0,0.1,0.1,0.0,4.0,1.0,11.0,19.0,57.9,1.0,18.0,0.0,0.0,0.0,116.0,16.0,8.0,11.0,72.7,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,14.0,5.0,25.0,0.0,0.0,0.0,43.0,4.0,0.0,0.0,3.0,1.0,23.0,9.0,0,0,3,0,1.0,0.0,0,3.0,5.0,6.0,45.5,True,2017-2018,FW,None,None,None,0.9,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,33.333333333333336,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,4.444444444444445,1.1111111111111112,12.222222222222221,21.11111111111111,64.33333333333333,1.1111111111111112,20.0,0.0,0.0,0.0,128.88888888888889,17.77777777777778,8.88888888888889,12.222222222222221,80.77777777777779,1.1111111111111112,3.333333333333333,36.99999999999999,0.0,1.1111111111111112,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0,0.0,21.11111111111111,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,2.2222222222222223,0.0,0.0,0.0,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,11.11111111111111,15.555555555555555,5.555555555555555,27.77777777777778,0.0,0.0,0.0,47.77777777777778,4.444444444444445,0.0,0.0,3.333333333333333,1.1111111111111112,25.555555555555554,10.0,0.0,0.0,3.333333333333333,0.0,1.1111111111111112,0.0,0.0,3.333333333333333,5.555555555555555,6.666666666666666,50.55555555555556,1.0,1.6666666666666665,1.3333333333333333,2.2222222222222223,2.2222222222222223,94.44444444444444
Charlie Austin,ENG,28,9.0,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,True,2017-2018,FW,None,None,None,0.1,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1000.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,15.0,11.999999999999998,20.0,20.0,850.0
Manolo Gabbiadini,ITA,25,90.0,2,0,1,1,1,1,1,0,19.0,0.0,0,0.0,0.8,0.1,0.0,0.0,0.0,10.0,12.0,83.3,0.0,12.0,0.0,2.0,1.0,121.0,2.0,7.0,9.0,77.8,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,8.0,2.0,18.0,50.0,1.0,50.0,26.0,8.0,0.0,0.0,3.0,0.0,13.0,7.0,0,4,0,1,0.0,0.0,0,1.0,0.0,1.0,0.0,True,2017-2018,FW,None,None,None,1.0,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,25.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,10.0,12.0,83.3,0.0,12.0,0.0,2.0,1.0,121.0,2.0,7.0,9.0,77.8,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,8.0,2.0,18.0,50.0,1.0,50.0,26.0,8.0,0.0,0.0,3.0,0.0,13.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5,1.2,2.0,2.0,85.0
Nathan Redmond,ENG,23,56.0,0,1,0,0,0,0,0,0,39.0,1.0,1,1.0,0.0,0.0,0.5,5.0,1.0,29.0,36.0,80.6,4.0,29.0,1.0,0.0,0.0,546.0,156.0,12.0,14.0,85.7,10.0,13.0,76.9,5.0,7.0,71.4,0.3,4.0,3.0,2.0,1.0,32.0,4.0,2.0,0.0,0.0,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,15.0,21.0,1.0,39.0,0.0,0.0,0.0,114.0,68.0,3.0,0.0,0.0,0.0,30.0,11.0,0,0,2,0,0.0,0.0,0,3.0,0.0,0.0,0.0,True,2017-2018,LM,None,None,None,0.6222222222222222,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,36.964285714285715,0.0,1.6071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,62.67857142857143,1.6071428571428572,1.6071428571428572,1.6071428571428572,0.0,0.0,0.8035714285714286,8.035714285714285,1.6071428571428572,46.607142857142854,57.857142857142854,129.53571428571428,6.428571428571429,46.607142857142854,1.6071428571428572,0.0,0.0,877.5,250.71428571428572,19.285714285714285,22.5,137.73214285714286,16.07142857142857,20.892857142857142,123.58928571428572,8.035714285714285,11.25,114.75000000000001,0.4821428571428571,6.428571428571429,4.821428571428571,3.2142857142857144,1.6071428571428572,51.42857142857143,6.428571428571429,3.2142857142857144,0.0,0.0,6.428571428571429,0.0,3.2142857142857144,3.2142857142857144,0.0,0.0,0.0,0.0,1.6071428571428572,1.6071428571428572,0.0,0.0,0.0,1.6071428571428572,0.0,1.6071428571428572,0.0,1.6071428571428572,3.2142857142857144,0.0,0.0,0.0,4.821428571428571,24.107142857142858,33.75,1.6071428571428572,62.67857142857143,0.0,0.0,0.0,183.21428571428572,109.28571428571428,4.821428571428571,0.0,0.0,0.0,48.214285714285715,17.678571428571427,0.0,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,4.821428571428571,0.0,0.0,0.0,1.0,2.4107142857142856,1.9285714285714284,3.2142857142857144,3.2142857142857144,136.60714285714286
Sofiane Boufal,MAR,24,34.0,0,0,0,0,0,0,0,0,28.0,2.0,0,2.0,0.0,0.0,0.0,1.0,1.0,16.0,23.0,69.6,4.0,24.0,3.0,4.0,3.0,194.0,72.0,9.0,11.0,81.8,5.0,7.0,71.4,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,10.0,14.0,0.0,28.0,75.0,1.0,25.0,163.0,96.0,3.0,0.0,2.0,1.0,21.0,8.0,0,1,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,True,2017-2018,LM,None,None,None,0.37777777777777777,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,63.529411764705884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.11764705882354,5.294117647058823,0.0,5.294117647058823,0.0,0.0,0.0,2.6470588235294117,2.6470588235294117,42.35294117647059,60.88235294117647,184.23529411764704,10.588235294117647,63.529411764705884,7.9411764705882355,10.588235294117647,7.9411764705882355,513.5294117647059,190.58823529411765,23.823529411764707,29.11764705882353,216.52941176470588,13.23529411764706,18.529411764705884,189.00000000000003,0.0,2.6470588235294117,0.0,0.0,0.0,2.6470588235294117,7.9411764705882355,0.0,60.88235294117647,0.0,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,2.6470588235294117,5.294117647058823,0.0,2.6470588235294117,2.6470588235294117,2.6470588235294117,5.294117647058823,132.35294117647058,2.6470588235294117,0.0,5.294117647058823,5.294117647058823,0.0,0.0,0.0,13.23529411764706,26.47058823529412,37.05882352941177,0.0,74.11764705882354,198.52941176470588,2.6470588235294117,66.17647058823529,431.47058823529414,254.11764705882354,7.9411764705882355,0.0,5.294117647058823,2.6470588235294117,55.588235294117645,21.176470588235293,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,13.23529411764706,0.0,0.0,0.0,1.0,3.9705882352941178,3.176470588235294,5.294117647058823,5.294117647058823,225.0
Mario Lemina,GAB,24,90.0,0,0,0,0,2,0,0,0,73.0,3.0,2,0.0,0.1,0.1,0.0,0.0,0.0,54.0,60.0,90.0,9.0,54.0,0.0,7.0,6.0,1003.0,204.0,22.0,23.0,95.7,25.0,25.0,100.0,7.0,11.0,63.6,0.0,0.0,4.0,0.0,0.0,57.0,2.0,1.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,7.0,11.0,49.0,13.0,0.0,73.0,85.7,1.0,14.3,285.0,122.0,0.0,0.0,0.0,2.0,56.0,3.0,0,1,3,0,0.0,0.0,0,7.0,2.0,0.0,100.0,True,2017-2018,CM,None,None,None,1.0,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.0,3.0,2.0,0.0,0.1,0.1,0.0,0.0,0.0,54.0,60.0,90.0,9.0,54.0,0.0,7.0,6.0,1003.0,204.0,22.0,23.0,95.7,25.0,25.0,100.0,7.0,11.0,63.6,0.0,0.0,4.0,0.0,0.0,57.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,7.0,11.0,49.0,13.0,0.0,73.0,85.7,1.0,14.3,285.0,122.0,0.0,0.0,0.0,2.0,56.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0,1.0,1.5,1.2,2.0,2.0,85.0
Oriol Romeu,ESP,26,66.0,0,0,0,0,1,0,0,0,56.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0.0,42.0,52.0,80.8,4.0,43.0,1.0,0.0,0.0,738.0,215.0,17.0,22.0,77.3,23.0,27.0,85.2,2.0,3.0,66.7,0.0,0.0,5.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,37.0,14.0,0.0,56.0,0.0,0.0,0.0,120.0,70.0,3.0,0.0,0.0,0.0,43.0,0.0,0,1,0,0,0.0,0.0,0,5.0,1.0,0.0,100.0,True,2017-2018,CM,None,None,None,0.7333333333333333,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,35.45454545454546,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,76.36363636363637,1.3636363636363638,2.7272727272727275,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,57.27272727272727,70.90909090909092,110.18181818181819,5.454545454545455,58.63636363636364,1.3636363636363638,0.0,0.0,1006.3636363636365,293.1818181818182,23.181818181818183,30.000000000000004,105.4090909090909,31.363636363636367,36.81818181818182,116.18181818181819,2.7272727272727275,4.090909090909091,90.95454545454547,0.0,0.0,6.818181818181818,1.3636363636363638,0.0,70.90909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,8.181818181818182,50.45454545454546,19.090909090909093,0.0,76.36363636363637,0.0,0.0,0.0,163.63636363636365,95.45454545454547,4.090909090909091,0.0,0.0,0.0,58.63636363636364,0.0,0.0,1.3636363636363638,0.0,0.0,0.0,0.0,0.0,6.818181818181818,1.3636363636363638,0.0,136.36363636363637,1.0,2.0454545454545454,1.6363636363636365,2.7272727272727275,2.7272727272727275,115.90909090909092
Steven Davis,NIR,32,24.0,0,0,0,0,0,0,0,0,26.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,4.0,14.0,1.0,0.0,0.0,274.0,106.0,7.0,7.0,100.0,8.0,8.0,100.0,1.0,3.0,33.3,0.0,0.0,3.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,5.0,19.0,2.0,0.0,26.0,0.0,0.0,0.0,80.0,47.0,0.0,0.0,1.0,0.0,15.0,1.0,0,1,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,2017-2018,CM,None,None,None,0.26666666666666666,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,63.75,75.0,318.75,15.0,52.5,3.75,0.0,0.0,1027.5,397.5,26.25,26.25,375.0,30.0,30.0,375.0,3.75,11.25,124.87499999999999,0.0,0.0,11.25,3.75,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,3.75,0.0,3.75,7.5,3.75,0.0,7.5,0.0,11.25,18.75,71.25,7.5,0.0,97.5,0.0,0.0,0.0,300.0,176.25,0.0,0.0,3.75,0.0,56.25,3.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,11.25,3.75,0.0,375.0,1.0,5.625,4.5,7.5,7.5,318.75
Dusan Tadic,SRB,28,90.0,0,0,0,0,3,0,0,0,45.0,0.0,1,0.0,0.3,0.3,0.1,3.0,0.0,29.0,36.0,80.6,3.0,34.0,4.0,1.0,1.0,415.0,108.0,14.0,16.0,87.5,10.0,13.0,76.9,1.0,3.0,33.3,0.0,1.0,1.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,7.0,17.0,21.0,2.0,45.0,100.0,0.0,0.0,194.0,70.0,0.0,0.0,2.0,3.0,37.0,8.0,0,2,0,0,0.0,0.0,0,7.0,2.0,1.0,66.7,True,2017-2018,RM,None,None,None,1.0,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,28.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.3,0.3,0.1,3.0,0.0,29.0,36.0,80.6,3.0,34.0,4.0,1.0,1.0,415.0,108.0,14.0,16.0,87.5,10.0,13.0,76.9,1.0,3.0,33.3,0.0,1.0,1.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,7.0,17.0,21.0,2.0,45.0,100.0,0.0,0.0,194.0,70.0,0.0,0.0,2.0,3.0,37.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7,1.0,1.5,1.2,2.0,2.0,85.0
Ryan Bertrand,ENG,28,90.0,0,0,0,0,0,0,0,0,87.0,2.0,1,1.0,0.0,0.0,0.1,5.0,1.0,71.0,79.0,89.9,13.0,56.0,1.0,0.0,0.0,1260.0,409.0,26.0,28.0,92.9,33.0,35.0,94.3,8.0,11.0,72.7,0.1,1.0,9.0,2.0,0.0,68.0,11.0,3.0,0.0,1.0,3,7.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,15.0,52.0,20.0,1.0,87.0,0.0,0.0,0.0,231.0,151.0,1.0,0.0,1.0,1.0,62.0,7.0,0,0,0,0,0.0,0.0,0,3.0,2.0,3.0,40.0,True,2017-2018,LB,None,None,None,1.0,Newcastle_Utd_Southampton,Newcastle_Utd_Southampton_2017,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,2.0,1.0,1.0,0.0,0.0,0.1,5.0,1.0,71.0,79.0,89.9,13.0,56.0,1.0,0.0,0.0,1260.0,409.0,26.0,28.0,92.9,33.0,35.0,94.3,8.0,11.0,72.7,0.1,1.0,9.0,2.0,0.0,68.0,11.0,3.0,0.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,15.0,52.0,20.0,1.0,87.0,0.0,0.0,0.0,231.0,151.0,1.0,0.0,1.0,1.0,62.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,40.0,1.0,1.5,1.2,2.0,2.0,85.0
