player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Manolo Gabbiadini,ITA,25,68.0,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.0,69.0,0.0,3.0,4.0,75.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,3.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,3.0,0.0,True,2017-2018,FW,None,None,None,0.7555555555555555,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,33.088235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61764705882353,9.264705882352942,94.50000000000001,0.0,2.6470588235294117,0.0,0.0,0.0,91.32352941176471,0.0,3.9705882352941178,5.294117647058823,99.26470588235294,2.6470588235294117,2.6470588235294117,132.35294117647058,0.0,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,6.61764705882353,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,0.0,1.3235294117647058,2.6470588235294117,6.61764705882353,3.9705882352941178,1.3235294117647058,13.23529411764706,0.0,0.0,0.0,1.3235294117647058,1.3235294117647058,0.0,0.0,2.6470588235294117,0.0,5.294117647058823,0.0,0.0,0.0,0.0,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,3.9705882352941178,0.0,1.0,0.39705882352941174,0.926470588235294,0.0,2.6470588235294117,50.294117647058826
Shane Long,IRL,30,22.0,0,0,0,0,1,0,0,0,6.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,5.0,40.0,0.0,7.0,1.0,1.0,1.0,32.0,2.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,100.0,0.0,0.0,45.0,24.0,0.0,0.0,0.0,1.0,9.0,6.0,0,1,2,1,0.0,0.0,0,0.0,0.0,2.0,0.0,True,2017-2018,FW,None,None,None,0.24444444444444444,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,122.72727272727273,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,24.545454545454547,0.0,0.0,0.0,0.4090909090909091,0.4090909090909091,0.0,4.090909090909091,0.0,8.181818181818182,20.454545454545457,163.63636363636365,0.0,28.636363636363637,4.090909090909091,4.090909090909091,4.090909090909091,130.9090909090909,8.181818181818182,4.090909090909091,8.181818181818182,204.54545454545456,4.090909090909091,4.090909090909091,409.0909090909091,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,20.454545454545457,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.545454545454547,4.090909090909091,24.545454545454547,409.0909090909091,0.0,0.0,184.0909090909091,98.18181818181819,0.0,0.0,0.0,4.090909090909091,36.81818181818182,24.545454545454547,0.0,4.090909090909091,8.181818181818182,4.090909090909091,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,1.0,1.2272727272727273,2.8636363636363638,0.0,8.181818181818182,155.45454545454547
Nathan Redmond,ENG,23,90.0,0,0,0,0,2,0,0,0,59.0,0.0,0,1.0,0.1,0.1,0.1,2.0,0.0,31.0,47.0,66.0,2.0,41.0,5.0,4.0,3.0,415.0,90.0,20.0,24.0,83.3,8.0,13.0,61.5,1.0,5.0,20.0,0.0,1.0,4.0,2.0,0.0,42.0,5.0,0.0,1.0,0.0,3,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,25.0,31.0,4.0,59.0,75.0,1.0,25.0,285.0,170.0,3.0,1.0,3.0,3.0,42.0,16.0,0,0,4,0,0.0,0.0,0,5.0,0.0,2.0,0.0,True,2017-2018,LW,None,None,None,1.0,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,31.0,47.0,66.0,2.0,41.0,5.0,4.0,3.0,415.0,90.0,20.0,24.0,83.3,8.0,13.0,61.5,1.0,5.0,20.0,0.0,1.0,4.0,2.0,0.0,42.0,5.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,25.0,31.0,4.0,59.0,75.0,1.0,25.0,285.0,170.0,3.0,1.0,3.0,3.0,42.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.3,0.7,0.0,2.0,38.0
Sofiane Boufal,MAR,23,70.0,0,0,0,0,1,0,0,0,36.0,1.0,0,2.0,0.1,0.1,0.0,1.0,0.0,16.0,23.0,69.6,2.0,20.0,2.0,5.0,1.0,207.0,79.0,9.0,9.0,100.0,4.0,8.0,50.0,1.0,3.0,33.3,0.2,0.0,2.0,2.0,1.0,21.0,2.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,7.0,20.0,10.0,1.0,36.0,20.0,4.0,80.0,119.0,51.0,0.0,1.0,2.0,2.0,20.0,1.0,0,1,0,0,0.0,0.0,0,8.0,2.0,1.0,66.7,True,2017-2018,RW,None,None,None,0.7777777777777778,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,29.57142857142857,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,0.0,46.285714285714285,1.2857142857142856,0.0,2.571428571428571,0.1285714285714286,0.1285714285714286,0.0,1.2857142857142856,0.0,20.57142857142857,29.57142857142857,89.48571428571428,2.571428571428571,25.714285714285715,2.571428571428571,6.428571428571429,1.2857142857142856,266.1428571428571,101.57142857142857,11.571428571428571,11.571428571428571,128.57142857142856,5.142857142857142,10.285714285714285,64.28571428571428,1.2857142857142856,3.857142857142857,42.81428571428571,0.2571428571428572,0.0,2.571428571428571,2.571428571428571,1.2857142857142856,27.0,2.571428571428571,0.0,0.0,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,0.0,0.0,0.0,0.0,1.2857142857142856,1.2857142857142856,0.0,1.2857142857142856,0.0,1.2857142857142856,2.571428571428571,64.28571428571428,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,0.0,2.571428571428571,9.0,25.714285714285715,12.857142857142858,1.2857142857142856,46.285714285714285,25.714285714285715,5.142857142857142,102.85714285714286,153.0,65.57142857142857,0.0,1.2857142857142856,2.571428571428571,2.571428571428571,25.714285714285715,1.2857142857142856,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,10.285714285714285,2.571428571428571,1.2857142857142856,85.75714285714285,1.0,0.3857142857142857,0.8999999999999999,0.0,2.571428571428571,48.857142857142854
Charlie Austin,ENG,28,20.0,0,0,0,0,0,0,0,0,7.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,2.0,4.0,0.0,0.0,0.0,66.0,27.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,True,2017-2018,RW,None,None,None,0.2222222222222222,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,13.5,13.5,450.0,9.0,18.0,0.0,0.0,0.0,297.0,121.5,4.5,4.5,450.0,4.5,4.5,450.0,4.5,4.5,450.0,0.0,0.0,4.5,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,9.0,225.0,4.5,0.0,4.5,4.5,0.0,0.0,0.0,4.5,13.5,13.5,4.5,31.5,0.0,0.0,0.0,22.5,0.0,0.0,0.0,9.0,0.0,22.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,9.0,0.0,1.0,1.35,3.15,0.0,9.0,171.0
James Ward-Prowse,ENG,22,45.0,0,0,0,0,0,0,0,0,13.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,45.5,0.0,4.0,0.0,0.0,0.0,68.0,11.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,5.0,1.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,True,2017-2018,AM,None,None,None,0.5,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,91.0,0.0,8.0,0.0,0.0,0.0,136.0,22.0,8.0,8.0,200.0,0.0,2.0,0.0,2.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,16.0,10.0,2.0,26.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.6,1.4,0.0,4.0,76.0
Dusan Tadic,SRB,28,45.0,0,0,0,0,0,0,0,0,28.0,1.0,0,2.0,0.0,0.0,0.1,1.0,0.0,14.0,22.0,63.6,4.0,19.0,1.0,0.0,0.0,187.0,47.0,9.0,9.0,100.0,5.0,9.0,55.6,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,19.0,3.0,0.0,0.0,0.0,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,20.0,3.0,28.0,0.0,0.0,0.0,82.0,40.0,0.0,2.0,3.0,2.0,21.0,5.0,0,0,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,True,2017-2018,AM,None,None,None,0.5,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,4.0,0.0,0.0,0.2,2.0,0.0,28.0,44.0,127.2,8.0,38.0,2.0,0.0,0.0,374.0,94.0,18.0,18.0,200.0,10.0,18.0,111.2,0.0,8.0,0.0,0.0,2.0,0.0,4.0,0.0,38.0,6.0,0.0,0.0,0.0,12.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,16.0,40.0,6.0,56.0,0.0,0.0,0.0,164.0,80.0,0.0,4.0,6.0,4.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.6,1.4,0.0,4.0,76.0
Steven Davis,NIR,32,90.0,0,0,0,0,1,0,0,0,64.0,2.0,1,0.0,0.0,0.0,0.1,2.0,0.0,43.0,56.0,76.8,8.0,32.0,1.0,0.0,0.0,701.0,210.0,18.0,20.0,90.0,20.0,24.0,83.3,3.0,9.0,33.3,0.0,1.0,6.0,1.0,0.0,52.0,4.0,3.0,0.0,0.0,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,3.0,4.0,0.0,4.0,9.0,44.0,12.0,0.0,64.0,0.0,0.0,0.0,156.0,74.0,2.0,0.0,0.0,1.0,38.0,0.0,0,0,0,0,0.0,0.0,0,5.0,2.0,3.0,40.0,True,2017-2018,DM,None,None,None,1.0,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,2.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,43.0,56.0,76.8,8.0,32.0,1.0,0.0,0.0,701.0,210.0,18.0,20.0,90.0,20.0,24.0,83.3,3.0,9.0,33.3,0.0,1.0,6.0,1.0,0.0,52.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,3.0,4.0,0.0,4.0,9.0,44.0,12.0,0.0,64.0,0.0,0.0,0.0,156.0,74.0,2.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,40.0,1.0,0.3,0.7,0.0,2.0,38.0
Oriol Romeu,ESP,25,90.0,0,0,0,0,1,0,0,0,66.0,0.0,3,3.0,0.0,0.0,0.1,4.0,0.0,38.0,54.0,70.4,9.0,31.0,0.0,0.0,0.0,808.0,256.0,9.0,13.0,69.2,19.0,25.0,76.0,9.0,13.0,69.2,0.1,2.0,6.0,1.0,0.0,52.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,4.0,16.0,41.0,11.0,0.0,66.0,0.0,0.0,0.0,120.0,58.0,0.0,0.0,0.0,0.0,32.0,0.0,0,4,2,0,0.0,0.0,0,7.0,5.0,0.0,100.0,True,2017-2018,DM,None,None,None,1.0,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,3.0,3.0,0.0,0.0,0.1,4.0,0.0,38.0,54.0,70.4,9.0,31.0,0.0,0.0,0.0,808.0,256.0,9.0,13.0,69.2,19.0,25.0,76.0,9.0,13.0,69.2,0.1,2.0,6.0,1.0,0.0,52.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,4.0,16.0,41.0,11.0,0.0,66.0,0.0,0.0,0.0,120.0,58.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,100.0,1.0,0.3,0.7,0.0,2.0,38.0
Ryan Bertrand,ENG,28,90.0,0,0,0,0,1,0,0,0,64.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,42.0,57.0,73.7,6.0,34.0,2.0,1.0,0.0,550.0,228.0,30.0,35.0,85.7,8.0,15.0,53.3,3.0,4.0,75.0,0.0,1.0,7.0,0.0,0.0,45.0,12.0,1.0,0.0,0.0,3,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,12.0,35.0,17.0,2.0,64.0,0.0,1.0,100.0,176.0,75.0,0.0,1.0,2.0,1.0,37.0,4.0,0,0,1,0,0.0,0.0,0,6.0,4.0,3.0,57.1,True,2017-2018,LB,None,None,None,1.0,Southampton_Watford,Southampton_Watford_2017,0.3,0.7,0.0,2.0,2017-09-09,Lee Probert,St. Mary's Stadium,Sat,15:00,"31,435",38,Watford,Southampton,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,42.0,57.0,73.7,6.0,34.0,2.0,1.0,0.0,550.0,228.0,30.0,35.0,85.7,8.0,15.0,53.3,3.0,4.0,75.0,0.0,1.0,7.0,0.0,0.0,45.0,12.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,12.0,35.0,17.0,2.0,64.0,0.0,1.0,100.0,176.0,75.0,0.0,1.0,2.0,1.0,37.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,57.1,1.0,0.3,0.7,0.0,2.0,38.0
