season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,7,Arsenal,2.4,0.4,Brighton,2.0,0.0,2017-10-01,Kevin Friend,Emirates Stadium,Sun,12:00,"59,378",73,Arsenal,Brighton,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2017
2017,29,Brighton,1.2,1.2,Arsenal,2.0,1.0,2018-03-04,Stuart Attwell,The American Express Community Stadium,Sun,13:30,"30,620",316,Brighton,Arsenal,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2017
2018,19,Brighton,1.1,0.8,Arsenal,1.0,1.0,2018-12-26,Anthony Taylor,The American Express Community Stadium,Wed,17:15,"30,608",205,draw,draw,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2018
2018,37,Arsenal,2.4,1.9,Brighton,1.0,1.0,2019-05-05,Anthony Taylor,Emirates Stadium,Sun,16:30,"59,965",412,draw,draw,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2018
2019,15,Arsenal,0.9,1.7,Brighton,1.0,2.0,2019-12-05,Graham Scott,Emirates Stadium,Thu,20:15,"60,164",163,Brighton,Arsenal,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2019
2019,30,Brighton,1.0,0.8,Arsenal,2.0,1.0,2020-06-20,Martin Atkinson,The American Express Community Stadium,Sat,15:00,0,324,Brighton,Arsenal,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2019
2020,16,Brighton,0.8,1.1,Arsenal,0.0,1.0,2020-12-29,Martin Atkinson,The American Express Community Stadium,Tue,18:00,0,167,Arsenal,Brighton,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2020
2020,38,Arsenal,0.8,0.2,Brighton,2.0,0.0,2021-05-23,Jonathan Moss,Emirates Stadium,Sun,16:00,"10,000",437,Arsenal,Brighton,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2020
2021,7,Brighton,1.1,0.4,Arsenal,0.0,0.0,2021-10-02,Jonathan Moss,The American Express Community Stadium,Sat,17:30,"31,266",71,draw,draw,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2021
2021,32,Arsenal,1.9,0.6,Brighton,1.0,2.0,2022-04-09,David Coote,Emirates Stadium,Sat,15:00,"60,112",350,Brighton,Arsenal,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2021
2022,18,Brighton,1.2,2.9,Arsenal,2.0,4.0,2022-12-31,Anthony Taylor,The American Express Community Stadium,Sat,17:30,"31,647",179,Arsenal,Brighton,Brighton,Arsenal,Arsenal_Brighton,Arsenal_Brighton_2022
2022,36,Arsenal,0.9,1.7,Brighton,0.0,3.0,2023-05-14,Andy Madley,Emirates Stadium,Sun,16:30,"60,139",401,Brighton,Arsenal,Arsenal,Brighton,Arsenal_Brighton,Arsenal_Brighton_2022
