season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,9,Everton,1.0,3.5,Arsenal,2.0,5.0,2017-10-22,Craig Pawson,Goodison Park,Sun,13:30,"39,189",96,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2017
2017,26,Arsenal,2.6,1.2,Everton,5.0,1.0,2018-02-03,Niel Swarbrick,Emirates Stadium,Sat,17:30,"59,306",282,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2017
2018,6,Arsenal,0.8,0.8,Everton,2.0,0.0,2018-09-23,Jonathan Moss,Emirates Stadium,Sun,16:00,"59,964",64,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2018
2018,33,Everton,2.4,0.3,Arsenal,1.0,0.0,2019-04-07,Kevin Friend,Goodison Park,Sun,14:05,"39,400",359,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2018
2019,18,Everton,0.5,0.6,Arsenal,0.0,0.0,2019-12-21,Kevin Friend,Goodison Park,Sat,12:30,"39,336",187,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2019
2019,27,Arsenal,1.3,2.7,Everton,3.0,2.0,2020-02-23,Stuart Attwell,Emirates Stadium,Sun,16:30,"60,296",295,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2019
2020,14,Everton,0.6,1.4,Arsenal,2.0,1.0,2020-12-19,Andre Marriner,Goodison Park,Sat,17:30,0,142,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2020
2020,33,Arsenal,0.8,0.5,Everton,0.0,1.0,2021-04-23,Jonathan Moss,Emirates Stadium,Fri,20:00,0,370,Everton,Arsenal,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2020
2021,15,Everton,0.9,1.0,Arsenal,2.0,1.0,2021-12-06,Mike Dean,Goodison Park,Mon,20:00,"38,906",162,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2021
2021,38,Arsenal,4.2,1.1,Everton,5.0,1.0,2022-05-22,Andre Marriner,Emirates Stadium,Sun,16:00,"60,201",441,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2021
2022,22,Everton,1.7,0.9,Arsenal,1.0,0.0,2023-02-04,David Coote,Goodison Park,Sat,12:30,"39,314",222,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2022
2022,7,Arsenal,2.6,1.2,Everton,4.0,0.0,2023-03-01,Michael Oliver,Emirates Stadium,Wed,19:45,"60,213",267,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2022
1992,13,Arsenal,0.0,0.0,Everton,2.0,0.0,0,Keith Hackett,0,0,0,0,133,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1992
1992,41,Everton,0.0,0.0,Arsenal,0.0,0.0,0,Alan Gunn,0,0,0,0,432,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1992
1993,5,Arsenal,0.0,0.0,Everton,2.0,0.0,0,Keith Burge,0,0,0,0,515,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1993
1993,30,Everton,0.0,0.0,Arsenal,1.0,1.0,0,David Allison,0,0,0,0,767,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1993
1994,12,Everton,0.0,0.0,Arsenal,1.0,1.0,0,Keith Burge,0,0,0,0,1053,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1994
1994,24,Arsenal,0.0,0.0,Everton,1.0,1.0,0,Robbie Hart,0,0,0,0,1180,draw,draw,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1994
1995,2,Everton,0.0,0.0,Arsenal,0.0,2.0,0,Keith Burge,0,0,0,0,1404,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1995
1995,24,Arsenal,0.0,0.0,Everton,1.0,2.0,0,Martin Bodenham,0,0,0,0,1613,Everton,Arsenal,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1995
1996,23,Arsenal,0.0,0.0,Everton,3.0,1.0,0,Keith Burge,0,0,0,0,1990,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1996
1996,28,Everton,0.0,0.0,Arsenal,0.0,2.0,0,Paul Danson,0,0,0,0,2035,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1996
1997,9,Everton,0.0,0.0,Arsenal,2.0,2.0,0,Alan Wilkie,0,0,0,0,2227,draw,draw,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1997
1997,37,Arsenal,0.0,0.0,Everton,4.0,0.0,0,Gerald Ashby,0,0,0,0,2512,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1997
1998,12,Arsenal,0.0,0.0,Everton,1.0,0.0,0,Gary Willard,0,0,0,0,2640,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1998
1998,29,Everton,0.0,0.0,Arsenal,0.0,2.0,0,Uriah Rennie,0,0,0,0,2809,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1998
1999,11,Arsenal,0.0,0.0,Everton,4.0,1.0,0,Steve Dunn,0,0,0,0,3009,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_1999
1999,36,Everton,0.0,0.0,Arsenal,0.0,1.0,0,Dermot Gallagher,0,0,0,0,3256,Arsenal,Everton,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_1999
2000,14,Everton,0.0,0.0,Arsenal,2.0,0.0,0,Mike Riley,0,0,0,0,3418,Everton,Arsenal,Everton,Arsenal,Arsenal_Everton,Arsenal_Everton_2000
2000,35,Arsenal,0.0,0.0,Everton,4.0,1.0,0,Dermot Gallagher,0,0,0,0,3625,Arsenal,Everton,Arsenal,Everton,Arsenal_Everton,Arsenal_Everton_2000
