season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1992,12,Aston Villa,0.0,0.0,Blackburn,0.0,0.0,0,Howard King,0,0,0,0,130,draw,draw,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1992
1992,32,Blackburn,0.0,0.0,Aston Villa,3.0,0.0,0,Joe Worrall,0,0,0,0,428,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1992
1993,24,Aston Villa,0.0,0.0,Blackburn,0.0,1.0,0,Roger Dilkes,0,0,0,0,714,Blackburn,Aston Villa,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1993
1993,38,Blackburn,0.0,0.0,Aston Villa,1.0,0.0,0,David Allison,0,0,0,0,865,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1993
1994,7,Blackburn,0.0,0.0,Aston Villa,3.0,1.0,0,Martin Bodenham,0,0,0,0,994,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1994
1994,32,Aston Villa,0.0,0.0,Blackburn,0.0,1.0,0,Rodger Gifford,0,0,0,0,1250,Blackburn,Aston Villa,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1994
1995,5,Blackburn,0.0,0.0,Aston Villa,1.0,1.0,0,Roger Dilkes,0,0,0,0,1432,draw,draw,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1995
1995,27,Aston Villa,0.0,0.0,Blackburn,2.0,0.0,0,Stephen Lodge,0,0,0,0,1657,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1995
1996,2,Aston Villa,0.0,0.0,Blackburn,1.0,0.0,0,Alan Wilkie,0,0,0,0,1778,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1996
1996,32,Blackburn,0.0,0.0,Aston Villa,0.0,2.0,0,Alan Wilkie,0,0,0,0,2072,Aston Villa,Blackburn,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1996
1997,2,Aston Villa,0.0,0.0,Blackburn,0.0,4.0,0,Paul Alcock,0,0,0,0,2159,Blackburn,Aston Villa,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1997
1997,23,Blackburn,0.0,0.0,Aston Villa,5.0,0.0,0,Keith Burge,0,0,0,0,2365,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1997
1998,19,Blackburn,0.0,0.0,Aston Villa,2.0,1.0,0,Dermot Gallagher,0,0,0,0,2709,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_1998
1998,24,Aston Villa,0.0,0.0,Blackburn,1.0,3.0,0,Keith Burge,0,0,0,0,2763,Blackburn,Aston Villa,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_1998
2001,8,Aston Villa,0.0,0.0,Blackburn,2.0,0.0,0,Mark Halsey,0,0,0,0,3735,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_2001
2001,29,Blackburn,0.0,0.0,Aston Villa,3.0,0.0,0,Stephen Bennett,0,0,0,0,3945,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_2001
2002,12,Blackburn,0.0,0.0,Aston Villa,0.0,0.0,0,Mike Dean,0,0,0,0,4159,draw,draw,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_2002
2002,26,Aston Villa,0.0,0.0,Blackburn,3.0,0.0,0,Mike Dean,0,0,0,0,4301,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_2002
2003,17,Blackburn,0.0,0.0,Aston Villa,0.0,2.0,0,Dermot Gallagher,0,0,0,0,4587,Aston Villa,Blackburn,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_2003
2003,29,Aston Villa,0.0,0.0,Blackburn,0.0,2.0,0,Andy D'Urso,0,0,0,0,4710,Blackburn,Aston Villa,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_2003
2004,8,Blackburn,0.0,0.0,Aston Villa,2.0,2.0,0,Peter Walton,0,0,0,0,4880,draw,draw,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_2004
2004,21,Aston Villa,0.0,0.0,Blackburn,1.0,0.0,0,Howard Webb,0,0,0,0,5013,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_2004
2005,4,Aston Villa,0.0,0.0,Blackburn,1.0,0.0,0,Mark Clattenburg,0,0,0,0,5216,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_2005
2005,29,Blackburn,0.0,0.0,Aston Villa,2.0,0.0,0,Dermot Gallagher,0,0,0,0,5463,Blackburn,Aston Villa,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_2005
2006,11,Aston Villa,0.0,0.0,Blackburn,2.0,0.0,0,Howard Webb,0,0,0,0,5674,Aston Villa,Blackburn,Aston Villa,Blackburn,Aston_Villa_Blackburn,Aston Villa_Blackburn_2006
2006,32,Blackburn,0.0,0.0,Aston Villa,1.0,2.0,0,Martin Atkinson,0,0,0,0,5883,Aston Villa,Blackburn,Blackburn,Aston Villa,Aston_Villa_Blackburn,Aston Villa_Blackburn_2006
