season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1992,11,Wimbledon,0.0,0.0,Aston Villa,2.0,3.0,0,Stephen Lodge,0,0,0,0,109,Aston Villa,Wimbledon,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1992
1992,31,Aston Villa,0.0,0.0,Wimbledon,1.0,0.0,0,Stephen Lodge,0,0,0,0,326,Aston Villa,Wimbledon,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1992
1993,3,Wimbledon,0.0,0.0,Aston Villa,2.0,2.0,0,Jim Borrett,0,0,0,0,491,draw,draw,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1993
1993,20,Aston Villa,0.0,0.0,Wimbledon,0.0,1.0,0,Alan Gunn,0,0,0,0,668,Wimbledon,Aston Villa,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1993
1994,13,Wimbledon,0.0,0.0,Aston Villa,4.0,3.0,0,David Elleray,0,0,0,0,1074,Wimbledon,Aston Villa,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1994
1994,28,Aston Villa,0.0,0.0,Wimbledon,7.0,1.0,0,Brian Hill,0,0,0,0,1215,Aston Villa,Wimbledon,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1994
1995,6,Aston Villa,0.0,0.0,Wimbledon,2.0,0.0,0,David Elleray,0,0,0,0,1440,Aston Villa,Wimbledon,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1995
1995,28,Wimbledon,0.0,0.0,Aston Villa,3.0,3.0,0,Jeff Winter,0,0,0,0,1655,draw,draw,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1995
1996,18,Aston Villa,0.0,0.0,Wimbledon,5.0,0.0,0,Steve Dunn,0,0,0,0,1944,Aston Villa,Wimbledon,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1996
1996,30,Wimbledon,0.0,0.0,Aston Villa,0.0,2.0,0,Roger Dilkes,0,0,0,0,2087,Aston Villa,Wimbledon,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1996
1997,11,Aston Villa,0.0,0.0,Wimbledon,1.0,2.0,0,Keith Burge,0,0,0,0,2241,Wimbledon,Aston Villa,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1997
1997,27,Wimbledon,0.0,0.0,Aston Villa,2.0,1.0,0,Gerald Ashby,0,0,0,0,2401,Wimbledon,Aston Villa,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1997
1998,5,Aston Villa,0.0,0.0,Wimbledon,2.0,0.0,0,David Elleray,0,0,0,0,2566,Aston Villa,Wimbledon,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1998
1998,26,Wimbledon,0.0,0.0,Aston Villa,0.0,0.0,0,Paul Alcock,0,0,0,0,2783,draw,draw,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1998
1999,12,Aston Villa,0.0,0.0,Wimbledon,1.0,1.0,0,Uriah Rennie,0,0,0,0,3017,draw,draw,Aston Villa,Wimbledon,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1999
1999,37,Wimbledon,0.0,0.0,Aston Villa,2.0,2.0,0,Mark Halsey,0,0,0,0,3270,draw,draw,Wimbledon,Aston Villa,Aston_Villa_Wimbledon,Aston Villa_Wimbledon_1999
