season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2001,26,Fulham,0.0,0.0,Blackburn,2.0,0.0,0,Mark Halsey,0,0,0,0,3922,Fulham,Blackburn,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2001
2001,38,Blackburn,0.0,0.0,Fulham,3.0,0.0,0,Chris Foy,0,0,0,0,4042,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2001
2002,16,Blackburn,0.0,0.0,Fulham,2.0,1.0,0,Phil Dowd,0,0,0,0,4195,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2002
2002,32,Fulham,0.0,0.0,Blackburn,0.0,4.0,0,Graham Poll,0,0,0,0,4365,Blackburn,Fulham,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2002
2003,7,Blackburn,0.0,0.0,Fulham,0.0,2.0,0,Matt Messias,0,0,0,0,4492,Fulham,Blackburn,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2003
2003,33,Fulham,0.0,0.0,Blackburn,3.0,4.0,0,Mike Dean,0,0,0,0,4749,Blackburn,Fulham,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2003
2004,15,Fulham,0.0,0.0,Blackburn,0.0,2.0,0,Rob Styles,0,0,0,0,4947,Blackburn,Fulham,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2004
2004,37,Blackburn,0.0,0.0,Fulham,1.0,3.0,0,Phil Dowd,0,0,0,0,5167,Fulham,Blackburn,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2004
2005,2,Blackburn,0.0,0.0,Fulham,2.0,1.0,0,Howard Webb,0,0,0,0,5202,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2005
2005,17,Fulham,0.0,0.0,Blackburn,2.0,1.0,0,Mark Clattenburg,0,0,0,0,5349,Fulham,Blackburn,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2005
2006,16,Blackburn,0.0,0.0,Fulham,2.0,0.0,0,Stephen Bennett,0,0,0,0,5713,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2006
2006,35,Fulham,0.0,0.0,Blackburn,1.0,1.0,0,Graham Poll,0,0,0,0,5904,draw,draw,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2006
2007,14,Fulham,0.0,0.0,Blackburn,2.0,2.0,0,Mike Dean,0,0,0,0,6081,draw,draw,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2007
2007,29,Blackburn,0.0,0.0,Fulham,1.0,1.0,0,Mike Riley,0,0,0,0,6227,draw,draw,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2007
2008,5,Blackburn,0.0,0.0,Fulham,1.0,0.0,0,Lee Probert,0,0,0,0,6365,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2008
2008,21,Fulham,0.0,0.0,Blackburn,1.0,2.0,0,Rob Styles,0,0,0,0,6604,Blackburn,Fulham,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2008
2009,2,Fulham,0.0,0.0,Blackburn,3.0,0.0,0,Stuart Attwell,0,0,0,0,6833,Fulham,Blackburn,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2009
2009,22,Blackburn,0.0,0.0,Fulham,2.0,0.0,0,Kevin Friend,0,0,0,0,6914,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2009
2010,5,Blackburn,0.0,0.0,Fulham,1.0,1.0,0,Anthony Taylor,0,0,0,0,7130,draw,draw,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2010
2010,29,Fulham,0.0,0.0,Blackburn,3.0,2.0,0,Mark Clattenburg,0,0,0,0,7366,Fulham,Blackburn,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2010
2011,4,Fulham,0.0,0.0,Blackburn,1.0,1.0,0,Howard Webb,0,0,0,0,7502,draw,draw,Fulham,Blackburn,Blackburn_Fulham,Blackburn_Fulham_2011
2011,21,Blackburn,0.0,0.0,Fulham,3.0,1.0,0,Anthony Taylor,0,0,0,0,7671,Blackburn,Fulham,Blackburn,Fulham,Blackburn_Fulham,Blackburn_Fulham_2011
