season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1995,7,Liverpool,0.0,0.0,Bolton,5.0,2.0,0,Martin Bodenham,0,0,0,0,1451,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_1995
1995,17,Bolton,0.0,0.0,Liverpool,0.0,1.0,0,Martin Bodenham,0,0,0,0,1548,Liverpool,Bolton,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_1995
1997,13,Bolton,0.0,0.0,Liverpool,1.0,1.0,0,Dermot Gallagher,0,0,0,0,2262,draw,draw,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_1997
1997,29,Liverpool,0.0,0.0,Bolton,2.0,1.0,0,Keith Burge,0,0,0,0,2423,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_1997
2001,3,Bolton,0.0,0.0,Liverpool,2.0,1.0,0,Graham Poll,0,0,0,0,3691,Bolton,Liverpool,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2001
2001,21,Liverpool,0.0,0.0,Bolton,1.0,1.0,0,Clive Wilkes,0,0,0,0,3867,draw,draw,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2001
2002,6,Bolton,0.0,0.0,Liverpool,2.0,3.0,0,Rob Styles,0,0,0,0,4098,Liverpool,Bolton,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2002
2002,29,Liverpool,0.0,0.0,Bolton,2.0,0.0,0,Graham Barber,0,0,0,0,4335,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2002
2003,18,Liverpool,0.0,0.0,Bolton,3.0,1.0,0,Jeff Winter,0,0,0,0,4602,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2003
2003,24,Bolton,0.0,0.0,Liverpool,2.0,2.0,0,Alan Wiley,0,0,0,0,4660,draw,draw,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2003
2004,4,Bolton,0.0,0.0,Liverpool,1.0,0.0,0,Uriah Rennie,0,0,0,0,4842,Bolton,Liverpool,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2004
2004,31,Liverpool,0.0,0.0,Bolton,1.0,0.0,0,Stephen Bennett,0,0,0,0,5107,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2004
2005,21,Bolton,0.0,0.0,Liverpool,2.0,2.0,0,Mark Clattenburg,0,0,0,0,5381,draw,draw,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2005
2005,33,Liverpool,0.0,0.0,Bolton,1.0,0.0,0,Rob Styles,0,0,0,0,5511,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2005
2006,7,Bolton,0.0,0.0,Liverpool,2.0,0.0,0,Phil Dowd,0,0,0,0,5626,Bolton,Liverpool,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2006
2006,22,Liverpool,0.0,0.0,Bolton,3.0,0.0,0,Graham Poll,0,0,0,0,5780,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2006
2007,15,Liverpool,0.0,0.0,Bolton,4.0,0.0,0,Stephen Bennett,0,0,0,0,6091,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2007
2007,28,Bolton,0.0,0.0,Liverpool,1.0,3.0,0,Phil Dowd,0,0,0,0,6222,Liverpool,Bolton,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2007
2008,13,Bolton,0.0,0.0,Liverpool,0.0,2.0,0,Rob Styles,0,0,0,0,6452,Liverpool,Bolton,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2008
2008,19,Liverpool,0.0,0.0,Bolton,3.0,0.0,0,Alan Wiley,0,0,0,0,6504,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2008
2009,4,Bolton,0.0,0.0,Liverpool,2.0,3.0,0,Alan Wiley,0,0,0,0,6734,Liverpool,Bolton,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2009
2009,24,Liverpool,0.0,0.0,Bolton,2.0,0.0,0,Stephen Bennett,0,0,0,0,6931,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2009
2010,10,Bolton,0.0,0.0,Liverpool,0.0,1.0,0,Martin Atkinson,0,0,0,0,7184,Liverpool,Bolton,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2010
2010,21,Liverpool,0.0,0.0,Bolton,2.0,1.0,0,Kevin Friend,0,0,0,0,7282,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2010
2011,3,Liverpool,0.0,0.0,Bolton,3.0,1.0,0,Lee Probert,0,0,0,0,7487,Liverpool,Bolton,Liverpool,Bolton,Bolton_Liverpool,Bolton_Liverpool_2011
2011,22,Bolton,0.0,0.0,Liverpool,3.0,1.0,0,Kevin Friend,0,0,0,0,7676,Bolton,Liverpool,Bolton,Liverpool,Bolton_Liverpool,Bolton_Liverpool_2011
