season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2001,4,Charlton Ath,0.0,0.0,Fulham,1.0,1.0,0,Jeff Winter,0,0,0,0,3701,draw,draw,Charlton Ath,Fulham,Charlton_Ath_Fulham,Charlton Ath_Fulham_2001
2001,19,Fulham,0.0,0.0,Charlton Ath,0.0,0.0,0,Stephen Bennett,0,0,0,0,3847,draw,draw,Fulham,Charlton Ath,Charlton_Ath_Fulham,Charlton Ath_Fulham_2001
2002,9,Fulham,0.0,0.0,Charlton Ath,1.0,0.0,0,Jeff Winter,0,0,0,0,4128,Fulham,Charlton Ath,Fulham,Charlton Ath,Charlton_Ath_Fulham,Charlton Ath_Fulham_2002
2002,38,Charlton Ath,0.0,0.0,Fulham,0.0,1.0,0,Dermot Gallagher,0,0,0,0,4417,Fulham,Charlton Ath,Charlton Ath,Fulham,Charlton_Ath_Fulham,Charlton Ath_Fulham_2002
2003,12,Charlton Ath,0.0,0.0,Fulham,3.0,1.0,0,Andy D'Urso,0,0,0,0,4537,Charlton Ath,Fulham,Charlton Ath,Fulham,Charlton_Ath_Fulham,Charlton Ath_Fulham_2003
2003,35,Fulham,0.0,0.0,Charlton Ath,2.0,0.0,0,Matt Messias,0,0,0,0,4766,Fulham,Charlton Ath,Fulham,Charlton Ath,Charlton_Ath_Fulham,Charlton Ath_Fulham_2003
2004,18,Charlton Ath,0.0,0.0,Fulham,2.0,1.0,0,Stephen Bennett,0,0,0,0,4985,Charlton Ath,Fulham,Charlton Ath,Fulham,Charlton_Ath_Fulham,Charlton Ath_Fulham_2004
2004,29,Fulham,0.0,0.0,Charlton Ath,0.0,0.0,0,Stephen Bennett,0,0,0,0,5084,draw,draw,Fulham,Charlton Ath,Charlton_Ath_Fulham,Charlton Ath_Fulham_2004
2005,9,Charlton Ath,0.0,0.0,Fulham,1.0,1.0,0,Mike Riley,0,0,0,0,5271,draw,draw,Charlton Ath,Fulham,Charlton_Ath_Fulham,Charlton Ath_Fulham_2005
2005,34,Fulham,0.0,0.0,Charlton Ath,2.0,1.0,0,Martin Atkinson,0,0,0,0,5519,Fulham,Charlton Ath,Fulham,Charlton Ath,Charlton_Ath_Fulham,Charlton Ath_Fulham_2005
2006,8,Fulham,0.0,0.0,Charlton Ath,2.0,1.0,0,Rob Styles,0,0,0,0,5644,Fulham,Charlton Ath,Fulham,Charlton Ath,Charlton_Ath_Fulham,Charlton Ath_Fulham_2006
2006,20,Charlton Ath,0.0,0.0,Fulham,2.0,2.0,0,Graham Poll,0,0,0,0,5764,draw,draw,Charlton Ath,Fulham,Charlton_Ath_Fulham,Charlton Ath_Fulham_2006
