season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1998,2,Charlton Ath,0.0,0.0,Southampton,5.0,0.0,0,Rob Harris,0,0,0,0,2537,Charlton Ath,Southampton,Charlton Ath,Southampton,Charlton_Ath_Southampton,Charlton Ath_Southampton_1998
1998,21,Southampton,0.0,0.0,Charlton Ath,3.0,1.0,0,Graham Poll,0,0,0,0,2730,Southampton,Charlton Ath,Southampton,Charlton Ath,Charlton_Ath_Southampton,Charlton Ath_Southampton_1998
2000,4,Charlton Ath,0.0,0.0,Southampton,1.0,1.0,0,Mark Halsey,0,0,0,0,3319,draw,draw,Charlton Ath,Southampton,Charlton_Ath_Southampton,Charlton Ath_Southampton_2000
2000,23,Southampton,0.0,0.0,Charlton Ath,0.0,0.0,0,Stephen Lodge,0,0,0,0,3504,draw,draw,Southampton,Charlton Ath,Charlton_Ath_Southampton,Charlton Ath_Southampton_2000
2001,14,Southampton,0.0,0.0,Charlton Ath,1.0,0.0,0,Dermot Gallagher,0,0,0,0,3793,Southampton,Charlton Ath,Southampton,Charlton Ath,Charlton_Ath_Southampton,Charlton Ath_Southampton_2001
2001,35,Charlton Ath,0.0,0.0,Southampton,1.0,1.0,0,Phil Dowd,0,0,0,0,4006,draw,draw,Charlton Ath,Southampton,Charlton_Ath_Southampton,Charlton Ath_Southampton_2001
2002,7,Southampton,0.0,0.0,Charlton Ath,0.0,0.0,0,Phil Dowd,0,0,0,0,4107,draw,draw,Southampton,Charlton Ath,Charlton_Ath_Southampton,Charlton Ath_Southampton_2002
2002,36,Charlton Ath,0.0,0.0,Southampton,2.0,1.0,0,Alan Wiley,0,0,0,0,4399,Charlton Ath,Southampton,Charlton Ath,Southampton,Charlton_Ath_Southampton,Charlton Ath_Southampton_2002
2003,15,Southampton,0.0,0.0,Charlton Ath,3.0,2.0,0,Peter Walton,0,0,0,0,4575,Southampton,Charlton Ath,Southampton,Charlton Ath,Charlton_Ath_Southampton,Charlton Ath_Southampton_2003
2003,38,Charlton Ath,0.0,0.0,Southampton,2.0,1.0,0,Jeff Winter,0,0,0,0,4800,Charlton Ath,Southampton,Charlton Ath,Southampton,Charlton_Ath_Southampton,Charlton Ath_Southampton_2003
2004,5,Charlton Ath,0.0,0.0,Southampton,0.0,0.0,0,Neale Barry,0,0,0,0,4854,draw,draw,Charlton Ath,Southampton,Charlton_Ath_Southampton,Charlton Ath_Southampton_2004
2004,19,Southampton,0.0,0.0,Charlton Ath,0.0,0.0,0,Steve Dunn,0,0,0,0,4990,draw,draw,Southampton,Charlton Ath,Charlton_Ath_Southampton,Charlton Ath_Southampton_2004
