season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,2,Tottenham,0.7,0.7,Chelsea,1.0,2.0,2017-08-20,Anthony Taylor,Wembley Stadium,Sun,16:00,"73,587",19,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_2017
2017,32,Chelsea,1.0,1.4,Tottenham,1.0,3.0,2018-04-01,Andre Marriner,Stamford Bridge,Sun,16:00,"41,364",345,Tottenham,Chelsea,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_2017
2018,13,Tottenham,3.1,1.0,Chelsea,3.0,1.0,2018-11-24,Martin Atkinson,Tottenham Hotspur Stadium,Sat,17:30,"55,465",138,Tottenham,Chelsea,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_2018
2018,28,Chelsea,0.6,0.6,Tottenham,2.0,0.0,2019-02-27,Andre Marriner,Stamford Bridge,Wed,20:00,"40,542",304,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_2018
2019,18,Tottenham,0.3,1.3,Chelsea,0.0,2.0,2019-12-22,Anthony Taylor,Tottenham Hotspur Stadium,Sun,16:30,"61,104",195,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_2019
2019,27,Chelsea,1.7,0.2,Tottenham,2.0,1.0,2020-02-22,Michael Oliver,Stamford Bridge,Sat,12:30,"40,608",287,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_2019
2020,10,Chelsea,0.8,0.2,Tottenham,0.0,0.0,2020-11-29,Paul Tierney,Stamford Bridge,Sun,16:30,0,103,draw,draw,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_2020
2020,22,Tottenham,0.6,1.6,Chelsea,0.0,1.0,2021-02-04,Andre Marriner,Tottenham Hotspur Stadium,Thu,20:00,0,243,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_2020
2021,5,Tottenham,0.5,2.1,Chelsea,0.0,3.0,2021-09-19,Paul Tierney,Tottenham Hotspur Stadium,Sun,16:30,"60,059",53,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_2021
2021,23,Chelsea,1.2,0.5,Tottenham,2.0,0.0,2022-01-23,Paul Tierney,Stamford Bridge,Sun,16:30,"40,020",238,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_2021
2022,2,Chelsea,1.6,1.0,Tottenham,2.0,2.0,2022-08-14,Anthony Taylor,Stamford Bridge,Sun,16:30,"39,946",19,draw,draw,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_2022
2022,25,Tottenham,0.8,0.4,Chelsea,2.0,0.0,2023-02-26,Stuart Attwell,Tottenham Hotspur Stadium,Sun,13:30,"61,613",265,Tottenham,Chelsea,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_2022
1992,18,Tottenham,0.0,0.0,Chelsea,1.0,2.0,0,Roger Dilkes,0,0,0,0,195,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1992
1992,35,Chelsea,0.0,0.0,Tottenham,1.0,1.0,0,Roger Dilkes,0,0,0,0,360,draw,draw,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1992
1993,6,Tottenham,0.0,0.0,Chelsea,1.0,1.0,0,Vic Callow,0,0,0,0,522,draw,draw,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1993
1993,31,Chelsea,0.0,0.0,Tottenham,4.0,3.0,0,T Lloyd,0,0,0,0,782,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1993
1994,13,Tottenham,0.0,0.0,Chelsea,0.0,0.0,0,Gary Willard,0,0,0,0,1088,draw,draw,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1994
1994,28,Chelsea,0.0,0.0,Tottenham,1.0,1.0,0,Paul Durkin,0,0,0,0,1217,draw,draw,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1994
1995,15,Chelsea,0.0,0.0,Tottenham,0.0,0.0,0,Stephen Lodge,0,0,0,0,1527,draw,draw,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1995
1995,37,Tottenham,0.0,0.0,Chelsea,1.0,1.0,0,Alan Wilkie,0,0,0,0,1749,draw,draw,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1995
1996,11,Chelsea,0.0,0.0,Tottenham,3.0,1.0,0,Roger Dilkes,0,0,0,0,1866,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1996
1996,25,Tottenham,0.0,0.0,Chelsea,1.0,2.0,0,Paul Alcock,0,0,0,0,2004,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1996
1997,17,Tottenham,0.0,0.0,Chelsea,1.0,6.0,0,Dermot Gallagher,0,0,0,0,2308,Chelsea,Tottenham,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1997
1997,33,Chelsea,0.0,0.0,Tottenham,2.0,0.0,0,Paul Durkin,0,0,0,0,2464,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1997
1998,18,Chelsea,0.0,0.0,Tottenham,2.0,0.0,0,Graham Poll,0,0,0,0,2703,Chelsea,Tottenham,Chelsea,Tottenham,Chelsea_Tottenham,Chelsea_Tottenham_1998
1998,37,Tottenham,0.0,0.0,Chelsea,2.0,2.0,0,David Elleray,0,0,0,0,2893,draw,draw,Tottenham,Chelsea,Chelsea_Tottenham,Chelsea_Tottenham_1998
