season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1996,12,Derby County,0.0,0.0,Leicester City,2.0,0.0,0,Graham Barber,0,0,0,0,1881,Derby County,Leicester City,Derby County,Leicester City,Derby_County_Leicester_City,Derby County_Leicester City_1996
1996,27,Leicester City,0.0,0.0,Derby County,4.0,2.0,0,Paul Durkin,0,0,0,0,2022,Leicester City,Derby County,Leicester City,Derby County,Derby_County_Leicester_City,Derby County_Leicester City_1996
1997,10,Leicester City,0.0,0.0,Derby County,1.0,2.0,0,Gerald Ashby,0,0,0,0,2240,Derby County,Leicester City,Leicester City,Derby County,Derby_County_Leicester_City,Derby County_Leicester City_1997
1997,36,Derby County,0.0,0.0,Leicester City,0.0,4.0,0,Gary Willard,0,0,0,0,2498,Leicester City,Derby County,Derby County,Leicester City,Derby_County_Leicester_City,Derby County_Leicester City_1997
1998,6,Derby County,0.0,0.0,Leicester City,2.0,0.0,0,Graham Poll,0,0,0,0,2579,Derby County,Leicester City,Derby County,Leicester City,Derby_County_Leicester_City,Derby County_Leicester City_1998
1998,25,Leicester City,0.0,0.0,Derby County,1.0,2.0,0,Neale Barry,0,0,0,0,2881,Derby County,Leicester City,Leicester City,Derby County,Derby_County_Leicester_City,Derby County_Leicester City_1998
1999,18,Leicester City,0.0,0.0,Derby County,0.0,1.0,0,David Elleray,0,0,0,0,3074,Derby County,Leicester City,Leicester City,Derby County,Derby_County_Leicester_City,Derby County_Leicester City_1999
1999,31,Derby County,0.0,0.0,Leicester City,3.0,0.0,0,Graham Poll,0,0,0,0,3214,Derby County,Leicester City,Derby County,Leicester City,Derby_County_Leicester_City,Derby County_Leicester City_1999
2000,11,Leicester City,0.0,0.0,Derby County,2.0,1.0,0,Graham Poll,0,0,0,0,3390,Leicester City,Derby County,Leicester City,Derby County,Derby_County_Leicester_City,Derby County_Leicester City_2000
2000,34,Derby County,0.0,0.0,Leicester City,2.0,0.0,0,Mark Halsey,0,0,0,0,3615,Derby County,Leicester City,Derby County,Leicester City,Derby_County_Leicester_City,Derby County_Leicester City_2000
2001,5,Derby County,0.0,0.0,Leicester City,2.0,3.0,0,Graham Barber,0,0,0,0,3705,Leicester City,Derby County,Derby County,Leicester City,Derby_County_Leicester_City,Derby County_Leicester City_2001
2001,27,Leicester City,0.0,0.0,Derby County,0.0,3.0,0,Mike Riley,0,0,0,0,3931,Derby County,Leicester City,Leicester City,Derby County,Derby_County_Leicester_City,Derby County_Leicester City_2001
