season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1996,13,Derby County,0.0,0.0,Middlesbrough,2.0,1.0,0,Paul Durkin,0,0,0,0,1893,Derby County,Middlesbrough,Derby County,Middlesbrough,Derby_County_Middlesbrough,Derby County_Middlesbrough_1996
1996,29,Middlesbrough,0.0,0.0,Derby County,6.0,1.0,0,Mike Reed,0,0,0,0,2041,Middlesbrough,Derby County,Middlesbrough,Derby County,Derby_County_Middlesbrough,Derby County_Middlesbrough_1996
1998,3,Middlesbrough,0.0,0.0,Derby County,1.0,1.0,0,Mike Riley,0,0,0,0,2553,draw,draw,Middlesbrough,Derby County,Derby_County_Middlesbrough,Derby County_Middlesbrough_1998
1998,20,Derby County,0.0,0.0,Middlesbrough,2.0,1.0,0,Rob Harris,0,0,0,0,2716,Derby County,Middlesbrough,Derby County,Middlesbrough,Derby_County_Middlesbrough,Derby County_Middlesbrough_1998
1999,3,Derby County,0.0,0.0,Middlesbrough,1.0,3.0,0,Stephen Bennett,0,0,0,0,2929,Middlesbrough,Derby County,Derby County,Middlesbrough,Derby_County_Middlesbrough,Derby County_Middlesbrough_1999
1999,22,Middlesbrough,0.0,0.0,Derby County,1.0,4.0,0,Mark Halsey,0,0,0,0,3112,Derby County,Middlesbrough,Middlesbrough,Derby County,Derby_County_Middlesbrough,Derby County_Middlesbrough_1999
2000,4,Derby County,0.0,0.0,Middlesbrough,3.0,3.0,0,Rob Styles,0,0,0,0,3324,draw,draw,Derby County,Middlesbrough,Derby_County_Middlesbrough,Derby County_Middlesbrough_2000
2000,23,Middlesbrough,0.0,0.0,Derby County,4.0,0.0,0,Rob Styles,0,0,0,0,3507,Middlesbrough,Derby County,Middlesbrough,Derby County,Derby_County_Middlesbrough,Derby County_Middlesbrough_2000
2001,12,Middlesbrough,0.0,0.0,Derby County,5.0,1.0,0,Neale Barry,0,0,0,0,3773,Middlesbrough,Derby County,Middlesbrough,Derby County,Derby_County_Middlesbrough,Derby County_Middlesbrough_2001
2001,33,Derby County,0.0,0.0,Middlesbrough,0.0,1.0,0,Paul Durkin,0,0,0,0,3985,Middlesbrough,Derby County,Derby County,Middlesbrough,Derby_County_Middlesbrough,Derby County_Middlesbrough_2001
2007,17,Derby County,0.0,0.0,Middlesbrough,0.0,1.0,0,Rob Styles,0,0,0,0,6112,Middlesbrough,Derby County,Derby County,Middlesbrough,Derby_County_Middlesbrough,Derby County_Middlesbrough_2007
2007,31,Middlesbrough,0.0,0.0,Derby County,1.0,0.0,0,Martin Atkinson,0,0,0,0,6252,Middlesbrough,Derby County,Middlesbrough,Derby County,Derby_County_Middlesbrough,Derby County_Middlesbrough_2007
