season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1992,1,Everton,0.0,0.0,Sheffield Weds,1.0,1.0,0,Kelvin Morton,0,0,0,0,8,draw,draw,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1992
1992,27,Sheffield Weds,0.0,0.0,Everton,3.0,1.0,0,Kelvin Morton,0,0,0,0,286,Sheffield Weds,Everton,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1992
1993,22,Everton,0.0,0.0,Sheffield Weds,0.0,2.0,0,Roger Dilkes,0,0,0,0,693,Sheffield Weds,Everton,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1993
1993,36,Sheffield Weds,0.0,0.0,Everton,5.0,1.0,0,Gerald Ashby,0,0,0,0,839,Sheffield Weds,Everton,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1993
1994,20,Everton,0.0,0.0,Sheffield Weds,1.0,4.0,0,Terence Holbrook,0,0,0,0,1143,Sheffield Weds,Everton,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1994
1994,39,Sheffield Weds,0.0,0.0,Everton,0.0,0.0,0,Mike Reed,0,0,0,0,1333,draw,draw,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1994
1995,15,Everton,0.0,0.0,Sheffield Weds,2.0,2.0,0,Martin Bodenham,0,0,0,0,1530,draw,draw,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1995
1995,37,Sheffield Weds,0.0,0.0,Everton,2.0,5.0,0,Mike Reed,0,0,0,0,1748,Everton,Sheffield Weds,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1995
1996,8,Everton,0.0,0.0,Sheffield Weds,2.0,0.0,0,Paul Alcock,0,0,0,0,1836,Everton,Sheffield Weds,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1996
1996,22,Sheffield Weds,0.0,0.0,Everton,2.0,1.0,0,Alan Wilkie,0,0,0,0,1972,Sheffield Weds,Everton,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1996
1997,10,Sheffield Weds,0.0,0.0,Everton,3.0,1.0,0,Paul Durkin,0,0,0,0,2234,Sheffield Weds,Everton,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1997
1997,36,Everton,0.0,0.0,Sheffield Weds,1.0,3.0,0,Graham Barber,0,0,0,0,2491,Sheffield Weds,Everton,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1997
1998,10,Sheffield Weds,0.0,0.0,Everton,0.0,0.0,0,Jeff Winter,0,0,0,0,2616,draw,draw,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1998
1998,32,Everton,0.0,0.0,Sheffield Weds,1.0,2.0,0,Mike Reed,0,0,0,0,2832,Sheffield Weds,Everton,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1998
1999,7,Sheffield Weds,0.0,0.0,Everton,0.0,2.0,0,Mark Halsey,0,0,0,0,2963,Everton,Sheffield Weds,Sheffield Weds,Everton,Everton_Sheffield_Weds,Everton_Sheffield Weds_1999
1999,27,Everton,0.0,0.0,Sheffield Weds,1.0,1.0,0,Graham Barber,0,0,0,0,3166,draw,draw,Everton,Sheffield Weds,Everton_Sheffield_Weds,Everton_Sheffield Weds_1999
