season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2001,2,Fulham,0.0,0.0,Sunderland,2.0,0.0,0,Mike Dean,0,0,0,0,3680,Fulham,Sunderland,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2001
2001,23,Sunderland,0.0,0.0,Fulham,1.0,1.0,0,Peter Jones,0,0,0,0,3884,draw,draw,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2001
2002,6,Sunderland,0.0,0.0,Fulham,0.0,3.0,0,Chris Foy,0,0,0,0,4094,Fulham,Sunderland,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2002
2002,29,Fulham,0.0,0.0,Sunderland,1.0,0.0,0,Eddie Wolstenholme,0,0,0,0,4326,Fulham,Sunderland,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2002
2005,21,Fulham,0.0,0.0,Sunderland,2.0,1.0,0,Dermot Gallagher,0,0,0,0,5385,Fulham,Sunderland,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2005
2005,33,Sunderland,0.0,0.0,Fulham,2.0,1.0,0,Mike Riley,0,0,0,0,5554,Sunderland,Fulham,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2005
2007,11,Sunderland,0.0,0.0,Fulham,1.0,1.0,0,Andre Marriner,0,0,0,0,6046,draw,draw,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2007
2007,33,Fulham,0.0,0.0,Sunderland,1.0,3.0,0,Mark Halsey,0,0,0,0,6268,Sunderland,Fulham,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2007
2008,8,Fulham,0.0,0.0,Sunderland,0.0,0.0,0,Keith Stroud,0,0,0,0,6396,draw,draw,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2008
2008,23,Sunderland,0.0,0.0,Fulham,1.0,0.0,0,Mark Halsey,0,0,0,0,6543,Sunderland,Fulham,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2008
2009,15,Fulham,0.0,0.0,Sunderland,1.0,0.0,0,Mike Dean,0,0,0,0,6853,Fulham,Sunderland,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2009
2009,28,Sunderland,0.0,0.0,Fulham,0.0,0.0,0,Martin Atkinson,0,0,0,0,6978,draw,draw,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2009
2010,17,Fulham,0.0,0.0,Sunderland,0.0,0.0,0,Neil Swarbrick,0,0,0,0,7250,draw,draw,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2010
2010,35,Sunderland,0.0,0.0,Fulham,0.0,3.0,0,Martin Atkinson,0,0,0,0,7426,Fulham,Sunderland,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2010
2011,12,Sunderland,0.0,0.0,Fulham,0.0,0.0,0,Anthony Taylor,0,0,0,0,7579,draw,draw,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2011
2011,37,Fulham,0.0,0.0,Sunderland,2.0,1.0,0,Martin Atkinson,0,0,0,0,7829,Fulham,Sunderland,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2011
2012,12,Fulham,0.0,0.0,Sunderland,1.0,3.0,0,Lee Probert,0,0,0,0,7963,Sunderland,Fulham,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2012
2012,28,Sunderland,0.0,0.0,Fulham,2.0,2.0,0,Mark Halsey,0,0,0,0,8120,draw,draw,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2012
2013,1,Sunderland,0.0,0.0,Fulham,0.0,1.0,0,Neil Swarbrick,0,0,0,0,8231,Fulham,Sunderland,Sunderland,Fulham,Fulham_Sunderland,Fulham_Sunderland_2013
2013,21,Fulham,0.0,0.0,Sunderland,1.0,4.0,0,Mike Dean,0,0,0,0,8431,Sunderland,Fulham,Fulham,Sunderland,Fulham_Sunderland,Fulham_Sunderland_2013
