season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1992,3,Middlesbrough,0.0,0.0,Leeds United,4.0,1.0,0,David Allison,0,0,0,0,27,Middlesbrough,Leeds United,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1992
1992,26,Leeds United,0.0,0.0,Middlesbrough,3.0,0.0,0,John Martin,0,0,0,0,271,Leeds United,Middlesbrough,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1992
1995,12,Middlesbrough,0.0,0.0,Leeds United,1.0,1.0,0,Keith Burge,0,0,0,0,1499,draw,draw,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1995
1995,33,Leeds United,0.0,0.0,Middlesbrough,0.0,1.0,0,David Elleray,0,0,0,0,1704,Middlesbrough,Leeds United,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1995
1996,16,Middlesbrough,0.0,0.0,Leeds United,0.0,0.0,0,David Elleray,0,0,0,0,1921,draw,draw,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1996
1996,38,Leeds United,0.0,0.0,Middlesbrough,1.0,1.0,0,Alan Wilkie,0,0,0,0,2136,draw,draw,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1996
1998,1,Middlesbrough,0.0,0.0,Leeds United,0.0,0.0,0,David Elleray,0,0,0,0,2531,draw,draw,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1998
1998,22,Leeds United,0.0,0.0,Middlesbrough,2.0,0.0,0,Stephen Lodge,0,0,0,0,2741,Leeds United,Middlesbrough,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1998
1999,8,Leeds United,0.0,0.0,Middlesbrough,2.0,0.0,0,Dermot Gallagher,0,0,0,0,2980,Leeds United,Middlesbrough,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1999
1999,26,Middlesbrough,0.0,0.0,Leeds United,0.0,0.0,0,Uriah Rennie,0,0,0,0,3160,draw,draw,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_1999
2000,3,Middlesbrough,0.0,0.0,Leeds United,1.0,2.0,0,Graham Barber,0,0,0,0,3310,Leeds United,Middlesbrough,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2000
2000,22,Leeds United,0.0,0.0,Middlesbrough,1.0,1.0,0,David Elleray,0,0,0,0,3498,draw,draw,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2000
2001,26,Middlesbrough,0.0,0.0,Leeds United,2.0,2.0,0,Neale Barry,0,0,0,0,3919,draw,draw,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2001
2001,38,Leeds United,0.0,0.0,Middlesbrough,1.0,0.0,0,Uriah Rennie,0,0,0,0,4041,Leeds United,Middlesbrough,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2001
2002,11,Middlesbrough,0.0,0.0,Leeds United,2.0,2.0,0,Rob Styles,0,0,0,0,4147,draw,draw,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2002
2002,30,Leeds United,0.0,0.0,Middlesbrough,2.0,3.0,0,David Elleray,0,0,0,0,4340,Middlesbrough,Leeds United,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2002
2003,4,Middlesbrough,0.0,0.0,Leeds United,2.0,3.0,0,Neale Barry,0,0,0,0,4461,Leeds United,Middlesbrough,Middlesbrough,Leeds United,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2003
2003,23,Leeds United,0.0,0.0,Middlesbrough,0.0,3.0,0,Graham Poll,0,0,0,0,4650,Middlesbrough,Leeds United,Leeds United,Middlesbrough,Leeds_United_Middlesbrough,Leeds United_Middlesbrough_2003
