season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1996,1,Sunderland,0.0,0.0,Leicester City,0.0,0.0,0,Stephen Lodge,0,0,0,0,1773,draw,draw,Sunderland,Leicester City,Leicester_City_Sunderland,Leicester City_Sunderland_1996
1996,24,Leicester City,0.0,0.0,Sunderland,1.0,1.0,0,Gerald Ashby,0,0,0,0,1995,draw,draw,Leicester City,Sunderland,Leicester_City_Sunderland,Leicester City_Sunderland_1996
1999,7,Sunderland,0.0,0.0,Leicester City,2.0,0.0,0,Andy D'Urso,0,0,0,0,2967,Sunderland,Leicester City,Sunderland,Leicester City,Leicester_City_Sunderland,Leicester City_Sunderland_1999
1999,27,Leicester City,0.0,0.0,Sunderland,5.0,2.0,0,Neale Barry,0,0,0,0,3172,Leicester City,Sunderland,Leicester City,Sunderland,Leicester_City_Sunderland,Leicester City_Sunderland_1999
2000,8,Sunderland,0.0,0.0,Leicester City,0.0,0.0,0,Stephen Lodge,0,0,0,0,3364,draw,draw,Sunderland,Leicester City,Leicester_City_Sunderland,Leicester City_Sunderland_2000
2000,28,Leicester City,0.0,0.0,Sunderland,2.0,0.0,0,Andy D'Urso,0,0,0,0,3551,Leicester City,Sunderland,Leicester City,Sunderland,Leicester_City_Sunderland,Leicester City_Sunderland_2000
2001,12,Leicester City,0.0,0.0,Sunderland,1.0,0.0,0,Steve Dunn,0,0,0,0,3770,Leicester City,Sunderland,Leicester City,Sunderland,Leicester_City_Sunderland,Leicester City_Sunderland_2001
2001,33,Sunderland,0.0,0.0,Leicester City,2.0,1.0,0,Neale Barry,0,0,0,0,3992,Sunderland,Leicester City,Sunderland,Leicester City,Leicester_City_Sunderland,Leicester City_Sunderland_2001
2014,12,Leicester City,0.0,0.0,Sunderland,0.0,0.0,0,Robert Madley,0,0,0,0,8716,draw,draw,Leicester City,Sunderland,Leicester_City_Sunderland,Leicester City_Sunderland_2014
2014,37,Sunderland,0.0,0.0,Leicester City,0.0,0.0,0,Martin Atkinson,0,0,0,0,8968,draw,draw,Sunderland,Leicester City,Leicester_City_Sunderland,Leicester City_Sunderland_2014
2015,1,Leicester City,0.0,0.0,Sunderland,4.0,2.0,0,Lee Mason,0,0,0,0,8988,Leicester City,Sunderland,Leicester City,Sunderland,Leicester_City_Sunderland,Leicester City_Sunderland_2015
2015,33,Sunderland,0.0,0.0,Leicester City,0.0,2.0,0,Anthony Taylor,0,0,0,0,9306,Leicester City,Sunderland,Sunderland,Leicester City,Leicester_City_Sunderland,Leicester City_Sunderland_2015
