season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2018,18,Wolves,0.9,1.9,Liverpool,0.0,2.0,2018-12-21,Craig Pawson,Molineux Stadium,Fri,20:00,"31,358",187,Liverpool,Wolves,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2018
2018,38,Liverpool,1.6,1.3,Wolves,2.0,0.0,2019-05-12,Martin Atkinson,Anfield,Sun,15:00,"53,331",421,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2018
2019,20,Liverpool,1.2,0.5,Wolves,1.0,0.0,2019-12-29,Anthony Taylor,Anfield,Sun,16:30,"53,326",216,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2019
2019,24,Wolves,1.8,1.1,Liverpool,1.0,2.0,2020-01-23,Michael Oliver,Molineux Stadium,Thu,20:00,"31,746",261,Liverpool,Wolves,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2019
2020,11,Liverpool,1.2,0.4,Wolves,4.0,0.0,2020-12-06,Craig Pawson,Anfield,Sun,19:15,"2,000",115,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2020
2020,28,Wolves,1.1,0.9,Liverpool,0.0,1.0,2021-03-15,Craig Pawson,Molineux Stadium,Mon,20:00,0,327,Liverpool,Wolves,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2020
2021,15,Wolves,0.1,2.7,Liverpool,0.0,1.0,2021-12-04,Chris Kavanagh,Molineux Stadium,Sat,15:00,"30,729",156,Liverpool,Wolves,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2021
2021,38,Liverpool,2.7,1.3,Wolves,3.0,1.0,2022-05-22,Anthony Taylor,Anfield,Sun,16:00,"53,097",445,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2021
2022,22,Wolves,2.0,1.8,Liverpool,3.0,0.0,2023-02-04,Paul Tierney,Molineux Stadium,Sat,15:00,"31,664",224,Wolves,Liverpool,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2022
2022,7,Liverpool,2.6,0.8,Wolves,2.0,0.0,2023-03-01,Paul Tierney,Anfield,Wed,20:00,"53,259",268,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2022
2003,17,Wolves,0.0,0.0,Liverpool,1.0,1.0,0,Barry Knight,0,0,0,0,4644,draw,draw,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2003
2003,29,Liverpool,0.0,0.0,Wolves,1.0,0.0,0,Rob Styles,0,0,0,0,4713,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2003
2009,19,Liverpool,0.0,0.0,Wolves,2.0,0.0,0,Andre Marriner,0,0,0,0,6888,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2009
2009,23,Wolves,0.0,0.0,Liverpool,0.0,0.0,0,Peter Walton,0,0,0,0,6921,draw,draw,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2009
2010,20,Liverpool,0.0,0.0,Wolves,0.0,1.0,0,Peter Walton,0,0,0,0,7274,Wolves,Liverpool,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2010
2010,24,Wolves,0.0,0.0,Liverpool,0.0,3.0,0,Martin Atkinson,0,0,0,0,7308,Liverpool,Wolves,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2010
2011,6,Liverpool,0.0,0.0,Wolves,2.0,1.0,0,Kevin Friend,0,0,0,0,7516,Liverpool,Wolves,Liverpool,Wolves,Liverpool_Wolves,Liverpool_Wolves_2011
2011,23,Wolves,0.0,0.0,Liverpool,0.0,3.0,0,Anthony Taylor,0,0,0,0,7688,Liverpool,Wolves,Wolves,Liverpool,Liverpool_Wolves,Liverpool_Wolves_2011
