season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,8,Manchester City,3.8,0.5,Stoke City,7.0,2.0,2017-10-14,Craig Pawson,Etihad Stadium,Sat,15:00,"54,128",82,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2017
2017,30,Stoke City,0.4,1.6,Manchester City,0.0,2.0,2018-03-12,Jonathan Moss,Bill Stokeld Stadium,Mon,20:00,"29,138",329,Manchester City,Stoke City,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2017
2008,9,Manchester City,0.0,0.0,Stoke City,3.0,0.0,0,Steve Tanner,0,0,0,0,6413,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2008
2008,24,Stoke City,0.0,0.0,Manchester City,1.0,0.0,0,Martin Atkinson,0,0,0,0,6558,Stoke City,Manchester City,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2008
2009,19,Manchester City,0.0,0.0,Stoke City,2.0,0.0,0,Lee Mason,0,0,0,0,6887,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2009
2009,23,Stoke City,0.0,0.0,Manchester City,1.0,1.0,0,Alan Wiley,0,0,0,0,6958,draw,draw,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2009
2010,15,Stoke City,0.0,0.0,Manchester City,1.0,1.0,0,Peter Walton,0,0,0,0,7228,draw,draw,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2010
2010,37,Manchester City,0.0,0.0,Stoke City,3.0,0.0,0,Lee Probert,0,0,0,0,7455,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2010
2011,17,Manchester City,0.0,0.0,Stoke City,3.0,0.0,0,Mike Dean,0,0,0,0,7631,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2011
2011,30,Stoke City,0.0,0.0,Manchester City,1.0,1.0,0,Howard Webb,0,0,0,0,7759,draw,draw,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2011
2012,4,Stoke City,0.0,0.0,Manchester City,1.0,1.0,0,Mark Clattenburg,0,0,0,0,7875,draw,draw,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2012
2012,21,Manchester City,0.0,0.0,Stoke City,3.0,0.0,0,Michael Oliver,0,0,0,0,8049,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2012
2013,4,Stoke City,0.0,0.0,Manchester City,0.0,0.0,0,Mark Clattenburg,0,0,0,0,8256,draw,draw,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2013
2013,27,Manchester City,0.0,0.0,Stoke City,1.0,0.0,0,Chris Foy,0,0,0,0,8488,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2013
2014,3,Manchester City,0.0,0.0,Stoke City,0.0,1.0,0,Lee Mason,0,0,0,0,8628,Stoke City,Manchester City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2014
2014,25,Stoke City,0.0,0.0,Manchester City,1.0,4.0,0,Lee Mason,0,0,0,0,8852,Manchester City,Stoke City,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2014
2015,15,Stoke City,0.0,0.0,Manchester City,2.0,0.0,0,Martin Atkinson,0,0,0,0,9126,Stoke City,Manchester City,Stoke City,Manchester City,Manchester_City_Stoke_City,Manchester City_Stoke City_2015
2015,35,Manchester City,0.0,0.0,Stoke City,4.0,0.0,0,Robert Madley,0,0,0,0,9325,Manchester City,Stoke City,Manchester City,Stoke City,Manchester_City_Stoke_City,Manchester City_Stoke City_2015
