season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1992,10,Manchester Utd,0.0,0.0,QPR,0.0,0.0,0,David Allison,0,0,0,0,102,draw,draw,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_1992
1992,24,QPR,0.0,0.0,Manchester Utd,1.0,3.0,0,John Martin,0,0,0,0,260,Manchester Utd,QPR,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_1992
1993,13,Manchester Utd,0.0,0.0,QPR,2.0,1.0,0,Stephen Lodge,0,0,0,0,600,Manchester Utd,QPR,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_1993
1993,29,QPR,0.0,0.0,Manchester Utd,2.0,3.0,0,Graham Poll,0,0,0,0,756,Manchester Utd,QPR,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_1993
1994,1,Manchester Utd,0.0,0.0,QPR,2.0,0.0,0,Dermot Gallagher,0,0,0,0,929,Manchester Utd,QPR,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_1994
1994,18,QPR,0.0,0.0,Manchester Utd,2.0,3.0,0,Graham Poll,0,0,0,0,1116,Manchester Utd,QPR,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_1994
1995,21,Manchester Utd,0.0,0.0,QPR,2.0,1.0,0,Robbie Hart,0,0,0,0,1588,Manchester Utd,QPR,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_1995
1995,31,QPR,0.0,0.0,Manchester Utd,1.0,1.0,0,Robbie Hart,0,0,0,0,1680,draw,draw,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_1995
2011,16,QPR,0.0,0.0,Manchester Utd,0.0,2.0,0,Howard Webb,0,0,0,0,7621,Manchester Utd,QPR,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_2011
2011,32,Manchester Utd,0.0,0.0,QPR,2.0,0.0,0,Lee Mason,0,0,0,0,7784,Manchester Utd,QPR,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_2011
2012,13,Manchester Utd,0.0,0.0,QPR,3.0,1.0,0,Lee Probert,0,0,0,0,7967,Manchester Utd,QPR,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_2012
2012,27,QPR,0.0,0.0,Manchester Utd,0.0,2.0,0,Anthony Taylor,0,0,0,0,8112,Manchester Utd,QPR,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_2012
2014,4,Manchester Utd,0.0,0.0,QPR,4.0,0.0,0,Philip Dowd,0,0,0,0,8644,Manchester Utd,QPR,Manchester Utd,QPR,Manchester_Utd_QPR,Manchester Utd_QPR_2014
2014,22,QPR,0.0,0.0,Manchester Utd,0.0,2.0,0,Niel Swarbrick,0,0,0,0,8816,Manchester Utd,QPR,QPR,Manchester Utd,Manchester_Utd_QPR,Manchester Utd_QPR_2014
