season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,4,Stoke City,1.2,2.1,Manchester Utd,2.0,2.0,2017-09-09,Niel Swarbrick,Bill Stokeld Stadium,Sat,17:30,"29,320",39,draw,draw,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2017
2017,23,Manchester Utd,1.5,1.3,Stoke City,3.0,0.0,2018-01-15,Anthony Taylor,Old Trafford,Mon,20:00,"74,726",252,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2017
2008,13,Manchester Utd,0.0,0.0,Stoke City,5.0,0.0,0,Peter Walton,0,0,0,0,6449,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2008
2008,19,Stoke City,0.0,0.0,Manchester Utd,0.0,1.0,0,Chris Foy,0,0,0,0,6507,Manchester Utd,Stoke City,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2008
2009,7,Stoke City,0.0,0.0,Manchester Utd,0.0,2.0,0,Howard Webb,0,0,0,0,6765,Manchester Utd,Stoke City,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2009
2009,38,Manchester Utd,0.0,0.0,Stoke City,4.0,0.0,0,Mark Clattenburg,0,0,0,0,7080,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2009
2010,9,Stoke City,0.0,0.0,Manchester Utd,1.0,2.0,0,Andre Marriner,0,0,0,0,7175,Manchester Utd,Stoke City,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2010
2010,22,Manchester Utd,0.0,0.0,Stoke City,2.0,1.0,0,Mark Clattenburg,0,0,0,0,7286,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2010
2011,6,Stoke City,0.0,0.0,Manchester Utd,1.0,1.0,0,Peter Walton,0,0,0,0,7515,draw,draw,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2011
2011,23,Manchester Utd,0.0,0.0,Stoke City,2.0,0.0,0,Mike Jones,0,0,0,0,7686,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2011
2012,8,Manchester Utd,0.0,0.0,Stoke City,4.0,2.0,0,Anthony Taylor,0,0,0,0,7919,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2012
2012,33,Stoke City,0.0,0.0,Manchester Utd,0.0,2.0,0,Jon Moss,0,0,0,0,8168,Manchester Utd,Stoke City,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2012
2013,9,Manchester Utd,0.0,0.0,Stoke City,3.0,2.0,0,Lee Mason,0,0,0,0,8309,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2013
2013,24,Stoke City,0.0,0.0,Manchester Utd,2.0,1.0,0,Neil Swarbrick,0,0,0,0,8460,Stoke City,Manchester Utd,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2013
2014,14,Manchester Utd,0.0,0.0,Stoke City,2.0,1.0,0,Jonathan Moss,0,0,0,0,8737,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2014
2014,20,Stoke City,0.0,0.0,Manchester Utd,1.0,1.0,0,Michael Oliver,0,0,0,0,8796,draw,draw,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2014
2015,18,Stoke City,0.0,0.0,Manchester Utd,2.0,0.0,0,Kevin Friend,0,0,0,0,9156,Stoke City,Manchester Utd,Stoke City,Manchester Utd,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2015
2015,24,Manchester Utd,0.0,0.0,Stoke City,3.0,0.0,0,Roger East,0,0,0,0,9221,Manchester Utd,Stoke City,Manchester Utd,Stoke City,Manchester_Utd_Stoke_City,Manchester Utd_Stoke City_2015
