season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,4,Swansea City,1.2,1.0,Newcastle Utd,0.0,1.0,2017-09-10,Mike Jones,Liberty Stadium,Sun,16:00,"20,872",41,Newcastle Utd,Swansea City,Swansea City,Newcastle Utd,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2017
2017,23,Newcastle Utd,1.4,1.3,Swansea City,1.0,1.0,2018-01-13,Graham Scott,St. James' Park,Sat,15:00,"51,444",243,draw,draw,Newcastle Utd,Swansea City,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2017
2011,16,Newcastle Utd,0.0,0.0,Swansea City,0.0,0.0,0,Lee Mason,0,0,0,0,7616,draw,draw,Newcastle Utd,Swansea City,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2011
2011,32,Swansea City,0.0,0.0,Newcastle Utd,0.0,2.0,0,Howard Webb,0,0,0,0,7775,Newcastle Utd,Swansea City,Swansea City,Newcastle Utd,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2011
2012,12,Newcastle Utd,0.0,0.0,Swansea City,1.0,2.0,0,Phil Dowd,0,0,0,0,7961,Swansea City,Newcastle Utd,Newcastle Utd,Swansea City,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2012
2012,28,Swansea City,0.0,0.0,Newcastle Utd,1.0,0.0,0,Craig Pawson,0,0,0,0,8116,Swansea City,Newcastle Utd,Swansea City,Newcastle Utd,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2012
2013,14,Swansea City,0.0,0.0,Newcastle Utd,3.0,0.0,0,Howard Webb,0,0,0,0,8357,Swansea City,Newcastle Utd,Swansea City,Newcastle Utd,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2013
2013,35,Newcastle Utd,0.0,0.0,Swansea City,1.0,2.0,0,Chris Foy,0,0,0,0,8563,Swansea City,Newcastle Utd,Newcastle Utd,Swansea City,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2013
2014,7,Swansea City,0.0,0.0,Newcastle Utd,2.0,2.0,0,Lee Mason,0,0,0,0,8668,draw,draw,Swansea City,Newcastle Utd,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2014
2014,34,Newcastle Utd,0.0,0.0,Swansea City,2.0,3.0,0,Niel Swarbrick,0,0,0,0,8937,Swansea City,Newcastle Utd,Newcastle Utd,Swansea City,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2014
2015,2,Swansea City,0.0,0.0,Newcastle Utd,2.0,0.0,0,Mike Jones,0,0,0,0,9001,Swansea City,Newcastle Utd,Swansea City,Newcastle Utd,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2015
2015,34,Newcastle Utd,0.0,0.0,Swansea City,3.0,0.0,0,Lee Mason,0,0,0,0,9311,Newcastle Utd,Swansea City,Newcastle Utd,Swansea City,Newcastle_Utd_Swansea_City,Newcastle Utd_Swansea City_2015
