season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2019,12,Tottenham,1.8,0.9,Sheffield Utd,1.0,1.0,2019-11-09,Graham Scott,Tottenham Hotspur Stadium,Sat,15:00,"59,781",126,draw,draw,Tottenham,Sheffield Utd,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_2019
2019,32,Sheffield Utd,1.6,1.1,Tottenham,3.0,1.0,2020-07-02,Chris Kavanagh,Bramall Lane,Thu,18:00,0,351,Sheffield Utd,Tottenham,Sheffield Utd,Tottenham,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_2019
2020,19,Sheffield Utd,0.9,1.0,Tottenham,1.0,3.0,2021-01-17,Andre Marriner,Bramall Lane,Sun,14:00,0,197,Tottenham,Sheffield Utd,Sheffield Utd,Tottenham,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_2020
2020,34,Tottenham,2.2,0.5,Sheffield Utd,4.0,0.0,2021-05-02,Andre Marriner,Tottenham Hotspur Stadium,Sun,19:15,0,385,Tottenham,Sheffield Utd,Tottenham,Sheffield Utd,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_2020
1992,6,Tottenham,0.0,0.0,Sheffield Utd,2.0,0.0,0,Pearson,0,0,0,0,63,Tottenham,Sheffield Utd,Tottenham,Sheffield Utd,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_1992
1992,29,Sheffield Utd,0.0,0.0,Tottenham,6.0,0.0,0,Joe Worrall,0,0,0,0,330,Sheffield Utd,Tottenham,Sheffield Utd,Tottenham,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_1992
1993,7,Sheffield Utd,0.0,0.0,Tottenham,2.0,2.0,0,Kelvin Morton,0,0,0,0,532,draw,draw,Sheffield Utd,Tottenham,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_1993
1993,32,Tottenham,0.0,0.0,Sheffield Utd,2.0,2.0,0,David Allison,0,0,0,0,788,draw,draw,Tottenham,Sheffield Utd,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_1993
2006,2,Tottenham,0.0,0.0,Sheffield Utd,2.0,0.0,0,Peter Walton,0,0,0,0,5577,Tottenham,Sheffield Utd,Tottenham,Sheffield Utd,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_2006
2006,27,Sheffield Utd,0.0,0.0,Tottenham,2.0,1.0,0,Martin Atkinson,0,0,0,0,5823,Sheffield Utd,Tottenham,Sheffield Utd,Tottenham,Sheffield_Utd_Tottenham,Sheffield Utd_Tottenham_2006
