season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
1993,4,West Ham,0.0,0.0,Sheffield Weds,2.0,0.0,0,Joe Worrall,0,0,0,0,502,West Ham,Sheffield Weds,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1993
1993,21,Sheffield Weds,0.0,0.0,West Ham,5.0,0.0,0,David Frampton,0,0,0,0,679,Sheffield Weds,West Ham,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1993
1994,15,Sheffield Weds,0.0,0.0,West Ham,1.0,0.0,0,Gerald Ashby,0,0,0,0,1084,Sheffield Weds,West Ham,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1994
1994,26,West Ham,0.0,0.0,Sheffield Weds,0.0,2.0,0,Paul Danson,0,0,0,0,1191,Sheffield Weds,West Ham,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1994
1995,11,Sheffield Weds,0.0,0.0,West Ham,0.0,1.0,0,Keith Cooper,0,0,0,0,1486,West Ham,Sheffield Weds,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1995
1995,38,West Ham,0.0,0.0,Sheffield Weds,1.0,1.0,0,Roger Dilkes,0,0,0,0,1765,draw,draw,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1995
1996,15,Sheffield Weds,0.0,0.0,West Ham,0.0,0.0,0,Paul Durkin,0,0,0,0,1908,draw,draw,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1996
1996,37,West Ham,0.0,0.0,Sheffield Weds,5.0,1.0,0,Mike Riley,0,0,0,0,2123,West Ham,Sheffield Weds,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1996
1997,18,West Ham,0.0,0.0,Sheffield Weds,1.0,0.0,0,Mike Riley,0,0,0,0,2318,West Ham,Sheffield Weds,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1997
1997,34,Sheffield Weds,0.0,0.0,West Ham,1.0,1.0,0,Neale Barry,0,0,0,0,2474,draw,draw,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1997
1998,1,Sheffield Weds,0.0,0.0,West Ham,0.0,1.0,0,Paul Durkin,0,0,0,0,2528,West Ham,Sheffield Weds,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1998
1998,22,West Ham,0.0,0.0,Sheffield Weds,0.0,4.0,0,Keith Burge,0,0,0,0,2743,Sheffield Weds,West Ham,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1998
1999,15,West Ham,0.0,0.0,Sheffield Weds,4.0,3.0,0,Alan Wilkie,0,0,0,0,3051,West Ham,Sheffield Weds,West Ham,Sheffield Weds,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1999
1999,28,Sheffield Weds,0.0,0.0,West Ham,3.0,1.0,0,Peter Jones,0,0,0,0,3180,Sheffield Weds,West Ham,Sheffield Weds,West Ham,Sheffield_Weds_West_Ham,Sheffield Weds_West Ham_1999
