season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2017,3,West Brom,0.8,1.3,Stoke City,1.0,1.0,2017-08-27,Anthony Taylor,The Hawthorns,Sun,13:30,"22,704",29,draw,draw,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2017
2017,19,Stoke City,1.4,2.0,West Brom,3.0,1.0,2017-12-23,Niel Swarbrick,Bill Stokeld Stadium,Sat,15:00,"29,057",200,Stoke City,West Brom,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2017
2008,14,Stoke City,0.0,0.0,West Brom,1.0,0.0,0,Lee Mason,0,0,0,0,6456,Stoke City,West Brom,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2008
2008,31,West Brom,0.0,0.0,Stoke City,0.0,2.0,0,Martin Atkinson,0,0,0,0,6632,Stoke City,West Brom,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2008
2010,14,West Brom,0.0,0.0,Stoke City,0.0,3.0,0,Chris Foy,0,0,0,0,7221,Stoke City,West Brom,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2010
2010,28,Stoke City,0.0,0.0,West Brom,1.0,1.0,0,Michael Oliver,0,0,0,0,7361,draw,draw,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2010
2011,3,West Brom,0.0,0.0,Stoke City,0.0,1.0,0,Mike Dean,0,0,0,0,7491,Stoke City,West Brom,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2011
2011,22,Stoke City,0.0,0.0,West Brom,1.0,2.0,0,Anthony Taylor,0,0,0,0,7680,West Brom,Stoke City,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2011
2012,15,West Brom,0.0,0.0,Stoke City,0.0,1.0,0,Kevin Friend,0,0,0,0,7986,Stoke City,West Brom,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2012
2012,30,Stoke City,0.0,0.0,West Brom,0.0,0.0,0,Mike Dean,0,0,0,0,8136,draw,draw,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2012
2013,8,Stoke City,0.0,0.0,West Brom,0.0,0.0,0,Howard Webb,0,0,0,0,8301,draw,draw,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2013
2013,38,West Brom,0.0,0.0,Stoke City,1.0,2.0,0,Lee Probert,0,0,0,0,8602,Stoke City,West Brom,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2013
2014,19,Stoke City,0.0,0.0,West Brom,2.0,0.0,0,Roger East,0,0,0,0,8792,Stoke City,West Brom,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2014
2014,29,West Brom,0.0,0.0,Stoke City,1.0,0.0,0,Kevin Friend,0,0,0,0,8886,West Brom,Stoke City,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2014
2015,4,Stoke City,0.0,0.0,West Brom,0.0,1.0,0,Michael Oliver,0,0,0,0,9019,West Brom,Stoke City,Stoke City,West Brom,Stoke_City_West_Brom,Stoke City_West Brom_2015
2015,20,West Brom,0.0,0.0,Stoke City,2.0,1.0,0,Lee Mason,0,0,0,0,9180,West Brom,Stoke City,West Brom,Stoke City,Stoke_City_West_Brom,Stoke City_West Brom_2015
