season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team,opponent,match_teams,season_match_teams
2011,3,Swansea City,0.0,0.0,Sunderland,0.0,0.0,0,Mark Halsey,0,0,0,0,7488,draw,draw,Swansea City,Sunderland,Sunderland_Swansea_City,Sunderland_Swansea City_2011
2011,22,Sunderland,0.0,0.0,Swansea City,2.0,0.0,0,Chris Foy,0,0,0,0,7681,Sunderland,Swansea City,Sunderland,Swansea City,Sunderland_Swansea_City,Sunderland_Swansea City_2011
2012,3,Swansea City,0.0,0.0,Sunderland,2.0,2.0,0,Roger East,0,0,0,0,7869,draw,draw,Swansea City,Sunderland,Sunderland_Swansea_City,Sunderland_Swansea City_2012
2012,24,Sunderland,0.0,0.0,Swansea City,0.0,0.0,0,Andre Marriner,0,0,0,0,8079,draw,draw,Sunderland,Swansea City,Sunderland_Swansea_City,Sunderland_Swansea City_2012
2013,8,Swansea City,0.0,0.0,Sunderland,4.0,0.0,0,Craig Pawson,0,0,0,0,8299,Swansea City,Sunderland,Swansea City,Sunderland,Sunderland_Swansea_City,Sunderland_Swansea City_2013
2013,38,Sunderland,0.0,0.0,Swansea City,1.0,3.0,0,Chris Foy,0,0,0,0,8605,Swansea City,Sunderland,Sunderland,Swansea City,Sunderland_Swansea_City,Sunderland_Swansea City_2013
2014,6,Sunderland,0.0,0.0,Swansea City,0.0,0.0,0,Chris Foy,0,0,0,0,8658,draw,draw,Sunderland,Swansea City,Sunderland_Swansea_City,Sunderland_Swansea City_2014
2014,24,Swansea City,0.0,0.0,Sunderland,1.0,1.0,0,Philip Dowd,0,0,0,0,8839,draw,draw,Swansea City,Sunderland,Sunderland_Swansea_City,Sunderland_Swansea City_2014
2015,3,Sunderland,0.0,0.0,Swansea City,1.0,1.0,0,Niel Swarbrick,0,0,0,0,9011,draw,draw,Sunderland,Swansea City,Sunderland_Swansea_City,Sunderland_Swansea City_2015
2015,21,Swansea City,0.0,0.0,Sunderland,2.0,4.0,0,Graham Scott,0,0,0,0,9189,Sunderland,Swansea City,Swansea City,Sunderland,Sunderland_Swansea_City,Sunderland_Swansea City_2015
