         2514816 function calls (2495525 primitive calls) in 3.334 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007    3.334    3.334 /Users/hogan/dev/streamlit_proj_new/pages/1_PL_Data.py:327(main)
    16/14    0.001    0.000    1.363    0.097 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/runtime/metrics_util.py:319(wrapped_func)
        1    0.013    0.013    0.800    0.800 /Users/hogan/dev/streamlit_proj_new/pages/1_PL_Data.py:274(style_dataframe_custom)
        1    0.000    0.000    0.713    0.713 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/elements/dataframe_selector.py:43(dataframe)
        1    0.002    0.002    0.712    0.712 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/elements/arrow.py:56(_arrow_dataframe)
        1    0.000    0.000    0.696    0.696 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/elements/lib/pandas_styler_utils.py:26(marshall_styler)
       15    0.001    0.000    0.644    0.043 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/delta_generator.py:474(_enqueue)
        2    0.000    0.000    0.636    0.318 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/elements/alert.py:91(info)
        1    0.000    0.000    0.636    0.636 /Users/hogan/dev/streamlit_proj_new/scripts/functions.py:31(add_construction)
       15    0.000    0.000    0.634    0.042 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/delta_generator.py:129(_maybe_print_use_warning)
        1    0.000    0.000    0.634    0.634 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/env_util.py:37(is_repl)
        1    0.000    0.000    0.634    0.634 /Users/hogan/.pyenv/versions/3.11.3/lib/python3.11/inspect.py:1753(stack)
        1    0.000    0.000    0.634    0.634 /Users/hogan/.pyenv/versions/3.11.3/lib/python3.11/inspect.py:1723(getouterframes)
       13    0.000    0.000    0.634    0.049 /Users/hogan/.pyenv/versions/3.11.3/lib/python3.11/inspect.py:1662(getframeinfo)
       13    0.000    0.000    0.632    0.049 /Users/hogan/.pyenv/versions/3.11.3/lib/python3.11/inspect.py:1055(findsource)
       27    0.016    0.001    0.622    0.023 /Users/hogan/.pyenv/versions/3.11.3/lib/python3.11/inspect.py:973(getmodule)
     2915    0.007    0.000    0.498    0.000 <frozen posixpath>:412(realpath)
        1    0.000    0.000    0.489    0.489 /Users/hogan/dev/streamlit_proj_new/pages/1_PL_Data.py:130(load_data)
        1    0.000    0.000    0.489    0.489 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/runtime/caching/cache_utils.py:209(wrapper)
        1    0.000    0.000    0.489    0.489 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/runtime/caching/cache_utils.py:225(__call__)
        1    0.000    0.000    0.487    0.487 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/streamlit/runtime/caching/cache_utils.py:244(_get_or_create_cached_value)
